open_time,open,high,low,close,volume
2025-10-14 09:00:00,3.0,4.15,3.0,3.171,4196928.61
2025-10-14 09:15:00,3.172,3.219,2.43,2.478,2184134.91
2025-10-14 09:30:00,2.479,2.671,2.332,2.552,1571295.57
2025-10-14 09:45:00,2.552,2.648,2.262,2.343,1317378.58
2025-10-14 10:00:00,2.346,2.449,2.217,2.314,1172030.28
2025-10-14 10:15:00,2.313,2.468,2.25,2.306,936564.88
2025-10-14 10:30:00,2.301,2.314,2.12,2.19,1230954.22
2025-10-14 10:45:00,2.188,2.244,2.154,2.195,647591.71
2025-10-14 11:00:00,2.195,2.398,2.192,2.384,6749590.29
2025-10-14 11:15:00,2.384,2.535,2.286,2.523,5528034.11
2025-10-14 11:30:00,2.521,2.7,2.492,2.575,4209004.2
2025-10-14 11:45:00,2.575,2.68,2.451,2.507,1651811.84
2025-10-14 12:00:00,2.507,2.508,2.244,2.409,1339146.59
2025-10-14 12:15:00,2.41,2.459,2.342,2.378,441160.57
2025-10-14 12:30:00,2.378,2.487,2.341,2.376,692654.65
2025-10-14 12:45:00,2.376,2.454,2.361,2.424,388905.09
2025-10-14 13:00:00,2.422,2.5,2.296,2.384,675129.8
2025-10-14 13:15:00,2.385,2.583,2.36,2.564,506902.49
2025-10-14 13:30:00,2.565,2.62,2.45,2.538,773982.82
2025-10-14 13:45:00,2.537,2.594,2.48,2.524,403783.22
2025-10-14 14:00:00,2.523,2.745,2.463,2.672,826307.76
2025-10-14 14:15:00,2.67,2.785,2.589,2.619,1024303.58
2025-10-14 14:30:00,2.614,2.657,2.553,2.604,474315.25
2025-10-14 14:45:00,2.607,2.708,2.548,2.598,650224.75
2025-10-14 15:00:00,2.598,2.684,2.582,2.62,293577.19
2025-10-14 15:15:00,2.62,2.714,2.607,2.644,334572.84
2025-10-14 15:30:00,2.644,2.844,2.63,2.811,1002041.23
2025-10-14 15:45:00,2.812,2.875,2.676,2.758,609828.46
2025-10-14 16:00:00,2.758,2.849,2.728,2.826,396592.44
2025-10-14 16:15:00,2.826,2.985,2.817,2.907,702029.69
2025-10-14 16:30:00,2.909,3.069,2.85,3.023,690501.33
