open_time,open,high,low,close,volume
2025-10-14 08:00:00,3.0,4.15,2.12,2.507,31395319.2
2025-10-14 12:00:00,2.507,2.875,2.244,2.758,10436836.29
2025-10-14 16:00:00,2.758,3.566,2.728,3.019,9859881.02
2025-10-14 20:00:00,3.019,3.263,2.878,3.135,3541666.71
2025-10-15 00:00:00,3.134,3.43,2.524,2.663,5026857.18
2025-10-15 04:00:00,2.665,2.762,2.266,2.427,5101785.89
2025-10-15 08:00:00,2.425,2.597,2.31,2.556,3877405.93
2025-10-15 12:00:00,2.554,2.667,2.276,2.333,3217238.47
2025-10-15 16:00:00,2.333,2.547,2.279,2.436,2750005.95
2025-10-15 20:00:00,2.437,2.646,2.317,2.33,2288041.08
2025-10-16 00:00:00,2.331,2.499,2.172,2.476,2083011.87
2025-10-16 04:00:00,2.479,2.483,2.317,2.359,1459539.34
2025-10-16 08:00:00,2.358,2.446,2.207,2.408,2039578.13
2025-10-16 12:00:00,2.407,2.548,2.243,2.287,2023396.4
2025-10-16 16:00:00,2.286,2.288,2.132,2.173,1339944.3
2025-10-16 20:00:00,2.174,2.331,2.161,2.307,753646.06
2025-10-17 00:00:00,2.308,2.369,2.218,2.336,1045633.13
2025-10-17 04:00:00,2.34,2.38,2.04,2.065,2093632.08
2025-10-17 08:00:00,2.066,2.082,1.905,1.989,2537532.7
2025-10-17 12:00:00,1.988,2.004,1.769,1.886,2510360.1
2025-10-17 16:00:00,1.886,1.952,1.793,1.826,1565422.37
2025-10-17 20:00:00,1.827,1.943,1.807,1.92,801993.57
2025-10-18 00:00:00,1.918,1.932,1.843,1.861,939776.51
2025-10-18 04:00:00,1.86,1.959,1.815,1.884,1220478.93
2025-10-18 08:00:00,1.885,1.923,1.845,1.904,916888.35
2025-10-18 12:00:00,1.904,1.958,1.783,1.851,1977803.29
2025-10-18 16:00:00,1.851,1.89,1.792,1.829,976637.55
2025-10-18 20:00:00,1.83,1.868,1.801,1.846,596080.78
2025-10-19 00:00:00,1.845,1.877,1.797,1.85,747182.48
2025-10-19 04:00:00,1.85,1.851,1.791,1.827,751045.32
2025-10-19 08:00:00,1.828,1.866,1.75,1.819,1390502.05
2025-10-19 12:00:00,1.819,1.885,1.796,1.841,816138.93
2025-10-19 16:00:00,1.841,1.943,1.81,1.915,974876.69
2025-10-19 20:00:00,1.915,1.928,1.853,1.917,748916.93
2025-10-20 00:00:00,1.918,1.989,1.821,1.978,1169965.33
2025-10-20 04:00:00,1.977,1.994,1.92,1.927,777206.41
2025-10-20 08:00:00,1.927,1.958,1.871,1.931,832441.56
2025-10-20 12:00:00,1.929,2.125,1.916,1.988,1762552.0
2025-10-20 16:00:00,1.987,1.987,1.847,1.857,1046087.75
2025-10-20 20:00:00,1.857,1.87,1.814,1.839,521829.42
2025-10-21 00:00:00,1.838,1.838,1.7,1.709,789066.0
2025-10-21 04:00:00,1.708,1.765,1.674,1.688,1002179.78
2025-10-21 08:00:00,1.689,1.735,1.677,1.704,595952.7
2025-10-21 12:00:00,1.705,1.818,1.684,1.795,1390022.09
2025-10-21 16:00:00,1.794,1.807,1.727,1.732,752692.59
2025-10-21 20:00:00,1.732,1.739,1.579,1.593,857734.62
2025-10-22 00:00:00,1.592,1.598,1.491,1.542,1002535.9
2025-10-22 04:00:00,1.543,1.62,1.536,1.573,821900.35
2025-10-22 08:00:00,1.572,1.577,1.518,1.54,797759.49
2025-10-22 12:00:00,1.539,1.572,1.503,1.515,794244.83
2025-10-22 16:00:00,1.515,1.539,1.462,1.486,902408.09
2025-10-22 20:00:00,1.485,1.493,1.457,1.489,443269.6
2025-10-23 00:00:00,1.489,1.551,1.475,1.542,334803.05
2025-10-23 04:00:00,1.542,1.548,1.513,1.517,458288.06
2025-10-23 08:00:00,1.518,1.569,1.495,1.554,976082.42
2025-10-23 12:00:00,1.554,1.57,1.53,1.548,670870.66
2025-10-23 16:00:00,1.548,1.604,1.528,1.577,587929.62
2025-10-23 20:00:00,1.578,1.597,1.55,1.596,251603.56
2025-10-24 00:00:00,1.595,1.621,1.571,1.598,372590.91
2025-10-24 04:00:00,1.599,1.638,1.588,1.594,566886.71
2025-10-24 08:00:00,1.593,1.622,1.559,1.583,725866.37
2025-10-24 12:00:00,1.583,1.636,1.562,1.571,1518673.77
2025-10-24 16:00:00,1.572,1.627,1.563,1.616,842579.68
2025-10-24 20:00:00,1.617,1.631,1.599,1.607,653322.41
2025-10-25 00:00:00,1.606,1.691,1.589,1.683,932453.58
2025-10-25 04:00:00,1.682,1.871,1.68,1.863,1667418.06
2025-10-25 08:00:00,1.863,1.956,1.784,1.793,3288072.37
2025-10-25 12:00:00,1.792,2.058,1.774,1.882,3177957.93
2025-10-25 16:00:00,1.882,1.914,1.752,1.8,2217105.46
2025-10-25 20:00:00,1.8,1.877,1.788,1.847,681312.95
2025-10-26 00:00:00,1.848,1.951,1.808,1.829,1160713.83
2025-10-26 04:00:00,1.829,1.851,1.768,1.778,1139315.44
2025-10-26 08:00:00,1.777,1.847,1.773,1.841,3448120.08
2025-10-26 12:00:00,1.841,1.96,1.824,1.92,3566750.6
2025-10-26 16:00:00,1.919,1.968,1.852,1.955,1534548.74
2025-10-26 20:00:00,1.955,2.099,1.952,1.992,2120111.16
2025-10-27 00:00:00,1.992,2.249,1.979,2.249,1767657.97
2025-10-27 04:00:00,2.249,2.336,2.069,2.192,11504550.13
2025-10-27 08:00:00,2.191,2.276,2.071,2.168,27856006.35
2025-10-27 12:00:00,2.169,2.257,1.905,1.933,28554956.95
2025-10-27 16:00:00,1.934,2.155,1.881,1.893,22550823.64
2025-10-27 20:00:00,1.893,1.921,1.83,1.887,9263733.1
2025-10-28 00:00:00,1.887,1.887,1.755,1.782,29282312.98
2025-10-28 04:00:00,1.781,1.908,1.771,1.901,180685075.76
2025-10-28 08:00:00,1.9,2.007,1.582,1.7,135183258.55
2025-10-28 12:00:00,1.7,1.727,1.645,1.686,3181161.49
2025-10-28 16:00:00,1.687,1.699,1.605,1.65,1161291.31
2025-10-28 20:00:00,1.649,1.675,1.621,1.674,687397.38
