open_time,open,high,low,close,volume
2021-09-01 14:00:00,29.7,29.81,29.62,29.75,15098.09
2021-09-01 14:15:00,29.74,29.98,29.74,29.93,11259.32
2021-09-01 14:30:00,29.94,30.06,29.68,29.77,22940.66
2021-09-01 14:45:00,29.75,29.78,29.53,29.58,25187.88
2021-09-01 15:00:00,29.58,29.9,29.56,29.85,17249.74
2021-09-01 15:15:00,29.87,29.96,29.71,29.87,14719.85
2021-09-01 15:30:00,29.87,30.03,29.78,29.94,15728.04
2021-09-01 15:45:00,29.94,30.23,29.92,30.23,30644.33
2021-09-01 16:00:00,30.21,30.3,29.92,29.93,63020.34
2021-09-01 16:15:00,29.94,30.03,29.75,29.8,45484.14
2021-09-01 16:30:00,29.8,30.62,29.77,30.53,109958.91
2021-09-01 16:45:00,30.53,30.9,30.53,30.67,201530.33
2021-09-01 17:00:00,30.68,30.7,30.22,30.28,144196.73
2021-09-01 17:15:00,30.28,30.41,30.21,30.29,50737.89
2021-09-01 17:30:00,30.31,30.45,30.26,30.29,17994.46
2021-09-01 17:45:00,30.3,30.33,29.71,29.82,126587.28
2021-09-01 18:00:00,29.82,30.09,29.81,30.09,43422.75
2021-09-01 18:15:00,30.08,30.13,29.89,30.09,50779.18
2021-09-01 18:30:00,30.08,30.13,29.96,30.02,13068.33
2021-09-01 18:45:00,30.01,30.01,29.81,29.86,12470.87
2021-09-01 19:00:00,29.87,30.04,29.87,30.04,10839.03
2021-09-01 19:15:00,30.04,30.15,30.02,30.04,21591.73
2021-09-01 19:30:00,30.05,30.11,29.79,30.11,28283.95
2021-09-01 19:45:00,30.11,30.69,30.11,30.63,118710.79
2021-09-01 20:00:00,30.63,30.77,30.48,30.56,60302.54
2021-09-01 20:15:00,30.56,30.66,30.48,30.61,15376.87
2021-09-01 20:30:00,30.6,30.74,30.53,30.7,12864.69
2021-09-01 20:45:00,30.69,30.74,30.44,30.51,15675.96
2021-09-01 21:00:00,30.51,30.75,30.44,30.72,17773.31
2021-09-01 21:15:00,30.74,30.89,30.68,30.88,11856.0
2021-09-01 21:30:00,30.87,30.93,30.73,30.88,37687.6
2021-09-01 21:45:00,30.88,30.95,30.66,30.93,16905.86
2021-09-01 22:00:00,30.93,30.96,30.76,30.86,26479.55
2021-09-01 22:15:00,30.85,31.0,30.73,30.95,25081.38
2021-09-01 22:30:00,30.95,30.99,30.53,30.73,19753.27
2021-09-01 22:45:00,30.72,30.94,30.72,30.81,13215.14
2021-09-01 23:00:00,30.79,31.13,30.74,31.06,64424.623
2021-09-01 23:15:00,31.05,31.141,30.91,31.13,26687.73
2021-09-01 23:30:00,31.14,31.17,30.81,30.88,27129.9
2021-09-01 23:45:00,30.88,31.385,30.88,31.35,57325.955
2021-09-02 00:00:00,31.33,31.41,31.01,31.18,65765.055
2021-09-02 00:15:00,31.18,31.23,30.78,30.82,38796.97
2021-09-02 00:30:00,30.82,30.87,30.7,30.73,23088.68
2021-09-02 00:45:00,30.73,30.76,30.55,30.73,33145.18
2021-09-02 01:00:00,30.75,30.75,30.47,30.51,24554.31
2021-09-02 01:15:00,30.51,30.73,30.48,30.71,34151.21
2021-09-02 01:30:00,30.71,30.88,30.71,30.78,38688.34
2021-09-02 01:45:00,30.77,30.9,30.51,30.56,35024.58
2021-09-02 02:00:00,30.56,30.58,30.46,30.55,14912.72
2021-09-02 02:15:00,30.54,30.61,30.45,30.49,18372.95
2021-09-02 02:30:00,30.49,30.58,30.44,30.46,15539.3
2021-09-02 02:45:00,30.46,30.5,30.39,30.43,15008.69
2021-09-02 03:00:00,30.44,30.56,30.4,30.42,14347.86
2021-09-02 03:15:00,30.42,30.43,30.29,30.32,25834.68
2021-09-02 03:30:00,30.32,30.4,30.29,30.31,17825.13
2021-09-02 03:45:00,30.31,30.37,30.29,30.32,17079.09
2021-09-02 04:00:00,30.33,30.4,30.21,30.33,17170.27
2021-09-02 04:15:00,30.34,30.38,30.27,30.29,13601.52
2021-09-02 04:30:00,30.3,30.43,30.3,30.41,15367.8
2021-09-02 04:45:00,30.41,30.43,30.33,30.35,6555.76
2021-09-02 05:00:00,30.35,30.43,30.31,30.41,9032.71
2021-09-02 05:15:00,30.42,30.42,30.3,30.31,23315.05
2021-09-02 05:30:00,30.31,30.38,30.21,30.25,15280.46
2021-09-02 05:45:00,30.24,30.3,30.1,30.14,23382.01
2021-09-02 06:00:00,30.13,30.36,30.09,30.36,22488.04
2021-09-02 06:15:00,30.37,30.43,30.27,30.35,32696.3
2021-09-02 06:30:00,30.37,30.4,30.19,30.24,19425.04
2021-09-02 06:45:00,30.24,30.35,30.1,30.35,24622.96
2021-09-02 07:00:00,30.34,30.56,30.22,30.47,41507.05
2021-09-02 07:15:00,30.47,30.56,30.37,30.49,26191.97
2021-09-02 07:30:00,30.48,30.53,30.41,30.48,42828.12
2021-09-02 07:45:00,30.48,30.53,30.24,30.25,42091.05
2021-09-02 08:00:00,30.26,30.44,30.23,30.4,15578.23
2021-09-02 08:15:00,30.39,30.63,30.39,30.62,25873.07
2021-09-02 08:30:00,30.61,30.65,30.52,30.59,20218.55
2021-09-02 08:45:00,30.6,30.61,30.47,30.54,15024.05
2021-09-02 09:00:00,30.54,30.61,30.36,30.44,14430.47
2021-09-02 09:15:00,30.44,30.52,30.31,30.34,13806.99
2021-09-02 09:30:00,30.32,30.46,30.31,30.35,9149.46
2021-09-02 09:45:00,30.34,30.47,30.32,30.35,11959.13
2021-09-02 10:00:00,30.36,30.42,30.2,30.34,14471.81
2021-09-02 10:15:00,30.35,30.35,30.23,30.31,17126.64
2021-09-02 10:30:00,30.31,30.59,30.24,30.55,24786.62
2021-09-02 10:45:00,30.56,30.59,30.46,30.5,8199.72
2021-09-02 11:00:00,30.5,30.52,30.33,30.5,15584.97
2021-09-02 11:15:00,30.5,30.52,30.41,30.47,9707.0
2021-09-02 11:30:00,30.47,30.49,30.18,30.36,76543.02
2021-09-02 11:45:00,30.36,30.48,30.21,30.35,41822.34
2021-09-02 12:00:00,30.35,30.51,30.3,30.51,13098.57
2021-09-02 12:15:00,30.52,30.69,30.35,30.56,33614.52
2021-09-02 12:30:00,30.57,30.59,30.43,30.53,10354.89
2021-09-02 12:45:00,30.54,30.56,30.4,30.44,13023.69
2021-09-02 13:00:00,30.45,30.48,30.33,30.47,15332.54
2021-09-02 13:15:00,30.46,30.52,30.36,30.48,25192.77
2021-09-02 13:30:00,30.48,30.6,30.45,30.55,14228.88
2021-09-02 13:45:00,30.55,30.58,30.46,30.51,11359.88
2021-09-02 14:00:00,30.53,30.7,30.35,30.6,30057.16
2021-09-02 14:15:00,30.61,30.67,30.45,30.61,16063.48
2021-09-02 14:30:00,30.63,30.63,30.0,30.07,42666.32
2021-09-02 14:45:00,30.06,30.19,29.56,29.82,82618.01
2021-09-02 15:00:00,29.82,29.92,29.48,29.8,39916.97
2021-09-02 15:15:00,29.8,30.05,29.73,29.98,24427.94
2021-09-02 15:30:00,29.97,30.03,29.79,29.86,19204.9
2021-09-02 15:45:00,29.85,29.96,29.72,29.75,11447.83
2021-09-02 16:00:00,29.74,29.95,29.71,29.92,24818.96
2021-09-02 16:15:00,29.92,30.07,29.9,29.97,19898.1
2021-09-02 16:30:00,29.95,30.07,29.85,29.94,53362.39
2021-09-02 16:45:00,29.94,30.11,29.93,30.05,11018.19
2021-09-02 17:00:00,30.06,30.09,29.9,29.91,7181.99
2021-09-02 17:15:00,29.91,30.0,29.83,29.93,9577.48
2021-09-02 17:30:00,29.94,29.97,29.8,29.82,11783.96
2021-09-02 17:45:00,29.8,30.08,29.78,30.04,16767.62
2021-09-02 18:00:00,30.06,30.08,29.86,29.91,12281.69
2021-09-02 18:15:00,29.92,29.95,29.83,29.89,14031.05
2021-09-02 18:30:00,29.88,29.97,29.81,29.91,16012.81
2021-09-02 18:45:00,29.91,30.19,29.89,30.08,22604.29
2021-09-02 19:00:00,30.08,30.08,29.9,30.0,16112.2
2021-09-02 19:15:00,30.0,30.07,29.92,30.03,8086.19
