open_time,open,high,low,close,volume
2021-09-01,146.0,151.9,144.6,151.7,97380.227
2021-09-02,151.7,155.0,150.0,150.7,127991.634
2021-09-03,150.6,159.9,146.8,156.4,296944.81134
2021-09-04,156.5,162.3,154.9,160.1,177625.54575000002
2021-09-05,160.2,175.8,159.1,172.8,275756.13532
2021-09-06,172.9,175.9,163.9,171.1,245614.0
2021-09-07,171.0,171.7,117.9,136.4,626530.10005
2021-09-08,136.4,139.4,120.4,135.4,462686.7
2021-09-09,135.5,143.4,131.7,137.6,322562.945
2021-09-10,137.7,142.6,124.8,128.2,240179.672
2021-09-11,128.1,134.4,126.6,128.5,206744.837
2021-09-12,128.5,133.7,126.1,131.3,177614.847
2021-09-13,131.3,132.6,120.8,127.8,307059.509
2021-09-14,127.8,133.9,126.3,133.8,146854.219
2021-09-15,133.8,140.1,130.8,139.8,165013.49599999998
2021-09-16,139.9,146.6,133.7,137.9,296179.36
2021-09-17,137.8,140.3,132.0,134.5,152262.864
2021-09-18,134.5,144.0,132.7,138.6,161972.55299999999
2021-09-19,138.5,141.5,132.0,133.6,132657.856
2021-09-20,133.6,134.0,115.0,119.1,377454.76797
2021-09-21,119.1,120.9,108.1,111.7,273891.47633
2021-09-22,111.7,121.7,110.5,121.3,163718.02
2021-09-23,121.4,123.5,118.0,122.6,140746.053
2021-09-24,122.6,123.4,105.0,110.6,362428.10803
2021-09-25,110.6,112.9,106.8,110.7,205594.135
2021-09-26,110.7,113.1,101.9,111.2,326590.92197
2021-09-27,111.1,113.8,104.4,104.5,177027.46
2021-09-28,104.6,107.8,100.2,100.8,169388.75988
2021-09-29,100.7,108.4,100.4,103.7,182700.177
2021-09-30,103.6,108.0,103.0,107.1,156947.666
2021-10-01,107.1,115.0,106.3,114.9,288995.117
2021-10-02,114.9,117.4,111.9,114.2,146296.864
2021-10-03,114.1,119.4,112.4,118.7,163700.137
2021-10-04,118.7,119.1,112.5,116.8,166118.991
2021-10-05,116.9,124.2,115.4,123.1,183523.332
2021-10-06,123.1,127.1,114.7,125.4,293703.635
2021-10-07,125.3,129.6,121.5,125.3,282987.958
2021-10-08,125.3,127.8,122.8,123.4,167571.277
2021-10-09,123.5,128.3,122.1,127.6,121075.188
2021-10-10,127.6,127.9,119.2,119.5,154673.894
2021-10-11,119.4,125.8,116.4,119.7,160844.069
2021-10-12,119.6,119.7,111.4,116.3,193955.455
2021-10-13,116.2,119.7,113.1,119.4,221619.169
2021-10-14,119.4,122.6,119.0,121.8,112376.18
2021-10-15,121.8,127.0,119.1,126.2,209043.774
2021-10-16,126.3,128.1,123.5,126.1,129237.271
2021-10-17,126.1,141.0,124.2,137.7,368826.677
2021-10-18,137.8,146.5,135.1,140.7,427373.858
2021-10-19,140.7,147.6,139.8,144.1,262495.273
2021-10-20,144.1,151.3,144.0,149.9,233756.881
2021-10-21,149.9,159.0,145.7,155.0,453431.887
2021-10-22,155.0,166.4,154.9,165.0,364209.17
2021-10-23,165.0,174.5,164.0,173.6,358501.359
2021-10-24,173.6,190.4,170.6,173.0,750418.1616400001
2021-10-25,172.9,177.3,169.2,170.1,244404.6
2021-10-26,170.2,171.6,158.4,161.1,219980.514
2021-10-27,161.1,162.8,142.3,147.1,346037.039
2021-10-28,147.2,160.5,143.7,159.0,315566.304
2021-10-29,159.1,163.7,156.6,162.6,184005.519
2021-10-30,162.6,162.7,149.6,153.3,159466.479
2021-10-31,153.3,188.0,151.7,167.0,761309.553
2021-11-01,167.2,173.2,161.3,169.7,234847.168
2021-11-02,169.6,180.0,167.3,171.8,255842.139
2021-11-03,171.7,172.2,160.2,168.3,289080.398
2021-11-04,168.4,171.9,160.1,163.7,195359.43
2021-11-05,163.7,169.6,160.5,162.8,172392.92
2021-11-06,162.7,166.4,155.3,159.6,155760.445
2021-11-07,159.6,165.0,158.2,164.1,123865.54800000001
2021-11-08,164.1,171.9,163.5,170.8,156338.346
2021-11-09,170.7,200.5,169.4,200.1,585980.61718
2021-11-10,200.1,205.5,171.5,179.8,634279.40422
2021-11-11,179.8,219.9,176.7,204.5,842362.80415
2021-11-12,204.4,210.5,190.6,202.1,360287.469
2021-11-13,202.2,213.3,198.8,199.1,373436.228
2021-11-14,199.1,202.4,192.2,201.8,196305.607
2021-11-15,201.8,204.4,192.3,195.5,287638.908
2021-11-16,195.5,195.6,163.0,165.7,595208.021
2021-11-17,165.7,167.8,153.0,159.3,494976.799
2021-11-18,159.2,162.2,141.2,148.2,596382.8
2021-11-19,148.2,164.3,146.2,158.8,415595.858
2021-11-20,158.8,188.8,158.7,179.3,954070.589
2021-11-21,179.4,234.2,176.8,229.4,1179779.0071
2021-11-22,229.6,237.6,197.6,206.0,895291.2764
2021-11-23,205.9,221.0,195.3,218.7,550768.114
2021-11-24,218.8,275.7,217.2,260.8,1375025.16361
2021-11-25,260.9,305.0,252.0,294.5,768448.99849
2021-11-26,294.5,296.5,241.3,246.6,774688.723
2021-11-27,246.5,272.4,239.6,243.5,437329.633
2021-11-28,243.4,243.6,215.0,241.2,519604.584
2021-11-29,241.1,254.9,237.7,246.7,384722.02
2021-11-30,246.6,247.6,213.9,220.2,618916.025
2021-12-01,220.3,248.5,215.8,229.8,612042.633
2021-12-02,229.8,230.2,213.6,225.4,334159.798
2021-12-03,225.4,238.1,200.0,206.2,475160.313
2021-12-04,206.1,206.6,141.9,187.6,944752.787
2021-12-05,187.6,194.6,170.0,182.6,690909.689
2021-12-06,182.7,184.8,160.0,179.8,657163.009
2021-12-07,179.8,186.0,171.5,174.1,405269.055
2021-12-08,174.1,182.5,166.2,178.8,429752.751
2021-12-09,178.9,186.9,161.4,164.1,462024.163
2021-12-10,164.0,174.1,158.7,159.4,344026.286
2021-12-11,159.5,171.5,155.6,168.3,292791.542
2021-12-12,168.3,173.0,160.9,169.6,187948.397
2021-12-13,169.6,172.3,145.8,147.9,376739.079
2021-12-14,147.9,155.9,143.5,151.6,320545.669
2021-12-15,151.5,162.5,143.3,159.5,328395.041
2021-12-16,159.6,166.9,151.2,152.3,231841.425
2021-12-17,152.2,154.2,145.1,149.9,203427.117
2021-12-18,149.9,165.3,149.2,157.6,216533.311
2021-12-19,157.6,167.1,155.4,157.8,192280.572
2021-12-20,157.7,164.4,149.2,156.7,278122.895
2021-12-21,156.7,162.8,155.7,162.2,149048.732
2021-12-22,162.3,169.0,160.2,165.5,194542.627
2021-12-23,165.5,170.0,156.6,167.6,207711.628
2021-12-24,167.6,171.0,162.5,165.0,183212.047
2021-12-25,165.1,172.6,164.1,169.5,170570.164
2021-12-26,169.5,172.3,163.4,167.5,149916.033
2021-12-27,167.6,173.6,166.3,169.5,140547.514
2021-12-28,169.6,170.6,148.4,149.7,265409.005
2021-12-29,149.7,151.5,140.9,146.6,251112.556
2021-12-30,146.6,154.0,143.7,153.7,208241.035
