open_time,open,high,low,close,volume
2019-03-21 04:00:00,58.5,58.5,57.08,57.2,445.48202
2019-03-21 05:00:00,57.2,57.2,56.3,56.39,280.8154
2019-03-21 06:00:00,56.79,56.8,56.34,56.4,373.85308
2019-03-21 07:00:00,56.67,58.0,56.6,57.64,843.5276
2019-03-21 08:00:00,57.94,59.1,57.58,57.8,323.74116
2019-03-21 09:00:00,57.8,57.8,57.14,57.2,293.34232
2019-03-21 10:00:00,57.36,58.89,57.35,57.69,543.96802
2019-03-21 11:00:00,57.6,58.15,57.35,57.57,401.9569
2019-03-21 12:00:00,57.6,58.42,57.34,57.61,337.30651
2019-03-21 13:00:00,57.61,58.0,55.56,55.99,1184.97515
2019-03-21 14:00:00,56.0,56.2,53.31,53.38,1057.34286
2019-03-21 15:00:00,53.35,56.04,53.35,55.93,746.33804
2019-03-21 16:00:00,55.5,56.56,54.66,55.06,97.25213
2019-03-21 17:00:00,55.06,55.48,55.06,55.48,13.30362
2019-03-21 18:00:00,55.44,55.44,54.82,55.12,203.70842
2019-03-21 19:00:00,54.96,55.43,54.96,55.14,238.36488
2019-03-21 20:00:00,54.98,55.14,54.98,55.14,6.67734
2019-03-21 21:00:00,55.28,55.43,55.0,55.26,56.22003
2019-03-21 22:00:00,55.03,55.76,55.03,55.18,250.03977
2019-03-21 23:00:00,55.18,55.2,55.03,55.14,82.6987
2019-03-22 00:00:00,55.37,55.52,55.09,55.12,101.93252
2019-03-22 01:00:00,55.48,55.76,55.28,55.58,86.06145
2019-03-22 02:00:00,55.4,55.61,55.32,55.36,16.04526
2019-03-22 03:00:00,55.35,55.47,54.85,54.85,177.80148
2019-03-22 04:00:00,54.85,55.4,54.65,54.84,698.06093
2019-03-22 05:00:00,55.0,55.14,54.86,55.11,28.1673
2019-03-22 06:00:00,55.26,55.26,54.9,54.91,40.26467
2019-03-22 07:00:00,54.91,55.09,54.42,54.7,164.09314
2019-03-22 08:00:00,54.7,56.44,54.54,55.45,1137.64684
2019-03-22 09:00:00,55.35,55.94,54.81,54.93,224.74572
2019-03-22 10:00:00,55.06,55.59,55.03,55.24,202.20865
2019-03-22 11:00:00,55.1,55.45,54.93,55.26,76.45076
2019-03-22 12:00:00,55.45,55.81,55.14,55.76,41.56583
2019-03-22 13:00:00,55.99,56.29,55.72,55.72,553.93123
2019-03-22 14:00:00,56.01,56.56,55.93,56.42,218.17894
2019-03-22 15:00:00,56.03,56.44,55.64,55.64,261.17502
2019-03-22 16:00:00,55.68,55.68,54.75,55.17,242.71593
2019-03-22 17:00:00,55.16,55.33,54.99,55.29,207.06465
2019-03-22 18:00:00,55.28,55.37,55.17,55.18,38.10137
2019-03-22 19:00:00,55.18,55.59,55.08,55.18,112.63755
2019-03-22 20:00:00,55.2,55.22,54.96,54.96,247.51999
2019-03-22 21:00:00,54.91,55.15,54.8,55.1,171.47218
2019-03-22 22:00:00,55.1,55.2,54.78,55.2,70.22318
2019-03-22 23:00:00,55.2,55.38,55.07,55.07,64.00668
2019-03-23 00:00:00,55.06,55.13,54.78,55.09,565.18848
2019-03-23 01:00:00,55.09,55.09,55.06,55.09,50.19352
2019-03-23 02:00:00,55.0,55.34,55.0,55.2,402.552
2019-03-23 03:00:00,55.15,55.64,54.97,55.64,187.23168
2019-03-23 04:00:00,55.6,55.6,55.28,55.28,27.65901
2019-03-23 05:00:00,55.24,55.4,55.21,55.25,172.25525
2019-03-23 06:00:00,55.41,56.0,55.33,55.97,132.31293
2019-03-23 07:00:00,55.99,56.24,55.4,55.85,180.44913
2019-03-23 08:00:00,55.69,56.09,55.61,56.0,129.88388
2019-03-23 09:00:00,56.12,56.23,55.88,56.13,179.64579
2019-03-23 10:00:00,56.0,56.0,55.31,55.77,261.60558
2019-03-23 11:00:00,55.77,55.77,55.43,55.43,130.82519
2019-03-23 12:00:00,55.53,55.94,55.5,55.6,60.46088
2019-03-23 13:00:00,55.35,55.69,55.34,55.5,72.57872
2019-03-23 14:00:00,55.34,55.5,55.23,55.5,100.28828
2019-03-23 15:00:00,55.5,55.62,55.33,55.62,104.13647
2019-03-23 16:00:00,55.35,56.14,55.35,55.93,86.65122
2019-03-23 17:00:00,55.93,56.3,55.77,56.13,168.9525
2019-03-23 18:00:00,56.07,56.32,56.04,56.32,109.13246
2019-03-23 19:00:00,56.32,56.33,56.16,56.33,58.67947
2019-03-23 20:00:00,56.15,56.37,56.1,56.32,24.18003
2019-03-23 21:00:00,56.18,56.43,55.95,56.2,52.3274
2019-03-23 22:00:00,56.08,56.44,56.08,56.44,91.25661
2019-03-23 23:00:00,56.42,56.9,56.42,56.9,87.2849
2019-03-24 00:00:00,56.8,58.0,56.62,57.98,651.81131
2019-03-24 01:00:00,57.98,58.44,57.04,57.54,846.8956
2019-03-24 02:00:00,57.53,57.89,57.26,57.26,489.87594
2019-03-24 03:00:00,57.0,57.5,56.98,57.36,127.69641
2019-03-24 04:00:00,57.5,57.5,57.19,57.19,174.27299
2019-03-24 05:00:00,57.33,57.46,56.99,56.99,236.30847
2019-03-24 06:00:00,56.99,57.0,56.63,56.82,28.08228
2019-03-24 07:00:00,56.66,56.75,56.51,56.55,442.39821
2019-03-24 08:00:00,56.57,57.22,56.57,56.87,134.52724
2019-03-24 09:00:00,57.0,57.14,56.65,56.65,331.34863
2019-03-24 10:00:00,56.67,56.76,56.65,56.65,454.4411
2019-03-24 11:00:00,56.65,57.07,56.65,57.07,396.20441
2019-03-24 12:00:00,56.92,56.92,56.59,56.73,77.34513
2019-03-24 13:00:00,56.66,56.97,56.5,56.92,159.38163
2019-03-24 14:00:00,57.0,57.06,56.69,56.89,131.00663
2019-03-24 15:00:00,56.9,58.35,56.89,58.0,1467.96602
2019-03-24 16:00:00,58.0,58.0,57.21,57.55,391.17339
2019-03-24 17:00:00,57.44,57.6,57.16,57.27,67.69084
2019-03-24 18:00:00,57.21,58.08,56.96,57.0,237.90612
2019-03-24 19:00:00,57.39,57.39,56.9,57.08,57.18078
2019-03-24 20:00:00,56.89,56.99,55.81,56.73,878.41595
2019-03-24 21:00:00,56.55,56.79,56.41,56.6,175.59633
2019-03-24 22:00:00,56.79,57.08,56.7,57.07,89.51392
2019-03-24 23:00:00,57.15,57.35,57.0,57.21,310.01705
2019-03-25 00:00:00,57.06,57.09,56.62,56.64,53.38358
2019-03-25 01:00:00,56.6,56.66,56.56,56.64,74.72708
2019-03-25 02:00:00,56.78,57.13,56.61,56.61,127.67952
2019-03-25 03:00:00,56.71,56.8,56.6,56.8,211.09889
2019-03-25 04:00:00,56.66,56.71,56.53,56.54,406.34272
2019-03-25 05:00:00,56.54,56.54,56.31,56.31,147.91274
2019-03-25 06:00:00,56.27,56.27,55.87,56.03,278.16313
2019-03-25 07:00:00,56.13,56.29,55.94,56.28,442.28016
2019-03-25 08:00:00,56.28,56.3,56.15,56.3,124.02621
2019-03-25 09:00:00,56.3,56.4,56.15,56.38,200.31133
2019-03-25 10:00:00,56.33,56.39,56.1,56.39,62.47363
2019-03-25 11:00:00,56.39,56.4,56.09,56.18,82.00506
2019-03-25 12:00:00,56.2,56.2,55.72,55.95,98.24368
2019-03-25 13:00:00,55.81,56.16,55.74,55.89,232.96574
2019-03-25 14:00:00,55.78,55.91,55.78,55.91,118.30814
2019-03-25 15:00:00,55.9,55.99,55.06,55.27,264.77881
2019-03-25 16:00:00,55.11,55.78,55.05,55.78,994.47748
2019-03-25 17:00:00,55.64,55.8,55.22,55.25,28.70372
2019-03-25 18:00:00,55.29,55.29,53.78,54.37,478.78636
2019-03-25 19:00:00,54.37,54.91,54.0,54.75,88.99641
2019-03-25 20:00:00,54.75,54.75,54.15,54.74,115.37382
2019-03-25 21:00:00,54.4,55.03,54.4,54.96,47.09554
2019-03-25 22:00:00,54.89,55.2,54.58,55.05,63.2146
2019-03-25 23:00:00,55.11,55.69,55.07,55.32,181.07175
2019-03-26 00:00:00,55.32,55.5,55.09,55.09,60.00639
2019-03-26 01:00:00,55.14,55.26,55.14,55.15,91.23365
2019-03-26 02:00:00,55.16,55.24,54.63,54.87,192.6407
2019-03-26 03:00:00,54.71,55.01,54.71,54.78,32.91812
2019-03-26 04:00:00,54.77,54.77,54.48,54.48,29.90682
2019-03-26 05:00:00,54.38,54.38,54.22,54.22,19.05408
2019-03-26 06:00:00,54.32,54.42,53.56,53.95,470.18401
2019-03-26 07:00:00,53.64,53.78,53.54,53.54,193.90141
2019-03-26 08:00:00,53.69,53.92,53.65,53.89,214.1957
2019-03-26 09:00:00,53.89,53.89,53.6,53.75,130.30317
2019-03-26 10:00:00,53.58,53.72,53.52,53.69,134.52301
2019-03-26 11:00:00,53.69,53.74,53.5,53.5,108.47252
2019-03-26 12:00:00,53.5,53.5,52.83,52.89,366.51939
2019-03-26 13:00:00,53.04,53.72,52.72,52.74,542.18873
2019-03-26 14:00:00,52.87,53.72,52.87,53.41,142.91609
2019-03-26 15:00:00,53.47,53.69,53.17,53.69,426.51495
2019-03-26 16:00:00,53.69,53.73,53.3,53.36,371.73299
2019-03-26 17:00:00,53.35,53.95,53.35,53.84,150.16594
2019-03-26 18:00:00,53.82,53.98,53.69,53.95,111.85443
2019-03-26 19:00:00,53.81,53.94,53.76,53.84,26.8247
2019-03-26 20:00:00,53.81,53.81,53.79,53.79,3.42522
2019-03-26 21:00:00,53.73,53.89,53.64,53.7,18.74353
2019-03-26 22:00:00,53.9,54.0,53.9,54.0,15.18552
2019-03-26 23:00:00,54.0,54.69,54.0,54.49,97.83331
2019-03-27 00:00:00,54.5,55.4,54.49,55.23,90.358
2019-03-27 01:00:00,55.27,55.44,54.63,54.68,266.24669
2019-03-27 02:00:00,54.76,54.76,54.63,54.64,59.5938
2019-03-27 03:00:00,54.66,55.1,54.66,55.0,162.11596
2019-03-27 04:00:00,55.1,55.23,54.86,54.86,54.5333
2019-03-27 05:00:00,55.02,55.33,54.88,55.02,307.80303
2019-03-27 06:00:00,55.16,55.16,54.71,54.76,50.65116
2019-03-27 07:00:00,54.71,55.06,54.68,54.78,83.99874
2019-03-27 08:00:00,54.75,55.19,54.58,54.58,932.42602
2019-03-27 09:00:00,55.05,55.18,54.9,54.97,114.25063
2019-03-27 10:00:00,55.18,55.7,55.18,55.63,115.73397
2019-03-27 11:00:00,55.72,56.0,55.56,56.0,227.50155
2019-03-27 12:00:00,55.99,55.99,55.47,55.47,110.55914
2019-03-27 13:00:00,55.61,55.9,55.5,55.9,90.76653
2019-03-27 14:00:00,55.9,56.17,55.9,55.98,289.11821
2019-03-27 15:00:00,56.06,56.1,55.78,56.1,640.95049
2019-03-27 16:00:00,55.8,56.19,55.8,56.03,130.17028
2019-03-27 17:00:00,56.19,56.66,56.04,56.66,89.34715
2019-03-27 18:00:00,56.55,56.78,56.49,56.78,105.8197
2019-03-27 19:00:00,56.72,57.28,56.53,56.94,133.52192
2019-03-27 20:00:00,56.94,56.94,56.78,56.91,10.51241
2019-03-27 21:00:00,56.75,56.82,56.7,56.82,92.83928
2019-03-27 22:00:00,56.81,57.08,56.79,56.91,100.59834
2019-03-27 23:00:00,57.06,57.35,56.94,56.96,90.58959
2019-03-28 00:00:00,56.8,56.8,56.48,56.65,82.63062
2019-03-28 01:00:00,56.47,56.47,56.11,56.38,362.2023
2019-03-28 02:00:00,56.38,56.49,56.37,56.49,29.15333
2019-03-28 03:00:00,56.51,56.51,56.08,56.08,695.76251
2019-03-28 04:00:00,56.25,56.25,55.71,55.9,111.84952
2019-03-28 05:00:00,55.88,56.28,55.8,56.28,31.21669
2019-03-28 06:00:00,56.15,56.24,55.8,55.8,104.68923
2019-03-28 07:00:00,55.87,55.97,55.52,55.58,95.47826
2019-03-28 08:00:00,55.76,55.76,55.5,55.5,657.97235
2019-03-28 09:00:00,55.5,55.5,55.29,55.29,1178.91772
2019-03-28 10:00:00,55.29,55.51,55.29,55.4,57.42308
2019-03-28 11:00:00,55.4,55.63,55.4,55.57,295.07068
2019-03-28 12:00:00,55.57,56.07,55.5,55.69,126.19314
2019-03-28 13:00:00,56.04,56.1,55.82,55.92,73.95119
2019-03-28 14:00:00,55.82,56.23,55.56,55.87,235.62281
2019-03-28 15:00:00,55.8,55.88,55.57,55.8,107.44034
2019-03-28 16:00:00,55.71,55.75,55.32,55.32,81.21038
2019-03-28 17:00:00,55.57,56.07,55.33,55.55,253.62324
2019-03-28 18:00:00,55.55,56.26,55.55,56.03,188.34351
2019-03-28 19:00:00,56.23,56.31,55.94,56.11,100.48394
2019-03-28 20:00:00,56.15,56.4,56.11,56.29,101.65966
2019-03-28 21:00:00,56.08,56.09,55.86,55.86,274.21561
2019-03-28 22:00:00,56.08,56.13,55.91,55.93,63.07177
2019-03-28 23:00:00,56.27,56.27,55.93,56.18,121.69185
2019-03-29 00:00:00,56.15,56.69,56.12,56.12,147.30447
2019-03-29 01:00:00,56.08,56.24,55.85,55.85,209.55478
2019-03-29 02:00:00,55.85,55.99,55.84,55.99,74.55335
2019-03-29 03:00:00,55.85,56.08,55.8,55.85,858.88872
2019-03-29 04:00:00,55.85,56.33,55.77,56.04,103.08672
2019-03-29 05:00:00,56.04,56.04,55.83,55.85,26.39002
2019-03-29 06:00:00,55.85,56.0,55.84,55.94,51.86867
2019-03-29 07:00:00,56.02,56.39,56.02,56.25,48.72208
2019-03-29 08:00:00,56.25,56.28,56.04,56.2,97.31686
2019-03-29 09:00:00,56.15,56.85,56.09,56.57,684.46824
2019-03-29 10:00:00,56.57,56.82,56.45,56.45,246.62988
2019-03-29 11:00:00,56.42,56.78,56.42,56.63,657.19266
2019-03-29 12:00:00,56.63,56.66,56.27,56.46,804.13049
2019-03-29 13:00:00,56.55,56.6,55.1,56.15,1850.85308
2019-03-29 14:00:00,56.13,56.93,56.0,56.81,400.45022
2019-03-29 15:00:00,56.87,57.24,56.85,57.06,294.8765
2019-03-29 16:00:00,57.13,57.74,57.03,57.7,371.40468
2019-03-29 17:00:00,57.65,57.99,57.47,57.86,78.55295
2019-03-29 18:00:00,57.9,58.12,57.47,57.91,302.49165
2019-03-29 19:00:00,58.0,58.09,57.48,57.48,153.18614
2019-03-29 20:00:00,57.43,57.61,57.09,57.1,154.13582
2019-03-29 21:00:00,57.1,57.6,57.05,57.6,118.26116
2019-03-29 22:00:00,57.51,57.61,57.23,57.57,95.97509
2019-03-29 23:00:00,57.21,57.42,57.02,57.14,218.5352
2019-03-30 00:00:00,57.15,57.42,57.0,57.41,86.2156
2019-03-30 01:00:00,57.14,57.14,56.91,56.91,109.67518
2019-03-30 02:00:00,56.91,57.02,56.81,56.85,117.96817
2019-03-30 03:00:00,56.8,56.8,56.12,56.22,162.18529
2019-03-30 04:00:00,56.22,56.42,55.6,56.42,326.7096
2019-03-30 05:00:00,56.09,56.51,56.08,56.51,92.66851
