open_time,open,high,low,close,volume
2025-09-15 14:00:00,0.29,1.884,0.29,1.26,82338007.6
2025-09-15 15:00:00,1.26,1.3,1.0342,1.0467,36042908.6
2025-09-15 16:00:00,1.047,1.05,0.882,0.9036,42374817.4
2025-09-15 17:00:00,0.9035,0.95,0.8462,0.9355,23166798.6
2025-09-15 18:00:00,0.9356,0.9358,0.8954,0.9304,9432637.0
2025-09-15 19:00:00,0.9303,0.9499,0.87,0.9015,11507385.0
2025-09-15 20:00:00,0.9015,0.9355,0.8938,0.9341,6184128.6
2025-09-15 21:00:00,0.9341,0.9939,0.9239,0.9597,12030969.0
2025-09-15 22:00:00,0.9596,0.9634,0.9289,0.9392,5689096.9
2025-09-15 23:00:00,0.9392,0.9612,0.9315,0.9394,5099488.6
2025-09-16 00:00:00,0.9391,0.9528,0.8969,0.9233,7232690.6
2025-09-16 01:00:00,0.923,0.948,0.9075,0.9197,6053233.1
2025-09-16 02:00:00,0.9197,0.928,0.8786,0.8839,6164920.3
2025-09-16 03:00:00,0.8846,0.8958,0.8686,0.8811,4952236.7
2025-09-16 04:00:00,0.881,0.8851,0.8554,0.8761,4866745.0
2025-09-16 05:00:00,0.8759,0.885,0.8603,0.8714,5191687.5
2025-09-16 06:00:00,0.8714,0.883,0.8568,0.8692,5259766.5
2025-09-16 07:00:00,0.869,0.8867,0.8665,0.8851,4426845.3
2025-09-16 08:00:00,0.8851,0.9144,0.8819,0.8886,6799720.9
2025-09-16 09:00:00,0.8883,0.8935,0.8123,0.8254,7042038.7
2025-09-16 10:00:00,0.8253,0.8427,0.7821,0.7917,8004280.0
2025-09-16 11:00:00,0.792,0.8123,0.7772,0.7978,7481202.3
2025-09-16 12:00:00,0.7976,0.8249,0.7868,0.8157,5525394.4
2025-09-16 13:00:00,0.8157,0.82,0.7841,0.8019,4723896.6
2025-09-16 14:00:00,0.8017,0.8108,0.7892,0.8055,4216026.1
2025-09-16 15:00:00,0.8056,0.806,0.7583,0.7663,7871645.7
2025-09-16 16:00:00,0.7661,0.77,0.7338,0.7516,6701670.7
2025-09-16 17:00:00,0.7516,0.7704,0.745,0.7603,2558970.7
2025-09-16 18:00:00,0.7604,0.7753,0.7541,0.7682,1515439.7
2025-09-16 19:00:00,0.7683,0.7889,0.7655,0.7833,2188929.9
2025-09-16 20:00:00,0.7833,0.7924,0.7724,0.7861,1394998.3
2025-09-16 21:00:00,0.786,0.8012,0.7798,0.7818,1567621.0
2025-09-16 22:00:00,0.7817,0.792,0.7784,0.7815,1297831.9
2025-09-16 23:00:00,0.7814,0.8108,0.7791,0.8054,1659192.5
2025-09-17 00:00:00,0.8055,0.8265,0.7571,0.7681,5081125.0
