# TB-107 G3 - Trockenlauf aller neun im Modus, echtes Repo (HEAD 9827a3e), Skript docs/belege/TB-107/g_lauf.sh, Einstieg docs/belege/TB-103/d_trockenlauf.py, Haken TB-104
| Bot | rc | Liste = Universumsdatei | Standardliste | geladen | signalpfad | simulation |
|---|---|---|---|---|---|---|
| elliott_wave | 0 | True | False | 18 | True | True |
| t3_supertrend | 0 | True | False | 18 | True | True |
| rsi2_crypto | 0 | True | False | 20 | True | True |
| turtle_soup_crypto | 0 | True | False | 20 | True | True |
| volatility_breakout_crypto | 0 | True | False | 20 | True | True |
| elliott_wave_stocks | 0 | True | False | 147 | True | True |
| rsi2_mean_reversion | 0 | True | False | 147 | True | True |
| turtle_soup_stocks | 0 | True | False | 147 | True | True |
| volatility_breakout | 0 | True | False | 147 | True | True |
