Nachtrag | erstellt (Commit) | im Journal (Commit) | Verzug h | Zeilen Nachtrag
JOURNAL_NACHTRAG_2026-09-19c.md | 2026-09-19 10:22 | 2026-09-20 17:46 08cf90a |  31.4 | 171
JOURNAL_NACHTRAG_2026-09-19d.md | 2026-09-19 10:22 | 2026-09-20 17:46 08cf90a |  31.4 | 144
JOURNAL_NACHTRAG_2026-09-19e.md | 2026-09-19 10:22 | 2026-09-20 17:46 08cf90a |  31.4 | 138
JOURNAL_NACHTRAG_2026-09-19f.md | 2026-09-19 19:52 | 2026-09-20 17:46 08cf90a |  21.9 | 147
JOURNAL_NACHTRAG_2026-09-19g.md | 2026-09-20 10:28 | 2026-09-20 17:46 08cf90a |   7.3 | 89
JOURNAL_NACHTRAG_2026-09-20a.md | 2026-09-20 11:46 | 2026-09-20 17:46 08cf90a |   6.0 | 47
JOURNAL_NACHTRAG_2026-09-20b.md | 2026-09-20 12:47 | 2026-09-20 17:46 08cf90a |   5.0 | 202
JOURNAL_NACHTRAG_2026-09-20c.md | 2026-09-20 13:46 | 2026-09-20 17:46 08cf90a |   4.0 | 101
JOURNAL_NACHTRAG_2026-09-20d.md | 2026-09-20 14:57 | 2026-09-20 17:46 08cf90a |   2.8 | 116
JOURNAL_NACHTRAG_2026-09-20e.md | 2026-09-20 15:37 | 2026-09-20 17:46 08cf90a |   2.1 | 58
JOURNAL_NACHTRAG_2026-09-20f.md | 2026-09-20 17:03 | 2026-09-20 17:46 08cf90a |   0.7 | 122
JOURNAL_NACHTRAG_2026-09-20g.md | 2026-09-20 17:52 | 2026-09-21 09:20 a096a7f |  15.5 | 120
JOURNAL_NACHTRAG_2026-09-20h.md | 2026-09-20 18:22 | 2026-09-21 09:20 a096a7f |  15.0 | 109
JOURNAL_NACHTRAG_2026-09-20i.md | 2026-09-20 18:53 | 2026-09-21 09:20 a096a7f |  14.4 | 113
JOURNAL_NACHTRAG_2026-09-20j.md | 2026-09-20 20:06 | 2026-09-21 09:20 a096a7f |  13.2 | 124
JOURNAL_NACHTRAG_2026-09-20k.md | 2026-09-20 21:18 | 2026-09-21 09:20 a096a7f |  12.0 | 135
JOURNAL_NACHTRAG_2026-09-20l.md | 2026-09-20 22:04 | 2026-09-21 09:20 a096a7f |  11.3 | 136
JOURNAL_NACHTRAG_2026-09-20m.md | 2026-09-21 07:30 | 2026-09-21 09:20 a096a7f |   1.8 | 132

18 Journal-Nachtraege, mittlerer Verzug 12.6 h, Zeilen gesamt 2204
