# M4 — for bot in <neun>; do grep -c "assert \|raise \|Wache" strategies/$bot/multi_symbol_optimise.py; done   (gemessen 2026-09-21T22:05:14Z, HEAD 9614624, nur gelesen)
## Bot | Treffer (Auftrag erwartet 0 ueberall) | Zeilen der Datei | SHA-256 (Nachweis, dass nichts geaendert wurde)
    elliott_wave | 0 | 236 | 4eb89b936403f8ee…
    t3_supertrend | 0 | 228 | 34c5d545a859d876…
    rsi2_crypto | 0 | 193 | 7a6378a49cdf993d…
    turtle_soup_crypto | 0 | 167 | e638e1121116e719…
    volatility_breakout_crypto | 0 | 174 | e7710d4d464803ef…
    elliott_wave_stocks | 0 | 261 | 6ac7d79ff73b8e78…
    rsi2_mean_reversion | 0 | 205 | d317e052de321d2a…
    turtle_soup_stocks | 0 | 179 | e4277f013be6d0af…
    volatility_breakout | 0 | 199 | ef62b5407e6c608b…
## Zweite Lesung, weiter gefasst (assert/raise ohne Leerzeichen, 'wache' klein, 'Einstieg' als Wort des Wachetexts):
    elliott_wave | assert: 0 | raise: 0 | wache (i): 0 | Selektionsfalte: 0
    t3_supertrend | assert: 0 | raise: 0 | wache (i): 0 | Selektionsfalte: 0
    rsi2_crypto | assert: 0 | raise: 0 | wache (i): 0 | Selektionsfalte: 0
    turtle_soup_crypto | assert: 0 | raise: 0 | wache (i): 0 | Selektionsfalte: 0
    volatility_breakout_crypto | assert: 0 | raise: 0 | wache (i): 0 | Selektionsfalte: 0
    elliott_wave_stocks | assert: 0 | raise: 0 | wache (i): 0 | Selektionsfalte: 0
    rsi2_mean_reversion | assert: 0 | raise: 0 | wache (i): 0 | Selektionsfalte: 0
    turtle_soup_stocks | assert: 0 | raise: 0 | wache (i): 0 | Selektionsfalte: 0
    volatility_breakout | assert: 0 | raise: 0 | wache (i): 0 | Selektionsfalte: 0
## Anzahl Dateien: 9 (Soll 9)
## Ergebnis M4: alle neun 0 in beiden Lesungen — bestaetigt; der Einbau der Wache aus 29.4/34.5 ist ein Ersteinbau (TB-30b, nicht dieser Auftrag). Keine Dateiaenderung: die Hashes oben sind vor und nach der Messung dieselben (git status unten leer fuer strategies/).
## git status --short strategies/ -> '' (leer = nichts angefasst)
