# TB-94 E2 — Zitate gegen Quelle, 2026-09-23 20:22:25 +0200, Register-Stand nach Block D (Commit 3)
teil  FABLE_ANTWORT_2026-09-23d_dritte_leserin_und_eingabestand. Z.  21  -> Register Z. 6591   130 Zeichen  diff rc 0  (37.4)
zeile FABLE_ANTWORT_2026-09-23f_fertigkriterium_38_4.md          Z.  25  -> Register Z. 7101   425 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23f_fertigkriterium_38_4.md          Z.  13  -> Register Z. 7129   955 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23f_fertigkriterium_38_4.md          Z.  15  -> Register Z. 7135   823 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23f_fertigkriterium_38_4.md          Z.  17  -> Register Z. 7139   173 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23f_fertigkriterium_38_4.md          Z.  19  -> Register Z. 7143   358 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23a_gruen_und_tabelle.md             Z.  21  -> Register Z. 7148   415 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23a_gruen_und_tabelle.md             Z.  23  -> Register Z. 7150   734 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23a_gruen_und_tabelle.md             Z.  17  -> Register Z. 7154   352 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23a_gruen_und_tabelle.md             Z.  37  -> Register Z. 7202   580 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23a_gruen_und_tabelle.md             Z.  39  -> Register Z. 7204   256 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23a_gruen_und_tabelle.md             Z.  41  -> Register Z. 7206   618 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23a_gruen_und_tabelle.md             Z.  43  -> Register Z. 7210   387 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23b_neurechnung_nach_a.md            Z.  19  -> Register Z. 7215   435 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23d_dritte_leserin_und_eingabestand. Z.  19  -> Register Z. 7227   731 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23b_neurechnung_nach_a.md            Z.  23  -> Register Z. 7253   435 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23b_neurechnung_nach_a.md            Z.  21  -> Register Z. 7293   613 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23b_neurechnung_nach_a.md            Z.  25  -> Register Z. 7297   830 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23c_messgroessen_und_vollzug.md      Z.  39  -> Register Z. 7348   446 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23e_nachweislauf_im_modus.md         Z.  23  -> Register Z. 7362   530 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23e_nachweislauf_im_modus.md         Z.  30  -> Register Z. 7366   509 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23d_dritte_leserin_und_eingabestand. Z.  21  -> Register Z. 7397   773 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23c_messgroessen_und_vollzug.md      Z.  19  -> Register Z. 7409   383 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23f_fertigkriterium_38_4.md          Z.  35  -> Register Z. 7431   543 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23f_fertigkriterium_38_4.md          Z.  37  -> Register Z. 7445   572 Zeichen  diff rc 0  (Abschnitt 39)
zeile FABLE_ANTWORT_2026-09-23f_fertigkriterium_38_4.md          Z.  45  -> Register Z. 7449   150 Zeichen  diff rc 0  (Abschnitt 39)
teil  FABLE_ANTWORT_2026-09-23f_fertigkriterium_38_4.md          Z.  13  -> Register Z. 7131    60 Zeichen  diff rc 0  (Abschnitt 39)
teil  FABLE_ANTWORT_2026-09-22g_sonde_vor_dem_tag.md             Z.   9  -> Register Z. 7470    70 Zeichen  diff rc 0  (Abschnitt 39)
teil  FABLE_ANTWORT_2026-09-23c_messgroessen_und_vollzug.md      Z.  37  -> Register Z. 7473    91 Zeichen  diff rc 0  (Abschnitt 39)
Zitate: 29, diff rc 0: 29, Abweichungen: 0
rc 0
