# TB-96 D2 - Zitate gegen Quelle, 2026-09-24 09:21:49 +0200, Register-Stand d0dc890
teil  Fable 24a Z. 33  -> Register Z. 5647    54 Zeichen  diff rc 0  (33.2)
teil  Fable 24a Z. 65  -> Register Z. 6373    72 Zeichen  diff rc 0  (36.6)
teil  Fable 24a Z. 65  -> Register Z. 6522    34 Zeichen  diff rc 0  (37.2)
zeile Fable 24a Z.  9  -> Register Z. 7660   260 Zeichen  diff rc 0  (Abschnitt 40)
zeile Fable 24a Z. 11  -> Register Z. 7677   733 Zeichen  diff rc 0  (Abschnitt 40)
zeile Fable 24a Z. 49  -> Register Z. 7766   544 Zeichen  diff rc 0  (Abschnitt 40)
zeile Fable 24a Z. 57  -> Register Z. 7770   356 Zeichen  diff rc 0  (Abschnitt 40)
zeile Fable 24a Z. 45  -> Register Z. 7780   508 Zeichen  diff rc 0  (Abschnitt 40)
zeile Fable 24a Z. 33  -> Register Z. 7798  1167 Zeichen  diff rc 0  (Abschnitt 40)
zeile Fable 24a Z. 29  -> Register Z. 7802   909 Zeichen  diff rc 0  (Abschnitt 40)
zeile Fable 24a Z. 31  -> Register Z. 7807   466 Zeichen  diff rc 0  (Abschnitt 40)
zeile Fable 24a Z. 35  -> Register Z. 7811   413 Zeichen  diff rc 0  (Abschnitt 40)
zeile Fable 24a Z. 39  -> Register Z. 7815   239 Zeichen  diff rc 0  (Abschnitt 40)
zeile Fable 24a Z. 37  -> Register Z. 7820   484 Zeichen  diff rc 0  (Abschnitt 40)
zeile Fable 24a Z. 41  -> Register Z. 7824   234 Zeichen  diff rc 0  (Abschnitt 40)
zeile Fable 24a Z. 81  -> Register Z. 7835   209 Zeichen  diff rc 0  (Abschnitt 40)
zeile Fable 24a Z. 51  -> Register Z. 7887   340 Zeichen  diff rc 0  (Abschnitt 40)
zeile Fable 24a Z. 53  -> Register Z. 7891   212 Zeichen  diff rc 0  (Abschnitt 40)
zeile Fable 24a Z. 59  -> Register Z. 7930   722 Zeichen  diff rc 0  (Abschnitt 40)
zeile Fable 24a Z. 63  -> Register Z. 7934   536 Zeichen  diff rc 0  (Abschnitt 40)
zeile Fable 24a Z. 65  -> Register Z. 7936   652 Zeichen  diff rc 0  (Abschnitt 40)
zeile Fable 24a Z. 15  -> Register Z. 7951   249 Zeichen  diff rc 0  (Abschnitt 40)
zeile Fable 24a Z. 17  -> Register Z. 7953   269 Zeichen  diff rc 0  (Abschnitt 40)
zeile Fable 24a Z. 19  -> Register Z. 7955    64 Zeichen  diff rc 0  (Abschnitt 40)
zeile Fable 24a Z. 21  -> Register Z. 7957   166 Zeichen  diff rc 0  (Abschnitt 40)
teil  Fable 24a Z. 11  -> Register Z. 7741   151 Zeichen  diff rc 0  (Abschnitt 40)
teil  Fable 24a Z. 11  -> Register Z. 7742   146 Zeichen  diff rc 0  (Abschnitt 40)
teil  Fable 24a Z. 15  -> Register Z. 7945    30 Zeichen  diff rc 0  (Abschnitt 40)
teil  Fable 24a Z. 17  -> Register Z. 7946    86 Zeichen  diff rc 0  (Abschnitt 40)
teil  Fable 24a Z. 19  -> Register Z. 7947    56 Zeichen  diff rc 0  (Abschnitt 40)
Zitate: 30 (Zeilen 22, Teile 8), diff rc 0: 30, Abweichungen: 0
rc=0
