label,deviation_pct,stop_loss_pct,take_profit_fib,num_trades,num_symbols,num_nan_pnl,win_rate,total_return_pct,avg_return_pct,dd_bot,dd_bot_ohne_nan,dd_block,dd_block_ohne_nan,dd_entry,dd_entry_ohne_nan,dd_exit,dd_exit_ohne_nan,score_bot,score_bot_ohne_nan,score_block,score_block_ohne_nan,score_entry,score_entry_ohne_nan,score_exit,score_exit_ohne_nan,besteht_mindestfilter
dev 2.0 % / Stop 2.0 % / Fib 0.236,2.0,2.0,0.236,2057,18,0,38.9,-991.78,-0.48,-993.19,-993.19,-993.19,-993.19,-996.75,-996.75,-999.05,-999.05,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022,False
dev 2.0 % / Stop 2.0 % / Fib 0.382,2.0,2.0,0.382,2057,18,0,28.9,-1005.79,-0.49,-1003.49,-1003.49,-1003.49,-1003.49,-1020.9,-1020.9,-1023.2,-1023.2,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022,False
dev 2.0 % / Stop 2.0 % / Fib 0.5,2.0,2.0,0.5,2057,18,0,24.8,-906.88,-0.44,-904.58,-904.58,-904.58,-904.58,-931.35,-931.35,-933.65,-933.65,-0.022,-0.022,-0.022,-0.022,-0.021,-0.021,-0.021,-0.021,False
dev 2.0 % / Stop 3.0 % / Fib 0.236,2.0,3.0,0.236,2057,18,0,49.1,-1014.99,-0.49,-1016.4,-1016.4,-1016.4,-1016.4,-1016.95,-1016.95,-1019.26,-1019.26,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022,False
dev 2.0 % / Stop 3.0 % / Fib 0.382,2.0,3.0,0.382,2057,18,0,38.4,-997.35,-0.48,-999.81,-999.81,-999.81,-999.81,-1008.46,-1008.46,-1011.76,-1011.76,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022,False
dev 2.0 % / Stop 3.0 % / Fib 0.5,2.0,3.0,0.5,2057,18,0,33.8,-792.48,-0.39,-795.79,-795.79,-795.79,-795.79,-872.81,-872.81,-876.11,-876.11,-0.022,-0.022,-0.022,-0.022,-0.02,-0.02,-0.02,-0.02,False
dev 2.0 % / Stop 4.0 % / Fib 0.236,2.0,4.0,0.236,2057,18,0,56.2,-1038.99,-0.51,-1040.4,-1040.4,-1040.4,-1040.4,-1040.09,-1040.09,-1040.26,-1040.26,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022,-0.022,False
dev 2.0 % / Stop 4.0 % / Fib 0.382,2.0,4.0,0.382,2057,18,0,44.9,-1108.33,-0.54,-1110.79,-1110.79,-1110.79,-1110.79,-1144.3,-1144.3,-1148.23,-1148.23,-0.022,-0.022,-0.022,-0.022,-0.021,-0.021,-0.021,-0.021,False
dev 2.0 % / Stop 4.0 % / Fib 0.5,2.0,4.0,0.5,2057,18,0,40.1,-862.66,-0.42,-865.97,-865.97,-865.97,-865.97,-955.61,-955.61,-959.91,-959.91,-0.022,-0.022,-0.022,-0.022,-0.02,-0.02,-0.02,-0.02,False
dev 3.0 % / Stop 2.0 % / Fib 0.236,3.0,2.0,0.236,1160,18,0,32.1,-541.6,-0.47,-559.44,-559.44,-559.44,-559.44,-563.14,-563.14,-563.14,-563.14,-0.029,-0.029,-0.029,-0.029,-0.028,-0.028,-0.028,-0.028,False
dev 3.0 % / Stop 2.0 % / Fib 0.382,3.0,2.0,0.382,1160,18,0,23.7,-477.78,-0.41,-509.29,-509.29,-509.29,-509.29,-502.04,-502.04,-502.04,-502.04,-0.027,-0.027,-0.027,-0.027,-0.028,-0.028,-0.028,-0.028,False
dev 3.0 % / Stop 2.0 % / Fib 0.5,3.0,2.0,0.5,1160,18,0,19.4,-458.21,-0.4,-523.65,-523.65,-523.65,-523.65,-493.75,-493.75,-493.75,-493.75,-0.026,-0.026,-0.026,-0.026,-0.028,-0.028,-0.028,-0.028,False
dev 3.0 % / Stop 3.0 % / Fib 0.236,3.0,3.0,0.236,1160,18,0,40.2,-658.92,-0.57,-681.24,-681.24,-681.24,-681.24,-678.74,-678.74,-678.74,-678.74,-0.028,-0.028,-0.028,-0.028,-0.029,-0.029,-0.029,-0.029,False
dev 3.0 % / Stop 3.0 % / Fib 0.382,3.0,3.0,0.382,1160,18,0,30.8,-577.54,-0.5,-596.12,-596.12,-596.12,-596.12,-597.75,-597.75,-597.75,-597.75,-0.029,-0.029,-0.029,-0.029,-0.028,-0.028,-0.028,-0.028,False
dev 3.0 % / Stop 3.0 % / Fib 0.5,3.0,3.0,0.5,1160,18,0,25.3,-633.46,-0.55,-685.38,-685.38,-685.38,-685.38,-672.8,-672.8,-672.8,-672.8,-0.027,-0.027,-0.027,-0.027,-0.028,-0.028,-0.028,-0.028,False
dev 3.0 % / Stop 4.0 % / Fib 0.236,3.0,4.0,0.236,1160,18,0,46.0,-799.35,-0.69,-816.76,-816.76,-816.76,-816.76,-823.46,-823.46,-823.46,-823.46,-0.029,-0.029,-0.029,-0.029,-0.029,-0.029,-0.029,-0.029,False
dev 3.0 % / Stop 4.0 % / Fib 0.382,3.0,4.0,0.382,1160,18,0,35.6,-788.72,-0.68,-815.38,-815.38,-815.38,-815.38,-812.63,-812.63,-812.63,-812.63,-0.028,-0.028,-0.028,-0.028,-0.029,-0.029,-0.029,-0.029,False
dev 3.0 % / Stop 4.0 % / Fib 0.5,3.0,4.0,0.5,1160,18,0,29.7,-863.06,-0.74,-930.12,-930.12,-930.12,-930.12,-891.21,-891.21,-891.21,-891.21,-0.027,-0.027,-0.027,-0.027,-0.028,-0.028,-0.028,-0.028,False
dev 4.0 % / Stop 2.0 % / Fib 0.236,4.0,2.0,0.236,791,18,0,27.4,-288.52,-0.36,-307.5,-307.5,-307.5,-307.5,-303.67,-303.67,-303.67,-303.67,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,-0.033,False
dev 4.0 % / Stop 2.0 % / Fib 0.382,4.0,2.0,0.382,791,18,0,20.1,-204.62,-0.26,-210.95,-210.95,-210.95,-210.95,-220.52,-220.52,-220.52,-220.52,-0.035,-0.035,-0.035,-0.035,-0.033,-0.033,-0.033,-0.033,False
dev 4.0 % / Stop 2.0 % / Fib 0.5,4.0,2.0,0.5,791,18,0,16.3,-214.38,-0.27,-233.79,-233.79,-233.79,-233.79,-280.47,-280.47,-291.97,-291.97,-0.032,-0.032,-0.032,-0.032,-0.027,-0.027,-0.026,-0.026,False
dev 4.0 % / Stop 3.0 % / Fib 0.236,4.0,3.0,0.236,791,18,0,35.5,-325.06,-0.41,-356.49,-356.49,-356.49,-356.49,-340.31,-340.31,-346.91,-346.91,-0.032,-0.032,-0.032,-0.032,-0.034,-0.034,-0.033,-0.033,False
dev 4.0 % / Stop 3.0 % / Fib 0.382,4.0,3.0,0.382,791,18,0,27.3,-190.01,-0.24,-203.43,-203.43,-203.43,-203.43,-277.77,-277.77,-281.07,-281.07,-0.033,-0.033,-0.033,-0.033,-0.024,-0.024,-0.024,-0.024,False
dev 4.0 % / Stop 3.0 % / Fib 0.5,4.0,3.0,0.5,791,18,0,22.8,-201.55,-0.25,-251.25,-251.25,-251.25,-251.25,-252.63,-252.63,-255.93,-255.93,-0.028,-0.028,-0.028,-0.028,-0.028,-0.028,-0.027,-0.027,False
dev 4.0 % / Stop 4.0 % / Fib 0.236,4.0,4.0,0.236,791,18,0,42.5,-303.83,-0.38,-354.43,-354.43,-354.43,-354.43,-412.01,-412.01,-412.57,-412.57,-0.03,-0.03,-0.03,-0.03,-0.026,-0.026,-0.026,-0.026,False
dev 4.0 % / Stop 4.0 % / Fib 0.382,4.0,4.0,0.382,791,18,0,33.0,-205.7,-0.26,-234.51,-234.51,-234.51,-234.51,-362.55,-362.55,-366.9,-366.9,-0.031,-0.031,-0.031,-0.031,-0.02,-0.02,-0.02,-0.02,False
dev 4.0 % / Stop 4.0 % / Fib 0.5,4.0,4.0,0.5,791,18,0,27.7,-265.16,-0.34,-372.11,-372.11,-372.11,-372.11,-367.07,-367.07,-367.12,-367.12,-0.026,-0.026,-0.026,-0.026,-0.026,-0.026,-0.026,-0.026,False
dev 5.0 % / Stop 2.0 % / Fib 0.236,5.0,2.0,0.236,550,18,0,23.5,-180.89,-0.33,-203.05,-203.05,-203.05,-203.05,-184.51,-184.51,-187.77,-187.77,-0.038,-0.038,-0.038,-0.038,-0.042,-0.042,-0.041,-0.041,False
dev 5.0 % / Stop 2.0 % / Fib 0.382,5.0,2.0,0.382,550,18,0,16.5,-153.39,-0.28,-174.09,-174.09,-174.09,-174.09,-179.9,-179.9,-177.6,-177.6,-0.038,-0.038,-0.038,-0.038,-0.037,-0.037,-0.037,-0.037,False
dev 5.0 % / Stop 2.0 % / Fib 0.5,5.0,2.0,0.5,550,18,0,13.8,-156.9,-0.29,-180.15,-180.15,-180.15,-180.15,-207.69,-207.69,-205.39,-205.39,-0.038,-0.038,-0.038,-0.038,-0.033,-0.033,-0.033,-0.033,False
dev 5.0 % / Stop 3.0 % / Fib 0.236,5.0,3.0,0.236,550,18,0,32.7,-104.57,-0.19,-148.89,-148.89,-148.89,-148.89,-158.45,-158.45,-160.98,-160.98,-0.03,-0.03,-0.03,-0.03,-0.028,-0.028,-0.028,-0.028,False
dev 5.0 % / Stop 3.0 % / Fib 0.382,5.0,3.0,0.382,550,18,0,24.2,-26.67,-0.05,-95.96,-95.96,-95.96,-95.96,-175.93,-175.93,-175.93,-175.93,-0.012,-0.012,-0.012,-0.012,-0.007,-0.007,-0.007,-0.007,False
dev 5.0 % / Stop 3.0 % / Fib 0.5,5.0,3.0,0.5,550,18,0,20.5,-34.46,-0.06,-98.09,-98.09,-98.09,-98.09,-186.76,-186.76,-183.46,-183.46,-0.014,-0.014,-0.014,-0.014,-0.008,-0.008,-0.008,-0.008,False
dev 5.0 % / Stop 4.0 % / Fib 0.236,5.0,4.0,0.236,550,18,0,40.0,-49.44,-0.09,-131.64,-131.64,-131.64,-131.64,-184.51,-184.51,-183.27,-183.27,-0.016,-0.016,-0.016,-0.016,-0.011,-0.011,-0.012,-0.012,False
dev 5.0 % / Stop 4.0 % / Fib 0.382,5.0,4.0,0.382,550,18,0,30.5,-30.5,-0.06,-131.94,-131.94,-131.94,-131.94,-215.44,-215.44,-219.79,-219.79,-0.011,-0.011,-0.011,-0.011,-0.007,-0.007,-0.006,-0.006,False
dev 5.0 % / Stop 4.0 % / Fib 0.5,5.0,4.0,0.5,550,18,0,26.7,-25.91,-0.05,-156.09,-156.09,-156.09,-156.09,-205.39,-205.39,-205.44,-205.44,-0.008,-0.008,-0.008,-0.008,-0.006,-0.006,-0.006,-0.006,False
