label,deviation_pct,stop_loss_pct,take_profit_fib,use_take_profit,num_trades,dd_block,dd_entry,score_block,score_entry,kapital_rendite_pct,kapital_dd_pct,kapital_calmar,ausgefuehrt,uebersprungen
dev 2.0 % / Stop 3.0 % / kein Ziel,2.0,3.0,,False,1786,-149.56,-527.19,0.701,0.199,404.37,-18.0,22.46,643,1143
dev 2.0 % / Stop 5.0 % / kein Ziel,2.0,5.0,,False,1786,-142.49,-736.47,1.08,0.209,535.08,-20.46,26.15,461,1325
dev 2.0 % / Stop 8.0 % / kein Ziel,2.0,8.0,,False,1786,-146.57,-925.84,1.407,0.223,686.2,-28.72,23.89,356,1430
dev 3.0 % / Stop 2.0 % / kein Ziel,3.0,2.0,,False,1148,-106.34,-301.32,0.777,0.274,365.88,-15.51,23.59,717,431
dev 3.0 % / Stop 3.0 % / kein Ziel,3.0,3.0,,False,1148,-105.79,-403.31,0.961,0.252,395.8,-21.6,18.32,617,531
dev 3.0 % / Stop 5.0 % / kein Ziel,3.0,5.0,,False,1148,-156.34,-681.09,0.845,0.194,325.89,-21.89,14.89,470,678
dev 3.0 % / Stop 8.0 % / kein Ziel,3.0,8.0,,False,1148,-158.81,-902.33,1.137,0.2,299.71,-23.69,12.65,375,773
dev 4.0 % / Stop 2.0 % / kein Ziel,4.0,2.0,,False,738,-71.3,-215.64,1.086,0.359,289.34,-16.82,17.2,562,176
dev 4.0 % / Stop 3.0 % / kein Ziel,4.0,3.0,,False,738,-101.08,-317.5,1.037,0.33,363.42,-19.36,18.77,512,226
dev 4.0 % / Stop 5.0 % / kein Ziel,4.0,5.0,,False,738,-127.2,-453.13,0.963,0.27,319.14,-23.19,13.76,418,320
dev 4.0 % / Stop 8.0 % / kein Ziel,4.0,8.0,,False,738,-94.41,-623.3,1.66,0.251,276.25,-28.82,9.59,347,391
dev 5.0 % / Stop 2.0 % / kein Ziel,5.0,2.0,,False,510,-57.5,-167.85,1.367,0.468,197.11,-17.67,11.16,420,90
dev 5.0 % / Stop 3.0 % / kein Ziel,5.0,3.0,,False,510,-82.5,-259.86,1.314,0.417,330.18,-22.7,14.55,398,112
dev 5.0 % / Stop 5.0 % / Fib 0.5,5.0,5.0,0.5,True,510,-113.54,-238.5,0.457,0.218,108.15,-17.37,6.23,420,90
dev 5.0 % / Stop 5.0 % / kein Ziel,5.0,5.0,,False,510,-95.61,-361.11,1.386,0.367,401.13,-23.43,17.12,348,162
dev 5.0 % / Stop 8.0 % / Fib 0.5,5.0,8.0,0.5,True,510,-135.33,-373.5,0.429,0.155,125.04,-23.23,5.38,389,121
dev 5.0 % / Stop 8.0 % / kein Ziel,5.0,8.0,,False,510,-116.9,-455.34,1.412,0.363,656.66,-25.77,25.48,301,209
