label,deviation_pct,stop_loss_pct,take_profit_fib,use_take_profit,num_trades,num_symbols,num_nan_pnl,win_rate,total_return_pct,avg_return_pct,dd_bot,dd_bot_ohne_nan,dd_block,dd_block_ohne_nan,dd_entry,dd_entry_ohne_nan,dd_exit,dd_exit_ohne_nan,score_bot,score_bot_ohne_nan,score_block,score_block_ohne_nan,score_entry,score_entry_ohne_nan,score_exit,score_exit_ohne_nan,besteht_mindestfilter
dev 2.0 % / Stop 2.0 % / Fib 0.236,2.0,2.0,0.236,True,1786,147,1,44.0,323.79,0.18,-51.21,-51.21,-51.21,-51.21,-183.82,-183.82,-196.2,-196.2,0.149,0.149,0.149,0.149,0.041,0.041,0.039,0.039,False
dev 2.0 % / Stop 2.0 % / Fib 0.382,2.0,2.0,0.382,True,1786,147,1,34.5,679.05,0.38,-63.41,-63.41,-63.41,-63.41,-136.0,-136.0,-142.24,-142.24,0.253,0.253,0.253,0.253,0.118,0.118,0.113,0.113,False
dev 2.0 % / Stop 2.0 % / Fib 0.5,2.0,2.0,0.5,True,1786,147,1,29.7,952.56,0.53,-53.79,-53.79,-53.79,-53.79,-138.91,-138.91,-156.4,-156.4,0.416,0.416,0.416,0.416,0.161,0.161,0.143,0.143,False
dev 2.0 % / Stop 2.0 % / kein Ziel,2.0,2.0,,False,1786,147,1,14.8,3486.31,1.95,-178.18,-178.18,-178.18,-178.18,-325.54,-325.54,-402.47,-402.47,0.463,0.463,0.463,0.463,0.253,0.253,0.205,0.205,False
dev 2.0 % / Stop 3.0 % / Fib 0.236,2.0,3.0,0.236,True,1786,147,1,52.7,432.64,0.24,-76.23,-76.23,-76.23,-76.23,-257.32,-257.32,-276.88,-276.88,0.133,0.133,0.133,0.133,0.039,0.039,0.037,0.037,False
dev 2.0 % / Stop 3.0 % / Fib 0.382,2.0,3.0,0.382,True,1786,147,1,42.4,846.54,0.47,-67.22,-67.22,-67.22,-67.22,-198.95,-198.95,-220.05,-220.05,0.295,0.295,0.295,0.295,0.1,0.1,0.09,0.09,False
dev 2.0 % / Stop 3.0 % / Fib 0.5,2.0,3.0,0.5,True,1786,147,1,37.3,1233.26,0.69,-66.49,-66.49,-66.49,-66.49,-174.9,-174.9,-229.16,-229.16,0.439,0.439,0.439,0.439,0.167,0.167,0.127,0.127,False
dev 2.0 % / Stop 3.0 % / kein Ziel,2.0,3.0,,False,1786,147,1,19.6,4422.64,2.48,-149.56,-149.56,-149.56,-149.56,-527.19,-527.19,-604.16,-604.16,0.701,0.701,0.701,0.701,0.199,0.199,0.173,0.173,True
dev 2.0 % / Stop 5.0 % / Fib 0.236,2.0,5.0,0.236,True,1786,147,1,65.6,867.98,0.49,-74.5,-74.5,-74.5,-74.5,-304.22,-304.22,-342.62,-342.62,0.278,0.278,0.278,0.278,0.068,0.068,0.06,0.06,False
dev 2.0 % / Stop 5.0 % / Fib 0.382,2.0,5.0,0.382,True,1786,147,1,55.2,1436.06,0.8,-68.09,-68.09,-68.09,-68.09,-266.4,-266.4,-305.46,-305.46,0.497,0.497,0.497,0.497,0.127,0.127,0.111,0.111,False
dev 2.0 % / Stop 5.0 % / Fib 0.5,2.0,5.0,0.5,True,1786,147,1,49.9,2006.97,1.12,-86.78,-86.78,-86.78,-86.78,-261.74,-261.74,-341.08,-341.08,0.545,0.545,0.545,0.545,0.181,0.181,0.139,0.139,False
dev 2.0 % / Stop 5.0 % / kein Ziel,2.0,5.0,,False,1786,147,1,30.1,6493.22,3.64,-142.49,-142.49,-142.49,-142.49,-736.47,-736.47,-888.77,-888.77,1.08,1.08,1.08,1.08,0.209,0.209,0.173,0.173,True
dev 2.0 % / Stop 8.0 % / Fib 0.236,2.0,8.0,0.236,True,1786,147,1,75.4,1203.61,0.67,-117.0,-117.0,-117.0,-117.0,-405.84,-405.84,-461.27,-461.27,0.242,0.242,0.242,0.242,0.07,0.07,0.061,0.061,False
dev 2.0 % / Stop 8.0 % / Fib 0.382,2.0,8.0,0.382,True,1786,147,1,66.7,2008.18,1.13,-116.12,-116.12,-116.12,-116.12,-425.4,-425.4,-483.86,-483.86,0.411,0.411,0.411,0.411,0.112,0.112,0.099,0.099,False
dev 2.0 % / Stop 8.0 % / Fib 0.5,2.0,8.0,0.5,True,1786,147,1,61.3,2633.08,1.48,-129.41,-129.41,-129.41,-129.41,-420.74,-420.74,-525.48,-525.48,0.483,0.483,0.483,0.483,0.149,0.149,0.119,0.119,False
dev 2.0 % / Stop 8.0 % / kein Ziel,2.0,8.0,,False,1786,147,1,41.9,8721.5,4.89,-146.57,-146.57,-146.57,-146.57,-925.84,-925.84,-1183.3,-1183.3,1.41,1.41,1.41,1.41,0.223,0.223,0.175,0.175,True
dev 3.0 % / Stop 2.0 % / Fib 0.236,3.0,2.0,0.236,True,1148,145,1,38.4,326.81,0.28,-61.69,-61.69,-61.69,-61.69,-139.07,-139.07,-147.61,-147.61,0.154,0.154,0.154,0.154,0.068,0.068,0.064,0.064,False
dev 3.0 % / Stop 2.0 % / Fib 0.382,3.0,2.0,0.382,True,1148,145,1,29.8,594.59,0.52,-46.73,-46.73,-46.73,-46.73,-135.02,-135.02,-146.66,-146.66,0.377,0.377,0.377,0.377,0.13,0.13,0.12,0.12,False
dev 3.0 % / Stop 2.0 % / Fib 0.5,3.0,2.0,0.5,True,1148,145,1,25.4,798.81,0.7,-56.76,-56.76,-56.76,-56.76,-178.43,-178.43,-180.73,-180.73,0.418,0.418,0.418,0.418,0.133,0.133,0.131,0.131,False
dev 3.0 % / Stop 2.0 % / kein Ziel,3.0,2.0,,False,1148,145,1,14.5,2801.39,2.44,-106.34,-106.34,-106.34,-106.34,-301.32,-301.32,-406.86,-406.86,0.777,0.777,0.777,0.777,0.274,0.274,0.203,0.203,True
dev 3.0 % / Stop 3.0 % / Fib 0.236,3.0,3.0,0.236,True,1148,145,1,45.8,315.9,0.28,-60.4,-60.4,-60.4,-60.4,-192.05,-192.05,-209.49,-209.49,0.157,0.157,0.157,0.157,0.049,0.049,0.045,0.045,False
dev 3.0 % / Stop 3.0 % / Fib 0.382,3.0,3.0,0.382,True,1148,145,1,36.5,664.93,0.58,-59.61,-59.61,-59.61,-59.61,-168.7,-168.7,-172.12,-172.12,0.33,0.33,0.33,0.33,0.116,0.116,0.114,0.114,False
dev 3.0 % / Stop 3.0 % / Fib 0.5,3.0,3.0,0.5,True,1148,145,1,31.6,925.1,0.81,-57.49,-57.49,-57.49,-57.49,-245.7,-245.7,-246.94,-246.94,0.477,0.477,0.477,0.477,0.112,0.112,0.111,0.111,False
dev 3.0 % / Stop 3.0 % / kein Ziel,3.0,3.0,,False,1148,145,1,19.4,3439.88,3.0,-105.79,-105.79,-105.79,-105.79,-403.31,-403.31,-541.13,-541.13,0.961,0.961,0.961,0.961,0.252,0.252,0.188,0.188,True
dev 3.0 % / Stop 5.0 % / Fib 0.236,3.0,5.0,0.236,True,1148,145,1,58.8,576.47,0.5,-75.09,-75.09,-75.09,-75.09,-221.29,-221.29,-266.55,-266.55,0.226,0.226,0.226,0.226,0.077,0.077,0.064,0.064,False
dev 3.0 % / Stop 5.0 % / Fib 0.382,3.0,5.0,0.382,True,1148,145,1,47.8,924.83,0.81,-90.35,-90.35,-90.35,-90.35,-252.9,-252.9,-257.76,-257.76,0.304,0.304,0.304,0.304,0.109,0.109,0.106,0.106,False
dev 3.0 % / Stop 5.0 % / Fib 0.5,3.0,5.0,0.5,True,1148,145,1,42.9,1371.6,1.2,-83.78,-83.78,-83.78,-83.78,-319.65,-319.65,-342.61,-342.61,0.485,0.485,0.485,0.485,0.127,0.127,0.119,0.119,False
dev 3.0 % / Stop 5.0 % / kein Ziel,3.0,5.0,,False,1148,145,1,28.3,4478.38,3.9,-156.34,-156.34,-156.34,-156.34,-681.09,-681.09,-766.88,-766.88,0.845,0.845,0.845,0.845,0.194,0.194,0.172,0.172,True
dev 3.0 % / Stop 8.0 % / Fib 0.236,3.0,8.0,0.236,True,1148,145,1,69.5,803.11,0.7,-119.11,-119.11,-119.11,-119.11,-342.14,-342.14,-401.35,-401.35,0.199,0.199,0.199,0.199,0.069,0.069,0.059,0.059,False
dev 3.0 % / Stop 8.0 % / Fib 0.382,3.0,8.0,0.382,True,1148,145,1,59.5,1293.12,1.13,-112.9,-112.9,-112.9,-112.9,-337.96,-337.96,-392.56,-392.56,0.339,0.339,0.339,0.339,0.113,0.113,0.098,0.098,False
dev 3.0 % / Stop 8.0 % / Fib 0.5,3.0,8.0,0.5,True,1148,145,1,54.4,1833.59,1.6,-122.53,-122.53,-122.53,-122.53,-428.68,-428.68,-449.09,-449.09,0.442,0.442,0.442,0.442,0.126,0.126,0.121,0.121,False
dev 3.0 % / Stop 8.0 % / kein Ziel,3.0,8.0,,False,1148,145,1,39.4,6119.67,5.34,-158.81,-158.81,-158.81,-158.81,-902.33,-902.33,-1080.96,-1080.96,1.139,1.139,1.139,1.139,0.201,0.201,0.167,0.167,True
