label,sma_trend_period,rsi_threshold,stop_loss_pct,num_trades,num_symbols,num_nan_pnl,win_rate,total_return_pct,avg_return_pct,dd_bot,dd_bot_ohne_nan,dd_block,dd_block_ohne_nan,dd_entry,dd_entry_ohne_nan,dd_exit,dd_exit_ohne_nan,score_bot,score_bot_ohne_nan,score_block,score_block_ohne_nan,score_entry,score_entry_ohne_nan,score_exit,score_exit_ohne_nan,besteht_mindestfilter
SMA 100 / RSI 5.0 / Stop kein Stop,100,5.0,kein Stop,150,19,0,61.3,100.81,0.67,-80.28,-80.28,-80.28,-80.28,-82.7,-82.7,-87.69,-87.69,0.102,0.102,0.102,0.102,0.099,0.099,0.094,0.094,True
SMA 100 / RSI 5.0 / Stop 5.0,100,5.0,5.0,162,19,0,37.7,-198.08,-1.22,-221.41,-221.41,-221.41,-221.41,-230.88,-230.88,-233.63,-233.63,-0.07,-0.07,-0.07,-0.07,-0.067,-0.067,-0.066,-0.066,False
SMA 100 / RSI 5.0 / Stop 8.0,100,5.0,8.0,157,19,0,50.3,-159.1,-1.01,-179.08,-179.08,-179.08,-179.08,-186.68,-186.68,-191.73,-191.73,-0.071,-0.071,-0.071,-0.071,-0.068,-0.068,-0.066,-0.066,False
SMA 100 / RSI 10.0 / Stop kein Stop,100,10.0,kein Stop,334,19,0,61.4,100.17,0.3,-111.0,-111.0,-111.0,-111.0,-180.31,-180.31,-180.31,-180.31,0.049,0.049,0.049,0.049,0.03,0.03,0.03,0.03,True
SMA 100 / RSI 10.0 / Stop 5.0,100,10.0,5.0,387,19,0,42.1,-310.21,-0.8,-323.17,-323.17,-323.17,-323.17,-346.71,-346.71,-346.71,-346.71,-0.049,-0.049,-0.049,-0.049,-0.045,-0.045,-0.045,-0.045,False
SMA 100 / RSI 10.0 / Stop 8.0,100,10.0,8.0,370,19,0,51.1,-370.4,-1.0,-393.23,-393.23,-393.23,-393.23,-397.03,-397.03,-400.22,-400.22,-0.049,-0.049,-0.049,-0.049,-0.048,-0.048,-0.048,-0.048,False
SMA 150 / RSI 5.0 / Stop kein Stop,150,5.0,kein Stop,163,18,0,62.6,135.91,0.83,-61.52,-61.52,-61.52,-61.52,-95.88,-95.88,-95.88,-95.88,0.172,0.172,0.172,0.172,0.111,0.111,0.111,0.111,True
SMA 150 / RSI 5.0 / Stop 5.0,150,5.0,5.0,182,18,0,40.7,-176.81,-0.97,-198.35,-198.35,-198.35,-198.35,-208.28,-208.28,-208.28,-208.28,-0.066,-0.066,-0.066,-0.066,-0.063,-0.063,-0.063,-0.063,False
SMA 150 / RSI 5.0 / Stop 8.0,150,5.0,8.0,175,18,0,52.0,-155.61,-0.89,-161.59,-161.59,-161.59,-161.59,-192.11,-192.11,-192.11,-192.11,-0.073,-0.073,-0.073,-0.073,-0.061,-0.061,-0.061,-0.061,False
SMA 150 / RSI 10.0 / Stop kein Stop,150,10.0,kein Stop,335,18,0,61.8,174.69,0.52,-77.08,-77.08,-77.08,-77.08,-115.75,-115.75,-124.89,-124.89,0.123,0.123,0.123,0.123,0.082,0.082,0.076,0.076,True
SMA 150 / RSI 10.0 / Stop 5.0,150,10.0,5.0,403,18,0,43.2,-276.67,-0.69,-313.06,-313.06,-313.06,-313.06,-337.98,-337.98,-337.98,-337.98,-0.044,-0.044,-0.044,-0.044,-0.041,-0.041,-0.041,-0.041,False
SMA 150 / RSI 10.0 / Stop 8.0,150,10.0,8.0,386,18,0,52.6,-286.74,-0.74,-337.57,-337.57,-337.57,-337.57,-380.38,-380.38,-381.22,-381.22,-0.043,-0.043,-0.043,-0.043,-0.038,-0.038,-0.038,-0.038,False
SMA 200 / RSI 5.0 / Stop kein Stop,200,5.0,kein Stop,169,18,0,63.9,160.19,0.95,-51.24,-51.24,-51.24,-51.24,-128.07,-128.07,-128.07,-128.07,0.241,0.241,0.241,0.241,0.096,0.096,0.096,0.096,True
SMA 200 / RSI 5.0 / Stop 5.0,200,5.0,5.0,188,18,0,42.0,-162.87,-0.87,-192.97,-192.97,-192.97,-192.97,-228.54,-228.54,-231.29,-231.29,-0.062,-0.062,-0.062,-0.062,-0.052,-0.052,-0.052,-0.052,False
SMA 200 / RSI 5.0 / Stop 8.0,200,5.0,8.0,181,18,0,53.6,-135.06,-0.75,-156.17,-156.17,-156.17,-156.17,-236.7,-236.7,-234.85,-234.85,-0.065,-0.065,-0.065,-0.065,-0.043,-0.043,-0.043,-0.043,False
SMA 200 / RSI 10.0 / Stop kein Stop,200,10.0,kein Stop,349,18,0,60.5,34.14,0.1,-111.42,-111.42,-111.42,-111.42,-181.68,-181.68,-195.03,-195.03,0.017,0.017,0.017,0.017,0.01,0.01,0.01,0.01,True
SMA 200 / RSI 10.0 / Stop 5.0,200,10.0,5.0,423,18,0,43.0,-317.74,-0.75,-354.11,-354.11,-354.11,-354.11,-374.79,-374.79,-374.79,-374.79,-0.044,-0.044,-0.044,-0.044,-0.041,-0.041,-0.041,-0.041,False
SMA 200 / RSI 10.0 / Stop 8.0,200,10.0,8.0,404,18,0,52.0,-387.57,-0.96,-433.69,-433.69,-433.69,-433.69,-452.39,-452.39,-457.96,-457.96,-0.044,-0.044,-0.044,-0.044,-0.043,-0.043,-0.042,-0.042,False
