label,sma_trend_period,rsi_threshold,stop_loss_pct,num_trades,num_symbols,num_nan_pnl,win_rate,total_return_pct,avg_return_pct,dd_bot,dd_bot_ohne_nan,dd_block,dd_block_ohne_nan,dd_entry,dd_entry_ohne_nan,dd_exit,dd_exit_ohne_nan,score_bot,score_bot_ohne_nan,score_block,score_block_ohne_nan,score_entry,score_entry_ohne_nan,score_exit,score_exit_ohne_nan,besteht_mindestfilter
SMA 100 / RSI 5.0 / Stop kein Stop,100,5.0,kein Stop,205,20,0,61.0,108.35,0.53,-87.24,-87.24,-87.24,-87.24,-82.7,-82.7,-87.69,-87.69,0.087,0.087,0.087,0.087,0.092,0.092,0.087,0.087,True
SMA 100 / RSI 5.0 / Stop 5.0,100,5.0,5.0,227,20,0,40.5,-231.05,-1.02,-243.38,-243.38,-243.38,-243.38,-231.57,-231.57,-236.87,-236.87,-0.063,-0.063,-0.063,-0.063,-0.066,-0.066,-0.065,-0.065,False
SMA 100 / RSI 5.0 / Stop 8.0,100,5.0,8.0,217,20,0,51.6,-235.87,-1.09,-257.22,-257.22,-257.22,-257.22,-242.44,-242.44,-249.34,-249.34,-0.062,-0.062,-0.062,-0.062,-0.066,-0.066,-0.064,-0.064,False
SMA 100 / RSI 10.0 / Stop kein Stop,100,10.0,kein Stop,448,20,0,62.1,272.63,0.61,-69.29,-69.29,-69.29,-69.29,-180.31,-180.31,-180.31,-180.31,0.186,0.186,0.186,0.186,0.072,0.072,0.072,0.072,True
SMA 100 / RSI 10.0 / Stop 5.0,100,10.0,5.0,526,20,0,43.7,-271.3,-0.52,-293.82,-293.82,-293.82,-293.82,-352.85,-352.85,-358.15,-358.15,-0.041,-0.041,-0.041,-0.041,-0.034,-0.034,-0.033,-0.033,False
SMA 100 / RSI 10.0 / Stop 8.0,100,10.0,8.0,492,20,0,52.2,-353.79,-0.72,-367.73,-367.73,-367.73,-367.73,-427.18,-427.18,-427.98,-427.98,-0.043,-0.043,-0.043,-0.043,-0.037,-0.037,-0.037,-0.037,False
SMA 150 / RSI 5.0 / Stop kein Stop,150,5.0,kein Stop,215,18,0,63.7,207.72,0.97,-65.74,-65.74,-65.74,-65.74,-95.88,-95.88,-95.88,-95.88,0.216,0.216,0.216,0.216,0.148,0.148,0.148,0.148,True
SMA 150 / RSI 5.0 / Stop 5.0,150,5.0,5.0,245,18,0,43.3,-168.22,-0.69,-202.24,-202.24,-202.24,-202.24,-246.05,-246.05,-253.65,-253.65,-0.053,-0.053,-0.053,-0.053,-0.044,-0.044,-0.043,-0.043,False
SMA 150 / RSI 5.0 / Stop 8.0,150,5.0,8.0,231,18,0,54.1,-171.39,-0.74,-182.27,-182.27,-182.27,-182.27,-226.7,-226.7,-230.61,-230.61,-0.062,-0.062,-0.062,-0.062,-0.05,-0.05,-0.049,-0.049,False
SMA 150 / RSI 10.0 / Stop kein Stop,150,10.0,kein Stop,439,18,0,63.3,410.48,0.94,-57.89,-57.89,-57.89,-57.89,-115.75,-115.75,-124.89,-124.89,0.34,0.34,0.34,0.34,0.17,0.17,0.158,0.158,True
SMA 150 / RSI 10.0 / Stop 5.0,150,10.0,5.0,531,18,0,44.8,-218.49,-0.41,-282.34,-282.34,-282.34,-282.34,-362.89,-362.89,-370.49,-370.49,-0.033,-0.033,-0.033,-0.033,-0.026,-0.026,-0.026,-0.026,False
SMA 150 / RSI 10.0 / Stop 8.0,150,10.0,8.0,502,18,0,54.4,-197.48,-0.39,-282.67,-282.67,-282.67,-282.67,-389.39,-389.39,-396.53,-396.53,-0.031,-0.031,-0.031,-0.031,-0.022,-0.022,-0.022,-0.022,False
SMA 200 / RSI 5.0 / Stop kein Stop,200,5.0,kein Stop,227,18,0,63.4,215.42,0.95,-55.92,-55.92,-55.92,-55.92,-128.07,-128.07,-128.07,-128.07,0.256,0.256,0.256,0.256,0.112,0.112,0.112,0.112,True
SMA 200 / RSI 5.0 / Stop 5.0,200,5.0,5.0,254,18,0,42.9,-198.67,-0.78,-239.8,-239.8,-239.8,-239.8,-253.68,-253.68,-261.28,-261.28,-0.052,-0.052,-0.052,-0.052,-0.049,-0.049,-0.048,-0.048,False
SMA 200 / RSI 5.0 / Stop 8.0,200,5.0,8.0,241,18,0,55.2,-148.22,-0.62,-171.66,-171.66,-171.66,-171.66,-236.7,-236.7,-235.43,-235.43,-0.056,-0.056,-0.056,-0.056,-0.041,-0.041,-0.041,-0.041,False
SMA 200 / RSI 10.0 / Stop kein Stop,200,10.0,kein Stop,464,18,0,61.6,203.49,0.44,-102.63,-102.63,-102.63,-102.63,-181.68,-181.68,-195.03,-195.03,0.092,0.092,0.092,0.092,0.052,0.052,0.049,0.049,True
SMA 200 / RSI 10.0 / Stop 5.0,200,10.0,5.0,558,18,0,44.3,-324.36,-0.58,-369.7,-369.7,-369.7,-369.7,-397.89,-397.89,-397.89,-397.89,-0.037,-0.037,-0.037,-0.037,-0.034,-0.034,-0.034,-0.034,False
SMA 200 / RSI 10.0 / Stop 8.0,200,10.0,8.0,528,18,0,53.2,-379.49,-0.72,-431.98,-431.98,-431.98,-431.98,-459.17,-459.17,-471.04,-471.04,-0.038,-0.038,-0.038,-0.038,-0.036,-0.036,-0.035,-0.035,False
