label,t3_fast,t3_slow,adx_threshold,stop_loss_pct,num_trades,num_symbols,num_nan_pnl,win_rate,total_return_pct,avg_return_pct,dd_bot,dd_bot_ohne_nan,dd_block,dd_block_ohne_nan,dd_entry,dd_entry_ohne_nan,dd_exit,dd_exit_ohne_nan,score_bot,score_bot_ohne_nan,score_block,score_block_ohne_nan,score_entry,score_entry_ohne_nan,score_exit,score_exit_ohne_nan,besteht_mindestfilter
T3 8/21 / ADX 20.0 / Stop 2.0 %,8,21,20.0,2.0,2239,18,0,17.6,68.91,0.03,-330.08,-330.08,-330.08,-330.08,-516.1,-516.1,-516.1,-516.1,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,False
T3 8/21 / ADX 20.0 / Stop 3.0 %,8,21,20.0,3.0,2238,18,0,23.0,-40.57,-0.02,-370.6,-370.6,-370.6,-370.6,-618.85,-618.85,-599.05,-599.05,-0.003,-0.003,-0.003,-0.003,-0.002,-0.002,-0.002,-0.002,False
T3 8/21 / ADX 20.0 / Stop 4.0 %,8,21,20.0,4.0,2238,18,0,27.0,-7.97,-0.0,-308.5,-308.5,-308.5,-308.5,-746.78,-746.78,-729.58,-729.58,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,False
T3 8/21 / ADX 25.0 / Stop 2.0 %,8,21,25.0,2.0,1462,18,0,16.5,-309.54,-0.21,-476.6,-476.6,-476.6,-476.6,-575.97,-575.97,-580.57,-580.57,-0.017,-0.017,-0.017,-0.017,-0.014,-0.014,-0.014,-0.014,False
T3 8/21 / ADX 25.0 / Stop 3.0 %,8,21,25.0,3.0,1461,18,0,21.9,-327.74,-0.22,-540.23,-540.23,-540.23,-540.23,-636.71,-636.71,-638.16,-638.16,-0.016,-0.016,-0.016,-0.016,-0.013,-0.013,-0.013,-0.013,False
T3 8/21 / ADX 25.0 / Stop 4.0 %,8,21,25.0,4.0,1461,18,0,26.4,-232.67,-0.16,-330.73,-330.73,-330.73,-330.73,-716.04,-716.04,-719.54,-719.54,-0.018,-0.018,-0.018,-0.018,-0.009,-0.009,-0.008,-0.008,False
T3 8/21 / ADX 30.0 / Stop 2.0 %,8,21,30.0,2.0,922,18,0,16.9,-298.44,-0.32,-407.85,-407.85,-407.85,-407.85,-528.79,-528.79,-524.19,-524.19,-0.024,-0.024,-0.024,-0.024,-0.018,-0.018,-0.019,-0.019,False
T3 8/21 / ADX 30.0 / Stop 3.0 %,8,21,30.0,3.0,921,18,0,21.9,-402.95,-0.44,-458.72,-458.72,-458.72,-458.72,-622.31,-622.31,-630.44,-630.44,-0.029,-0.029,-0.029,-0.029,-0.021,-0.021,-0.021,-0.021,False
T3 8/21 / ADX 30.0 / Stop 4.0 %,8,21,30.0,4.0,921,18,0,26.4,-340.72,-0.37,-383.85,-383.85,-383.85,-383.85,-567.68,-567.68,-570.15,-570.15,-0.029,-0.029,-0.029,-0.029,-0.02,-0.02,-0.02,-0.02,False
T3 8/25 / ADX 20.0 / Stop 2.0 %,8,25,20.0,2.0,1975,18,0,17.9,248.75,0.13,-223.47,-223.47,-223.47,-223.47,-527.43,-527.43,-527.43,-527.43,0.026,0.026,0.026,0.026,0.011,0.011,0.011,0.011,False
T3 8/25 / ADX 20.0 / Stop 3.0 %,8,25,20.0,3.0,1974,18,0,22.5,54.74,0.03,-210.3,-210.3,-210.3,-210.3,-624.0,-624.0,-614.64,-614.64,0.006,0.006,0.006,0.006,0.002,0.002,0.002,0.002,False
T3 8/25 / ADX 20.0 / Stop 4.0 %,8,25,20.0,4.0,1973,18,0,27.3,365.05,0.19,-241.5,-241.5,-241.5,-241.5,-588.63,-588.63,-585.85,-585.85,0.035,0.035,0.035,0.035,0.014,0.014,0.014,0.014,False
T3 8/25 / ADX 25.0 / Stop 2.0 %,8,25,25.0,2.0,1202,18,0,17.8,-193.51,-0.16,-300.56,-300.56,-300.56,-300.56,-406.08,-406.08,-404.4,-404.4,-0.018,-0.018,-0.018,-0.018,-0.014,-0.014,-0.014,-0.014,False
T3 8/25 / ADX 25.0 / Stop 3.0 %,8,25,25.0,3.0,1201,18,0,22.6,-301.91,-0.25,-482.73,-482.73,-482.73,-482.73,-526.76,-526.76,-517.7,-517.7,-0.018,-0.018,-0.018,-0.018,-0.016,-0.016,-0.017,-0.017,False
T3 8/25 / ADX 25.0 / Stop 4.0 %,8,25,25.0,4.0,1200,18,0,27.8,-4.43,-0.0,-286.23,-286.23,-286.23,-286.23,-423.95,-423.95,-421.2,-421.2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,False
T3 8/25 / ADX 30.0 / Stop 2.0 %,8,25,30.0,2.0,712,18,0,18.1,-58.47,-0.08,-174.56,-174.56,-174.56,-174.56,-277.51,-277.51,-302.81,-302.81,-0.012,-0.012,-0.012,-0.012,-0.008,-0.008,-0.007,-0.007,False
T3 8/25 / ADX 30.0 / Stop 3.0 %,8,25,30.0,3.0,711,18,0,23.1,-148.48,-0.21,-261.4,-261.4,-261.4,-261.4,-382.3,-382.3,-379.4,-379.4,-0.021,-0.021,-0.021,-0.021,-0.015,-0.015,-0.015,-0.015,False
T3 8/25 / ADX 30.0 / Stop 4.0 %,8,25,30.0,4.0,710,18,0,28.7,67.78,0.1,-195.34,-195.34,-195.34,-195.34,-341.82,-341.82,-352.83,-352.83,0.014,0.014,0.014,0.014,0.008,0.008,0.008,0.008,False
T3 8/30 / ADX 20.0 / Stop 2.0 %,8,30,20.0,2.0,1703,18,0,16.8,59.16,0.03,-176.66,-176.66,-176.66,-176.66,-456.32,-456.32,-443.84,-443.84,0.007,0.007,0.007,0.007,0.003,0.003,0.003,0.003,False
T3 8/30 / ADX 20.0 / Stop 3.0 %,8,30,20.0,3.0,1702,18,0,23.0,249.26,0.15,-195.32,-195.32,-195.32,-195.32,-507.41,-507.41,-512.48,-512.48,0.032,0.032,0.032,0.032,0.012,0.012,0.012,0.012,False
T3 8/30 / ADX 20.0 / Stop 4.0 %,8,30,20.0,4.0,1702,18,0,26.7,907.06,0.53,-222.51,-222.51,-222.51,-222.51,-615.81,-615.81,-585.13,-585.13,0.098,0.098,0.098,0.098,0.036,0.036,0.037,0.037,True
T3 8/30 / ADX 25.0 / Stop 2.0 %,8,30,25.0,2.0,992,18,0,15.6,-294.55,-0.3,-357.51,-357.51,-357.51,-357.51,-467.5,-467.5,-456.0,-456.0,-0.026,-0.026,-0.026,-0.026,-0.02,-0.02,-0.021,-0.021,False
T3 8/30 / ADX 25.0 / Stop 3.0 %,8,30,25.0,3.0,991,18,0,22.4,-195.43,-0.2,-364.01,-364.01,-364.01,-364.01,-381.18,-381.18,-377.49,-377.49,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,False
T3 8/30 / ADX 25.0 / Stop 4.0 %,8,30,25.0,4.0,991,18,0,26.3,321.67,0.32,-367.62,-367.62,-367.62,-367.62,-396.21,-396.21,-382.58,-382.58,0.027,0.027,0.027,0.027,0.025,0.025,0.026,0.026,True
T3 8/30 / ADX 30.0 / Stop 2.0 %,8,30,30.0,2.0,522,18,0,15.5,-69.06,-0.13,-160.47,-160.47,-160.47,-160.47,-254.4,-254.4,-253.48,-253.48,-0.019,-0.019,-0.019,-0.019,-0.012,-0.012,-0.012,-0.012,False
T3 8/30 / ADX 30.0 / Stop 3.0 %,8,30,30.0,3.0,521,18,0,22.1,-32.24,-0.06,-170.98,-170.98,-170.98,-170.98,-301.49,-301.49,-294.89,-294.89,-0.008,-0.008,-0.008,-0.008,-0.005,-0.005,-0.005,-0.005,False
T3 8/30 / ADX 30.0 / Stop 4.0 %,8,30,30.0,4.0,521,18,0,26.1,98.92,0.19,-160.8,-160.8,-160.8,-160.8,-270.17,-270.17,-272.18,-272.18,0.027,0.027,0.027,0.027,0.016,0.016,0.016,0.016,False
T3 12/21 / ADX 20.0 / Stop 2.0 %,12,21,20.0,2.0,2010,18,0,18.6,272.35,0.14,-190.54,-190.54,-190.54,-190.54,-510.63,-510.63,-509.97,-509.97,0.033,0.033,0.033,0.033,0.012,0.012,0.012,0.012,False
T3 12/21 / ADX 20.0 / Stop 3.0 %,12,21,20.0,3.0,2009,18,0,23.7,275.08,0.14,-195.82,-195.82,-195.82,-195.82,-576.18,-576.18,-572.85,-572.85,0.032,0.032,0.032,0.032,0.011,0.011,0.011,0.011,False
T3 12/21 / ADX 20.0 / Stop 4.0 %,12,21,20.0,4.0,2009,18,0,27.2,471.3,0.23,-200.71,-200.71,-200.71,-200.71,-668.33,-668.33,-667.37,-667.37,0.051,0.051,0.051,0.051,0.015,0.015,0.015,0.015,False
T3 12/21 / ADX 25.0 / Stop 2.0 %,12,21,25.0,2.0,1270,18,0,18.3,172.77,0.14,-222.81,-222.81,-222.81,-222.81,-381.01,-381.01,-384.92,-384.92,0.022,0.022,0.022,0.022,0.013,0.013,0.013,0.013,False
T3 12/21 / ADX 25.0 / Stop 3.0 %,12,21,25.0,3.0,1269,18,0,23.0,43.61,0.03,-275.31,-275.31,-275.31,-275.31,-443.07,-443.07,-444.68,-444.68,0.004,0.004,0.004,0.004,0.002,0.002,0.002,0.002,False
T3 12/21 / ADX 25.0 / Stop 4.0 %,12,21,25.0,4.0,1269,18,0,26.5,297.49,0.23,-329.22,-329.22,-329.22,-329.22,-519.42,-519.42,-523.77,-523.77,0.025,0.025,0.025,0.025,0.016,0.016,0.016,0.016,False
T3 12/21 / ADX 30.0 / Stop 2.0 %,12,21,30.0,2.0,750,18,0,19.1,217.79,0.29,-194.31,-194.31,-194.31,-194.31,-305.26,-305.26,-296.06,-296.06,0.041,0.041,0.041,0.041,0.026,0.026,0.027,0.027,False
T3 12/21 / ADX 30.0 / Stop 3.0 %,12,21,30.0,3.0,749,18,0,23.6,101.53,0.14,-238.91,-238.91,-238.91,-238.91,-379.62,-379.62,-386.22,-386.22,0.016,0.016,0.016,0.016,0.01,0.01,0.01,0.01,False
T3 12/21 / ADX 30.0 / Stop 4.0 %,12,21,30.0,4.0,749,18,0,26.7,-24.15,-0.03,-301.35,-301.35,-301.35,-301.35,-430.38,-430.38,-433.59,-433.59,-0.003,-0.003,-0.003,-0.003,-0.002,-0.002,-0.002,-0.002,False
T3 12/25 / ADX 20.0 / Stop 2.0 %,12,25,20.0,2.0,1776,18,0,18.2,329.1,0.19,-173.02,-173.02,-173.02,-173.02,-467.93,-467.93,-462.04,-462.04,0.046,0.046,0.046,0.046,0.017,0.017,0.017,0.017,False
T3 12/25 / ADX 20.0 / Stop 3.0 %,12,25,20.0,3.0,1776,18,0,23.3,643.01,0.36,-220.91,-220.91,-220.91,-220.91,-720.96,-720.96,-716.37,-716.37,0.069,0.069,0.069,0.069,0.021,0.021,0.021,0.021,True
T3 12/25 / ADX 20.0 / Stop 4.0 %,12,25,20.0,4.0,1775,18,0,27.5,640.12,0.36,-216.11,-216.11,-216.11,-216.11,-790.72,-790.72,-784.86,-784.86,0.07,0.07,0.07,0.07,0.019,0.019,0.019,0.019,True
T3 12/25 / ADX 25.0 / Stop 2.0 %,12,25,25.0,2.0,1068,18,0,17.5,152.11,0.14,-242.53,-242.53,-242.53,-242.53,-377.03,-377.03,-366.15,-366.15,0.019,0.019,0.019,0.019,0.012,0.012,0.012,0.012,False
T3 12/25 / ADX 25.0 / Stop 3.0 %,12,25,25.0,3.0,1068,18,0,23.0,498.96,0.47,-246.53,-246.53,-246.53,-246.53,-560.0,-560.0,-556.7,-556.7,0.062,0.062,0.062,0.062,0.027,0.027,0.028,0.028,True
T3 12/25 / ADX 25.0 / Stop 4.0 %,12,25,25.0,4.0,1067,18,0,27.0,330.69,0.31,-281.23,-281.23,-281.23,-281.23,-643.57,-643.57,-639.27,-639.27,0.036,0.036,0.036,0.036,0.016,0.016,0.016,0.016,True
T3 12/25 / ADX 30.0 / Stop 2.0 %,12,25,30.0,2.0,593,18,0,16.5,-35.71,-0.06,-166.18,-166.18,-166.18,-166.18,-342.55,-342.55,-353.8,-353.8,-0.009,-0.009,-0.009,-0.009,-0.004,-0.004,-0.004,-0.004,False
T3 12/25 / ADX 30.0 / Stop 3.0 %,12,25,30.0,3.0,593,18,0,23.9,163.65,0.28,-140.03,-140.03,-140.03,-140.03,-290.54,-290.54,-288.84,-288.84,0.049,0.049,0.049,0.049,0.023,0.023,0.024,0.024,False
T3 12/25 / ADX 30.0 / Stop 4.0 %,12,25,30.0,4.0,592,18,0,28.4,92.23,0.16,-179.97,-179.97,-179.97,-179.97,-347.36,-347.36,-340.27,-340.27,0.022,0.022,0.022,0.022,0.011,0.011,0.011,0.011,False
T3 12/30 / ADX 20.0 / Stop 2.0 %,12,30,20.0,2.0,1589,18,0,17.7,258.6,0.16,-191.44,-191.44,-191.44,-191.44,-675.05,-675.05,-675.46,-675.46,0.033,0.033,0.033,0.033,0.009,0.009,0.009,0.009,False
T3 12/30 / ADX 20.0 / Stop 3.0 %,12,30,20.0,3.0,1588,18,0,22.8,333.58,0.21,-184.45,-184.45,-184.45,-184.45,-720.38,-720.38,-719.4,-719.4,0.045,0.045,0.045,0.045,0.012,0.012,0.012,0.012,False
T3 12/30 / ADX 20.0 / Stop 4.0 %,12,30,20.0,4.0,1588,18,0,26.0,513.62,0.32,-270.29,-270.29,-270.29,-270.29,-876.79,-876.79,-877.5,-877.5,0.047,0.047,0.047,0.047,0.015,0.015,0.015,0.015,True
T3 12/30 / ADX 25.0 / Stop 2.0 %,12,30,25.0,2.0,898,18,0,17.3,213.0,0.24,-228.74,-228.74,-228.74,-228.74,-448.54,-448.54,-443.94,-443.94,0.031,0.031,0.031,0.031,0.016,0.016,0.016,0.016,False
T3 12/30 / ADX 25.0 / Stop 3.0 %,12,30,25.0,3.0,897,18,0,23.3,231.44,0.26,-253.2,-253.2,-253.2,-253.2,-500.06,-500.06,-497.63,-497.63,0.031,0.031,0.031,0.031,0.016,0.016,0.016,0.016,False
T3 12/30 / ADX 25.0 / Stop 4.0 %,12,30,25.0,4.0,897,18,0,26.8,422.65,0.47,-270.41,-270.41,-270.41,-270.41,-558.02,-558.02,-553.72,-553.72,0.052,0.052,0.052,0.052,0.025,0.025,0.025,0.025,True
T3 12/30 / ADX 30.0 / Stop 2.0 %,12,30,30.0,2.0,464,18,0,18.1,173.24,0.37,-111.6,-111.6,-111.6,-111.6,-228.74,-228.74,-227.43,-227.43,0.071,0.071,0.071,0.071,0.035,0.035,0.035,0.035,True
T3 12/30 / ADX 30.0 / Stop 3.0 %,12,30,30.0,3.0,463,18,0,23.8,118.11,0.26,-153.95,-153.95,-153.95,-153.95,-276.88,-276.88,-276.88,-276.88,0.036,0.036,0.036,0.036,0.02,0.02,0.02,0.02,False
T3 12/30 / ADX 30.0 / Stop 4.0 %,12,30,30.0,4.0,463,18,0,28.3,435.65,0.94,-157.17,-157.17,-157.17,-157.17,-281.31,-281.31,-281.31,-281.31,0.129,0.129,0.129,0.129,0.072,0.072,0.072,0.072,True
T3 16/21 / ADX 20.0 / Stop 2.0 %,16,21,20.0,2.0,1801,18,0,18.2,828.48,0.46,-121.05,-121.05,-121.05,-121.05,-530.33,-530.33,-530.33,-530.33,0.161,0.161,0.161,0.161,0.037,0.037,0.037,0.037,True
T3 16/21 / ADX 20.0 / Stop 3.0 %,16,21,20.0,3.0,1801,18,0,24.0,941.54,0.52,-176.43,-176.43,-176.43,-176.43,-650.79,-650.79,-642.44,-642.44,0.125,0.125,0.125,0.125,0.034,0.034,0.034,0.034,True
T3 16/21 / ADX 20.0 / Stop 4.0 %,16,21,20.0,4.0,1801,18,0,27.9,782.32,0.43,-242.05,-242.05,-242.05,-242.05,-747.3,-747.3,-734.82,-734.82,0.075,0.075,0.075,0.075,0.024,0.024,0.025,0.025,True
T3 16/21 / ADX 25.0 / Stop 2.0 %,16,21,25.0,2.0,1101,18,0,18.2,678.38,0.62,-193.86,-193.86,-193.86,-193.86,-439.89,-439.89,-437.59,-437.59,0.106,0.106,0.106,0.106,0.047,0.047,0.047,0.047,True
T3 16/21 / ADX 25.0 / Stop 3.0 %,16,21,25.0,3.0,1101,18,0,24.1,704.81,0.64,-177.27,-177.27,-177.27,-177.27,-545.19,-545.19,-540.65,-540.65,0.12,0.12,0.12,0.12,0.039,0.039,0.039,0.039,True
T3 16/21 / ADX 25.0 / Stop 4.0 %,16,21,25.0,4.0,1101,18,0,28.4,651.47,0.59,-250.68,-250.68,-250.68,-250.68,-614.54,-614.54,-606.85,-606.85,0.078,0.078,0.078,0.078,0.032,0.032,0.032,0.032,True
T3 16/21 / ADX 30.0 / Stop 2.0 %,16,21,30.0,2.0,621,18,0,17.1,15.24,0.02,-153.12,-153.12,-153.12,-153.12,-311.54,-311.54,-321.11,-321.11,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,False
T3 16/21 / ADX 30.0 / Stop 3.0 %,16,21,30.0,3.0,621,18,0,23.7,58.34,0.09,-217.14,-217.14,-217.14,-217.14,-301.79,-301.79,-298.49,-298.49,0.01,0.01,0.01,0.01,0.007,0.007,0.008,0.008,False
T3 16/21 / ADX 30.0 / Stop 4.0 %,16,21,30.0,4.0,621,18,0,28.2,80.63,0.13,-260.53,-260.53,-260.53,-260.53,-347.95,-347.95,-343.65,-343.65,0.012,0.012,0.012,0.012,0.009,0.009,0.009,0.009,False
T3 16/25 / ADX 20.0 / Stop 2.0 %,16,25,20.0,2.0,1609,18,0,17.3,-146.65,-0.09,-356.97,-356.97,-356.97,-356.97,-685.03,-685.03,-687.33,-687.33,-0.01,-0.01,-0.01,-0.01,-0.005,-0.005,-0.005,-0.005,False
T3 16/25 / ADX 20.0 / Stop 3.0 %,16,25,20.0,3.0,1609,18,0,22.6,-3.67,-0.0,-288.07,-288.07,-288.07,-288.07,-828.47,-828.47,-830.6,-830.6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,False
T3 16/25 / ADX 20.0 / Stop 4.0 %,16,25,20.0,4.0,1609,18,0,26.8,394.77,0.25,-247.4,-247.4,-247.4,-247.4,-841.82,-841.82,-844.15,-844.15,0.041,0.041,0.041,0.041,0.012,0.012,0.012,0.012,False
T3 16/25 / ADX 25.0 / Stop 2.0 %,16,25,25.0,2.0,959,18,0,16.7,-71.76,-0.07,-216.45,-216.45,-216.45,-216.45,-552.9,-552.9,-552.9,-552.9,-0.01,-0.01,-0.01,-0.01,-0.004,-0.004,-0.004,-0.004,False
T3 16/25 / ADX 25.0 / Stop 3.0 %,16,25,25.0,3.0,959,18,0,22.9,-57.9,-0.06,-278.19,-278.19,-278.19,-278.19,-641.94,-641.94,-641.31,-641.31,-0.007,-0.007,-0.007,-0.007,-0.003,-0.003,-0.003,-0.003,False
T3 16/25 / ADX 25.0 / Stop 4.0 %,16,25,25.0,4.0,959,18,0,27.3,207.86,0.22,-264.04,-264.04,-264.04,-264.04,-682.71,-682.71,-673.16,-673.16,0.026,0.026,0.026,0.026,0.01,0.01,0.01,0.01,False
T3 16/25 / ADX 30.0 / Stop 2.0 %,16,25,30.0,2.0,504,18,0,18.3,-25.11,-0.05,-135.03,-135.03,-135.03,-135.03,-246.11,-246.11,-250.14,-250.14,-0.008,-0.008,-0.008,-0.008,-0.005,-0.005,-0.004,-0.004,False
T3 16/25 / ADX 30.0 / Stop 3.0 %,16,25,30.0,3.0,504,18,0,23.8,-11.58,-0.02,-182.25,-182.25,-182.25,-182.25,-274.01,-274.01,-276.68,-276.68,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,False
T3 16/25 / ADX 30.0 / Stop 4.0 %,16,25,30.0,4.0,504,18,0,28.8,225.18,0.45,-161.03,-161.03,-161.03,-161.03,-305.54,-305.54,-298.71,-298.71,0.063,0.063,0.063,0.063,0.033,0.033,0.034,0.034,True
T3 16/30 / ADX 20.0 / Stop 2.0 %,16,30,20.0,2.0,1449,18,0,16.5,169.34,0.12,-198.26,-198.26,-198.26,-198.26,-349.81,-349.81,-364.0,-364.0,0.023,0.023,0.023,0.023,0.013,0.013,0.013,0.013,False
T3 16/30 / ADX 20.0 / Stop 3.0 %,16,30,20.0,3.0,1449,18,0,21.8,777.74,0.54,-193.86,-193.86,-193.86,-193.86,-481.51,-481.51,-493.41,-493.41,0.106,0.106,0.106,0.106,0.043,0.043,0.042,0.042,True
T3 16/30 / ADX 20.0 / Stop 4.0 %,16,30,20.0,4.0,1448,18,0,26.4,989.88,0.68,-162.28,-162.28,-162.28,-162.28,-517.86,-517.86,-510.49,-510.49,0.159,0.159,0.159,0.159,0.05,0.05,0.051,0.051,True
T3 16/30 / ADX 25.0 / Stop 2.0 %,16,30,25.0,2.0,860,18,0,16.7,181.0,0.21,-168.8,-168.8,-168.8,-168.8,-337.44,-337.44,-337.6,-337.6,0.036,0.036,0.036,0.036,0.018,0.018,0.018,0.018,False
T3 16/30 / ADX 25.0 / Stop 3.0 %,16,30,25.0,3.0,860,18,0,22.3,508.95,0.59,-196.48,-196.48,-196.48,-196.48,-462.8,-462.8,-467.93,-467.93,0.088,0.088,0.088,0.088,0.037,0.037,0.037,0.037,True
T3 16/30 / ADX 25.0 / Stop 4.0 %,16,30,25.0,4.0,859,18,0,27.6,727.39,0.85,-197.83,-197.83,-197.83,-197.83,-465.67,-465.67,-462.16,-462.16,0.126,0.126,0.126,0.126,0.053,0.053,0.054,0.054,True
T3 16/30 / ADX 30.0 / Stop 2.0 %,16,30,30.0,2.0,429,18,0,15.9,-35.94,-0.08,-170.5,-170.5,-170.5,-170.5,-225.71,-225.71,-232.77,-232.77,-0.01,-0.01,-0.01,-0.01,-0.007,-0.007,-0.007,-0.007,False
T3 16/30 / ADX 30.0 / Stop 3.0 %,16,30,30.0,3.0,429,18,0,22.8,292.64,0.68,-272.4,-272.4,-272.4,-272.4,-246.05,-246.05,-246.05,-246.05,0.052,0.052,0.052,0.052,0.057,0.057,0.057,0.057,True
T3 16/30 / ADX 30.0 / Stop 4.0 %,16,30,30.0,4.0,428,18,0,28.3,472.06,1.1,-120.91,-120.91,-120.91,-120.91,-272.82,-272.82,-273.74,-273.74,0.188,0.188,0.188,0.188,0.083,0.083,0.083,0.083,True
