label,t3_fast,t3_slow,adx_threshold,stop_loss_pct,num_trades,num_symbols,num_nan_pnl,win_rate,total_return_pct,avg_return_pct,dd_bot,dd_bot_ohne_nan,dd_block,dd_block_ohne_nan,dd_entry,dd_entry_ohne_nan,dd_exit,dd_exit_ohne_nan,score_bot,score_bot_ohne_nan,score_block,score_block_ohne_nan,score_entry,score_entry_ohne_nan,score_exit,score_exit_ohne_nan,besteht_mindestfilter
T3 8/21 / ADX 20.0 / Stop 2.0 %,8,21,20.0,2.0,1153,18,0,17.8,308.42,0.27,-299.2,-299.2,-199.53,-199.53,-299.2,-299.2,-296.86,-296.86,0.031,0.031,0.046,0.046,0.031,0.031,0.031,0.031,False
T3 8/21 / ADX 20.0 / Stop 3.0 %,8,21,20.0,3.0,1152,18,0,24.3,434.41,0.38,-296.68,-296.68,-205.87,-205.87,-296.68,-296.68,-294.65,-294.65,0.043,0.043,0.063,0.063,0.043,0.043,0.044,0.044,True
T3 8/21 / ADX 20.0 / Stop 4.0 %,8,21,20.0,4.0,1152,18,0,28.6,597.51,0.52,-347.55,-347.55,-213.77,-213.77,-347.55,-347.55,-344.37,-344.37,0.051,0.051,0.083,0.083,0.051,0.051,0.051,0.051,True
T3 8/21 / ADX 25.0 / Stop 2.0 %,8,21,25.0,2.0,668,18,0,16.9,-69.23,-0.1,-237.35,-237.35,-309.56,-309.56,-237.35,-237.35,-237.35,-237.35,-0.011,-0.011,-0.008,-0.008,-0.011,-0.011,-0.011,-0.011,False
T3 8/21 / ADX 25.0 / Stop 3.0 %,8,21,25.0,3.0,667,18,0,23.5,69.16,0.1,-294.3,-294.3,-263.53,-263.53,-294.3,-294.3,-306.49,-306.49,0.009,0.009,0.01,0.01,0.009,0.009,0.008,0.008,False
T3 8/21 / ADX 25.0 / Stop 4.0 %,8,21,25.0,4.0,667,18,0,27.9,230.95,0.35,-380.95,-380.95,-249.73,-249.73,-380.95,-380.95,-387.76,-387.76,0.024,0.024,0.036,0.036,0.024,0.024,0.023,0.023,True
T3 8/21 / ADX 30.0 / Stop 2.0 %,8,21,30.0,2.0,379,18,0,17.4,72.06,0.19,-143.95,-143.95,-132.64,-132.64,-143.95,-143.95,-139.35,-139.35,0.026,0.026,0.028,0.028,0.026,0.026,0.027,0.027,False
T3 8/21 / ADX 30.0 / Stop 3.0 %,8,21,30.0,3.0,378,18,0,23.3,65.85,0.17,-180.09,-180.09,-117.72,-117.72,-180.09,-180.09,-181.36,-181.36,0.018,0.018,0.028,0.028,0.018,0.018,0.018,0.018,False
T3 8/21 / ADX 30.0 / Stop 4.0 %,8,21,30.0,4.0,378,18,0,27.5,185.13,0.49,-212.54,-212.54,-111.02,-111.02,-212.54,-212.54,-214.36,-214.36,0.045,0.045,0.086,0.086,0.045,0.045,0.044,0.044,True
T3 8/25 / ADX 20.0 / Stop 2.0 %,8,25,20.0,2.0,1101,18,0,18.2,40.51,0.04,-391.05,-391.05,-242.11,-242.11,-391.05,-391.05,-392.53,-392.53,0.003,0.003,0.005,0.005,0.003,0.003,0.003,0.003,False
T3 8/25 / ADX 20.0 / Stop 3.0 %,8,25,20.0,3.0,1100,18,0,23.0,-2.25,-0.0,-488.24,-488.24,-281.65,-281.65,-488.24,-488.24,-488.24,-488.24,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,False
T3 8/25 / ADX 20.0 / Stop 4.0 %,8,25,20.0,4.0,1099,18,0,28.3,360.92,0.33,-424.16,-424.16,-223.67,-223.67,-424.16,-424.16,-420.46,-420.46,0.026,0.026,0.049,0.049,0.026,0.026,0.026,0.026,True
T3 8/25 / ADX 25.0 / Stop 2.0 %,8,25,25.0,2.0,602,18,0,18.4,-43.8,-0.07,-213.2,-213.2,-227.85,-227.85,-213.2,-213.2,-210.08,-210.08,-0.008,-0.008,-0.008,-0.008,-0.008,-0.008,-0.008,-0.008,False
T3 8/25 / ADX 25.0 / Stop 3.0 %,8,25,25.0,3.0,601,18,0,23.6,-26.97,-0.04,-251.07,-251.07,-249.71,-249.71,-251.07,-251.07,-252.74,-252.74,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,False
T3 8/25 / ADX 25.0 / Stop 4.0 %,8,25,25.0,4.0,600,18,0,29.2,263.2,0.44,-275.68,-275.68,-165.26,-165.26,-275.68,-275.68,-284.28,-284.28,0.039,0.039,0.065,0.065,0.039,0.039,0.038,0.038,True
T3 8/25 / ADX 30.0 / Stop 2.0 %,8,25,30.0,2.0,320,18,0,17.8,25.88,0.08,-193.65,-193.65,-154.35,-154.35,-193.65,-193.65,-192.83,-192.83,0.007,0.007,0.009,0.009,0.007,0.007,0.007,0.007,False
T3 8/25 / ADX 30.0 / Stop 3.0 %,8,25,30.0,3.0,319,18,0,23.2,19.48,0.06,-231.66,-231.66,-171.17,-171.17,-231.66,-231.66,-234.96,-234.96,0.005,0.005,0.006,0.006,0.005,0.005,0.005,0.005,False
T3 8/25 / ADX 30.0 / Stop 4.0 %,8,25,30.0,4.0,318,18,0,28.6,182.21,0.57,-225.24,-225.24,-193.73,-193.73,-225.24,-225.24,-225.84,-225.84,0.045,0.045,0.052,0.052,0.045,0.045,0.045,0.045,True
T3 8/30 / ADX 20.0 / Stop 2.0 %,8,30,20.0,2.0,1004,18,0,17.8,197.68,0.2,-365.81,-365.81,-134.54,-134.54,-365.81,-365.81,-371.44,-371.44,0.017,0.017,0.047,0.047,0.017,0.017,0.017,0.017,False
T3 8/30 / ADX 20.0 / Stop 3.0 %,8,30,20.0,3.0,1003,18,0,24.7,461.04,0.46,-364.59,-364.59,-143.05,-143.05,-364.59,-364.59,-364.59,-364.59,0.04,0.04,0.102,0.102,0.04,0.04,0.04,0.04,True
