label,donchian_period,stop_mode,num_trades,num_symbols,num_nan_pnl,win_rate,total_return_pct,avg_return_pct,dd_bot,dd_bot_ohne_nan,dd_block,dd_block_ohne_nan,dd_entry,dd_entry_ohne_nan,dd_exit,dd_exit_ohne_nan,score_bot,score_bot_ohne_nan,score_block,score_block_ohne_nan,score_entry,score_entry_ohne_nan,score_exit,score_exit_ohne_nan,besteht_mindestfilter
Donchian 10 / Stop kein Stop,10,kein Stop,767,20,0,47.8,712.86,0.93,-246.04,-246.04,-246.04,-246.04,-606.64,-606.64,-606.64,-606.64,0.105,0.105,0.105,0.105,0.042,0.042,0.042,0.042,True
Donchian 10 / Stop structural,10,structural,1069,20,0,27.0,522.18,0.49,-254.16,-254.16,-254.16,-254.16,-626.56,-626.56,-619.1,-619.1,0.063,0.063,0.063,0.063,0.026,0.026,0.026,0.026,True
Donchian 10 / Stop 5.0,10,5.0,1027,20,0,26.7,-30.54,-0.03,-345.44,-345.44,-345.44,-345.44,-652.37,-652.37,-650.21,-650.21,-0.003,-0.003,-0.003,-0.003,-0.001,-0.001,-0.001,-0.001,False
Donchian 10 / Stop 8.0,10,8.0,943,20,0,35.8,6.74,0.01,-394.2,-394.2,-394.2,-394.2,-704.8,-704.8,-704.8,-704.8,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,True
Donchian 20 / Stop kein Stop,20,kein Stop,510,20,0,46.1,61.32,0.12,-372.13,-372.13,-372.13,-372.13,-506.22,-506.22,-506.22,-506.22,0.007,0.007,0.007,0.007,0.005,0.005,0.005,0.005,True
Donchian 20 / Stop structural,20,structural,686,20,0,27.8,-51.26,-0.07,-464.69,-464.69,-464.69,-464.69,-537.75,-537.75,-523.76,-523.76,-0.004,-0.004,-0.004,-0.004,-0.003,-0.003,-0.004,-0.004,False
Donchian 20 / Stop 5.0,20,5.0,679,20,0,25.5,-235.5,-0.35,-437.79,-437.79,-437.79,-437.79,-475.56,-475.56,-475.56,-475.56,-0.021,-0.021,-0.021,-0.021,-0.019,-0.019,-0.019,-0.019,False
Donchian 20 / Stop 8.0,20,8.0,638,20,0,34.0,-422.24,-0.66,-448.89,-448.89,-448.89,-448.89,-583.93,-583.93,-583.93,-583.93,-0.037,-0.037,-0.037,-0.037,-0.029,-0.029,-0.029,-0.029,False
Donchian 40 / Stop kein Stop,40,kein Stop,310,20,0,46.1,16.45,0.05,-207.89,-207.89,-207.89,-207.89,-417.21,-417.21,-417.21,-417.21,0.004,0.004,0.004,0.004,0.002,0.002,0.002,0.002,True
Donchian 40 / Stop structural,40,structural,413,20,0,30.0,-189.89,-0.46,-394.4,-394.4,-394.4,-394.4,-381.89,-381.89,-375.32,-375.32,-0.024,-0.024,-0.024,-0.024,-0.024,-0.024,-0.025,-0.025,False
Donchian 40 / Stop 5.0,40,5.0,419,20,0,27.2,-239.27,-0.57,-348.24,-348.24,-348.24,-348.24,-361.79,-361.79,-359.61,-359.61,-0.034,-0.034,-0.034,-0.034,-0.032,-0.032,-0.032,-0.032,False
Donchian 40 / Stop 8.0,40,8.0,390,20,0,35.6,-233.05,-0.6,-338.87,-338.87,-338.87,-338.87,-411.5,-411.5,-403.2,-403.2,-0.035,-0.035,-0.035,-0.035,-0.029,-0.029,-0.029,-0.029,False
