label,donchian_period,stop_mode,num_trades,num_symbols,num_nan_pnl,win_rate,total_return_pct,avg_return_pct,dd_bot,dd_bot_ohne_nan,dd_block,dd_block_ohne_nan,dd_entry,dd_entry_ohne_nan,dd_exit,dd_exit_ohne_nan,score_bot,score_bot_ohne_nan,score_block,score_block_ohne_nan,score_entry,score_entry_ohne_nan,score_exit,score_exit_ohne_nan,besteht_mindestfilter
Donchian 10 / Stop kein Stop,10,kein Stop,1107,20,0,48.4,1336.43,1.21,-249.89,-249.89,-249.89,-249.89,-690.2,-690.2,-690.2,-690.2,0.161,0.161,0.161,0.161,0.058,0.058,0.058,0.058,True
Donchian 10 / Stop structural,10,structural,1599,20,0,27.1,1216.24,0.76,-164.66,-164.66,-164.66,-164.66,-629.0,-629.0,-645.89,-645.89,0.185,0.185,0.185,0.185,0.048,0.048,0.047,0.047,True
Donchian 10 / Stop 5.0,10,5.0,1499,20,0,28.0,279.88,0.19,-330.53,-330.53,-330.53,-330.53,-730.19,-730.19,-737.25,-737.25,0.022,0.022,0.022,0.022,0.01,0.01,0.01,0.01,True
Donchian 10 / Stop 8.0,10,8.0,1363,20,0,37.1,471.11,0.35,-232.67,-232.67,-232.67,-232.67,-966.23,-966.23,-999.43,-999.43,0.056,0.056,0.056,0.056,0.013,0.013,0.013,0.013,True
Donchian 20 / Stop kein Stop,20,kein Stop,740,20,0,47.4,199.55,0.27,-398.67,-398.67,-398.67,-398.67,-660.65,-660.65,-660.65,-660.65,0.018,0.018,0.018,0.018,0.011,0.011,0.011,0.011,True
Donchian 20 / Stop structural,20,structural,1033,20,0,27.7,117.8,0.11,-438.25,-438.25,-438.25,-438.25,-606.98,-606.98,-595.11,-595.11,0.008,0.008,0.008,0.008,0.006,0.006,0.006,0.006,True
Donchian 20 / Stop 5.0,20,5.0,996,20,0,26.6,-196.75,-0.2,-406.17,-406.17,-406.17,-406.17,-783.02,-783.02,-783.02,-783.02,-0.016,-0.016,-0.016,-0.016,-0.008,-0.008,-0.008,-0.008,False
Donchian 20 / Stop 8.0,20,8.0,924,20,0,35.5,-350.15,-0.38,-462.88,-462.88,-462.88,-462.88,-969.28,-969.28,-975.51,-975.51,-0.025,-0.025,-0.025,-0.025,-0.012,-0.012,-0.012,-0.012,False
Donchian 40 / Stop kein Stop,40,kein Stop,460,20,0,48.0,83.4,0.18,-246.11,-246.11,-246.11,-246.11,-726.46,-726.46,-726.46,-726.46,0.016,0.016,0.016,0.016,0.005,0.005,0.005,0.005,True
Donchian 40 / Stop structural,40,structural,637,20,0,31.2,69.61,0.11,-316.93,-316.93,-316.93,-316.93,-427.33,-427.33,-420.76,-420.76,0.009,0.009,0.009,0.009,0.006,0.006,0.007,0.007,True
Donchian 40 / Stop 5.0,40,5.0,632,20,0,28.5,-109.67,-0.17,-298.1,-298.1,-298.1,-298.1,-657.59,-657.59,-655.41,-655.41,-0.014,-0.014,-0.014,-0.014,-0.006,-0.006,-0.007,-0.007,False
Donchian 40 / Stop 8.0,40,8.0,587,20,0,37.0,-192.25,-0.33,-356.81,-356.81,-356.81,-356.81,-852.24,-852.24,-843.94,-843.94,-0.022,-0.022,-0.022,-0.022,-0.009,-0.009,-0.009,-0.009,False
