label,donchian_period,stop_mode,num_trades,num_symbols,num_nan_pnl,win_rate,total_return_pct,avg_return_pct,dd_bot,dd_bot_ohne_nan,dd_block,dd_block_ohne_nan,dd_entry,dd_entry_ohne_nan,dd_exit,dd_exit_ohne_nan,score_bot,score_bot_ohne_nan,score_block,score_block_ohne_nan,score_entry,score_entry_ohne_nan,score_exit,score_exit_ohne_nan,besteht_mindestfilter
Donchian 10 / Stop kein Stop,10,kein Stop,8441,147,0,55.0,4495.19,0.53,-185.31,-185.31,-185.31,-185.31,-2135.83,-2135.83,-2135.83,-2135.83,0.263,0.263,0.263,0.263,0.023,0.023,0.023,0.023,True
Donchian 10 / Stop structural,10,structural,12414,147,0,27.5,2390.22,0.19,-178.55,-178.55,-178.55,-178.55,-1533.9,-1533.9,-1709.13,-1709.13,0.119,0.119,0.119,0.119,0.014,0.014,0.012,0.012,True
Donchian 10 / Stop 5.0,10,5.0,9607,147,0,48.8,3970.98,0.41,-223.34,-223.34,-223.34,-223.34,-1605.47,-1605.47,-1745.33,-1745.33,0.18,0.18,0.18,0.18,0.025,0.025,0.023,0.023,True
Donchian 10 / Stop 8.0,10,8.0,8952,147,0,52.9,3714.91,0.41,-192.9,-192.9,-192.9,-192.9,-2214.29,-2214.29,-2487.25,-2487.25,0.201,0.201,0.201,0.201,0.018,0.018,0.016,0.016,True
Donchian 20 / Stop kein Stop,20,kein Stop,5481,147,0,54.9,2585.33,0.47,-192.11,-192.11,-192.11,-192.11,-2106.64,-2106.64,-2106.64,-2106.64,0.181,0.181,0.181,0.181,0.017,0.017,0.017,0.017,True
Donchian 20 / Stop structural,20,structural,8116,147,0,27.3,975.52,0.12,-282.56,-282.56,-282.56,-282.56,-1503.28,-1503.28,-1720.59,-1720.59,0.038,0.038,0.038,0.038,0.007,0.007,0.006,0.006,True
Donchian 20 / Stop 5.0,20,5.0,6329,147,0,47.7,2181.94,0.34,-183.07,-183.07,-183.07,-183.07,-1543.19,-1543.19,-1671.32,-1671.32,0.148,0.148,0.148,0.148,0.018,0.018,0.016,0.016,True
Donchian 20 / Stop 8.0,20,8.0,5875,147,0,51.8,1753.58,0.3,-223.48,-223.48,-223.48,-223.48,-2100.46,-2100.46,-2371.84,-2371.84,0.103,0.103,0.103,0.103,0.011,0.011,0.01,0.01,True
Donchian 40 / Stop kein Stop,40,kein Stop,3406,147,0,57.0,2535.16,0.74,-178.66,-178.66,-178.66,-178.66,-1806.22,-1806.22,-1806.22,-1806.22,0.242,0.242,0.242,0.242,0.024,0.024,0.024,0.024,True
Donchian 40 / Stop structural,40,structural,4981,147,0,29.3,1352.65,0.27,-191.96,-191.96,-191.96,-191.96,-1386.72,-1386.72,-1604.64,-1604.64,0.099,0.099,0.099,0.099,0.014,0.014,0.012,0.012,True
Donchian 40 / Stop 5.0,40,5.0,4002,147,0,47.8,2106.24,0.53,-157.49,-157.49,-157.49,-157.49,-1421.0,-1421.0,-1548.58,-1548.58,0.213,0.213,0.213,0.213,0.024,0.024,0.022,0.022,True
Donchian 40 / Stop 8.0,40,8.0,3698,147,0,52.8,1779.24,0.48,-186.97,-186.97,-186.97,-186.97,-1921.72,-1921.72,-2184.78,-2184.78,0.156,0.156,0.156,0.156,0.015,0.015,0.013,0.013,True
