label,donchian_period,stop_mode,num_trades,dd_block,dd_entry,score_block,score_entry,kapital_rendite_pct,kapital_dd_pct,kapital_calmar,ausgefuehrt,uebersprungen
Donchian 10 / Stop kein Stop,10,kein Stop,12069,-163.7,-2135.83,0.463,0.035,162.18,-29.27,5.54,8917,3152
Donchian 10 / Stop structural,10,structural,17809,-180.64,-1533.9,0.207,0.024,114.76,-24.83,4.62,16656,1153
Donchian 10 / Stop 5.0,10,5.0,13714,-160.71,-1605.47,0.408,0.041,189.94,-27.13,7.0,11014,2700
Donchian 10 / Stop 8.0,10,8.0,12778,-171.96,-2214.29,0.394,0.031,157.9,-33.19,4.76,9796,2982
Donchian 20 / Stop kein Stop,20,kein Stop,7821,-154.75,-2106.64,0.371,0.027,95.99,-23.7,4.05,6506,1315
Donchian 20 / Stop structural,20,structural,11544,-184.8,-1503.28,0.134,0.016,55.63,-25.42,2.19,11012,532
Donchian 20 / Stop 5.0,20,5.0,8978,-166.21,-1543.19,0.285,0.031,91.99,-26.63,3.45,7962,1016
Donchian 20 / Stop 8.0,20,8.0,8341,-178.6,-2100.46,0.251,0.021,72.54,-33.32,2.18,7145,1196
Donchian 40 / Stop kein Stop,40,kein Stop,4870,-151.46,-1806.22,0.396,0.033,87.38,-17.89,4.88,4309,561
Donchian 40 / Stop structural,40,structural,7158,-173.67,-1386.72,0.175,0.022,53.88,-23.64,2.28,6943,215
Donchian 40 / Stop 5.0,40,5.0,5686,-138.67,-1421.0,0.348,0.034,82.4,-24.59,3.35,5329,357
Donchian 40 / Stop 8.0,40,8.0,5253,-154.57,-1921.72,0.291,0.023,60.18,-30.77,1.96,4776,477
