symbol,entry_time,signal_time,confirm_time,bars_ahead,entry_price,exit_time,exit_price,result,pnl_pct_gross,pnl_pct,fib_score
NEM,2016-10-28,2016-10-27,2016-10-28,1,27.70563125610352,2016-11-11,26.874462318420413,stop_loss,-3.0,-3.3,0.33
VRTX,2016-12-27,2016-12-22,2016-12-27,2,75.19000244140625,2017-05-08,115.05999755859376,time_exit,53.03,52.73,0.67
AMD,2017-01-19,2017-01-18,2017-01-19,1,9.770000457763672,2017-05-30,11.119999885559082,time_exit,13.82,13.52,0.33
STX,2017-01-24,2017-01-23,2017-01-24,1,25.542442321777344,2017-06-02,29.887428283691406,time_exit,17.01,16.71,0.33
FCX,2017-03-13,2017-03-09,2017-03-13,2,11.311984062194824,2017-03-14,10.97262454032898,stop_loss,-3.0,-3.3,0.33
NEM,2017-03-22,2017-03-20,2017-03-22,2,26.579572677612305,2017-03-28,25.782185497283933,stop_loss,-3.0,-3.3,0.33
HWM,2017-07-06,2017-06-30,2017-07-06,3,16.931106567382812,2017-11-10,17.99207305908203,time_exit,6.27,5.97,0.33
MU,2017-08-08,2017-08-04,2017-08-08,2,28.12295913696289,2017-08-10,27.279270362854003,stop_loss,-3.0,-3.3,0.34
STX,2017-08-11,2017-08-10,2017-08-11,1,22.66891860961914,2017-08-18,21.988851051330567,stop_loss,-3.0,-3.3,0.33
GE,2017-10-23,2017-10-20,2017-10-23,1,99.80445861816406,2017-10-25,96.81032485961914,stop_loss,-3.0,-3.3,0.66
MCK,2017-11-08,2017-11-06,2017-11-08,2,131.10902404785156,2017-11-13,127.17575332641601,stop_loss,-3.0,-3.3,0.33
GE,2018-02-12,2018-02-09,2018-02-12,1,66.72557067871094,2018-02-26,64.7238035583496,stop_loss,-3.0,-3.3,0.33
AMGN,2018-02-12,2018-02-09,2018-02-12,1,134.31210327148438,2018-03-28,130.28274017333985,stop_loss,-3.0,-3.3,0.34
ISRG,2018-02-12,2018-02-09,2018-02-12,1,132.836669921875,2018-06-21,162.36000061035156,time_exit,22.23,21.93,0.33
WELL,2018-02-15,2018-02-09,2018-02-15,4,41.852142333984375,2018-02-22,40.59657806396484,stop_loss,-3.0,-3.3,0.67
EQIX,2018-03-06,2018-03-05,2018-03-06,1,332.62994384765625,2018-07-13,378.8576965332031,time_exit,13.9,13.6,0.34
PG,2018-03-29,2018-03-23,2018-03-29,4,63.22467422485352,2018-04-19,61.327933998107916,stop_loss,-3.0,-3.3,0.66
LOW,2018-04-04,2018-04-02,2018-04-04,2,75.10432434082031,2018-04-09,72.8511946105957,stop_loss,-3.0,-3.3,0.33
NFLX,2018-04-05,2018-04-04,2018-04-05,1,29.39699935913086,2018-08-13,34.13100051879883,time_exit,16.1,15.8,0.66
KLAC,2018-04-05,2018-04-04,2018-04-05,1,9.63027572631836,2018-04-06,9.341367454528807,stop_loss,-3.0,-3.3,0.33
AMD,2018-04-10,2018-04-06,2018-04-10,2,9.979999542236328,2018-04-25,9.680599555969238,stop_loss,-3.0,-3.3,0.33
MRVL,2018-04-10,2018-04-06,2018-04-10,2,20.472002029418945,2018-04-20,19.857841968536377,stop_loss,-3.0,-3.3,0.33
ANET,2018-04-11,2018-04-06,2018-04-11,3,16.6612491607666,2018-04-13,16.1614116859436,stop_loss,-3.0,-3.3,0.67
WFC,2018-04-20,2018-04-18,2018-04-20,2,41.631126403808594,2018-08-28,47.48471450805664,time_exit,14.06,13.76,0.67
MMM,2018-05-08,2018-05-01,2018-05-08,5,126.43665313720705,2018-06-25,122.64355354309083,stop_loss,-3.0,-3.3,0.33
BMY,2018-05-14,2018-05-08,2018-05-14,4,38.319095611572266,2018-06-04,37.169522743225095,stop_loss,-3.0,-3.3,0.66
MNST,2018-05-21,2018-05-17,2018-05-21,2,24.95499992370605,2018-09-27,29.15999984741211,time_exit,16.85,16.55,0.33
HWM,2018-06-27,2018-06-25,2018-06-27,2,12.657413482666016,2018-11-02,15.88316822052002,time_exit,25.49,25.19,0.33
LRCX,2018-06-29,2018-06-28,2018-06-29,1,15.51820945739746,2018-07-03,15.052663173675535,stop_loss,-3.0,-3.3,0.33
AVGO,2018-07-19,2018-07-16,2018-07-19,3,17.056116104125977,2018-08-15,16.544432621002198,stop_loss,-3.0,-3.3,0.66
PM,2018-07-20,2018-07-19,2018-07-20,1,55.96821975708008,2018-08-13,54.289173164367675,stop_loss,-3.0,-3.3,0.67
SCHW,2018-08-27,2018-08-21,2018-08-27,4,45.924560546875,2018-09-06,44.54682373046875,stop_loss,-3.0,-3.3,0.33
TSLA,2018-09-06,2018-09-05,2018-09-06,1,18.729999542236328,2018-09-07,18.16809955596924,stop_loss,-3.0,-3.3,0.33
WDC,2018-09-13,2018-09-12,2018-09-13,1,39.88257598876953,2018-10-09,38.686098709106446,stop_loss,-3.0,-3.3,0.34
AMD,2018-10-09,2018-10-08,2018-10-09,1,27.239999771118164,2018-10-10,26.42279977798462,stop_loss,-3.0,-3.3,0.67
LRCX,2018-10-12,2018-10-11,2018-10-12,1,12.982647895812988,2018-10-24,12.593168458938598,stop_loss,-3.0,-3.3,0.33
KLAC,2018-10-17,2018-10-16,2018-10-17,1,8.422101020812988,2018-10-19,8.169437990188598,stop_loss,-3.0,-3.3,0.66
STX,2018-10-24,2018-10-23,2018-10-24,1,31.32598114013672,2018-10-26,30.386201705932617,stop_loss,-3.0,-3.3,0.33
GOOG,2018-10-25,2018-10-24,2018-10-25,1,54.29975891113281,2018-10-26,52.67076614379883,stop_loss,-3.0,-3.3,0.34
BAC,2018-10-29,2018-10-26,2018-10-29,1,22.090795516967773,2018-12-06,21.42807165145874,stop_loss,-3.0,-3.3,0.34
SPGI,2018-10-29,2018-10-26,2018-10-29,1,152.0287628173828,2018-12-10,147.46789993286131,stop_loss,-3.0,-3.3,0.66
FCX,2018-10-29,2018-10-26,2018-10-29,1,10.082857131958008,2018-11-26,9.780371417999268,stop_loss,-3.0,-3.3,1.0
PNC,2018-10-29,2018-10-24,2018-10-29,3,92.69744110107422,2018-12-14,89.91651786804199,stop_loss,-3.0,-3.3,0.66
MU,2018-10-30,2018-10-29,2018-10-30,1,35.114688873291016,2018-11-20,34.061248207092284,stop_loss,-3.0,-3.3,0.33
PSX,2018-10-30,2018-10-29,2018-10-30,1,74.70037841796875,2018-11-02,72.45936706542969,stop_loss,-3.0,-3.3,0.33
PWR,2018-10-31,2018-10-24,2018-10-31,5,30.59315490722656,2018-12-14,29.67536026000976,stop_loss,-3.0,-3.3,0.33
MCO,2018-10-31,2018-10-30,2018-10-31,1,135.67164611816406,2018-12-17,131.60149673461913,stop_loss,-3.0,-3.3,0.66
EQIX,2018-11-02,2018-10-30,2018-11-02,3,337.0375671386719,2018-11-15,326.9264401245117,stop_loss,-3.0,-3.3,0.33
WDC,2018-11-14,2018-11-12,2018-11-14,2,31.735239028930664,2018-11-20,30.783181858062743,stop_loss,-3.0,-3.3,0.34
TXN,2018-11-15,2018-11-12,2018-11-15,3,78.97612762451172,2018-11-19,76.60684379577637,stop_loss,-3.0,-3.3,0.33
MPC,2018-11-16,2018-11-14,2018-11-16,2,51.28066253662109,2018-11-19,49.74224266052245,stop_loss,-3.0,-3.3,0.33
WMB,2018-11-19,2018-11-13,2018-11-19,4,16.69032859802246,2018-11-20,16.189618740081787,stop_loss,-3.0,-3.3,0.34
REGN,2018-11-23,2018-11-20,2018-11-23,2,337.6734313964844,2019-04-05,405.1170043945313,time_exit,19.97,19.67,0.33
NVDA,2018-11-26,2018-11-23,2018-11-26,1,3.786005973815918,2018-12-07,3.6724257946014403,stop_loss,-3.0,-3.3,0.33
ANET,2018-11-26,2018-11-23,2018-11-26,1,14.14812469482422,2018-12-17,13.723680953979494,stop_loss,-3.0,-3.3,0.34
AAPL,2018-12-11,2018-12-10,2018-12-11,1,39.975852966308594,2018-12-17,38.776577377319335,stop_loss,-3.0,-3.3,1.0
MS,2018-12-26,2018-12-24,2018-12-26,1,31.094932556152344,2019-05-07,37.45529556274414,time_exit,20.45,20.15,0.66
NOW,2018-12-26,2018-12-24,2018-12-26,1,33.902000427246094,2019-05-07,52.96200180053711,time_exit,56.22,55.92,0.34
VRTX,2018-12-26,2018-12-24,2018-12-26,1,161.83999633789062,2018-12-27,156.9847964477539,stop_loss,-3.0,-3.3,0.34
WDC,2018-12-27,2018-12-26,2018-12-27,1,26.34364128112793,2019-01-03,25.55333204269409,stop_loss,-3.0,-3.3,0.67
VLO,2018-12-27,2018-12-26,2018-12-27,1,55.20518112182617,2019-05-08,61.61822128295898,time_exit,11.62,11.32,0.33
MCK,2018-12-28,2018-12-24,2018-12-28,3,104.12715911865234,2019-05-09,127.7584991455078,time_exit,22.69,22.39,0.33
HWM,2019-01-02,2018-12-31,2019-01-02,1,13.931549072265623,2019-01-03,13.513602600097654,stop_loss,-3.0,-3.3,0.67
TMO,2019-01-04,2019-01-03,2019-01-04,1,217.3343048095703,2019-05-15,257.97979736328125,time_exit,18.7,18.4,0.67
ANET,2019-01-07,2019-01-03,2019-01-07,2,13.119999885559082,2019-05-16,15.85124969482422,time_exit,20.82,20.52,0.34
APH,2019-01-07,2019-01-03,2019-01-07,2,18.212255477905277,2019-05-16,21.75234031677246,time_exit,19.44,19.14,0.33
TSLA,2019-05-02,2019-05-01,2019-05-02,1,16.273332595825195,2019-05-10,15.785132617950438,stop_loss,-3.0,-3.3,0.33
REGN,2019-05-16,2019-05-15,2019-05-16,1,305.1602783203125,2019-05-20,296.00546997070313,stop_loss,-3.0,-3.3,0.33
ADI,2019-06-04,2019-05-29,2019-06-04,4,88.98204040527344,2019-10-10,96.04523468017578,time_exit,7.94,7.64,0.33
WDC,2019-06-04,2019-06-03,2019-06-04,1,28.26178932189941,2019-06-05,27.41393564224243,stop_loss,-3.0,-3.3,0.33
FTNT,2019-06-04,2019-06-03,2019-06-04,1,14.494000434875488,2019-10-10,15.520000457763672,time_exit,7.08,6.78,0.66
FCX,2019-06-04,2019-05-31,2019-06-04,2,9.45866584777832,2019-06-05,9.17490587234497,stop_loss,-3.0,-3.3,0.33
