symbol,entry_time,signal_time,confirm_time,bars_ahead,entry_price,exit_time,exit_price,result,pnl_pct_gross,pnl_pct,fib_score
ADAUSDT,2021-09-07 09:00:00,2021-09-07 08:00:00,2021-09-07 09:00:00,1,2.573,2021-09-07 11:00:00,2.690056,take_profit,4.55,4.25,0.33
UNIUSDT,2021-09-07 16:00:00,2021-09-07 15:00:00,2021-09-07 16:00:00,1,24.75,2021-09-07 17:00:00,24.255,stop_loss,-2.0,-2.3,0.66
LINKUSDT,2021-09-07 16:00:00,2021-09-07 15:00:00,2021-09-07 16:00:00,1,29.43,2021-09-07 17:00:00,28.8414,stop_loss,-2.0,-2.3,0.67
DOGEUSDT,2021-09-07 19:00:00,2021-09-07 18:00:00,2021-09-07 19:00:00,1,0.2474,2021-09-08 06:00:00,0.242452,stop_loss,-2.0,-2.3,0.34
TRXUSDT,2021-09-08 00:00:00,2021-09-07 18:00:00,2021-09-08 00:00:00,6,0.08666,2021-09-08 06:00:00,0.0849268,stop_loss,-2.0,-2.3,0.33
AAVEUSDT,2021-09-11 00:00:00,2021-09-10 21:00:00,2021-09-11 00:00:00,3,316.7,2021-09-11 12:00:00,327.5088,take_profit,3.41,3.11,0.67
ZECUSDT,2021-09-11 01:00:00,2021-09-10 21:00:00,2021-09-11 01:00:00,4,129.8,2021-09-11 03:00:00,127.20400000000001,stop_loss,-2.0,-2.3,0.33
NEARUSDT,2021-09-13 10:00:00,2021-09-13 08:00:00,2021-09-13 10:00:00,2,8.19,2021-09-13 11:00:00,8.0262,stop_loss,-2.0,-2.3,0.33
SOLUSDT,2021-09-14 19:00:00,2021-09-14 18:00:00,2021-09-14 19:00:00,1,154.21,2021-09-14 20:00:00,151.1258,stop_loss,-2.0,-2.3,0.33
AAVEUSDT,2021-09-17 16:00:00,2021-09-17 13:00:00,2021-09-17 16:00:00,3,367.1,2021-09-17 18:00:00,359.75800000000004,stop_loss,-2.0,-2.3,0.33
SOLUSDT,2021-09-17 19:00:00,2021-09-17 18:00:00,2021-09-17 19:00:00,1,144.57,2021-09-17 20:00:00,141.6786,stop_loss,-2.0,-2.3,0.67
SOLUSDT,2021-09-20 13:00:00,2021-09-20 12:00:00,2021-09-20 13:00:00,1,144.83,2021-09-20 14:00:00,141.9334,stop_loss,-2.0,-2.3,0.66
TRXUSDT,2021-09-20 13:00:00,2021-09-20 12:00:00,2021-09-20 13:00:00,1,0.09466,2021-09-20 18:00:00,0.0927668,stop_loss,-2.0,-2.3,0.33
ADAUSDT,2021-09-20 20:00:00,2021-09-20 19:00:00,2021-09-20 20:00:00,1,2.081,2021-09-21 00:00:00,2.03938,stop_loss,-2.0,-2.3,0.34
DOGEUSDT,2021-09-20 21:00:00,2021-09-20 19:00:00,2021-09-20 21:00:00,2,0.212,2021-09-20 23:00:00,0.20776,stop_loss,-2.0,-2.3,0.33
XRPUSDT,2021-09-20 22:00:00,2021-09-20 19:00:00,2021-09-20 22:00:00,3,0.9248,2021-09-21 00:00:00,0.9063039999999999,stop_loss,-2.0,-2.3,0.67
ETHUSDT,2021-09-21 01:00:00,2021-09-21 00:00:00,2021-09-21 01:00:00,1,2992.47,2021-09-21 17:00:00,2932.6205999999997,stop_loss,-2.0,-2.3,0.67
UNIUSDT,2021-09-21 01:00:00,2021-09-21 00:00:00,2021-09-21 01:00:00,1,20.99,2021-09-21 05:00:00,20.5702,stop_loss,-2.0,-2.3,0.67
BNBUSDT,2021-09-21 01:00:00,2021-09-21 00:00:00,2021-09-21 01:00:00,1,363.0,2021-09-21 19:00:00,355.74,stop_loss,-2.0,-2.3,0.33
LINKUSDT,2021-09-21 01:00:00,2021-09-21 00:00:00,2021-09-21 01:00:00,1,23.32,2021-09-21 05:00:00,22.8536,stop_loss,-2.0,-2.3,0.33
AAVEUSDT,2021-09-21 01:00:00,2021-09-21 00:00:00,2021-09-21 01:00:00,1,292.7,2021-09-21 17:00:00,286.846,stop_loss,-2.0,-2.3,0.33
NEARUSDT,2021-09-24 14:00:00,2021-09-24 13:00:00,2021-09-24 14:00:00,1,7.883,2021-09-24 15:00:00,7.72534,stop_loss,-2.0,-2.3,0.66
NEARUSDT,2021-09-26 08:00:00,2021-09-26 07:00:00,2021-09-26 08:00:00,1,6.821,2021-09-26 09:00:00,7.224324,take_profit,5.91,5.61,0.67
UNIUSDT,2021-09-28 02:00:00,2021-09-28 00:00:00,2021-09-28 02:00:00,2,23.11,2021-09-28 07:00:00,22.6478,stop_loss,-2.0,-2.3,0.66
ADAUSDT,2021-10-28 08:00:00,2021-10-27 19:00:00,2021-10-28 08:00:00,13,2.053,2021-10-28 09:00:00,2.01194,stop_loss,-2.0,-2.3,0.34
DOGEUSDT,2021-10-30 23:00:00,2021-10-30 22:00:00,2021-10-30 23:00:00,1,0.269,2021-10-31 01:00:00,0.26362,stop_loss,-2.0,-2.3,0.33
AAVEUSDT,2021-11-01 07:00:00,2021-11-01 04:00:00,2021-11-01 07:00:00,3,315.5,2021-11-02 10:00:00,326.7808,take_profit,3.58,3.28,0.33
