symbol,entry_time,signal_time,confirm_time,bars_ahead,entry_price,exit_time,exit_price,result,pnl_pct_gross,pnl_pct,fib_score
ADAUSDT,2021-09-07 10:00:00,2021-09-07 08:00:00,2021-09-07 09:00:00,1,2.66,2021-09-07 14:00:00,2.6068000000000002,stop_loss,-2.0,-2.3,0.33
UNIUSDT,2021-09-07 17:00:00,2021-09-07 15:00:00,2021-09-07 16:00:00,1,24.21,2021-09-07 18:00:00,23.7258,stop_loss,-2.0,-2.3,0.66
LINKUSDT,2021-09-07 17:00:00,2021-09-07 15:00:00,2021-09-07 16:00:00,1,27.92,2021-09-07 18:00:00,27.361600000000003,stop_loss,-2.0,-2.3,0.67
DOGEUSDT,2021-09-07 20:00:00,2021-09-07 18:00:00,2021-09-07 19:00:00,1,0.2525,2021-09-08 06:00:00,0.24745,stop_loss,-2.0,-2.3,0.34
TRXUSDT,2021-09-08 01:00:00,2021-09-07 18:00:00,2021-09-08 00:00:00,6,0.0873,2021-09-08 06:00:00,0.085554,stop_loss,-2.0,-2.3,0.33
AAVEUSDT,2021-09-11 01:00:00,2021-09-10 21:00:00,2021-09-11 00:00:00,3,319.7,2021-09-11 03:00:00,313.306,stop_loss,-2.0,-2.3,0.67
ZECUSDT,2021-09-11 02:00:00,2021-09-10 21:00:00,2021-09-11 01:00:00,4,129.3,2021-09-11 07:00:00,126.71400000000001,stop_loss,-2.0,-2.3,0.33
NEARUSDT,2021-09-13 11:00:00,2021-09-13 08:00:00,2021-09-13 10:00:00,2,8.382,2021-09-13 12:00:00,8.21436,stop_loss,-2.0,-2.3,0.33
SOLUSDT,2021-09-14 20:00:00,2021-09-14 18:00:00,2021-09-14 19:00:00,1,150.99,2021-09-14 21:00:00,147.9702,stop_loss,-2.0,-2.3,0.33
AAVEUSDT,2021-09-17 17:00:00,2021-09-17 13:00:00,2021-09-17 16:00:00,3,362.8,2021-09-17 21:00:00,355.544,stop_loss,-2.0,-2.3,0.33
SOLUSDT,2021-09-17 20:00:00,2021-09-17 18:00:00,2021-09-17 19:00:00,1,141.96,2021-09-17 22:00:00,146.92780000000002,take_profit,3.5,3.2,0.67
SOLUSDT,2021-09-20 14:00:00,2021-09-20 12:00:00,2021-09-20 13:00:00,1,143.12,2021-09-20 18:00:00,140.2576,stop_loss,-2.0,-2.3,0.66
TRXUSDT,2021-09-20 14:00:00,2021-09-20 12:00:00,2021-09-20 13:00:00,1,0.09425,2021-09-20 19:00:00,0.092365,stop_loss,-2.0,-2.3,0.33
ADAUSDT,2021-09-20 21:00:00,2021-09-20 19:00:00,2021-09-20 20:00:00,1,2.091,2021-09-21 00:00:00,2.0491800000000002,stop_loss,-2.0,-2.3,0.34
DOGEUSDT,2021-09-20 22:00:00,2021-09-20 19:00:00,2021-09-20 21:00:00,2,0.2102,2021-09-20 23:00:00,0.20599599999999998,stop_loss,-2.0,-2.3,0.33
XRPUSDT,2021-09-20 23:00:00,2021-09-20 19:00:00,2021-09-20 22:00:00,3,0.9216,2021-09-21 00:00:00,0.903168,stop_loss,-2.0,-2.3,0.67
ETHUSDT,2021-09-21 02:00:00,2021-09-21 00:00:00,2021-09-21 01:00:00,1,3017.16,2021-09-21 05:00:00,2956.8167999999996,stop_loss,-2.0,-2.3,0.67
UNIUSDT,2021-09-21 02:00:00,2021-09-21 00:00:00,2021-09-21 01:00:00,1,21.27,2021-09-21 04:00:00,20.8446,stop_loss,-2.0,-2.3,0.67
BNBUSDT,2021-09-21 02:00:00,2021-09-21 00:00:00,2021-09-21 01:00:00,1,366.0,2021-09-21 05:00:00,358.68,stop_loss,-2.0,-2.3,0.33
LINKUSDT,2021-09-21 02:00:00,2021-09-21 00:00:00,2021-09-21 01:00:00,1,23.72,2021-09-21 04:00:00,23.2456,stop_loss,-2.0,-2.3,0.33
AAVEUSDT,2021-09-21 02:00:00,2021-09-21 00:00:00,2021-09-21 01:00:00,1,296.5,2021-09-21 04:00:00,290.57,stop_loss,-2.0,-2.3,0.33
NEARUSDT,2021-09-24 15:00:00,2021-09-24 13:00:00,2021-09-24 14:00:00,1,7.75,2021-09-25 00:00:00,8.223416,take_profit,6.11,5.81,0.66
NEARUSDT,2021-09-26 09:00:00,2021-09-26 07:00:00,2021-09-26 08:00:00,1,7.342,2021-09-26 10:00:00,7.19516,stop_loss,-2.0,-2.3,0.67
UNIUSDT,2021-09-28 03:00:00,2021-09-28 00:00:00,2021-09-28 02:00:00,2,23.23,2021-09-28 05:00:00,22.7654,stop_loss,-2.0,-2.3,0.66
ADAUSDT,2021-10-28 09:00:00,2021-10-27 19:00:00,2021-10-28 08:00:00,13,2.036,2021-10-28 11:00:00,1.99528,stop_loss,-2.0,-2.3,0.34
DOGEUSDT,2021-10-31 00:00:00,2021-10-30 22:00:00,2021-10-30 23:00:00,1,0.2676,2021-10-31 02:00:00,0.262248,stop_loss,-2.0,-2.3,0.33
AAVEUSDT,2021-11-01 08:00:00,2021-11-01 04:00:00,2021-11-01 07:00:00,3,314.7,2021-11-02 10:00:00,325.9808,take_profit,3.58,3.28,0.33
ZECUSDT,2021-11-16 12:00:00,2021-11-16 10:00:00,2021-11-16 11:00:00,1,169.5,2021-11-16 20:00:00,166.10999999999999,stop_loss,-2.0,-2.3,0.34
LINKUSDT,2021-11-16 12:00:00,2021-11-16 10:00:00,2021-11-16 11:00:00,1,29.41,2021-11-16 20:00:00,28.8218,stop_loss,-2.0,-2.3,0.33
XRPUSDT,2021-11-17 11:00:00,2021-11-17 03:00:00,2021-11-17 10:00:00,7,1.1065,2021-11-17 14:00:00,1.08437,stop_loss,-2.0,-2.3,0.33
BNBUSDT,2021-11-18 19:00:00,2021-11-18 17:00:00,2021-11-18 18:00:00,1,540.1,2021-11-18 22:00:00,529.298,stop_loss,-2.0,-2.3,0.33
DOGEUSDT,2021-11-19 09:00:00,2021-11-19 02:00:00,2021-11-19 08:00:00,6,0.2258,2021-11-19 13:00:00,0.2328328,take_profit,3.11,2.81,0.33
ZECUSDT,2021-11-22 15:00:00,2021-11-22 13:00:00,2021-11-22 14:00:00,1,209.0,2021-11-22 18:00:00,204.82,stop_loss,-2.0,-2.3,0.34
NEARUSDT,2021-11-26 14:00:00,2021-11-26 12:00:00,2021-11-26 13:00:00,1,8.357,2021-11-27 21:00:00,8.18986,stop_loss,-2.0,-2.3,0.33
AAVEUSDT,2021-11-26 14:00:00,2021-11-26 12:00:00,2021-11-26 13:00:00,1,235.3,2021-11-27 21:00:00,230.594,stop_loss,-2.0,-2.3,0.33
XRPUSDT,2021-11-28 04:00:00,2021-11-28 02:00:00,2021-11-28 03:00:00,1,0.9086,2021-11-28 18:00:00,0.890428,stop_loss,-2.0,-2.3,0.33
UNIUSDT,2021-11-28 20:00:00,2021-11-28 18:00:00,2021-11-28 19:00:00,1,19.59,2021-11-30 02:00:00,20.50332,take_profit,4.66,4.36,0.33
DOGEUSDT,2021-11-28 20:00:00,2021-11-28 18:00:00,2021-11-28 19:00:00,1,0.1999,2021-11-29 13:00:00,0.21030759999999998,take_profit,5.21,4.91,0.33
BTCUSDT,2021-12-04 07:00:00,2021-12-04 05:00:00,2021-12-04 06:00:00,1,47242.74,2021-12-04 11:00:00,46297.8852,stop_loss,-2.0,-2.3,0.33
BNBUSDT,2021-12-04 07:00:00,2021-12-04 05:00:00,2021-12-04 06:00:00,1,535.9,2021-12-04 11:00:00,525.182,stop_loss,-2.0,-2.3,0.34
DOGEUSDT,2021-12-04 07:00:00,2021-12-04 05:00:00,2021-12-04 06:00:00,1,0.1611,2021-12-07 01:00:00,0.18323679999999998,take_profit,13.74,13.44,0.33
LINKUSDT,2021-12-04 07:00:00,2021-12-04 05:00:00,2021-12-04 06:00:00,1,19.06,2021-12-04 11:00:00,18.6788,stop_loss,-2.0,-2.3,0.67
SOLUSDT,2021-12-04 09:00:00,2021-12-04 07:00:00,2021-12-04 08:00:00,1,193.19,2021-12-04 11:00:00,189.3262,stop_loss,-2.0,-2.3,0.33
ADAUSDT,2021-12-04 13:00:00,2021-12-04 11:00:00,2021-12-04 12:00:00,1,1.374,2021-12-05 14:00:00,1.3465200000000002,stop_loss,-2.0,-2.3,0.33
UNIUSDT,2021-12-06 09:00:00,2021-12-06 07:00:00,2021-12-06 08:00:00,1,15.53,2021-12-06 11:00:00,15.219399999999998,stop_loss,-2.0,-2.3,0.33
NEARUSDT,2021-12-13 22:00:00,2021-12-13 20:00:00,2021-12-13 21:00:00,1,9.265,2021-12-13 23:00:00,9.0797,stop_loss,-2.0,-2.3,0.33
ZECUSDT,2021-12-14 21:00:00,2021-12-14 18:00:00,2021-12-14 20:00:00,2,152.1,2021-12-15 02:00:00,149.058,stop_loss,-2.0,-2.3,0.33
UNIUSDT,2021-12-14 21:00:00,2021-12-14 18:00:00,2021-12-14 20:00:00,2,14.95,2021-12-15 12:00:00,14.651,stop_loss,-2.0,-2.3,0.33
ADAUSDT,2021-12-14 21:00:00,2021-12-14 18:00:00,2021-12-14 20:00:00,2,1.27,2021-12-15 02:00:00,1.2446,stop_loss,-2.0,-2.3,0.33
DOGEUSDT,2021-12-30 07:00:00,2021-12-30 00:00:00,2021-12-30 06:00:00,6,0.1731,2021-12-31 19:00:00,0.169638,stop_loss,-2.0,-2.3,0.33
XRPUSDT,2021-12-30 08:00:00,2021-12-30 00:00:00,2021-12-30 07:00:00,7,0.8255,2021-12-31 19:00:00,0.80899,stop_loss,-2.0,-2.3,0.33
