window,deviation_pct,stop_loss_pct,take_profit_fib,use_take_profit,num_trades,num_symbols,win_rate,total_return_pct,avg_return_pct,max_drawdown_pct,robustness_score,max_drawdown_chronologisch_pct,robustness_score_chronologisch,share_take_profit_pct,share_stop_loss_pct,besteht_mindestfilter,pf_num_executed,pf_num_skipped,pf_total_return_pct,pf_max_drawdown_pct,pf_calmar_ratio
gesamt,2.0,2.0,0.236,True,2057,18,38.9,-991.78,-0.48,-993.19,-0.022,-996.75,-0.022,38.9,61.1,False,2057,0,-63.31,-63.57,-1.0
gesamt,2.0,2.0,0.382,True,2057,18,28.9,-1005.79,-0.49,-1003.49,-0.022,-1020.9,-0.022,28.9,71.0,False,2057,0,-64.08,-64.69,-0.99
gesamt,2.0,2.0,0.5,True,2057,18,24.8,-906.88,-0.44,-904.58,-0.022,-931.35,-0.021,24.6,75.1,False,2057,0,-60.58,-61.57,-0.98
gesamt,2.0,2.0,0.618,True,2057,18,21.2,-921.5,-0.45,-919.2,-0.022,-970.46,-0.021,20.9,78.7,False,2057,0,-61.37,-63.13,-0.97
gesamt,2.0,2.0,1.0,True,2057,18,15.8,-736.08,-0.36,-734.0,-0.022,-902.23,-0.018,14.6,84.2,False,2054,3,-54.01,-60.07,-0.9
gesamt,2.0,2.0,100.0,True,2057,18,9.3,-688.31,-0.33,-696.29,-0.022,-1025.35,-0.015,0.0,90.5,False,2039,18,-54.78,-67.06,-0.82
gesamt,2.0,3.0,0.236,True,2057,18,49.1,-1014.99,-0.49,-1016.4,-0.022,-1016.95,-0.022,49.1,50.9,False,2055,2,-64.44,-64.59,-1.0
gesamt,2.0,3.0,0.382,True,2057,18,38.4,-997.35,-0.48,-999.81,-0.022,-1008.46,-0.022,38.3,61.5,False,2053,4,-64.48,-64.99,-0.99
gesamt,2.0,3.0,0.5,True,2057,18,33.8,-792.48,-0.39,-795.79,-0.022,-872.81,-0.02,33.5,66.1,False,2053,4,-57.13,-60.04,-0.95
gesamt,2.0,3.0,0.618,True,2057,18,29.7,-749.59,-0.36,-746.29,-0.022,-813.11,-0.02,29.1,70.2,False,2052,5,-55.8,-57.77,-0.97
gesamt,2.0,3.0,1.0,True,2057,18,22.2,-581.41,-0.28,-635.4,-0.02,-825.94,-0.016,20.2,77.5,False,2048,9,-50.52,-59.74,-0.85
gesamt,2.0,3.0,100.0,True,2057,18,14.4,-608.23,-0.3,-606.27,-0.022,-950.18,-0.014,0.0,85.0,False,2003,54,-52.46,-66.32,-0.79
gesamt,2.0,4.0,0.236,True,2057,18,56.2,-1038.99,-0.51,-1040.4,-0.022,-1040.09,-0.022,56.2,43.7,False,2055,2,-65.59,-65.63,-1.0
gesamt,2.0,4.0,0.382,True,2057,18,44.9,-1108.33,-0.54,-1110.79,-0.022,-1144.3,-0.021,44.7,54.9,False,2053,4,-68.94,-69.8,-0.99
gesamt,2.0,4.0,0.5,True,2057,18,40.1,-862.66,-0.42,-865.97,-0.022,-955.61,-0.02,39.7,59.6,False,2053,4,-60.81,-63.84,-0.95
gesamt,2.0,4.0,0.618,True,2057,18,35.4,-834.25,-0.41,-829.95,-0.022,-892.87,-0.021,34.8,64.1,False,2053,4,-60.53,-62.1,-0.97
gesamt,2.0,4.0,1.0,True,2057,18,26.6,-811.45,-0.39,-807.15,-0.022,-1003.11,-0.018,24.0,72.7,False,2047,10,-62.31,-67.88,-0.92
