window,deviation_pct,stop_loss_pct,take_profit_fib,use_take_profit,num_trades,num_symbols,win_rate,total_return_pct,avg_return_pct,max_drawdown_pct,robustness_score,max_drawdown_chronologisch_pct,robustness_score_chronologisch,share_take_profit_pct,share_stop_loss_pct,besteht_mindestfilter,pf_num_executed,pf_num_skipped,pf_total_return_pct,pf_max_drawdown_pct,pf_calmar_ratio
is,2.0,2.0,0.236,True,1524,18,39.4,-702.68,-0.46,-715.15,-0.025,-703.78,-0.026,39.4,60.6,False,1524,0,-50.86,-50.91,-1.0
is,2.0,2.0,0.382,True,1524,18,29.5,-668.12,-0.44,-665.82,-0.026,-676.21,-0.025,29.5,70.4,False,1524,0,-49.38,-49.77,-0.99
is,2.0,2.0,0.5,True,1524,18,25.3,-587.95,-0.39,-585.65,-0.026,-607.41,-0.025,25.2,74.6,False,1524,0,-45.4,-46.74,-0.97
is,2.0,2.0,0.618,True,1524,18,21.5,-625.86,-0.41,-623.56,-0.026,-668.49,-0.024,21.1,78.5,False,1524,0,-47.63,-50.32,-0.95
is,2.0,2.0,1.0,True,1524,18,16.0,-452.09,-0.3,-456.61,-0.025,-672.64,-0.017,15.0,83.9,False,1524,0,-38.46,-50.03,-0.77
is,2.0,2.0,100.0,True,1524,18,9.5,-306.27,-0.2,-370.33,-0.021,-554.97,-0.014,0.0,90.4,False,1518,6,-32.97,-43.59,-0.76
is,2.0,3.0,0.236,True,1524,18,49.9,-687.08,-0.45,-704.08,-0.025,-688.18,-0.026,49.9,50.1,False,1523,1,-50.56,-50.61,-1.0
is,2.0,3.0,0.382,True,1524,18,39.5,-593.81,-0.39,-602.26,-0.025,-633.65,-0.024,39.4,60.4,False,1522,2,-46.71,-48.26,-0.97
is,2.0,3.0,0.5,True,1524,18,34.6,-448.73,-0.29,-525.46,-0.022,-560.05,-0.021,34.2,65.4,False,1522,2,-39.25,-44.08,-0.89
is,2.0,3.0,0.618,True,1524,18,30.1,-457.09,-0.3,-474.71,-0.025,-574.97,-0.02,29.3,69.8,False,1522,2,-40.47,-44.88,-0.9
is,2.0,3.0,1.0,True,1524,18,22.6,-292.59,-0.19,-439.67,-0.017,-629.58,-0.012,20.6,77.2,False,1522,2,-32.39,-48.27,-0.67
is,2.0,3.0,100.0,True,1524,18,14.9,-196.43,-0.13,-366.21,-0.014,-547.91,-0.009,0.0,85.0,False,1495,29,-26.15,-43.33,-0.6
is,2.0,4.0,0.236,True,1524,18,56.6,-724.17,-0.48,-735.76,-0.025,-725.27,-0.026,56.6,43.3,False,1523,1,-52.66,-52.72,-1.0
is,2.0,4.0,0.382,True,1524,18,45.7,-684.21,-0.45,-692.66,-0.025,-737.28,-0.024,45.5,54.0,False,1521,3,-52.06,-53.11,-0.98
is,2.0,4.0,0.5,True,1524,18,40.8,-491.13,-0.32,-548.93,-0.023,-603.24,-0.021,40.3,58.9,False,1522,2,-42.58,-46.78,-0.91
is,2.0,4.0,0.618,True,1524,18,35.8,-519.74,-0.34,-525.31,-0.025,-617.04,-0.022,34.7,63.7,False,1522,2,-45.03,-47.76,-0.94
is,2.0,4.0,1.0,True,1524,18,27.1,-440.27,-0.29,-444.11,-0.025,-717.71,-0.016,24.4,72.2,False,1521,3,-43.83,-54.21,-0.81
is,2.0,4.0,100.0,True,1524,18,18.3,-405.83,-0.27,-480.48,-0.022,-785.04,-0.013,0.0,81.0,False,1485,39,-42.16,-55.03,-0.77
is,2.0,6.0,0.236,True,1524,18,66.4,-718.86,-0.47,-740.09,-0.025,-719.96,-0.026,66.3,33.3,False,1522,2,-52.91,-52.96,-1.0
is,2.0,6.0,0.382,True,1524,18,56.0,-660.04,-0.43,-672.64,-0.025,-735.28,-0.023,55.7,43.3,False,1521,3,-51.69,-54.32,-0.95
is,2.0,6.0,0.5,True,1524,18,50.7,-474.4,-0.31,-571.68,-0.021,-573.25,-0.021,50.1,48.5,False,1518,6,-43.07,-46.38,-0.93
is,2.0,6.0,0.618,True,1524,18,45.5,-503.78,-0.33,-546.25,-0.024,-640.85,-0.02,44.1,53.3,False,1516,8,-45.36,-48.62,-0.93
is,2.0,6.0,1.0,True,1524,18,35.4,-497.17,-0.33,-520.42,-0.024,-796.6,-0.016,31.7,62.6,False,1499,25,-45.69,-55.08,-0.83
is,2.0,6.0,100.0,True,1524,18,25.5,-224.83,-0.15,-396.54,-0.015,-891.69,-0.006,0.0,71.5,False,1417,107,-45.1,-60.32,-0.75
is,2.0,8.0,0.236,True,1524,18,72.2,-706.31,-0.46,-722.5,-0.025,-707.41,-0.026,71.9,26.7,False,1520,4,-52.86,-52.91,-1.0
is,2.0,8.0,0.382,True,1524,18,62.1,-711.77,-0.47,-733.48,-0.025,-756.59,-0.024,61.5,35.9,False,1512,12,-54.3,-55.82,-0.97
is,2.0,8.0,0.5,True,1524,18,56.6,-603.82,-0.4,-697.41,-0.022,-674.68,-0.023,55.4,41.1,False,1506,18,-50.62,-53.44,-0.95
is,2.0,8.0,0.618,True,1524,18,51.2,-673.64,-0.44,-687.94,-0.025,-820.47,-0.021,49.1,45.6,False,1495,29,-52.8,-57.6,-0.92
is,2.0,8.0,1.0,True,1524,18,41.1,-701.91,-0.46,-716.98,-0.025,-1006.79,-0.018,35.6,54.4,False,1458,66,-53.77,-62.74,-0.86
is,2.0,8.0,100.0,True,1524,18,30.5,-493.93,-0.32,-526.06,-0.024,-989.53,-0.013,0.0,63.0,False,1352,172,-57.34,-67.1,-0.85
is,2.0,12.0,0.236,True,1524,18,78.7,-652.15,-0.43,-665.48,-0.025,-740.5,-0.023,78.3,18.8,False,1509,15,-51.51,-54.26,-0.95
is,2.0,12.0,0.382,True,1524,18,69.8,-668.31,-0.44,-684.15,-0.025,-853.3,-0.02,68.8,26.1,False,1478,46,-53.67,-57.97,-0.93
is,2.0,12.0,0.5,True,1524,18,64.4,-618.83,-0.41,-685.92,-0.023,-811.64,-0.02,62.5,30.7,False,1455,69,-49.5,-55.37,-0.89
is,2.0,12.0,0.618,True,1524,18,58.9,-836.47,-0.55,-850.51,-0.025,-1108.86,-0.019,55.6,34.7,False,1434,90,-58.61,-66.15,-0.89
is,2.0,12.0,1.0,True,1524,18,49.3,-665.4,-0.44,-680.47,-0.025,-1146.84,-0.015,41.1,41.3,False,1368,156,-59.36,-70.23,-0.85
is,2.0,12.0,100.0,True,1524,18,39.0,-249.98,-0.16,-705.25,-0.009,-1217.3,-0.005,0.0,47.2,False,1218,306,-67.37,-72.59,-0.93
is,3.0,2.0,0.236,True,856,18,34.2,-291.75,-0.34,-298.59,-0.033,-307.56,-0.032,34.0,65.7,False,855,1,-25.6,-26.75,-0.96
is,3.0,2.0,0.382,True,856,18,25.2,-243.51,-0.28,-262.47,-0.032,-255.18,-0.033,24.9,74.6,False,856,0,-22.36,-23.22,-0.96
is,3.0,2.0,0.5,True,856,18,20.4,-250.79,-0.29,-292.63,-0.029,-280.83,-0.031,19.9,79.3,False,856,0,-23.16,-25.36,-0.91
