window,deviation_pct,stop_loss_pct,take_profit_fib,use_take_profit,num_trades,num_symbols,win_rate,total_return_pct,avg_return_pct,max_drawdown_pct,robustness_score,max_drawdown_chronologisch_pct,robustness_score_chronologisch,share_take_profit_pct,share_stop_loss_pct,besteht_mindestfilter,pf_num_executed,pf_num_skipped,pf_total_return_pct,pf_max_drawdown_pct,pf_calmar_ratio
oos,2.0,2.0,0.236,True,532,18,37.4,-286.8,-0.54,-287.77,-0.043,-292.32,-0.043,37.4,62.4,False,532,0,-25.14,-25.71,-0.98
oos,2.0,2.0,0.382,True,532,18,27.3,-335.37,-0.63,-342.04,-0.043,-346.21,-0.042,27.1,72.6,False,532,0,-28.81,-29.89,-0.96
oos,2.0,2.0,0.5,True,532,18,23.3,-316.63,-0.6,-319.97,-0.043,-342.01,-0.04,23.1,76.5,False,532,0,-27.55,-29.67,-0.93
oos,2.0,2.0,0.618,True,532,18,20.5,-293.34,-0.55,-300.48,-0.042,-335.54,-0.038,20.3,79.3,False,532,0,-25.97,-29.18,-0.89
oos,2.0,2.0,1.0,True,532,18,15.0,-285.6,-0.54,-297.87,-0.042,-361.66,-0.034,13.3,84.8,False,530,2,-25.33,-30.28,-0.84
oos,2.0,2.0,100.0,True,532,18,9.0,-360.77,-0.68,-380.15,-0.041,-595.43,-0.026,0.0,90.6,False,526,6,-31.26,-45.93,-0.68
oos,2.0,3.0,0.236,True,532,18,47.0,-324.61,-0.61,-332.65,-0.042,-322.17,-0.044,47.0,52.8,False,532,0,-28.04,-28.26,-0.99
oos,2.0,3.0,0.382,True,532,18,35.3,-400.24,-0.75,-418.64,-0.041,-406.08,-0.043,35.2,64.5,False,532,0,-33.48,-34.3,-0.98
oos,2.0,3.0,0.5,True,532,18,31.6,-342.22,-0.64,-359.95,-0.041,-362.3,-0.041,31.4,68.0,False,532,0,-29.67,-31.49,-0.94
oos,2.0,3.0,0.618,True,532,18,28.4,-298.53,-0.56,-323.22,-0.04,-335.05,-0.039,28.2,71.2,False,532,0,-26.75,-29.79,-0.9
oos,2.0,3.0,1.0,True,532,18,20.9,-322.16,-0.61,-335.24,-0.042,-357.92,-0.039,18.0,78.4,False,528,4,-28.86,-32.06,-0.9
oos,2.0,3.0,100.0,True,532,18,14.1,-367.51,-0.69,-380.35,-0.042,-588.54,-0.027,0.0,84.2,False,522,10,-34.03,-47.85,-0.71
oos,2.0,4.0,0.236,True,532,18,55.1,-310.52,-0.58,-316.56,-0.043,-310.65,-0.043,55.1,44.7,False,532,0,-27.21,-27.22,-1.0
oos,2.0,4.0,0.382,True,532,18,42.5,-422.71,-0.79,-439.11,-0.042,-428.34,-0.043,42.3,57.3,False,532,0,-35.26,-36.02,-0.98
oos,2.0,4.0,0.5,True,532,18,38.0,-373.7,-0.7,-388.6,-0.042,-382.04,-0.042,37.8,61.7,False,532,0,-32.27,-33.52,-0.96
oos,2.0,4.0,0.618,True,532,18,34.4,-324.8,-0.61,-346.49,-0.041,-347.32,-0.041,34.2,65.0,False,532,0,-29.26,-31.67,-0.92
oos,2.0,4.0,1.0,True,532,18,25.2,-414.63,-0.78,-428.64,-0.042,-444.39,-0.04,21.4,73.9,False,529,3,-35.17,-37.58,-0.94
oos,2.0,4.0,100.0,True,532,18,17.5,-576.04,-1.08,-575.5,-0.043,-776.49,-0.032,0.0,80.5,False,515,17,-49.16,-58.69,-0.84
oos,2.0,6.0,0.236,True,532,18,63.2,-380.28,-0.71,-385.62,-0.043,-383.48,-0.043,63.0,36.5,False,532,0,-32.6,-32.87,-0.99
oos,2.0,6.0,0.382,True,532,18,51.3,-496.89,-0.93,-514.81,-0.042,-508.86,-0.042,50.9,47.9,False,531,1,-40.82,-41.98,-0.97
oos,2.0,6.0,0.5,True,532,18,47.2,-399.85,-0.75,-415.9,-0.042,-423.86,-0.041,46.8,51.9,False,531,1,-35.36,-37.43,-0.94
oos,2.0,6.0,0.618,True,532,18,43.0,-349.54,-0.66,-374.35,-0.04,-422.72,-0.036,42.7,55.8,False,530,2,-32.98,-37.32,-0.88
oos,2.0,6.0,1.0,True,532,18,32.0,-539.98,-1.02,-564.66,-0.041,-602.11,-0.039,27.3,65.6,False,523,9,-44.46,-48.0,-0.93
oos,2.0,6.0,100.0,True,532,18,25.6,-270.95,-0.51,-478.02,-0.025,-762.8,-0.015,0.0,70.5,False,499,33,-38.56,-57.03,-0.68
oos,2.0,8.0,0.236,True,532,18,69.9,-328.34,-0.62,-341.81,-0.042,-357.75,-0.04,69.7,29.3,False,531,1,-30.0,-31.66,-0.95
oos,2.0,8.0,0.382,True,532,18,58.8,-421.63,-0.79,-443.09,-0.041,-507.32,-0.036,57.9,39.5,False,529,3,-38.08,-42.85,-0.89
oos,2.0,8.0,0.5,True,532,18,54.3,-304.35,-0.57,-347.03,-0.038,-491.02,-0.027,53.4,42.7,False,526,6,-32.23,-42.09,-0.77
oos,2.0,8.0,0.618,True,532,18,50.0,-257.62,-0.48,-315.57,-0.035,-509.95,-0.022,47.9,46.6,False,525,7,-31.01,-42.8,-0.72
oos,2.0,8.0,1.0,True,532,18,39.1,-384.37,-0.72,-432.39,-0.039,-688.11,-0.024,32.1,54.9,False,511,21,-40.03,-52.6,-0.76
oos,2.0,8.0,100.0,True,532,18,32.1,-196.36,-0.37,-454.88,-0.019,-925.71,-0.009,0.0,59.2,False,484,48,-38.17,-63.17,-0.6
oos,2.0,12.0,0.236,True,532,18,75.8,-393.57,-0.74,-421.01,-0.041,-561.22,-0.03,75.6,21.1,False,524,8,-32.15,-41.95,-0.77
oos,2.0,12.0,0.382,True,532,18,65.4,-538.05,-1.01,-576.6,-0.04,-726.11,-0.032,64.3,29.1,False,509,23,-44.01,-51.22,-0.86
oos,2.0,12.0,0.5,True,532,18,60.7,-443.98,-0.83,-485.28,-0.04,-728.55,-0.026,59.2,32.1,False,504,28,-41.81,-51.99,-0.8
oos,2.0,12.0,0.618,True,532,18,56.8,-385.0,-0.72,-430.99,-0.039,-732.73,-0.023,53.2,34.8,False,497,35,-38.75,-50.2,-0.77
oos,2.0,12.0,1.0,True,532,18,44.4,-709.44,-1.33,-747.38,-0.041,-996.3,-0.031,35.0,41.9,False,470,62,-49.89,-59.38,-0.84
oos,2.0,12.0,100.0,True,532,18,37.6,-417.08,-0.78,-660.55,-0.027,-1252.37,-0.014,0.0,44.2,False,434,98,-44.73,-67.88,-0.66
oos,3.0,2.0,0.236,True,306,17,25.8,-252.35,-0.82,-265.78,-0.054,-277.77,-0.052,25.8,74.2,False,306,0,-22.47,-24.38,-0.92
oos,3.0,2.0,0.382,True,306,17,19.3,-236.77,-0.77,-255.01,-0.053,-278.31,-0.049,19.3,80.7,False,306,0,-21.33,-24.45,-0.87
oos,3.0,2.0,0.5,True,306,17,16.3,-213.69,-0.7,-241.49,-0.051,-267.07,-0.046,16.3,83.7,False,306,0,-19.55,-23.55,-0.83
oos,3.0,2.0,0.618,True,306,17,14.1,-207.97,-0.68,-229.57,-0.052,-285.6,-0.042,13.4,85.6,False,306,0,-19.19,-24.97,-0.77
oos,3.0,2.0,1.0,True,306,17,11.4,-135.28,-0.44,-179.1,-0.043,-297.83,-0.026,9.5,88.2,False,305,1,-13.24,-25.89,-0.51
oos,3.0,2.0,100.0,True,306,17,9.2,-61.12,-0.2,-160.09,-0.022,-381.05,-0.009,0.0,90.5,False,305,1,-8.1,-31.81,-0.25
oos,3.0,3.0,0.236,True,306,17,33.3,-324.1,-1.06,-340.26,-0.054,-339.97,-0.054,33.3,66.7,False,306,0,-27.98,-29.09,-0.96
oos,3.0,3.0,0.382,True,306,17,26.1,-292.4,-0.96,-314.65,-0.053,-327.55,-0.051,26.1,73.9,False,306,0,-25.82,-28.26,-0.91
oos,3.0,3.0,0.5,True,306,17,21.9,-288.25,-0.94,-321.92,-0.051,-333.87,-0.049,21.9,78.1,False,306,0,-25.62,-28.41,-0.9
oos,3.0,3.0,0.618,True,306,17,18.6,-297.61,-0.97,-326.93,-0.052,-369.32,-0.046,17.6,81.0,False,306,0,-26.41,-30.66,-0.86
oos,3.0,3.0,1.0,True,306,17,14.7,-281.57,-0.92,-317.22,-0.051,-413.36,-0.039,10.5,85.0,False,305,1,-25.21,-33.19,-0.76
oos,3.0,3.0,100.0,True,306,17,12.7,-203.21,-0.66,-234.94,-0.049,-502.42,-0.023,0.0,86.9,False,305,1,-20.4,-39.55,-0.52
oos,3.0,4.0,0.236,True,306,17,38.6,-401.51,-1.31,-420.0,-0.055,-412.59,-0.056,38.6,61.4,False,305,1,-33.2,-34.17,-0.97
oos,3.0,4.0,0.382,True,306,17,31.0,-361.16,-1.18,-398.67,-0.052,-406.14,-0.051,30.7,68.6,False,306,0,-30.98,-33.75,-0.92
oos,3.0,4.0,0.5,True,306,17,26.5,-354.21,-1.16,-402.33,-0.05,-415.11,-0.049,26.1,72.9,False,305,1,-30.37,-33.98,-0.89
oos,3.0,4.0,0.618,True,306,17,22.9,-361.36,-1.18,-405.31,-0.051,-456.58,-0.045,21.2,76.1,False,305,1,-31.07,-36.24,-0.86
oos,3.0,4.0,1.0,True,306,17,18.3,-368.8,-1.21,-410.46,-0.051,-542.6,-0.039,12.4,80.7,False,304,2,-31.62,-41.28,-0.77
oos,3.0,4.0,100.0,True,306,17,15.7,-314.78,-1.03,-358.65,-0.05,-646.41,-0.028,0.0,83.3,False,302,4,-31.4,-47.54,-0.66
oos,3.0,6.0,0.236,True,306,17,48.0,-477.13,-1.56,-490.16,-0.056,-495.35,-0.055,48.0,52.0,False,305,1,-38.39,-39.44,-0.97
oos,3.0,6.0,0.382,True,306,17,40.8,-393.95,-1.29,-423.46,-0.053,-536.22,-0.042,40.5,58.8,False,306,0,-33.88,-42.01,-0.81
oos,3.0,6.0,0.5,True,306,17,35.9,-360.45,-1.18,-402.57,-0.051,-539.58,-0.038,35.6,63.1,False,306,0,-31.83,-42.15,-0.76
oos,3.0,6.0,0.618,True,306,17,32.0,-359.58,-1.18,-396.51,-0.052,-568.18,-0.036,30.1,66.7,False,306,0,-32.06,-44.2,-0.73
oos,3.0,6.0,1.0,True,306,17,25.8,-414.17,-1.35,-449.83,-0.053,-662.95,-0.036,17.0,71.9,False,304,2,-35.37,-48.78,-0.73
oos,3.0,6.0,100.0,True,306,17,23.9,-315.41,-1.03,-358.66,-0.05,-656.52,-0.027,0.0,73.9,False,300,6,-33.98,-49.48,-0.69
