window,deviation_pct,stop_loss_pct,take_profit_fib,use_take_profit,num_trades,num_symbols,win_rate,total_return_pct,avg_return_pct,max_drawdown_pct,robustness_score,max_drawdown_chronologisch_pct,robustness_score_chronologisch,share_take_profit_pct,share_stop_loss_pct,besteht_mindestfilter,pf_num_executed,pf_num_skipped,pf_total_return_pct,pf_max_drawdown_pct,pf_calmar_ratio
gesamt,2.0,2.0,0.236,True,1785,147,44.0,323.79,0.18,-51.21,0.15,-183.82,0.042,44.0,56.0,False,1538,247,19.63,-11.36,1.73
gesamt,2.0,2.0,0.236,False,1785,147,14.8,3486.31,1.95,-178.18,0.463,-325.54,0.253,0.0,84.9,False,779,1006,415.2,-15.19,27.33
gesamt,2.0,2.0,0.382,True,1785,147,34.6,679.05,0.38,-63.41,0.253,-136.0,0.118,34.6,65.4,False,1456,329,58.72,-13.57,4.33
gesamt,2.0,2.0,0.5,True,1785,147,29.7,952.56,0.53,-53.79,0.419,-138.91,0.162,29.6,70.2,False,1407,378,86.43,-12.06,7.17
gesamt,2.0,2.0,0.618,True,1785,147,25.8,1078.24,0.6,-71.0,0.359,-134.34,0.19,25.5,74.1,False,1340,445,115.17,-13.14,8.76
gesamt,2.0,2.0,1.0,True,1785,147,19.4,1626.51,0.91,-103.34,0.373,-158.37,0.243,18.3,80.4,False,1189,596,182.16,-14.87,12.25
gesamt,2.0,3.0,0.236,True,1785,147,52.8,432.64,0.24,-76.23,0.134,-257.32,0.04,52.7,47.1,False,1477,308,19.93,-17.11,1.16
gesamt,2.0,3.0,0.236,False,1785,147,19.6,4422.64,2.48,-149.56,0.7,-527.19,0.199,0.0,80.0,True,643,1142,404.37,-18.0,22.46
gesamt,2.0,3.0,0.382,True,1785,147,42.4,846.54,0.47,-67.22,0.298,-198.95,0.101,42.4,57.5,False,1357,428,58.16,-18.43,3.16
gesamt,2.0,3.0,0.5,True,1785,147,37.3,1233.26,0.69,-66.49,0.439,-174.9,0.167,37.1,62.6,False,1280,505,97.64,-17.67,5.53
gesamt,2.0,3.0,0.618,True,1785,147,32.8,1386.3,0.78,-90.12,0.364,-203.69,0.161,32.3,67.0,False,1184,601,129.67,-15.18,8.54
gesamt,2.0,3.0,1.0,True,1785,147,25.1,1982.88,1.11,-98.97,0.474,-299.2,0.157,23.1,74.7,False,980,805,218.36,-20.43,10.69
gesamt,2.0,5.0,0.236,True,1785,147,65.6,867.98,0.49,-74.5,0.276,-304.22,0.068,65.5,34.0,False,1330,455,58.04,-19.18,3.03
gesamt,2.0,5.0,0.236,False,1785,147,30.1,6493.22,3.64,-142.49,1.079,-736.47,0.209,0.0,68.4,True,461,1324,535.08,-20.46,26.15
gesamt,2.0,5.0,0.382,True,1785,147,55.2,1436.06,0.8,-68.09,0.499,-266.4,0.128,55.1,44.4,False,1165,620,116.37,-19.7,5.91
gesamt,2.0,5.0,0.5,True,1785,147,49.9,2006.97,1.12,-86.78,0.547,-261.74,0.181,49.6,49.6,False,1056,729,173.56,-22.37,7.76
gesamt,2.0,5.0,0.618,True,1785,147,45.2,2221.28,1.24,-89.89,0.585,-285.47,0.184,44.3,54.3,False,961,824,167.4,-22.39,7.48
gesamt,2.0,5.0,1.0,True,1785,147,36.4,3244.55,1.82,-119.75,0.641,-378.07,0.203,32.9,62.6,False,751,1034,205.57,-23.6,8.71
gesamt,2.0,8.0,0.236,True,1785,147,75.4,1203.61,0.67,-117.0,0.243,-405.84,0.07,75.4,24.1,False,1200,585,82.3,-26.46,3.11
gesamt,2.0,8.0,0.236,False,1785,147,41.9,8721.5,4.89,-146.57,1.408,-925.84,0.223,0.0,53.8,True,356,1429,686.2,-28.72,23.89
gesamt,2.0,8.0,0.382,True,1785,147,66.7,2008.18,1.13,-116.12,0.409,-425.4,0.112,66.3,32.4,False,974,811,146.71,-27.17,5.4
gesamt,2.0,8.0,0.5,True,1785,147,61.3,2633.08,1.48,-129.41,0.482,-420.74,0.148,60.3,37.6,False,860,925,212.91,-29.56,7.2
gesamt,2.0,8.0,0.618,True,1785,147,57.1,3091.82,1.73,-130.61,0.56,-450.08,0.163,55.0,41.5,False,765,1020,189.8,-29.58,6.42
gesamt,2.0,8.0,1.0,True,1785,147,48.6,4495.85,2.52,-148.39,0.717,-506.3,0.21,41.6,48.9,True,582,1203,287.91,-30.08,9.57
gesamt,2.0,12.0,0.236,True,1785,147,81.3,1333.0,0.75,-93.05,0.339,-581.37,0.054,81.2,17.8,False,1070,715,66.77,-32.5,2.05
gesamt,2.0,12.0,0.236,False,1785,147,51.1,10097.21,5.66,-181.97,1.313,-1239.85,0.193,0.0,39.9,True,307,1478,639.14,-31.67,20.18
gesamt,2.0,12.0,0.382,True,1785,147,74.2,2461.68,1.38,-111.91,0.521,-605.7,0.096,73.5,23.9,False,831,954,91.17,-31.72,2.87
gesamt,2.0,12.0,0.5,True,1785,147,69.5,3232.27,1.81,-170.53,0.449,-594.95,0.129,67.6,27.8,False,709,1076,107.77,-34.65,3.11
gesamt,2.0,12.0,0.618,True,1785,147,65.8,3757.32,2.1,-173.35,0.513,-645.74,0.138,62.0,30.9,True,631,1154,134.32,-33.0,4.07
gesamt,2.0,12.0,1.0,True,1785,147,57.8,5518.09,3.09,-197.38,0.662,-822.92,0.159,47.1,36.2,True,477,1308,260.08,-33.7,7.72
gesamt,2.0,16.0,0.236,True,1785,147,85.7,1922.23,1.08,-105.99,0.429,-726.26,0.063,85.7,12.4,False,949,836,140.0,-32.01,4.37
gesamt,2.0,16.0,0.236,False,1785,147,57.8,12044.75,6.75,-204.03,1.397,-1269.02,0.225,0.0,28.0,True,268,1517,398.23,-34.16,11.66
gesamt,2.0,16.0,0.382,True,1785,147,79.8,3449.61,1.93,-140.93,0.579,-762.55,0.107,79.0,16.6,False,720,1065,98.82,-36.56,2.7
gesamt,2.0,16.0,0.5,True,1785,147,75.6,4498.58,2.52,-129.07,0.825,-764.36,0.139,73.3,19.4,True,603,1182,173.62,-35.55,4.88
gesamt,2.0,16.0,0.618,True,1785,147,71.9,5109.43,2.86,-124.14,0.974,-822.95,0.147,67.2,21.6,True,544,1241,150.89,-34.57,4.36
gesamt,2.0,16.0,1.0,True,1785,147,64.4,7243.02,4.06,-173.71,0.987,-878.73,0.195,51.0,25.2,True,405,1380,260.93,-34.19,7.63
gesamt,3.0,2.0,0.236,True,1147,145,38.4,326.81,0.28,-61.69,0.156,-139.07,0.069,38.4,61.6,False,993,154,25.76,-9.88,2.61
gesamt,3.0,2.0,0.236,False,1147,145,14.5,2801.39,2.44,-106.34,0.778,-301.32,0.275,0.0,85.5,True,717,430,365.88,-15.51,23.59
gesamt,3.0,2.0,0.382,True,1147,145,29.8,594.59,0.52,-46.73,0.376,-135.02,0.13,29.7,70.2,False,963,184,50.26,-10.41,4.83
gesamt,3.0,2.0,0.5,True,1147,145,25.5,798.81,0.7,-56.76,0.416,-178.43,0.132,25.3,74.5,False,944,203,78.34,-10.27,7.63
gesamt,3.0,2.0,0.618,True,1147,145,23.0,1006.83,0.88,-62.64,0.475,-167.3,0.178,22.3,77.0,False,924,223,97.25,-10.51,9.25
gesamt,3.0,2.0,1.0,True,1147,145,17.3,1384.33,1.21,-86.21,0.474,-206.33,0.198,15.2,82.7,False,859,288,141.24,-13.51,10.45
gesamt,3.0,3.0,0.236,True,1147,145,45.9,315.9,0.28,-60.4,0.154,-192.05,0.049,45.9,54.1,False,971,176,15.35,-13.59,1.13
gesamt,3.0,3.0,0.236,False,1147,145,19.4,3439.88,3.0,-105.79,0.96,-403.31,0.252,0.0,80.5,True,617,530,395.8,-21.6,18.32
gesamt,3.0,3.0,0.382,True,1147,145,36.5,664.93,0.58,-59.61,0.329,-168.7,0.116,36.4,63.5,False,921,226,42.21,-12.57,3.36
gesamt,3.0,3.0,0.5,True,1147,145,31.6,925.1,0.81,-57.49,0.475,-245.7,0.111,31.3,68.4,False,889,258,73.49,-12.93,5.68
gesamt,3.0,3.0,0.618,True,1147,145,28.7,1161.59,1.01,-74.56,0.46,-236.72,0.145,27.6,71.3,False,848,299,83.42,-14.1,5.92
gesamt,3.0,3.0,1.0,True,1147,145,22.2,1622.02,1.41,-79.2,0.605,-316.77,0.151,19.1,77.7,False,769,378,124.47,-16.84,7.39
gesamt,3.0,5.0,0.236,True,1147,145,58.8,576.47,0.5,-75.09,0.227,-221.29,0.077,58.8,40.9,False,921,226,31.45,-16.96,1.85
gesamt,3.0,5.0,0.236,False,1147,145,28.3,4478.38,3.9,-156.34,0.846,-681.09,0.194,0.0,71.0,True,470,677,325.89,-21.89,14.89
gesamt,3.0,5.0,0.382,True,1147,145,47.9,924.83,0.81,-90.35,0.302,-252.9,0.108,47.8,51.8,False,835,312,69.97,-15.68,4.46
gesamt,3.0,5.0,0.5,True,1147,145,42.9,1371.6,1.2,-83.78,0.483,-319.65,0.127,42.3,56.7,False,780,367,114.69,-17.78,6.45
gesamt,3.0,5.0,0.618,True,1147,145,39.4,1636.24,1.43,-79.65,0.607,-380.33,0.127,37.8,60.2,False,724,423,140.63,-18.56,7.58
gesamt,3.0,5.0,1.0,True,1147,145,31.7,2260.05,1.97,-104.77,0.637,-518.47,0.129,26.3,67.6,False,633,514,121.75,-22.5,5.41
gesamt,3.0,8.0,0.236,True,1147,145,69.6,803.11,0.7,-119.11,0.199,-342.14,0.069,69.6,30.0,False,840,307,35.33,-22.7,1.56
