window,deviation_pct,stop_loss_pct,take_profit_fib,use_take_profit,num_trades,num_symbols,win_rate,total_return_pct,avg_return_pct,max_drawdown_pct,robustness_score,max_drawdown_chronologisch_pct,robustness_score_chronologisch,share_take_profit_pct,share_stop_loss_pct,besteht_mindestfilter,pf_num_executed,pf_num_skipped,pf_total_return_pct,pf_max_drawdown_pct,pf_calmar_ratio
is,2.0,2.0,0.236,True,1228,147,43.1,147.42,0.12,-58.19,0.072,-183.82,0.023,42.7,56.6,False,1031,197,4.28,-11.36,0.38
is,2.0,2.0,0.236,False,1228,147,15.6,1878.04,1.53,-90.22,0.594,-325.54,0.165,0.0,83.8,False,576,652,134.32,-15.19,8.84
is,2.0,2.0,0.382,True,1228,147,33.5,292.54,0.24,-63.78,0.131,-136.0,0.061,32.7,66.2,False,987,241,11.15,-13.57,0.82
is,2.0,2.0,0.5,True,1228,147,29.4,524.82,0.43,-73.96,0.202,-138.91,0.108,28.6,70.3,False,956,272,28.61,-12.06,2.37
is,2.0,2.0,0.618,True,1228,147,25.9,624.07,0.51,-80.75,0.221,-134.34,0.133,24.8,73.8,False,927,301,42.91,-13.14,3.27
is,2.0,2.0,1.0,True,1228,147,20.4,1157.34,0.94,-79.3,0.416,-158.37,0.209,18.4,79.2,False,837,391,86.6,-14.87,5.82
is,2.0,3.0,0.236,True,1228,147,50.9,146.45,0.12,-114.44,0.037,-257.32,0.016,50.4,48.8,False,990,238,-4.64,-17.11,-0.27
is,2.0,3.0,0.236,False,1228,147,20.1,2328.37,1.9,-89.1,0.746,-527.19,0.126,0.0,79.2,False,480,748,142.42,-18.0,7.91
is,2.0,3.0,0.382,True,1228,147,40.8,357.46,0.29,-83.83,0.122,-198.95,0.051,39.9,58.9,False,927,301,1.22,-18.43,0.07
is,2.0,3.0,0.5,True,1228,147,36.4,667.5,0.54,-71.45,0.267,-174.9,0.109,35.5,63.3,False,882,346,21.89,-17.67,1.24
is,2.0,3.0,0.618,True,1228,147,32.3,782.53,0.64,-87.96,0.254,-203.69,0.11,30.9,67.3,False,842,386,36.34,-15.18,2.39
is,2.0,3.0,1.0,True,1228,147,25.2,1276.95,1.04,-84.32,0.432,-299.2,0.122,22.5,74.3,False,711,517,79.69,-20.43,3.9
is,2.0,5.0,0.236,True,1228,147,64.1,466.84,0.38,-105.6,0.126,-304.22,0.044,63.6,35.4,False,898,330,18.29,-19.18,0.95
