window,deviation_pct,stop_loss_pct,take_profit_fib,use_take_profit,num_trades,num_symbols,win_rate,total_return_pct,avg_return_pct,max_drawdown_pct,robustness_score,max_drawdown_chronologisch_pct,robustness_score_chronologisch,share_take_profit_pct,share_stop_loss_pct,besteht_mindestfilter,pf_num_executed,pf_num_skipped,pf_total_return_pct,pf_max_drawdown_pct,pf_calmar_ratio
oos,2.0,2.0,0.236,True,538,144,46.5,190.74,0.36,-30.24,0.272,-61.41,0.134,46.5,53.2,False,492,46,,-5.23,
oos,2.0,2.0,0.236,False,538,144,16.0,1716.61,3.2,-95.36,0.778,-187.37,0.396,0.0,83.5,True,219,319,120.72,-6.63,18.21
oos,2.0,2.0,0.382,True,538,144,38.7,435.04,0.81,-40.76,0.461,-38.59,0.487,38.7,61.0,False,467,71,,-3.18,
oos,2.0,2.0,0.5,True,538,144,32.7,497.08,0.93,-36.98,0.581,-63.86,0.336,32.3,66.9,False,454,84,,-5.58,
oos,2.0,2.0,0.618,True,538,144,27.9,532.03,0.99,-42.88,0.536,-52.34,0.439,27.3,71.6,False,418,120,54.73,-4.91,11.15
oos,2.0,2.0,1.0,True,538,144,20.1,559.88,1.04,-70.46,0.343,-133.46,0.181,18.4,79.4,False,359,179,49.1,-7.16,6.86
oos,2.0,3.0,0.236,True,538,144,57.2,296.52,0.55,-23.59,0.543,-58.64,0.218,57.1,42.2,False,474,64,,-5.02,
oos,2.0,3.0,0.236,False,538,144,21.9,2223.29,4.14,-115.3,0.833,-245.93,0.39,0.0,77.3,True,174,364,119.65,-7.98,14.99
oos,2.0,3.0,0.382,True,538,144,47.6,539.48,1.0,-40.91,0.57,-54.29,0.429,47.4,51.9,False,433,105,60.47,-5.02,12.05
oos,2.0,3.0,0.5,True,538,144,41.8,657.43,1.22,-39.6,0.717,-62.98,0.451,41.3,57.6,False,404,134,66.5,-6.37,10.44
oos,2.0,3.0,0.618,True,538,144,36.8,716.55,1.33,-41.41,0.747,-92.97,0.333,35.7,62.5,False,351,187,75.11,-6.68,11.24
oos,2.0,3.0,1.0,True,538,144,27.9,835.29,1.56,-88.19,0.409,-197.46,0.183,25.3,71.4,False,276,262,77.36,-8.48,9.12
oos,2.0,5.0,0.236,True,538,144,68.8,412.92,0.77,-35.41,0.504,-87.05,0.205,68.6,29.7,False,434,104,37.64,-9.09,4.14
oos,2.0,5.0,0.236,False,538,144,31.4,2858.78,5.32,-89.95,1.373,-331.46,0.373,0.0,66.2,True,122,416,136.54,-6.53,20.91
oos,2.0,5.0,0.382,True,538,144,58.7,664.71,1.24,-59.09,0.486,-112.91,0.254,58.4,39.8,False,385,153,70.71,-7.65,9.24
oos,2.0,5.0,0.5,True,538,144,53.5,848.08,1.58,-56.11,0.653,-155.37,0.236,52.6,45.0,False,342,196,80.03,-12.46,6.42
oos,2.0,5.0,0.618,True,538,144,48.5,969.07,1.8,-76.54,0.547,-191.8,0.218,47.0,49.8,False,304,234,80.3,-13.88,5.79
oos,2.0,5.0,1.0,True,538,144,38.5,1182.14,2.2,-85.89,0.594,-305.69,0.167,34.4,59.5,True,223,315,61.35,-13.87,4.42
oos,2.0,8.0,0.236,True,538,144,77.3,521.43,0.97,-54.4,0.414,-139.81,0.161,77.1,21.2,False,416,122,42.56,-13.01,3.27
oos,2.0,8.0,0.236,False,538,144,42.8,3688.83,6.87,-102.23,1.559,-528.82,0.301,0.0,51.5,True,95,443,182.89,-7.28,25.12
oos,2.0,8.0,0.382,True,538,144,68.6,780.86,1.45,-88.72,0.38,-160.37,0.21,67.5,29.6,False,336,202,74.88,-10.27,7.29
oos,2.0,8.0,0.5,True,538,144,63.9,1024.44,1.91,-84.67,0.523,-220.97,0.2,62.3,34.2,False,284,254,95.7,-15.44,6.2
oos,2.0,8.0,0.618,True,538,144,59.9,1232.37,2.29,-96.79,0.55,-307.17,0.173,57.6,37.7,True,251,287,89.35,-15.93,5.61
oos,2.0,8.0,1.0,True,538,144,50.2,1547.79,2.88,-108.07,0.619,-470.1,0.142,43.1,46.3,True,176,362,60.15,-15.48,3.89
oos,2.0,12.0,0.236,True,538,144,82.5,530.66,0.99,-57.53,0.398,-166.45,0.138,82.3,15.8,False,377,161,35.46,-12.48,2.84
oos,2.0,12.0,0.236,False,538,144,50.4,3897.28,7.26,-139.83,1.204,-653.52,0.258,0.0,39.8,True,83,455,213.33,-5.89,36.22
oos,2.0,12.0,0.382,True,538,144,75.8,884.17,1.65,-74.69,0.511,-237.51,0.161,74.7,21.7,False,290,248,63.96,-12.92,4.95
oos,2.0,12.0,0.5,True,538,144,71.9,1197.13,2.23,-76.23,0.678,-310.68,0.166,69.9,25.1,True,235,303,60.18,-16.28,3.7
