trade_zeile,symbol,entry_time,exit_time,pnl_pct,allocation,capital_after
0,NEM,2016-10-28,2016-11-11,-3.3,1000.0,9967.0
1,VRTX,2016-12-27,2017-05-08,52.73,996.7,10426.89
2,AMD,2017-01-19,2017-05-30,13.52,996.7,10561.64
3,STX,2017-01-24,2017-06-02,16.71,996.7,10728.19
4,FCX,2017-03-13,2017-03-14,-3.3,996.7,9934.11
5,NEM,2017-03-22,2017-03-28,-3.3,993.41,9901.33
6,HWM,2017-07-06,2017-11-10,5.97,1072.82,10686.38
7,MU,2017-08-08,2017-08-10,-3.3,1072.82,10692.79
8,STX,2017-08-11,2017-08-18,-3.3,1069.28,10657.5
9,GE,2017-10-23,2017-10-25,-3.3,1065.75,10622.33
10,MCK,2017-11-08,2017-11-13,-3.3,1062.23,10651.32
12,AMGN,2018-02-12,2018-03-28,-3.3,1065.13,10545.88
11,ISRG,2018-02-12,2018-06-21,21.93,1065.13,10537.22
13,GE,2018-02-12,2018-02-26,-3.3,1065.13,10581.02
14,WELL,2018-02-15,2018-02-22,-3.3,1065.13,10616.17
15,EQIX,2018-03-06,2018-07-13,13.6,1058.1,10612.35
16,PG,2018-03-29,2018-04-19,-3.3,1054.59,10406.9
17,LOW,2018-04-04,2018-04-09,-3.3,1054.59,10476.27
18,KLAC,2018-04-05,2018-04-06,-3.3,1054.59,10511.07
19,NFLX,2018-04-05,2018-08-13,15.8,1054.59,10778.98
21,MRVL,2018-04-10,2018-04-20,-3.3,1047.63,10372.33
20,AMD,2018-04-10,2018-04-25,-3.3,1047.63,10337.76
22,ANET,2018-04-11,2018-04-13,-3.3,1047.63,10441.7
23,WFC,2018-04-20,2018-08-28,13.76,1037.23,10851.66
24,MMM,2018-05-08,2018-06-25,-3.3,1033.78,10503.11
25,BMY,2018-05-14,2018-06-04,-3.3,1033.78,10303.64
26,MNST,2018-05-21,2018-09-27,16.55,1033.78,10951.71
27,HWM,2018-06-27,2018-11-02,25.19,1050.31,11001.55
28,LRCX,2018-06-29,2018-07-03,-3.3,1050.31,10468.45
29,AVGO,2018-07-19,2018-08-15,-3.3,1061.24,10708.94
30,PM,2018-07-20,2018-08-13,-3.3,1061.24,10743.96
31,SCHW,2018-08-27,2018-09-06,-3.3,1070.89,10816.32
32,TSLA,2018-09-06,2018-09-07,-3.3,1081.63,10780.63
33,WDC,2018-09-13,2018-10-09,-3.3,1078.06,10916.14
34,AMD,2018-10-09,2018-10-10,-3.3,1091.61,10880.12
35,LRCX,2018-10-12,2018-10-24,-3.3,1088.01,10808.31
36,KLAC,2018-10-17,2018-10-19,-3.3,1088.01,10844.21
37,STX,2018-10-24,2018-10-26,-3.3,1080.83,10772.64
38,GOOG,2018-10-25,2018-10-26,-3.3,1080.83,10736.97
40,BAC,2018-10-29,2018-12-06,-3.3,1073.7,10715.42
42,PNC,2018-10-29,2018-12-14,-3.3,1073.7,10609.08
39,SPGI,2018-10-29,2018-12-10,-3.3,1073.7,10644.51
41,FCX,2018-10-29,2018-11-26,-3.3,1073.7,10750.85
44,PSX,2018-10-30,2018-11-02,-3.3,1073.7,10966.11
43,MU,2018-10-30,2018-11-20,-3.3,1073.7,10858.42
45,MCO,2018-10-31,2018-12-17,-3.3,1073.7,10573.65
47,EQIX,2018-11-02,2018-11-15,-3.3,1096.61,10929.93
48,WDC,2018-11-14,2018-11-20,-3.3,1096.61,10822.24
49,TXN,2018-11-15,2018-11-19,-3.3,1092.99,10893.86
51,WMB,2018-11-19,2018-11-20,-3.3,1089.39,10786.29
52,REGN,2018-11-23,2019-04-05,19.67,1078.63,10611.46
54,NVDA,2018-11-26,2018-12-07,-3.3,1075.09,10679.94
53,ANET,2018-11-26,2018-12-17,-3.3,1075.09,10538.17
55,AAPL,2018-12-11,2018-12-17,-3.3,1064.45,10503.04
57,MS,2018-12-26,2019-05-07,20.15,1050.3,11410.43
56,NOW,2018-12-26,2019-05-07,55.92,1050.3,11198.79
58,VRTX,2018-12-26,2018-12-27,-3.3,1050.3,10468.38
60,WDC,2018-12-27,2019-01-03,-3.3,1046.84,10433.84
59,VLO,2018-12-27,2019-05-08,11.32,1046.84,11528.93
61,MCK,2018-12-28,2019-05-09,22.39,1046.84,11763.31
62,HWM,2019-01-02,2019-01-03,-3.3,1046.84,10399.29
63,TMO,2019-01-04,2019-05-15,18.4,1039.93,11919.64
65,APH,2019-01-07,2019-05-16,19.14,1039.93,12332.08
64,ANET,2019-01-07,2019-05-16,20.52,1039.93,12133.04
66,TSLA,2019-05-02,2019-05-10,-3.3,1061.15,11728.3
67,REGN,2019-05-16,2019-05-20,-3.3,1233.21,12291.38
68,WDC,2019-06-04,2019-06-05,-3.3,1229.14,12250.82
70,FCX,2019-06-04,2019-06-05,-3.3,1229.14,12210.26
71,FTNT,2019-06-04,2019-10-10,6.78,1229.14,11910.59
69,ADI,2019-06-04,2019-10-10,7.64,1229.14,11827.25
72,PSX,2019-06-05,2019-10-11,26.43,1221.03,12233.31
73,COP,2019-06-11,2019-08-02,-3.3,1221.03,12089.38
74,QCOM,2019-06-18,2019-08-01,-3.3,1221.03,12129.67
75,NVDA,2019-06-18,2019-08-15,-3.3,1221.03,12049.09
76,DELL,2019-06-19,2019-06-27,-3.3,1221.03,12169.97
77,DELL,2019-08-16,2019-08-23,-3.3,1204.91,11969.56
78,COP,2019-08-19,2019-08-22,-3.3,1204.91,12009.32
79,WMB,2019-08-21,2019-08-23,-3.3,1204.91,11929.8
81,SLB,2019-08-29,2019-10-08,-3.3,1192.98,11733.35
80,CAT,2019-08-29,2020-01-08,26.08,1192.98,12423.59
82,UBER,2019-09-04,2019-09-24,-3.3,1192.98,11772.72
83,PANW,2019-09-05,2019-09-10,-3.3,1192.98,11890.43
84,CRWD,2019-09-12,2019-09-13,-3.3,1189.04,11851.19
85,ELV,2019-09-16,2019-09-23,-3.3,1185.12,11812.08
87,WDC,2019-10-11,2019-10-31,-3.3,1223.33,12192.94
86,UBER,2019-10-11,2019-11-05,-3.3,1223.33,12152.57
88,CRWD,2019-12-18,2019-12-20,-3.3,1215.26,12112.46
89,MPC,2020-01-31,2020-02-03,-3.3,1242.36,12382.59
90,UPS,2020-02-12,2020-02-24,-3.3,1238.26,12341.73
91,XOM,2020-03-02,2020-03-03,-3.3,1234.17,12301.0
92,MU,2020-03-02,2020-03-03,-3.3,1234.17,12260.28
93,UBER,2020-03-03,2020-03-05,-3.3,1226.03,12219.82
94,BNY,2020-03-04,2020-03-05,-3.3,1226.03,12179.36
95,BKNG,2020-03-10,2020-03-11,-3.3,1217.94,12139.17
96,MS,2020-03-10,2020-03-11,-3.3,1217.94,12098.97
97,GLW,2020-03-10,2020-03-11,-3.3,1217.94,12058.78
98,META,2020-03-10,2020-03-11,-3.3,1217.94,12018.59
99,COF,2020-03-10,2020-03-11,-3.3,1217.94,11978.4
100,AXP,2020-03-10,2020-03-11,-3.3,1217.94,11938.21
101,PSX,2020-03-10,2020-03-11,-3.3,1217.94,11898.02
102,MRK,2020-03-10,2020-03-11,-3.3,1217.94,11857.82
108,DIS,2020-03-11,2020-03-12,-3.3,1185.78,11818.69
116,BAC,2020-03-13,2020-03-16,-3.3,1181.87,11506.68
115,MPC,2020-03-13,2020-03-16,-3.3,1181.87,11545.68
114,WFC,2020-03-13,2020-03-16,-3.3,1181.87,11584.68
113,HCA,2020-03-13,2020-03-16,-3.3,1181.87,11623.68
111,MAR,2020-03-13,2020-03-16,-3.3,1181.87,11701.69
110,LIN,2020-03-13,2020-03-16,-3.3,1181.87,11740.69
109,GS,2020-03-13,2020-03-16,-3.3,1181.87,11779.69
112,MCO,2020-03-13,2020-03-16,-3.3,1181.87,11662.69
129,KO,2020-03-17,2020-03-18,-3.3,1150.67,11468.71
130,SO,2020-03-17,2020-03-18,-3.3,1150.67,11430.73
131,APH,2020-03-17,2020-03-18,-3.3,1150.67,11392.76
132,DUK,2020-03-17,2020-03-18,-3.3,1150.67,11354.79
133,CSX,2020-03-17,2020-03-18,-3.3,1150.67,11316.82
