trade_zeile,symbol,entry_time,exit_time,pnl_pct,allocation,capital_after
1,ABBV,2016-09-01,2016-09-06,0.61,500.0,10003.05
2,BX,2016-09-01,2016-09-08,-0.82,500.0,10002.4
0,COST,2016-09-01,2016-09-15,-2.57,500.0,9968.34
4,DE,2016-09-01,2016-09-06,0.8,500.0,10007.05
3,SLB,2016-09-01,2016-09-07,-0.11,500.0,10006.5
5,MAR,2016-09-02,2016-09-15,-2.65,500.0,9955.09
7,AVGO,2016-09-06,2016-09-14,-1.17,500.35,9996.55
6,DHR,2016-09-06,2016-09-19,-3.68,500.35,9943.97
8,MNST,2016-09-07,2016-09-15,-4.12,500.33,9934.48
10,AMD,2016-09-08,2016-09-14,-3.35,500.12,9979.79
12,ADI,2016-09-08,2016-09-14,-1.1,500.12,9974.29
11,ORCL,2016-09-08,2016-09-15,0.04,500.12,9934.68
9,ACN,2016-09-08,2016-09-19,-1.9,500.12,9934.47
22,BRK-B,2016-09-09,2016-09-21,-0.41,500.12,9924.57
20,ETN,2016-09-09,2016-09-19,-0.8,500.12,9926.62
16,UPS,2016-09-09,2016-09-19,-0.77,500.12,9930.62
13,DE,2016-09-09,2016-09-16,-0.64,500.12,9962.39
15,T,2016-09-09,2016-09-15,1.56,500.12,9952.33
18,CB,2016-09-09,2016-09-15,0.62,500.12,9963.69
17,MCO,2016-09-09,2016-09-15,1.65,500.12,9960.59
14,PM,2016-09-09,2016-09-15,1.97,500.12,9944.53
19,TXN,2016-09-09,2016-09-14,1.38,500.12,9981.19
21,LIN,2016-09-09,2016-09-15,0.38,500.12,9965.59
42,CME,2016-09-23,2016-10-06,-2.46,496.23,9925.71
43,BAC,2016-09-26,2016-09-28,1.62,496.23,9932.61
44,PNC,2016-09-26,2016-09-28,1.57,496.23,9940.4
45,ICE,2016-09-27,2016-10-05,-2.21,496.23,9937.92
46,KKR,2016-09-27,2016-09-30,1.48,496.23,9947.74
47,AMGN,2016-09-28,2016-10-04,-1.57,497.02,9948.88
49,BNY,2016-09-29,2016-09-30,1.8,497.02,9956.69
51,MNST,2016-09-29,2016-10-06,0.64,497.02,9928.89
48,SO,2016-09-29,2016-10-10,-4.72,497.02,9901.6
50,DUK,2016-09-29,2016-10-10,-4.35,497.02,9879.98
53,NEE,2016-09-30,2016-10-07,-0.77,497.83,9925.06
52,PM,2016-09-30,2016-10-10,-1.3,497.83,9873.51
54,LMT,2016-09-30,2016-10-13,-3.11,497.83,9854.33
58,WELL,2016-10-04,2016-10-13,-3.07,497.44,9839.06
59,VZ,2016-10-04,2016-10-12,-1.05,497.44,9869.81
56,NEM,2016-10-04,2016-10-12,0.49,497.44,9875.03
57,EQIX,2016-10-04,2016-10-10,0.63,497.44,9876.64
55,PLD,2016-10-04,2016-10-12,-2.23,497.44,9872.6
61,TMUS,2016-10-06,2016-10-10,1.13,496.44,9882.25
60,WMT,2016-10-06,2016-10-13,-1.93,496.44,9829.48
63,T,2016-10-07,2016-10-11,0.29,496.25,9883.69
62,FTNT,2016-10-07,2016-10-18,-11.73,496.25,9795.27
65,CSCO,2016-10-11,2016-10-18,-2.23,494.18,9784.84
72,PANW,2016-10-11,2016-10-20,-4.76,494.18,9789.1
73,AMAT,2016-10-11,2016-10-19,-1.42,494.18,9803.46
74,JCI,2016-10-11,2016-10-18,-0.91,494.18,9783.61
69,BKNG,2016-10-11,2016-10-18,-0.58,494.18,9788.1
68,LIN,2016-10-11,2016-10-18,0.86,494.18,9790.97
67,STX,2016-10-11,2016-10-18,0.38,494.18,9786.72
64,MDT,2016-10-11,2016-10-18,0.12,494.18,9795.86
70,ADI,2016-10-11,2016-10-14,-0.36,494.18,9828.09
66,MMM,2016-10-11,2016-10-14,0.08,494.18,9829.87
71,MU,2016-10-11,2016-10-14,1.3,494.18,9834.52
75,GD,2016-10-11,2016-10-14,0.86,494.18,9838.77
78,TXN,2016-10-12,2016-10-17,-0.36,493.49,9850.04
79,UNP,2016-10-12,2016-10-14,0.67,493.49,9844.84
77,INTC,2016-10-12,2016-10-14,0.56,493.49,9841.53
80,SCHW,2016-10-13,2016-10-14,1.42,491.47,9851.82
82,PNC,2016-10-13,2016-10-18,1.88,491.47,9792.85
81,COF,2016-10-13,2016-10-17,0.7,491.47,9853.48
88,ABBV,2016-10-14,2016-10-18,1.99,492.59,9802.65
89,WDC,2016-10-14,2016-10-25,-2.51,492.59,9789.04
90,KKR,2016-10-14,2016-10-19,0.65,492.59,9806.67
93,AMZN,2016-10-17,2016-10-21,0.44,492.67,9791.27
95,COP,2016-10-17,2016-10-19,1.21,492.67,9812.63
91,LLY,2016-10-17,2016-10-31,-6.27,492.67,9764.87
94,JPM,2016-10-17,2016-10-18,0.49,492.67,9810.48
92,QCOM,2016-10-17,2016-10-18,1.1,492.67,9808.07
96,PG,2016-10-19,2016-10-25,1.37,490.63,9795.76
97,UPS,2016-10-20,2016-10-24,0.68,489.46,9794.6
99,CMCSA,2016-10-20,2016-10-24,0.65,489.46,9797.78
98,UNP,2016-10-20,2016-11-02,-2.45,489.46,9756.6
101,MCO,2016-10-21,2016-11-04,-4.83,489.56,9737.85
100,MMM,2016-10-21,2016-10-24,0.74,489.56,9801.4
102,BLK,2016-10-24,2016-10-31,-0.85,490.07,9760.71
104,CAT,2016-10-25,2016-11-04,-2.87,489.79,9723.79
103,MRSH,2016-10-25,2016-10-31,0.8,489.79,9764.62
106,MDT,2016-10-26,2016-10-31,0.81,489.79,9768.59
105,HCA,2016-10-26,2016-11-04,-4.86,489.79,9699.99
110,CME,2016-10-27,2016-11-02,0.77,489.79,9760.37
107,SLB,2016-10-27,2016-11-07,-0.11,489.79,9691.78
108,EQIX,2016-10-27,2016-11-07,-0.7,489.79,9688.35
109,LIN,2016-10-27,2016-11-07,0.49,489.79,9690.75
112,UNH,2016-10-28,2016-11-07,0.83,489.79,9696.34
114,AMZN,2016-10-28,2016-11-07,0.81,489.79,9705.3
111,INTC,2016-10-28,2016-11-07,0.31,489.79,9692.27
113,GLW,2016-10-28,2016-11-07,1.02,489.79,9701.33
116,GOOG,2016-10-31,2016-11-07,-0.56,488.43,9702.56
117,SPGI,2016-10-31,2016-11-03,0.23,488.43,9761.49
115,COF,2016-10-31,2016-11-04,-1.57,488.43,9692.32
118,AAPL,2016-11-01,2016-11-07,-0.76,488.43,9698.85
119,NFLX,2016-11-01,2016-11-07,0.74,488.43,9702.47
120,GOOGL,2016-11-02,2016-11-07,1.43,488.02,9709.44
121,MU,2016-11-02,2016-11-07,3.9,488.02,9728.48
122,AXP,2016-11-02,2016-11-07,2.07,488.02,9738.58
123,SCHW,2016-11-02,2016-11-07,3.72,488.02,9756.73
127,LMT,2016-11-03,2016-11-09,5.88,488.07,9844.89
134,JPM,2016-11-04,2016-11-07,2.83,484.62,9777.43
