trade_zeile,symbol,entry_time,exit_time,pnl_pct,allocation,capital_after
0,NEARUSDT,2021-10-12,2021-10-22,24.99,1000.0,10249.9
1,BNBUSDT,2021-10-12,2021-10-22,7.6,1000.0,10325.9
2,LINKUSDT,2021-10-12,2021-10-22,16.01,1000.0,10486.0
3,ZECUSDT,2021-10-12,2021-10-22,41.57,1000.0,10901.7
4,ADAUSDT,2021-10-12,2021-10-22,1.49,1000.0,10916.6
5,SOLUSDT,2021-10-12,2021-10-22,28.57,1000.0,11202.3
6,AAVEUSDT,2021-10-12,2021-10-22,8.93,1000.0,11291.6
7,XRPUSDT,2021-10-17,2021-10-27,-7.35,1000.0,11218.1
8,DOGEUSDT,2021-10-27,2021-11-06,9.75,1121.81,11327.48
9,BTCUSDT,2021-10-28,2021-11-07,4.15,1121.81,11374.03
10,DOGEUSDT,2021-11-10,2021-11-16,-8.25,1137.4,11245.73
11,AAVEUSDT,2021-11-10,2021-11-16,-5.87,1137.4,11178.97
12,UNIUSDT,2021-11-12,2021-11-15,-3.03,1137.4,11339.57
13,BTCUSDT,2021-11-16,2021-11-17,-2.77,1117.9,11148.0
14,SOLUSDT,2021-11-16,2021-11-17,-2.69,1117.9,11117.93
15,ETHUSDT,2021-11-17,2021-11-18,-5.53,1111.79,11056.45
16,ZECUSDT,2021-11-17,2021-11-18,-4.25,1111.79,11009.2
17,BNBUSDT,2021-11-17,2021-11-18,-4.5,1111.79,10959.17
18,ADAUSDT,2021-11-18,2021-11-24,-5.06,1095.92,10854.18
20,TRXUSDT,2021-11-19,2021-11-24,-6.08,1095.92,10787.55
19,BTCUSDT,2021-11-19,2021-11-23,-4.52,1095.92,10909.63
21,DOGEUSDT,2021-11-23,2021-11-24,-6.21,1090.96,10719.8
22,XRPUSDT,2021-11-24,2021-11-26,-2.8,1071.98,10689.78
23,SOLUSDT,2021-11-26,2021-11-28,-5.35,1068.98,10632.59
24,ETHUSDT,2021-11-26,2021-12-04,-3.47,1068.98,10423.99
28,UNIUSDT,2021-11-28,2021-12-04,-8.5,1063.26,10098.85
30,TRXUSDT,2021-11-28,2021-12-04,-6.4,1063.26,9932.98
29,XRPUSDT,2021-11-28,2021-12-04,-9.2,1063.26,10001.03
25,ADAUSDT,2021-11-28,2021-12-04,-11.47,1063.26,10302.04
31,BTCUSDT,2021-11-28,2021-12-03,-7.32,1063.26,10461.09
27,AAVEUSDT,2021-11-28,2021-12-03,-8.81,1063.26,10538.92
26,NEARUSDT,2021-11-28,2021-12-04,-10.61,1063.26,10189.23
33,SOLUSDT,2021-12-04,2021-12-10,-16.08,993.3,9773.26
34,BNBUSDT,2021-12-04,2021-12-14,-7.42,993.3,9635.15
35,SOLUSDT,2021-12-11,2021-12-13,-6.59,977.33,9708.85
36,AAVEUSDT,2021-12-13,2021-12-23,51.83,970.89,10138.36
38,BNBUSDT,2021-12-15,2021-12-25,0.86,963.51,10161.87
39,ZECUSDT,2021-12-15,2021-12-25,5.97,963.51,10219.39
37,ETHUSDT,2021-12-15,2021-12-25,1.58,963.51,10153.58
41,ADAUSDT,2021-12-17,2021-12-27,24.17,963.51,10544.87
42,UNIUSDT,2021-12-17,2021-12-27,27.42,963.51,10809.06
40,BTCUSDT,2021-12-17,2021-12-27,9.61,963.51,10311.98
43,ZECUSDT,2021-12-28,2021-12-29,-1.17,1080.91,10796.42
44,SOLUSDT,2021-12-30,2021-12-31,-2.82,1079.64,10765.97
45,XRPUSDT,2021-12-30,2022-01-04,-4.66,1079.64,10715.66
46,ETHUSDT,2021-12-30,2022-01-05,-3.65,1079.64,10620.05
47,BNBUSDT,2021-12-31,2022-01-04,-1.36,1076.6,10701.02
48,BTCUSDT,2021-12-31,2022-01-04,-1.47,1076.6,10685.19
49,SOLUSDT,2022-01-03,2022-01-04,-2.39,1076.6,10659.46
50,UNIUSDT,2022-01-05,2022-01-06,-4.98,1062.01,10567.17
52,ADAUSDT,2022-01-06,2022-01-08,-7.64,1056.72,10432.12
53,AAVEUSDT,2022-01-06,2022-01-07,-3.33,1056.72,10512.85
51,BTCUSDT,2022-01-06,2022-01-07,-1.81,1056.72,10548.04
54,ETHUSDT,2022-01-08,2022-01-10,-2.93,1043.21,10401.55
55,BTCUSDT,2022-01-08,2022-01-10,-3.13,1043.21,10368.9
56,SOLUSDT,2022-01-08,2022-01-10,-6.73,1043.21,10298.69
57,DOGEUSDT,2022-01-08,2022-01-10,-4.14,1043.21,10255.5
58,NEARUSDT,2022-01-09,2022-01-19,19.61,1043.21,10460.07
59,AAVEUSDT,2022-01-10,2022-01-20,-1.05,1025.55,10449.31
60,XRPUSDT,2022-01-10,2022-01-20,-3.0,1025.55,10418.54
61,BNBUSDT,2022-01-10,2022-01-20,3.35,1025.55,10452.9
62,DOGEUSDT,2022-01-21,2022-01-22,-1.71,1045.29,10435.02
