trade_zeile,symbol,entry_time,exit_time,pnl_pct,allocation,capital_after
0,RTX,2016-09-01,2016-09-16,-6.5,200.0,9987.0
28,CVX,2016-09-01,2016-09-16,-2.67,200.0,9851.22
27,XOM,2016-09-01,2016-09-16,-3.54,200.0,9856.56
26,PH,2016-09-01,2016-09-16,-1.39,200.0,9863.64
25,SLB,2016-09-01,2016-09-16,-3.01,200.0,9866.42
24,PWR,2016-09-01,2016-09-16,-3.45,200.0,9872.44
23,NEM,2016-09-01,2016-09-16,-3.21,200.0,9879.34
22,DUK,2016-09-01,2016-09-16,0.05,200.0,9885.76
21,ORCL,2016-09-01,2016-09-16,-5.74,200.0,9885.66
20,MNST,2016-09-01,2016-09-16,-5.5,200.0,9897.14
19,UNH,2016-09-01,2016-09-16,2.18,200.0,9908.14
18,GE,2016-09-01,2016-09-16,-4.43,200.0,9903.78
17,NEE,2016-09-01,2016-09-16,1.62,200.0,9912.64
15,DIS,2016-09-01,2016-09-16,-2.1,200.0,9917.92
16,FCX,2016-09-01,2016-09-16,-4.26,200.0,9909.4
13,ABT,2016-09-01,2016-09-16,-1.32,200.0,9925.92
1,LOW,2016-09-01,2016-09-16,-7.48,200.0,9972.04
2,GOOGL,2016-09-01,2016-09-16,0.53,200.0,9973.1
3,AMGN,2016-09-01,2016-09-16,1.36,200.0,9975.82
4,MSFT,2016-09-01,2016-09-16,-0.89,200.0,9974.04
14,ADI,2016-09-01,2016-09-16,-1.9,200.0,9922.12
6,TXN,2016-09-01,2016-09-16,-0.79,200.0,9967.56
5,VRTX,2016-09-01,2016-09-16,-2.45,200.0,9969.14
8,TMO,2016-09-01,2016-09-16,-0.79,200.0,9957.5
9,AXP,2016-09-01,2016-09-16,-2.15,200.0,9953.2
10,ETN,2016-09-01,2016-09-16,-7.13,200.0,9938.94
11,BA,2016-09-01,2016-09-16,-2.76,200.0,9933.42
12,PFE,2016-09-01,2016-09-16,-2.43,200.0,9928.56
7,TJX,2016-09-01,2016-09-16,-4.24,200.0,9959.08
29,ELV,2016-09-02,2016-09-19,1.91,200.0,9855.04
30,MAR,2016-09-02,2016-09-19,-3.99,200.0,9847.06
31,LLY,2016-09-02,2016-09-19,2.71,200.0,9852.48
32,BX,2016-09-06,2016-09-20,-3.07,200.0,9846.34
35,AVGO,2016-09-07,2016-09-21,0.55,200.0,9835.46
33,COST,2016-09-07,2016-09-21,-2.19,200.0,9841.96
34,PGR,2016-09-07,2016-09-21,-3.8,200.0,9834.36
36,AAPL,2016-09-08,2016-09-22,8.32,200.0,9852.1
37,DE,2016-09-08,2016-09-22,0.39,200.0,9852.88
38,ABBV,2016-09-08,2016-09-22,1.29,200.0,9855.46
39,MRVL,2016-09-09,2016-09-23,5.39,200.0,9866.24
40,CMCSA,2016-09-09,2016-09-23,2.83,200.0,9871.9
41,SO,2016-09-09,2016-09-23,4.93,200.0,9881.76
48,UNP,2016-09-12,2016-09-26,0.09,200.0,9894.06
42,BKNG,2016-09-12,2016-09-26,0.46,200.0,9882.68
43,WELL,2016-09-12,2016-09-26,2.41,200.0,9887.5
44,ISRG,2016-09-12,2016-09-26,3.19,200.0,9893.88
45,PLD,2016-09-12,2016-09-26,4.1,200.0,9902.08
46,BLK,2016-09-12,2016-09-26,-2.31,200.0,9897.46
47,BMY,2016-09-12,2016-09-26,-1.79,200.0,9893.88
49,SBUX,2016-09-12,2016-09-26,-1.52,200.0,9891.02
112,GE,2016-09-19,2016-10-03,0.41,197.05,9898.86
111,SLB,2016-09-19,2016-10-03,3.57,197.05,9898.05
113,NEM,2016-09-20,2016-10-04,-10.52,196.93,9878.15
114,XOM,2016-09-21,2016-10-05,4.14,196.71,9886.29
115,PFE,2016-09-26,2016-10-10,-0.39,197.82,9885.52
