trade_zeile,symbol,entry_time,exit_time,pnl_pct,allocation,capital_after
0,AAVEUSDT,2022-03-17,2022-03-18,-5.3,1000.0,9947.0
1,TRXUSDT,2022-03-22,2022-04-06,-0.87,994.7,9885.63
2,ADAUSDT,2022-03-22,2022-04-06,7.6,994.7,9961.22
3,DOGEUSDT,2022-03-23,2022-04-07,12.1,994.7,10028.86
4,NEARUSDT,2022-03-23,2022-04-07,39.35,994.7,10420.28
6,SOLUSDT,2022-03-24,2022-03-25,-5.3,994.7,9894.28
5,UNIUSDT,2022-03-24,2022-04-06,-5.3,994.7,9908.51
7,BTCUSDT,2022-03-24,2022-04-08,-4.25,994.7,10378.0
8,BNBUSDT,2022-03-27,2022-04-11,-5.3,989.43,10325.56
9,NEARUSDT,2022-08-05,2022-08-06,-5.3,1032.56,10270.84
10,ZECUSDT,2022-08-05,2022-08-19,-5.3,1032.56,9999.24
11,AAVEUSDT,2022-08-10,2022-08-12,-5.3,1027.08,10216.4
12,SOLUSDT,2022-08-12,2022-08-15,-5.3,1021.64,10162.26
13,ADAUSDT,2022-08-13,2022-08-17,-5.3,1021.64,10053.96
14,DOGEUSDT,2022-08-14,2022-08-15,-5.3,1021.64,10108.11
15,SOLUSDT,2022-09-12,2022-09-13,-5.3,999.92,9946.24
16,NEARUSDT,2022-11-04,2022-11-06,-5.3,994.62,9893.53
17,XRPUSDT,2022-11-04,2022-11-06,-5.3,994.62,9840.81
18,AAVEUSDT,2022-11-04,2022-11-06,-5.3,994.62,9788.1
19,LINKUSDT,2023-01-11,2023-01-26,13.78,978.81,9922.98
20,XRPUSDT,2023-01-11,2023-01-26,9.46,978.81,10015.57
21,DOGEUSDT,2023-01-31,2023-02-01,-5.3,1001.56,9962.49
22,BNBUSDT,2023-02-02,2023-02-09,-5.3,996.25,9909.69
23,LINKUSDT,2023-02-17,2023-02-24,-5.3,990.97,9804.64
24,ZECUSDT,2023-02-20,2023-02-21,-5.3,990.97,9857.17
26,XRPUSDT,2023-03-21,2023-03-22,-5.3,980.46,9700.72
25,ADAUSDT,2023-03-21,2023-03-22,-5.3,980.46,9752.68
27,DOGEUSDT,2023-04-01,2023-04-02,-5.3,970.07,9649.3
28,DOGEUSDT,2023-04-03,2023-04-05,-5.3,964.93,9598.16
29,ETHUSDT,2023-04-04,2023-04-19,3.09,964.93,9627.98
30,ZECUSDT,2023-04-09,2023-04-19,-5.3,959.82,9577.11
31,BTCUSDT,2023-04-10,2023-04-20,-5.3,959.82,9424.5
32,SOLUSDT,2023-04-11,2023-04-19,-5.3,959.82,9526.24
33,NEARUSDT,2023-04-12,2023-04-19,-5.3,959.82,9475.37
34,ADAUSDT,2023-04-13,2023-04-20,-5.3,959.82,9373.63
36,LINKUSDT,2023-04-14,2023-04-21,-5.3,959.82,9322.75
35,BNBUSDT,2023-04-14,2023-04-29,-2.43,959.82,9299.43
37,BTCUSDT,2023-06-20,2023-07-05,7.46,929.94,9368.81
38,TRXUSDT,2023-06-30,2023-07-15,5.76,929.94,9174.1
40,BTCUSDT,2023-07-13,2023-07-17,-5.3,936.88,9124.44
44,XRPUSDT,2023-07-13,2023-07-14,-5.3,936.88,9120.53
41,ADAUSDT,2023-07-13,2023-07-14,-5.3,936.88,9269.5
42,DOGEUSDT,2023-07-13,2023-07-14,-5.3,936.88,9219.84
39,ETHUSDT,2023-07-13,2023-07-14,-5.3,936.88,9319.15
43,LINKUSDT,2023-07-13,2023-07-14,-5.3,936.88,9170.19
45,DOGEUSDT,2023-07-15,2023-07-17,-5.3,917.41,9075.82
46,DOGEUSDT,2023-07-21,2023-08-05,3.1,907.58,9055.85
47,TRXUSDT,2023-07-22,2023-07-30,-5.3,907.58,9027.72
48,DOGEUSDT,2023-10-01,2023-10-04,-5.3,905.59,8911.86
49,NEARUSDT,2023-10-01,2023-10-02,-5.3,905.59,9007.86
51,UNIUSDT,2023-10-01,2023-10-02,-5.3,905.59,8959.86
50,ADAUSDT,2023-10-01,2023-10-04,-5.3,905.59,8863.87
52,XRPUSDT,2023-10-03,2023-10-09,-5.3,895.99,8816.38
53,SOLUSDT,2023-10-19,2023-11-03,57.94,881.64,9234.0
54,LINKUSDT,2023-10-21,2023-11-05,36.91,881.64,9559.41
55,AAVEUSDT,2023-10-21,2023-11-05,26.86,881.64,9796.22
58,PEPEUSDT,2023-10-23,2023-10-24,-5.3,881.64,8769.65
56,PROMUSDT,2023-10-23,2023-11-07,3.3,881.64,9825.31
57,DOGEUSDT,2023-10-23,2023-11-07,8.54,881.64,9900.6
59,UNIUSDT,2023-11-01,2023-11-02,-5.3,876.97,8723.18
60,PROMUSDT,2023-11-10,2023-11-14,-5.3,990.06,9848.13
61,PEPEUSDT,2023-12-04,2023-12-13,-5.3,984.81,9743.74
62,XRPUSDT,2023-12-06,2023-12-11,-5.3,984.81,9795.93
63,AAVEUSDT,2023-12-14,2023-12-17,-5.3,974.37,9692.1
64,WLDUSDT,2023-12-16,2023-12-20,-5.3,974.37,9640.46
65,SUIUSDT,2023-12-23,2023-12-24,-5.3,964.05,9589.36
66,AAVEUSDT,2023-12-27,2023-12-31,-5.3,958.94,9538.54
67,BTCUSDT,2024-01-02,2024-01-03,-5.3,953.85,9487.98
68,BTCUSDT,2024-01-08,2024-01-10,-5.3,948.8,9437.7
69,ETHUSDT,2024-01-10,2024-01-18,-5.3,943.77,9337.66
70,TRXUSDT,2024-01-13,2024-01-15,-5.3,943.77,9387.68
71,UNIUSDT,2024-02-09,2024-02-24,68.91,933.77,9833.17
72,BNBUSDT,2024-02-09,2024-02-24,17.51,933.77,9996.67
73,NEARUSDT,2024-02-12,2024-02-13,-5.3,933.77,9288.17
74,WLDUSDT,2024-02-12,2024-02-27,174.1,933.77,11622.36
75,NEARUSDT,2024-02-14,2024-02-17,-5.3,928.82,9238.94
76,DOGEUSDT,2024-02-14,2024-02-29,36.92,928.82,11965.28
77,XRPUSDT,2024-02-15,2024-02-21,-5.3,928.82,9189.71
78,SOLUSDT,2024-02-28,2024-03-05,-5.3,1162.24,11840.26
79,LINKUSDT,2024-03-02,2024-03-03,-5.3,1196.53,11901.86
80,LINKUSDT,2024-03-10,2024-03-12,-5.3,1184.03,11777.51
84,AAVEUSDT,2024-05-20,2024-05-22,-5.3,1177.75,11715.09
81,UNIUSDT,2024-05-20,2024-05-23,-5.3,1177.75,11652.67
83,ZECUSDT,2024-05-20,2024-05-23,-5.3,1177.75,11590.25
82,ETHUSDT,2024-05-20,2024-06-04,3.75,1177.75,11510.9
85,BNBUSDT,2024-05-21,2024-05-23,-5.3,1177.75,11527.83
86,ZECUSDT,2024-05-24,2024-05-26,-5.3,1152.78,11466.73
87,PROMUSDT,2024-05-25,2024-06-08,-5.3,1152.78,11449.8
88,BNBUSDT,2024-06-03,2024-06-12,-5.3,1146.67,11389.02
89,TRXUSDT,2024-06-22,2024-07-07,3.88,1138.9,11433.21
90,SOLUSDT,2024-07-15,2024-07-30,12.11,1143.32,11571.67
91,AAVEUSDT,2024-08-01,2024-08-02,-5.3,1157.17,11510.34
94,NEARUSDT,2024-08-23,2024-08-27,-5.3,1151.03,11266.32
92,PEPEUSDT,2024-08-23,2024-08-26,-5.3,1151.03,11388.33
93,DOGEUSDT,2024-08-23,2024-08-26,-5.3,1151.03,11327.33
95,WLDUSDT,2024-08-24,2024-08-25,-5.3,1151.03,11449.34
97,WLDUSDT,2024-09-19,2024-09-22,-5.3,1126.63,11206.61
98,ENAUSDT,2024-09-19,2024-10-04,24.54,1126.63,10950.43
96,SOLUSDT,2024-09-19,2024-10-03,-5.3,1126.63,10673.95
100,PEPEUSDT,2024-09-20,2024-09-22,-5.3,1126.63,11146.9
99,ETHUSDT,2024-09-20,2024-10-01,-5.3,1126.63,11027.48
101,NEARUSDT,2024-09-21,2024-09-22,-5.3,1126.63,11087.19
102,WLDUSDT,2024-09-23,2024-10-01,-5.3,1108.72,10968.71
103,ADAUSDT,2024-09-24,2024-10-01,-5.3,1108.72,10909.95
104,LINKUSDT,2024-09-24,2024-10-01,-5.3,1108.72,10851.19
106,UNIUSDT,2024-09-26,2024-10-01,-5.3,1108.72,10792.43
105,PEPEUSDT,2024-09-26,2024-10-02,-5.3,1108.72,10733.67
109,UNIUSDT,2024-10-10,2024-10-13,-5.3,1095.04,10892.39
110,SUIUSDT,2024-10-11,2024-10-22,-5.3,1095.04,10776.62
111,WLDUSDT,2024-10-14,2024-10-15,-5.3,1089.24,10834.66
112,ADAUSDT,2024-10-20,2024-10-23,-5.3,1083.47,10719.2
114,LINKUSDT,2024-10-20,2024-10-23,-5.3,1083.47,10661.78
113,SOLUSDT,2024-10-20,2024-11-03,-5.3,1083.47,10491.64
115,TRXUSDT,2024-10-24,2024-11-08,-2.55,1066.18,10408.85
116,PROMUSDT,2024-10-25,2024-10-26,-5.3,1066.18,10605.27
117,LINKUSDT,2024-10-30,2024-10-31,-5.3,1060.53,10549.06
120,ENAUSDT,2024-11-06,2024-11-21,21.65,1049.16,11380.89
119,BTCUSDT,2024-11-06,2024-11-21,29.8,1049.16,11153.75
118,SUIUSDT,2024-11-06,2024-11-21,57.03,1049.16,10841.1
123,UNIUSDT,2024-11-06,2024-11-07,-5.3,1049.16,10436.03
122,ZECUSDT,2024-11-06,2024-11-12,-5.3,1049.16,10353.24
121,SOLUSDT,2024-11-06,2024-11-21,37.1,1049.16,11770.13
124,AAVEUSDT,2024-11-06,2024-11-14,-5.3,1049.16,10242.76
125,ETHUSDT,2024-11-07,2024-11-22,14.63,1043.6,11867.65
127,BNBUSDT,2024-11-09,2024-11-21,-5.3,1040.88,11714.97
129,TRXUSDT,2024-11-12,2024-11-13,-5.3,1035.32,10298.37
130,PROMUSDT,2024-11-25,2024-11-26,-5.3,1186.76,11804.75
132,PROMUSDT,2024-11-27,2024-12-09,-5.3,1180.47,11617.38
131,ENAUSDT,2024-11-27,2024-12-12,46.01,1180.47,12036.71
133,WLDUSDT,2024-11-28,2024-11-29,-5.3,1180.47,11742.18
134,BNBUSDT,2024-12-03,2024-12-05,-5.3,1174.22,11679.95
135,SUIUSDT,2024-12-05,2024-12-09,-5.3,1167.99,11555.48
136,PEPEUSDT,2024-12-07,2024-12-09,-5.3,1167.99,11493.58
137,BTCUSDT,2024-12-15,2024-12-19,-5.3,1203.67,11972.92
138,BTCUSDT,2025-01-17,2025-01-27,-5.3,1197.29,11909.46
139,ETHUSDT,2025-02-23,2025-02-24,-5.3,1190.95,11846.34
140,ZECUSDT,2025-03-02,2025-03-03,-5.3,1184.63,11783.56
147,SUIUSDT,2025-04-22,2025-05-07,24.59,1178.36,11860.53
146,WLDUSDT,2025-04-22,2025-05-07,10.43,1178.36,11570.77
144,LINKUSDT,2025-04-22,2025-05-06,-5.3,1178.36,11347.71
