,mittlere_exposure_pct
2022-03-01,36.32
2022-04-01,34.29
2022-05-01,30.84
2022-06-01,28.37
2022-07-01,28.9
2022-08-01,29.68
2022-09-01,28.75
2022-10-01,30.84
2022-11-01,29.35
2022-12-01,36.12
2023-01-01,36.23
2023-02-01,42.04
2023-03-01,38.96
2023-04-01,44.81
2023-05-01,45.18
2023-06-01,39.79
2023-07-01,34.84
2023-08-01,44.71
2023-09-01,34.87
2023-10-01,34.85
2023-11-01,29.0
2023-12-01,41.45
2024-01-01,50.97
2024-02-01,43.68
2024-03-01,38.61
2024-04-01,38.38
2024-05-01,36.77
2024-06-01,37.21
2024-07-01,37.21
2024-08-01,27.13
2024-09-01,33.95
2024-10-01,40.38
2024-11-01,40.92
2024-12-01,38.38
2025-01-01,37.87
2025-02-01,41.73
2025-03-01,39.0
2025-04-01,31.82
2025-05-01,37.11
2025-06-01,40.64
2025-07-01,36.11
2025-08-01,39.19
2025-09-01,38.07
2025-10-01,39.24
2025-11-01,41.99
2025-12-01,41.3
2026-01-01,40.38
2026-02-01,40.38
2026-03-01,40.58
2026-04-01,41.15
2026-05-01,44.63
2026-06-01,42.74
2026-07-01,47.45
2026-08-01,44.08
