,mittlere_exposure_pct
2016-10-01,61.48
2016-11-01,49.04
2016-12-01,52.2
2017-01-01,57.77
2017-02-01,53.83
2017-03-01,67.21
2017-04-01,67.38
2017-05-01,58.56
2017-06-01,58.15
2017-07-01,60.73
2017-08-01,64.17
2017-09-01,57.67
2017-10-01,58.79
2017-11-01,61.75
2017-12-01,54.37
2018-01-01,48.28
2018-02-01,35.25
2018-03-01,47.38
2018-04-01,55.96
2018-05-01,60.89
2018-06-01,76.39
2018-07-01,59.9
2018-08-01,68.51
2018-09-01,66.94
2018-10-01,62.17
2018-11-01,52.28
2018-12-01,55.76
2019-01-01,34.83
2019-02-01,57.08
2019-03-01,69.59
2019-04-01,73.3
2019-05-01,68.81
2019-06-01,57.39
2019-07-01,72.76
2019-08-01,58.53
2019-09-01,70.8
2019-10-01,56.31
2019-11-01,56.19
2019-12-01,51.92
2020-01-01,60.56
2020-02-01,48.44
2020-03-01,38.36
2020-04-01,22.04
2020-05-01,48.12
2020-06-01,59.34
2020-07-01,66.09
2020-08-01,56.26
2020-09-01,63.51
2020-10-01,60.99
2020-11-01,49.67
2020-12-01,68.82
2021-01-01,70.56
2021-02-01,52.6
2021-03-01,55.46
2021-04-01,66.69
2021-05-01,69.72
2021-06-01,66.31
2021-07-01,60.66
2021-08-01,59.17
2021-09-01,61.31
2021-10-01,51.95
2021-11-01,67.13
2021-12-01,56.1
2022-01-01,59.65
2022-02-01,64.22
2022-03-01,57.08
2022-04-01,60.28
2022-05-01,59.94
2022-06-01,53.02
2022-07-01,51.65
2022-08-01,56.97
2022-09-01,49.67
2022-10-01,58.82
2022-11-01,58.95
2022-12-01,72.83
2023-01-01,76.58
2023-02-01,75.99
2023-03-01,68.19
2023-04-01,73.19
2023-05-01,80.05
2023-06-01,69.64
2023-07-01,64.33
2023-08-01,69.93
2023-09-01,59.06
2023-10-01,55.2
2023-11-01,59.4
2023-12-01,72.4
2024-01-01,82.25
2024-02-01,73.6
2024-03-01,61.7
2024-04-01,58.54
2024-05-01,51.38
2024-06-01,57.96
2024-07-01,62.68
2024-08-01,37.77
2024-09-01,55.89
2024-10-01,65.21
2024-11-01,59.08
2024-12-01,58.18
2025-01-01,58.0
2025-02-01,67.13
2025-03-01,68.96
2025-04-01,44.02
2025-05-01,50.19
2025-06-01,68.16
2025-07-01,67.36
2025-08-01,68.98
2025-09-01,69.9
2025-10-01,77.69
2025-11-01,76.26
2025-12-01,72.68
2026-01-01,73.98
2026-02-01,66.45
2026-03-01,65.32
2026-04-01,67.11
2026-05-01,67.63
2026-06-01,74.85
2026-07-01,83.48
2026-08-01,61.47
2026-09-01,30.69
