,mittlere_exposure_pct
2021-09-01,22.41
2021-10-01,17.26
2021-11-01,25.01
2021-12-01,16.41
2022-01-01,30.44
2022-02-01,32.13
2022-03-01,24.82
2022-04-01,18.85
2022-05-01,17.5
2022-06-01,25.44
2022-07-01,19.23
2022-08-01,17.73
2022-09-01,21.02
2022-10-01,21.57
2022-11-01,22.21
2022-12-01,26.97
2023-01-01,27.63
2023-02-01,30.5
2023-03-01,27.48
2023-04-01,37.68
2023-05-01,33.64
2023-06-01,34.64
2023-07-01,21.63
2023-08-01,32.24
2023-09-01,24.05
2023-10-01,21.39
2023-11-01,25.77
2023-12-01,36.8
2024-01-01,39.73
2024-02-01,33.68
2024-03-01,22.74
2024-04-01,20.59
2024-05-01,21.46
2024-06-01,16.29
2024-07-01,23.89
2024-08-01,19.48
2024-09-01,19.63
2024-10-01,25.95
2024-11-01,22.39
2024-12-01,20.63
2025-01-01,20.73
2025-02-01,26.82
2025-03-01,25.85
2025-04-01,26.04
2025-05-01,21.54
2025-06-01,21.79
2025-07-01,24.04
2025-08-01,20.25
2025-09-01,26.91
2025-10-01,32.5
2025-11-01,25.06
2025-12-01,32.2
2026-01-01,34.0
2026-02-01,29.45
2026-03-01,33.1
2026-04-01,31.98
2026-05-01,24.42
2026-06-01,27.55
2026-07-01,36.08
2026-08-01,33.17
