,kapital_zu_marktpreisen
2022-03-17,102.62524496149453
2022-03-18,103.05070440977764
2022-03-19,102.83331546333919
2022-03-20,102.51704975073666
2022-03-21,102.5589930159187
2022-03-22,103.62805085248972
2022-03-23,103.55846744469255
2022-03-24,105.23526393491663
2022-03-25,104.13159414106929
2022-03-26,104.50168549328353
2022-03-27,105.17388012225886
2022-03-28,105.1443120338543
2022-03-29,105.9734181524984
2022-03-30,105.72593528359224
2022-03-31,105.08335733090966
2022-04-01,105.46506541856417
2022-04-02,104.91445623655774
2022-04-03,105.68667331185446
2022-04-04,105.1326840548345
2022-04-05,104.7199088128953
2022-04-06,103.79463185651817
2022-04-07,105.13511962274289
2022-04-08,103.81919433375646
2022-04-09,104.19619849078548
2022-04-10,103.86254427063437
2022-04-11,103.49325408994011
2022-04-12,103.30806284210819
2022-04-13,103.59110755616906
2022-04-14,103.31738954607727
2022-04-15,103.40791166729387
2022-04-16,103.38337625457993
2022-04-17,103.17576545011491
2022-04-18,103.01203007589736
2022-04-19,103.44543591511423
2022-04-20,103.16179260521218
2022-04-21,102.05533750808333
2022-04-22,101.6826999317681
2022-04-23,101.59382402226689
2022-04-24,101.58751765706062
2022-04-25,101.22286506904466
2022-04-26,100.00828206599446
2022-04-27,100.30059976053435
2022-04-28,100.66255305173624
2022-04-29,99.5961655037708
2022-04-30,99.63267624481138
2022-05-01,99.55808548741778
2022-05-02,99.79035580050912
2022-05-03,100.09005881895312
2022-05-04,100.89073442708131
2022-05-05,99.03588075222636
2022-05-06,98.8798964564693
2022-05-07,99.33281912949894
2022-05-08,99.2462900055524
2022-05-09,98.1960103922644
2022-05-10,98.29191083110398
2022-05-11,96.22741530358365
2022-05-12,97.30288756949379
2022-05-13,98.44236091317086
2022-05-14,98.74845448052672
2022-05-15,99.36458555135562
2022-05-16,98.19128621315305
2022-05-17,99.42481941053006
2022-05-18,97.40812420064445
2022-05-19,98.30363870410338
2022-05-20,97.69844548927797
2022-05-21,98.0640392483312
2022-05-22,98.47283407851043
2022-05-23,97.69391977727001
2022-05-24,97.36770354547492
2022-05-25,97.65908313317139
2022-05-26,98.3638392734
2022-05-27,98.77411947272728
2022-05-28,98.84564888825109
2022-05-29,98.88868717880148
2022-05-30,99.16276024311655
2022-05-31,98.71523095897116
2022-06-01,98.00334588584008
2022-06-02,98.54772000070598
2022-06-03,98.25847667680661
2022-06-04,98.20485344872972
2022-06-05,98.30702321659216
2022-06-06,98.79436965359989
2022-06-07,98.47347228884776
2022-06-08,98.23196410821716
2022-06-09,97.73221710156987
2022-06-10,96.91709375540705
2022-06-11,97.18843425276731
2022-06-12,97.2429861244946
2022-06-13,95.53789674064798
2022-06-14,94.90410784581555
2022-06-15,95.36461062696789
2022-06-16,94.48571503976096
2022-06-17,94.39048939997224
2022-06-18,93.31387155047655
