,kapital_zu_marktpreisen
2016-10-28,99.37627064687697
2016-10-29,99.5553557401675
2016-10-30,99.5553557401675
2016-10-31,99.53620380634241
2016-11-01,99.24623896770449
2016-11-02,98.83410599036617
2016-11-03,98.37838119447174
2016-11-04,98.35190832489596
2016-11-05,98.54447069687447
2016-11-06,98.54447069687447
2016-11-07,100.19112098887908
2016-11-08,100.09658090122309
2016-11-09,101.23338116472712
2016-11-10,101.25280617053029
2016-11-11,101.39520727686491
2016-11-12,101.04153516730648
2016-11-13,101.04153516730648
2016-11-14,101.37746337887563
2016-11-15,101.68953249220505
2016-11-16,101.92884679558901
2016-11-17,102.15468864020447
2016-11-18,102.24329805500516
2016-11-19,102.1744777237782
2016-11-20,102.1744777237782
2016-11-21,102.78287723907523
2016-11-22,103.10125957482025
2016-11-23,102.9365947755373
2016-11-24,102.75775364202677
2016-11-25,102.9974386588424
2016-11-26,102.97547240244864
2016-11-27,102.97547240244864
2016-11-28,102.98853002894315
2016-11-29,102.85702663641555
2016-11-30,103.06893479940726
2016-12-01,102.10076690089006
2016-12-02,102.4255278304609
2016-12-03,102.1891874522494
2016-12-04,102.1891874522494
2016-12-05,103.01770509085364
2016-12-06,103.65319128882822
2016-12-07,104.5699944890403
2016-12-08,104.01879821674817
2016-12-09,104.17352458612368
2016-12-10,104.23625525137288
2016-12-11,104.23625525137288
2016-12-12,104.17779429042494
2016-12-13,105.00192466503415
2016-12-14,104.40045475681289
2016-12-15,104.37710927676156
2016-12-16,104.29781074949148
2016-12-17,104.0729081646906
2016-12-18,104.0729081646906
2016-12-19,104.22453177278375
2016-12-20,104.4126087904061
2016-12-21,104.32523032031715
2016-12-22,104.22206310952356
2016-12-23,104.30627702449755
2016-12-24,104.33189444910383
2016-12-25,104.33189444910383
2016-12-26,104.33189444910383
2016-12-27,104.38337899686977
2016-12-28,103.87947537657848
2016-12-29,103.74265928061126
2016-12-30,103.45666062483798
2016-12-31,103.43745477383791
2017-01-01,103.43745477383791
2017-01-02,103.43745477383791
2017-01-03,104.13881739308889
2017-01-04,104.48309164775618
2017-01-05,104.66566746020705
2017-01-06,105.07596321223386
2017-01-07,104.91795848749814
2017-01-08,104.91795848749814
2017-01-09,104.85754338400666
2017-01-10,104.95082707092101
2017-01-11,105.09324023577256
2017-01-12,104.91649432689232
2017-01-13,104.97305514629292
2017-01-14,105.08209029598576
2017-01-15,105.08209029598576
2017-01-16,105.08209029598576
2017-01-17,104.54810442826191
2017-01-18,104.88348496045036
