time,symbol,pnl_pct,allocation,capital_after
2016-11-11,NEM,-3.3,1000.0,9967.0
2017-04-12,LLY,31.94,996.7,10285.35
2017-05-03,FCX,-3.3,996.7,10252.45
2017-05-04,VRTX,62.57,996.7,10876.09
2017-05-26,AMD,16.47,996.7,11040.25
2017-06-01,STX,22.0,996.7,11259.52
2017-07-03,NEM,-3.3,996.7,11226.63
2017-10-25,GE,-3.3,1122.66,11189.58
2017-11-07,HWM,13.57,1125.95,11342.37
2017-12-12,MU,53.2,1122.66,11939.63
2017-12-18,STX,38.75,1122.66,12374.66
2018-01-03,SLB,15.52,1122.66,12548.9
2018-01-19,GE,-3.3,1237.47,12508.06
2018-03-19,MCK,9.72,1118.96,12616.83
2018-03-20,GE,-3.3,1250.81,12575.55
2018-03-27,GILD,6.97,1134.24,12654.61
2018-04-20,WELL,-3.3,1250.81,12613.33
2018-04-23,PG,-3.3,1257.55,12571.83
2018-04-23,KLAC,-3.3,1265.46,12530.07
2018-06-20,AMGN,12.25,1250.81,12683.29
2018-06-20,ISRG,27.98,1250.81,13033.27
2018-07-12,EQIX,20.6,1250.81,13290.93
2018-08-08,LOW,19.86,1265.46,13542.26
2018-08-10,NFLX,27.22,1265.46,13886.71
2018-09-06,LRCX,-3.3,1303.33,13843.7
2018-09-07,MMM,12.25,1253.01,13997.2
2018-09-07,TSLA,-3.3,1388.67,13951.37
2018-09-11,USB,10.64,1253.01,14084.69
2018-09-14,BMY,22.06,1253.01,14361.1
2018-10-10,AMD,-3.3,1436.11,14313.71
2018-10-11,SCHW,-3.3,1388.67,14267.89
2018-10-23,KLAC,-3.3,1426.79,14220.8
2018-10-26,WDC,-3.3,1408.47,14174.32
2018-10-26,STX,-3.3,1422.08,14127.39
2018-10-29,GOOG,-3.3,1422.08,14080.47
2018-10-31,HWM,23.48,1303.33,14386.49
2018-11-14,PSX,-3.3,1408.05,14340.02
2018-11-20,AVGO,14.11,1329.09,14527.56
2018-11-20,MPC,-3.3,1434.0,14480.23
2018-12-10,FCX,-3.3,1412.74,14433.61
2018-12-17,PWR,-3.3,1422.08,14386.69
2018-12-19,LRCX,-3.3,1426.79,14339.6
2018-12-19,TXN,-3.3,1438.65,14292.13
2018-12-20,PNC,-3.3,1422.08,14245.2
2018-12-20,AAPL,-3.3,1443.36,14197.57
2018-12-24,SPGI,-3.3,1412.74,14150.95
2019-01-23,QCOM,-3.3,1448.02,14103.16
2019-04-03,REGN,22.46,1448.02,14428.39
2019-05-06,VRTX,14.83,1415.09,14638.25
2019-05-06,MCK,17.79,1415.09,14889.99
2019-05-06,NOW,70.43,1415.09,15886.64
2019-05-06,MS,31.31,1415.09,16329.71
2019-05-07,WDC,42.74,1415.09,16934.52
2019-05-07,VLO,23.64,1415.09,17269.05
2019-05-13,TSLA,-3.3,1442.84,17221.43
2019-06-17,WDC,-3.3,1722.14,17164.6
2019-07-11,REGN,-3.3,1722.14,17107.77
2019-08-05,COP,-3.3,1722.14,17050.94
2019-08-05,DELL,-3.3,1716.46,16994.3
2019-08-15,FCX,-3.3,1722.14,16937.47
2019-08-28,DELL,-3.3,1693.75,16881.57
2019-10-04,ADI,18.76,1722.14,17204.65
2019-10-08,PSX,26.5,1722.14,17661.02
2019-10-09,FTNT,12.8,1722.14,17881.45
2019-10-22,QCOM,16.18,1722.14,18160.09
2019-10-31,WDC,-3.3,1766.1,18101.81
2019-11-06,UBER,-3.3,1788.15,18042.8
2019-12-23,COP,28.36,1693.75,18523.15
2019-12-23,WMB,7.63,1693.75,18652.38
2020-01-07,CAT,31.72,1688.16,19187.87
2020-01-07,SLB,34.48,1688.16,19769.94
2020-02-25,UPS,-3.3,1976.99,19704.7
2020-02-27,SBUX,-3.3,1810.18,19644.97
2020-02-27,MPC,-3.3,1976.99,19579.73
2020-03-06,UBER,-3.3,1957.97,19515.11
2020-03-09,CRWD,-3.3,1804.28,19455.57
2020-03-09,MU,-3.3,1957.97,19390.96
2020-03-09,XOM,-3.3,1957.97,19326.34
2020-03-09,BNY,-3.3,1957.97,19261.73
2020-03-11,AXP,-3.3,1926.17,19198.17
2020-03-11,PSX,-3.3,1926.17,19134.6
2020-03-12,INTC,-3.3,1926.17,19071.04
2020-03-12,COF,-3.3,1926.17,19007.48
2020-03-12,COP,-3.3,1926.17,18943.91
2020-03-12,MRK,-3.3,1926.17,18880.35
2020-03-12,ANET,-3.3,1926.17,18816.79
2020-03-16,HCA,-3.3,1881.68,18754.69
2020-03-16,MPC,-3.3,1881.68,18692.6
2020-03-16,WFC,-3.3,1881.68,18630.5
2020-03-16,FTNT,-3.3,1881.68,18568.4
2020-03-17,PNC,-3.3,1881.68,18506.31
2020-03-18,SLB,-3.3,1926.17,18442.75
2020-03-18,JPM,-3.3,1881.68,18380.65
2020-03-19,BAC,-3.3,1881.68,18318.55
2020-03-20,DUK,-3.3,1856.84,18257.28
2020-03-20,HWM,-3.3,1838.06,18196.62
2020-03-23,SO,-3.3,1856.84,18135.35
2020-03-23,PLD,-3.3,1856.84,18074.07
2020-03-23,UNH,-3.3,1838.06,18013.41
2020-03-23,BKNG,-3.3,1831.86,17952.96
2020-04-02,MAR,-3.3,1795.3,17893.72
2020-04-03,COF,-3.3,1795.3,17834.47
2020-07-23,CSX,50.63,1856.84,18774.59
2020-07-24,CRWD,212.78,1850.63,22712.36
2020-07-30,CB,41.8,1795.3,23462.8
2020-07-30,LMT,44.01,1795.3,24252.91
2020-07-30,TJX,57.4,1795.3,25283.41
2020-07-30,C,48.2,1795.3,26148.74
2020-08-12,BAC,36.47,1783.45,26799.16
2020-08-12,ACN,55.91,1783.45,27796.29
2020-10-28,CVX,-3.3,2779.63,27704.56
