time,symbol,pnl_pct,allocation,capital_after
2016-10-31,NEM,5.1,1000.0,10051.0
2016-12-15,LLY,5.82,1005.1,10109.5
2017-01-04,VRTX,8.44,1010.95,10194.82
2017-01-19,AMD,5.61,1019.48,10252.01
2017-01-24,STX,3.18,1025.2,10284.62
2017-03-21,NEM,3.47,1028.46,10320.3
2017-03-30,FCX,8.83,1028.46,10411.12
2017-07-10,HWM,6.65,1041.11,10480.35
2017-08-07,MU,4.1,1048.04,10523.32
2017-09-14,SLB,8.8,1052.33,10615.92
2017-09-15,STX,6.19,1052.33,10681.06
2017-10-25,GE,-3.3,1068.11,10645.82
2017-11-08,MCK,4.25,1064.58,10691.06
2017-11-29,GILD,4.98,1069.11,10744.3
2018-01-05,GE,7.97,1074.43,10829.93
2018-02-12,AMGN,4.33,1082.99,10876.83
2018-02-12,ISRG,4.17,1082.99,10921.99
2018-03-06,EQIX,5.12,1092.2,10977.91
2018-03-12,GE,8.26,1082.99,11067.37
2018-03-29,PG,5.13,1106.74,11124.14
2018-04-04,LOW,5.17,1112.41,11181.65
2018-04-05,NFLX,5.16,1118.17,11239.35
2018-04-05,KLAC,4.33,1118.17,11287.77
2018-04-10,MRVL,5.06,1128.78,11344.88
2018-04-10,ANET,3.87,1128.78,11388.57
2018-04-17,AMD,7.95,1128.78,11478.3
2018-04-20,WELL,-3.3,1082.99,11442.57
2018-04-27,CMCSA,-3.3,1138.86,11404.98
2018-05-04,USB,2.88,1140.5,11437.83
2018-05-08,WFC,7.13,1147.83,11519.67
2018-05-09,MMM,6.29,1140.5,11591.41
2018-05-21,MNST,5.53,1159.14,11655.51
2018-06-15,BMY,8.98,1151.97,11758.95
2018-07-09,LRCX,5.72,1175.9,11826.22
2018-07-16,HWM,12.14,1175.9,11968.97
2018-07-20,PM,9.17,1196.9,12078.72
2018-07-23,AVGO,7.67,1196.9,12170.53
2018-09-07,TSLA,-3.3,1217.05,12130.36
2018-09-19,SCHW,4.84,1217.05,12189.27
2018-09-20,WDC,12.74,1213.04,12343.81
2018-10-10,AMD,-3.3,1234.38,12303.08
2018-10-17,LRCX,10.0,1230.31,12426.11
2018-10-23,KLAC,-3.3,1230.31,12385.51
2018-10-24,STX,6.35,1238.55,12464.15
2018-10-25,GOOG,4.31,1246.42,12517.87
2018-10-29,PWR,3.86,1246.42,12565.99
2018-10-29,PNC,5.93,1246.42,12639.9
2018-10-29,FCX,6.99,1251.79,12727.4
2018-10-31,SPGI,6.9,1251.79,12813.77
2018-10-31,BAC,5.06,1251.79,12877.11
2018-10-31,PSX,5.58,1272.74,12948.13
2018-10-31,MU,9.05,1272.74,13063.31
2018-11-02,MCO,7.91,1272.74,13163.99
2018-11-02,EQIX,4.82,1272.74,13225.33
2018-11-15,TXN,5.28,1322.53,13295.16
2018-11-20,MPC,-3.3,1322.53,13251.52
2018-11-21,WDC,9.2,1322.53,13373.19
2018-11-26,REGN,5.29,1325.15,13443.29
2018-11-26,ANET,4.0,1337.32,13496.79
2018-11-29,QCOM,5.31,1325.15,13567.15
2018-11-29,NVDA,12.03,1337.32,13728.03
2018-12-17,WMB,-3.3,1322.53,13684.39
2018-12-20,AAPL,-3.3,1372.8,13639.09
2018-12-26,VRTX,5.29,1363.91,13711.24
2018-12-26,NOW,4.68,1363.91,13775.07
2018-12-26,MS,6.26,1363.91,13860.45
2018-12-28,MCK,4.53,1363.91,13922.23
2018-12-28,WDC,10.55,1386.04,14068.46
2018-12-28,VLO,8.28,1386.04,14183.22
2019-01-02,HWM,7.48,1418.32,14289.32
2019-01-04,TMO,4.61,1428.93,14355.19
2019-01-07,APH,4.36,1428.93,14417.49
2019-01-07,ANET,5.6,1428.93,14497.51
2019-01-14,UNH,4.88,1428.93,14567.24
2019-05-02,TSLA,4.76,1456.72,14636.58
2019-06-04,ADI,5.26,1463.66,14713.57
2019-06-05,PSX,5.33,1463.66,14791.58
2019-06-07,FCX,12.68,1463.66,14977.18
2019-06-10,FTNT,9.33,1463.66,15113.74
2019-06-17,WDC,-3.3,1463.66,15065.43
2019-06-18,COP,4.78,1479.16,15136.14
2019-06-18,NVDA,7.92,1511.37,15255.84
2019-06-20,REGN,9.58,1463.66,15396.06
2019-06-20,QCOM,7.22,1511.37,15505.18
2019-06-20,DELL,9.02,1506.54,15641.07
2019-07-01,BNY,5.96,1564.11,15734.29
2019-08-19,DELL,6.3,1573.43,15833.42
2019-08-19,COP,4.86,1573.43,15909.88
2019-08-30,CAT,5.57,1590.99,15998.5
2019-09-04,SLB,7.05,1590.99,16110.67
2019-09-05,PANW,3.75,1611.07,16171.08
2019-09-09,WMB,6.05,1573.43,16266.27
2019-09-11,UBER,11.21,1599.85,16445.62
2019-09-13,CRWD,-3.3,1644.56,16391.35
2019-09-25,PM,5.96,1599.85,16486.7
2019-09-26,ELV,-3.3,1626.63,16433.02
2019-10-10,WDC,3.68,1643.3,16493.49
2019-10-11,UBER,5.12,1649.35,16577.94
2019-11-15,SBUX,5.03,1657.79,16661.33
2019-12-19,CRWD,5.65,1666.13,16755.46
2020-01-31,MPC,3.9,1675.55,16820.81
2020-02-20,UPS,4.97,1682.08,16904.41
2020-03-02,MU,5.94,1690.44,17004.82
2020-03-02,XOM,11.11,1690.44,17192.63
2020-03-03,UBER,7.22,1719.26,17316.76
2020-03-09,BNY,-3.3,1731.68,17259.61
2020-03-10,SLB,40.78,1725.96,17963.46
2020-03-10,MRK,4.5,1725.96,18041.13
2020-03-10,ANET,8.21,1725.96,18182.83
2020-03-11,AXP,-3.3,1725.96,18125.87
2020-03-11,PSX,-3.3,1725.96,18068.92
2020-03-12,INTC,-3.3,1725.96,18011.96
2020-03-12,COF,-3.3,1725.96,17955.0
2020-03-12,COP,-3.3,1725.96,17898.05
2020-03-12,DIS,-3.3,1818.28,17838.04
2020-03-13,BAC,17.36,1783.8,18147.71
2020-03-13,JPM,14.18,1783.8,18400.66
2020-03-13,PNC,16.84,1783.8,18701.05
2020-03-16,HCA,-3.3,1783.8,18642.18
2020-03-16,MPC,-3.3,1783.8,18583.32
2020-03-16,WFC,-3.3,1783.8,18524.45
2020-03-16,FTNT,-3.3,1783.8,18465.59
2020-03-16,PH,-3.3,1783.8,18406.72
2020-03-17,SO,11.24,1840.67,18613.61
2020-03-17,PLD,12.54,1840.67,18844.43
2020-03-17,DUK,8.33,1840.67,18997.76
2020-03-17,KO,10.27,1840.67,19186.8
2020-03-18,CRWD,21.14,1918.68,19592.41
2020-03-19,CSX,15.97,1840.67,19886.36
2020-03-19,UNH,10.83,1959.24,20098.55
2020-03-19,AVGO,25.48,1959.24,20597.76
2020-03-19,ADP,13.55,1959.24,20863.24
2020-03-20,HWM,-3.3,1959.24,20798.58
2020-03-20,BKNG,12.01,2086.32,21049.15
2020-03-20,CME,16.29,2086.32,21389.01
2020-03-23,XOM,-3.3,1959.24,21324.36
2020-03-23,JCI,-3.3,1959.24,21259.7
2020-03-24,APH,16.56,1840.67,21564.52
2020-03-24,WDC,37.51,2086.32,22347.1
2020-03-24,MAR,14.7,2125.97,22659.62
2020-03-24,TJX,21.97,2125.97,23126.69
2020-03-24,COF,20.09,2125.97,23553.8
2020-03-24,C,14.07,2125.97,23852.92
2020-03-25,CB,15.18,2125.97,24175.65
2020-03-25,LMT,15.1,2125.97,24496.67
2020-04-06,BAC,3.62,2449.67,24585.35
2020-04-06,ACN,3.41,2449.67,24668.88
2020-04-27,WELL,8.67,2466.89,24882.76
2020-05-15,WELL,10.75,2488.28,25150.25
2020-07-13,VLO,8.17,2515.02,25355.73
2020-07-15,WFC,6.09,2535.57,25510.14
2020-07-21,PSX,5.82,2551.01,25658.61
2020-09-21,LRCX,6.78,2565.86,25832.58
2020-09-22,AMAT,6.46,2583.26,25999.46
2020-09-22,REGN,3.99,2583.26,26102.53
2020-09-23,KLAC,5.63,2565.86,26246.99
2020-09-25,HCA,4.88,2624.7,26375.07
2020-10-05,SLB,8.09,2637.51,26588.45
2020-10-05,GD,4.51,2637.51,26707.4
2020-10-06,CVX,7.54,2637.51,26906.27
2020-11-04,CRWD,6.25,2690.63,27074.43
2020-12-14,REGN,5.97,2707.44,27236.06
2020-12-16,NEM,3.99,2723.61,27344.74
2020-12-22,CRM,5.4,2723.61,27491.81
2021-02-02,SLB,5.04,2749.18,27630.37
2021-03-01,DASH,10.58,2763.04,27922.7
2021-03-04,QCOM,-3.3,2763.04,27831.52
2021-03-09,NEE,6.23,2783.15,28004.91
2021-03-11,AAPL,5.52,2783.15,28158.54
2021-03-26,TMO,4.68,2815.85,28290.32
2021-03-31,FCX,4.03,2829.03,28404.33
2021-04-01,CRM,5.11,2815.85,28548.22
2021-05-18,TSLA,5.79,2854.82,28713.51
2021-05-20,MU,4.05,2871.35,28829.8
2021-05-27,ABNB,9.04,2854.82,29087.88
2021-07-21,SLB,7.14,2908.79,29295.57
2021-07-21,GLW,4.22,2908.79,29418.32
2021-07-29,APP,12.64,2908.79,29785.99
2021-08-25,PSX,10.21,2978.6,30090.1
2021-10-04,UNP,3.52,3009.01,30196.02
2021-10-14,PLTR,6.01,3019.6,30377.5
2021-10-15,CAT,4.23,3019.6,30505.23
2021-11-29,SLB,5.17,3050.52,30662.94
2021-12-03,CRWD,-3.3,3066.29,30561.75
2021-12-07,UBER,8.23,3066.29,30814.11
2021-12-23,DIS,5.32,3081.41,30978.04
2022-01-04,MDT,8.54,3081.41,31241.19
2022-01-05,HOOD,-3.3,3081.41,31139.51
2022-01-05,CRM,-3.3,3081.41,31037.82
2022-01-26,UBER,8.43,3103.78,31299.47
2022-01-31,SYK,3.97,3129.95,31423.73
2022-01-31,BLK,4.6,3129.95,31567.7
2022-01-31,NVDA,10.82,3129.95,31906.37
2022-01-31,ADI,4.12,3129.95,32035.32
2022-01-31,PWR,5.34,3129.95,32202.46
2022-01-31,LRCX,8.69,3129.95,32474.45
2022-01-31,ANET,6.3,3129.95,32671.64
2022-01-31,SPGI,5.33,3129.95,32838.46
2022-02-04,AMZN,5.81,3283.85,33029.25
2022-02-08,MRVL,7.77,3283.85,33284.41
2022-02-09,DASH,15.24,3283.85,33784.87
2022-02-10,WDC,8.28,3302.93,34058.35
2022-02-25,QCOM,5.2,3405.84,34235.45
2022-02-25,JCI,4.82,3405.84,34399.61
2022-03-03,PFE,5.7,3439.96,34595.69
2022-03-04,KKR,-3.3,3439.96,34482.17
2022-03-14,COF,5.91,3448.22,34685.96
2022-03-15,AMD,5.21,3468.6,34866.68
2022-03-16,APP,11.85,3448.22,35275.29
2022-03-16,GLW,4.58,3468.6,35434.15
2022-03-16,DIS,4.91,3468.6,35604.46
2022-03-29,STX,5.9,3560.45,35814.53
2022-04-20,MRVL,6.12,3581.45,36033.71
2022-04-20,NOW,4.95,3581.45,36210.99
2022-05-03,APP,8.39,3621.1,36514.8
2022-05-04,DASH,-3.3,3621.1,36395.31
2022-05-04,INTU,5.06,3621.1,36578.54
2022-05-04,BA,8.62,3621.1,36890.67
2022-05-04,CRM,6.39,3621.1,37122.06
2022-05-06,NFLX,-3.3,3621.1,37002.57
2022-05-13,DHR,6.71,3700.26,37250.85
2022-05-13,FCX,6.39,3700.26,37487.3
2022-05-13,CDNS,4.81,3700.26,37665.28
2022-05-13,PANW,9.69,3700.26,38023.84
2022-05-13,NOW,5.94,3700.26,38243.63
2022-05-13,TT,5.29,3700.26,38439.38
2022-05-17,AMZN,12.66,3700.26,38907.83
2022-05-18,ABNB,-3.3,3843.94,38780.98
2022-05-18,TJX,5.96,3890.78,39012.87
2022-05-20,MA,3.89,3901.29,39164.63
2022-05-23,ACN,5.17,3916.46,39367.11
2022-05-23,PNC,4.48,3916.46,39542.57
2022-05-24,PLTR,-3.3,3901.29,39413.83
2022-05-25,MAR,4.97,3941.38,39609.71
2022-05-25,TSLA,6.04,3941.38,39847.77
2022-05-27,JCI,8.1,3700.26,40147.49
2022-05-27,CRWD,17.98,3901.29,40848.94
2022-05-31,DIS,10.18,3916.46,41247.64
2022-06-01,CME,7.41,3901.29,41536.73
2022-06-17,COST,-3.3,4153.67,41399.65
2022-06-21,HOOD,12.66,4153.67,41925.51
2022-06-21,ISRG,5.15,4153.67,42139.42
2022-06-24,STX,5.65,4213.94,42377.51
2022-06-24,LRCX,6.52,4213.94,42652.26
2022-06-27,VLO,9.9,4213.94,43069.44
2022-06-28,COP,9.66,4213.94,43476.51
2022-06-28,PSX,7.68,4213.94,43800.14
2022-06-28,CVX,6.81,4213.94,44087.11
2022-07-12,MMM,4.75,4408.71,44296.52
2022-07-18,DELL,5.64,4429.65,44546.35
2022-07-19,HCA,7.33,4408.71,44869.51
2022-07-20,NOW,4.72,4486.95,45081.3
2022-07-22,MDT,4.82,4429.65,45294.81
