time,symbol,pnl_pct,allocation,capital_after
2022-02-15,NEARUSDT,5.74,1000.0,10057.4
2022-04-07,ZECUSDT,-3.44,1005.74,10022.8
2022-04-18,NEARUSDT,2.81,1002.28,10050.97
2022-05-01,NEARUSDT,-21.42,1005.1,9835.67
2022-06-18,TRXUSDT,-20.39,983.57,9635.13
2022-08-10,UNIUSDT,8.94,963.51,9721.26
2022-08-23,UNIUSDT,-16.36,972.13,9562.22
2022-10-16,BNBUSDT,-1.71,956.22,9545.87
2022-10-21,XRPUSDT,2.14,954.59,9566.3
2022-11-12,DOGEUSDT,-21.05,956.63,9364.93
2022-11-14,XRPUSDT,-7.27,956.63,9295.38
2022-11-23,DOGEUSDT,6.11,929.54,9352.18
2022-12-17,DOGEUSDT,-17.6,935.22,9187.58
2023-01-20,DOGEUSDT,7.41,918.76,9255.66
2023-01-20,TRXUSDT,6.17,918.76,9312.35
2023-01-20,BNBUSDT,6.12,918.76,9368.57
2023-01-25,ETHUSDT,3.3,936.86,9399.49
2023-02-07,BTCUSDT,1.04,939.95,9409.27
2023-02-07,SOLUSDT,4.82,939.95,9454.57
2023-02-07,ADAUSDT,4.04,939.95,9492.55
2023-02-13,DOGEUSDT,0.5,949.25,9497.29
2023-02-13,BTCUSDT,-0.4,949.25,9493.5
2023-02-14,ETHUSDT,2.52,949.25,9517.42
2023-02-14,ADAUSDT,7.69,949.25,9590.41
2023-02-15,BNBUSDT,3.36,949.25,9622.31
2023-02-26,BNBUSDT,1.82,962.23,9639.82
2023-02-26,TRXUSDT,2.12,962.23,9660.22
2023-02-26,ETHUSDT,2.63,962.23,9685.53
2023-02-27,BTCUSDT,1.02,962.23,9695.34
2023-03-01,NEARUSDT,-0.04,962.23,9694.96
2023-03-01,UNIUSDT,3.82,962.23,9731.71
2023-03-01,AAVEUSDT,1.29,962.23,9744.13
2023-03-05,ADAUSDT,-12.17,962.23,9627.02
2023-03-07,BNBUSDT,-0.68,974.41,9620.4
2023-03-12,BTCUSDT,-1.9,974.41,9601.88
2023-03-12,TRXUSDT,-4.13,974.41,9561.64
2023-03-12,ETHUSDT,2.83,962.04,9588.87
2023-04-05,BNBUSDT,1.35,958.89,9601.81
2023-04-10,SOLUSDT,3.94,960.18,9639.64
2023-04-18,BTCUSDT,2.93,963.96,9667.89
2023-04-25,AAVEUSDT,-3.95,966.79,9629.7
2023-04-25,ADAUSDT,-1.85,966.79,9611.81
2023-04-25,SOLUSDT,-1.52,966.79,9597.12
2023-04-25,NEARUSDT,-4.55,966.79,9553.13
2023-04-25,ETHUSDT,0.64,966.79,9559.32
2023-04-25,XRPUSDT,4.24,966.79,9600.31
2023-04-25,BTCUSDT,3.51,966.79,9634.24
2023-04-25,LINKUSDT,1.96,966.79,9653.19
2023-04-30,BNBUSDT,4.55,965.32,9697.11
2023-05-03,BTCUSDT,3.11,969.71,9727.27
2023-05-05,ADAUSDT,1.61,969.71,9742.88
2023-05-05,XRPUSDT,1.07,972.73,9753.29
2023-05-12,SOLUSDT,1.06,975.33,9763.63
2023-05-12,ADAUSDT,1.12,975.33,9774.55
2023-05-12,XRPUSDT,0.21,975.33,9776.6
2023-05-13,BNBUSDT,-1.29,975.33,9764.02
2023-05-15,BTCUSDT,-2.13,975.33,9743.25
2023-05-15,ETHUSDT,0.92,975.33,9752.22
2023-06-06,BTCUSDT,5.54,975.22,9806.25
2023-06-06,ETHUSDT,3.8,975.22,9843.31
2023-06-13,TRXUSDT,-6.59,984.33,9778.44
2023-06-16,ETHUSDT,-2.22,984.33,9756.59
2023-06-18,XRPUSDT,1.1,977.84,9767.34
2023-07-10,XRPUSDT,3.12,976.73,9797.82
2023-07-10,ETHUSDT,1.55,976.73,9812.96
2023-07-10,BTCUSDT,1.43,976.73,9826.92
2023-07-21,AAVEUSDT,2.89,982.69,9855.32
2023-07-23,BTCUSDT,0.45,982.69,9859.74
2023-07-23,ETHUSDT,-0.29,982.69,9856.89
2023-07-26,SOLUSDT,7.4,985.69,9929.84
2023-07-28,XRPUSDT,1.11,985.69,9940.78
2023-08-01,XRPUSDT,0.03,994.08,9941.08
2023-08-05,TRXUSDT,-0.79,994.08,9933.22
