time,symbol,pnl_pct,allocation,capital_after
2016-09-06,ABBV,0.61,1000.0,10006.1
2016-09-06,DE,0.8,1000.0,10014.1
2016-09-07,SLB,-0.11,1000.0,10013.0
2016-09-08,BX,-0.82,1000.0,10004.8
2016-09-14,AVGO,-1.17,1001.41,9993.08
2016-09-14,AMD,-3.35,1000.48,9959.57
2016-09-15,COST,-2.57,1000.0,9933.87
2016-09-15,MAR,-2.65,1000.0,9907.37
2016-09-15,MNST,-4.12,1001.3,9866.11
2016-09-15,ORCL,0.04,1000.48,9866.51
2016-09-19,DHR,-3.68,1001.41,9829.66
2016-09-19,ACN,-1.9,1000.48,9810.65
2016-09-28,BAC,1.62,981.07,9826.55
2016-09-28,PNC,1.57,981.07,9841.95
2016-09-30,KKR,1.48,981.07,9856.47
2016-09-30,BNY,1.8,984.19,9874.18
2016-10-04,AMGN,-1.57,984.19,9858.73
2016-10-05,ICE,-2.21,981.07,9837.05
2016-10-06,CME,-2.46,981.07,9812.92
2016-10-06,MNST,0.64,984.19,9819.22
2016-10-07,NEE,-0.77,987.42,9811.61
2016-10-10,SO,-4.72,984.19,9765.16
2016-10-10,DUK,-4.35,984.19,9722.35
2016-10-10,PM,-1.3,987.42,9709.51
2016-10-10,TMUS,1.13,981.92,9720.61
2016-10-11,T,0.29,981.16,9723.45
2016-10-12,PLD,-2.23,985.87,9701.47
2016-10-13,WMT,-1.93,981.92,9682.51
2016-10-14,MMM,0.08,972.35,9683.29
2016-10-14,INTC,0.56,970.15,9688.73
2016-10-14,SCHW,1.42,968.25,9702.47
2016-10-18,FTNT,-11.73,981.16,9587.38
2016-10-18,MDT,0.12,972.35,9588.55
2016-10-18,CSCO,-2.23,972.35,9566.87
2016-10-18,STX,0.38,972.35,9570.56
2016-10-18,LIN,0.86,972.35,9578.92
2016-10-18,ABBV,1.99,970.25,9598.23
2016-10-19,KKR,0.65,970.25,9604.54
2016-10-24,UPS,0.68,960.45,9611.07
2016-10-24,CMCSA,0.65,960.45,9617.31
2016-10-24,MMM,0.74,960.45,9624.42
2016-10-25,WDC,-2.51,970.25,9600.07
2016-10-25,PG,1.37,960.45,9613.23
2016-10-31,BLK,-0.85,962.44,9605.04
2016-10-31,MRSH,0.8,961.32,9612.74
2016-10-31,MDT,0.81,961.32,9620.52
2016-11-02,UNP,-2.45,960.45,9596.99
2016-11-03,SPGI,0.23,962.05,9599.2
2016-11-04,MCO,-4.83,960.45,9552.81
2016-11-04,CAT,-2.87,961.32,9525.22
2016-11-04,HCA,-4.86,961.32,9478.5
2016-11-04,COF,-1.57,962.05,9463.4
2016-11-07,SLB,-0.11,961.32,9462.34
2016-11-07,GOOG,-0.56,962.05,9456.95
2016-11-07,GOOGL,1.43,959.7,9470.68
2016-11-07,PG,1.44,946.34,9484.31
2016-11-07,JPM,2.83,946.34,9511.09
2016-11-07,BA,2.2,946.34,9531.91
2016-11-07,AMD,5.8,946.34,9586.79
2016-11-09,LMT,5.88,959.92,9643.24
2016-11-15,AMZN,3.06,964.32,9672.75
2016-11-16,NFLX,-0.5,964.32,9667.92
2016-11-16,V,2.08,964.32,9687.98
2016-11-16,ADBE,1.32,964.32,9700.71
2016-11-16,AVGO,2.17,964.32,9721.64
2016-11-30,WMB,4.69,972.16,9767.23
2016-11-30,SLB,4.87,972.16,9814.58
2016-12-01,PSX,2.84,972.16,9842.19
2016-12-05,VLO,4.51,981.46,9886.45
2016-12-05,AMZN,0.87,981.46,9894.99
2016-12-05,ADBE,2.15,984.22,9916.15
2016-12-06,NOW,2.97,984.22,9945.38
2016-12-07,MRVL,2.93,984.22,9974.22
2016-12-07,TXN,2.24,984.22,9996.26
2016-12-08,DHR,0.63,984.22,10002.46
2016-12-09,SPGI,-3.17,972.16,9971.65
2016-12-19,LMT,-3.03,1000.25,9941.34
2016-12-20,JCI,0.76,997.16,9948.92
2016-12-20,FCX,-3.38,997.16,9915.21
2016-12-20,BKNG,0.91,997.16,9924.29
2016-12-20,ICE,-0.04,997.16,9923.89
2016-12-20,UPS,1.18,997.16,9935.66
2016-12-23,MRSH,-0.33,997.16,9932.36
2016-12-27,MRK,0.31,993.57,9935.44
2017-01-03,BX,0.16,993.57,9937.03
2017-01-03,KKR,-0.87,993.54,9928.39
2017-01-03,DIS,1.41,993.54,9942.4
2017-01-03,JCI,1.06,993.54,9952.93
2017-01-04,CME,-1.93,993.57,9933.76
2017-01-04,SBUX,-2.26,993.57,9911.3
2017-01-04,INTU,-0.72,993.54,9904.15
2017-01-05,COST,1.69,995.29,9920.97
2017-01-06,UNP,0.35,995.29,9924.45
2017-01-06,MCD,0.65,995.29,9930.92
2017-01-09,LIN,0.46,992.1,9935.48
2017-01-10,ADI,1.14,992.1,9946.79
2017-01-11,ACN,-0.72,993.54,9939.64
2017-01-11,WM,-0.85,995.29,9931.18
2017-01-12,CVX,-0.88,993.09,9922.44
2017-01-12,T,0.21,993.55,9924.53
2017-01-13,BRK-B,-0.03,994.68,9924.23
2017-01-17,CB,-0.7,990.41,9917.3
2017-01-18,PSX,-0.17,993.55,9915.61
2017-01-18,STX,0.7,993.12,9922.56
2017-01-19,RTX,0.39,991.73,9926.43
2017-01-23,AMD,-8.2,992.45,9845.05
2017-01-23,BX,-0.33,992.26,9841.77
2017-01-23,UNH,0.54,992.26,9847.13
2017-01-24,C,-4.5,992.45,9802.47
2017-01-24,GS,0.68,992.64,9809.22
2017-01-24,MRVL,3.71,984.71,9845.75
2017-01-25,BNY,-0.14,992.64,9844.36
2017-01-26,GE,-3.15,992.64,9813.09
2017-01-27,SYK,1.25,984.71,9825.4
2017-01-27,MMM,0.56,984.58,9830.92
2017-02-02,PLD,-3.99,981.31,9791.76
2017-02-02,COP,2.25,983.09,9813.88
2017-02-02,CVX,0.05,983.09,9814.37
2017-02-03,MA,-0.06,983.09,9813.78
2017-02-03,CB,1.88,983.09,9832.27
2017-02-03,TT,1.01,983.09,9842.2
2017-02-03,PWR,2.71,981.44,9868.79
2017-02-07,ADP,0.79,983.09,9876.56
2017-02-08,UPS,-3.02,983.09,9846.87
2017-02-09,SCHW,2.23,981.44,9868.76
2017-02-09,CAT,0.43,986.88,9873.0
2017-02-10,SLB,-0.64,981.44,9866.72
2017-02-10,CME,-0.09,987.66,9865.83
2017-02-10,INTU,0.94,987.3,9875.11
2017-02-13,WDC,1.5,984.69,9889.88
2017-02-13,BX,0.63,987.3,9896.1
2017-02-14,INTC,1.03,987.3,9906.27
2017-02-14,TXN,0.34,987.51,9909.63
2017-02-17,MU,0.69,990.96,9916.46
2017-02-21,NVDA,2.18,989.61,9938.04
2017-02-24,EQIX,1.98,990.96,9957.66
2017-02-27,WDC,1.89,993.8,9976.44
2017-02-27,SLB,1.41,993.8,9990.45
2017-02-28,COP,-0.17,991.65,9988.77
2017-02-28,UNP,1.44,993.8,10003.08
2017-03-01,FCX,-6.47,991.65,9938.92
2017-03-01,TT,1.77,1000.31,9956.63
2017-03-01,MRVL,1.82,1000.31,9974.83
2017-03-07,NOW,-1.09,999.05,9963.94
2017-03-08,FTNT,2.35,997.48,9987.38
2017-03-09,INTC,0.4,997.48,9991.37
2017-03-10,NEE,0.72,999.14,9998.57
2017-03-13,DUK,0.38,998.74,10002.36
2017-03-13,BX,4.0,998.74,10042.31
2017-03-13,TSLA,0.22,999.14,10044.51
2017-03-15,COST,-2.48,997.48,10019.77
2017-03-15,HCA,1.93,1004.45,10039.16
2017-03-16,SBUX,-2.79,996.39,10011.36
2017-03-16,IBM,-0.27,999.14,10008.66
2017-03-16,GS,-0.36,999.86,10005.06
2017-03-16,MS,0.75,1003.92,10012.59
2017-03-21,CVX,-1.73,998.74,9995.31
2017-03-27,MRK,-1.8,1004.45,9977.23
2017-03-28,PNC,-5.01,1004.45,9926.91
2017-03-28,COF,-6.69,1003.92,9859.75
2017-03-28,USB,-3.12,1001.26,9828.51
2017-03-28,BAC,-4.23,1001.26,9786.15
2017-03-28,JPM,-1.89,1001.26,9767.23
2017-03-28,GD,1.29,997.72,9780.1
2017-03-31,BRK-B,-3.85,1001.26,9741.55
2017-03-31,CME,-1.53,999.53,9726.26
2017-04-03,SO,0.28,978.01,9729.0
2017-04-04,AMGN,-0.51,978.01,9724.01
2017-04-04,NEE,0.8,978.01,9731.83
2017-04-05,DHR,-0.12,978.01,9730.66
2017-04-05,PG,0.02,972.9,9730.86
2017-04-05,MRSH,0.25,972.9,9733.29
2017-04-06,MRVL,-1.35,972.63,9720.16
2017-04-06,ABBV,-0.22,972.9,9718.02
2017-04-06,CDNS,0.74,973.33,9725.22
2017-04-11,ABT,-2.14,978.01,9704.29
2017-04-11,TJX,0.07,973.18,9704.97
2017-04-11,ORCL,0.11,972.52,9706.04
2017-04-12,MAR,-0.53,973.33,9700.88
2017-04-17,NVDA,-1.84,973.18,9682.98
2017-04-17,IBM,-0.9,972.52,9674.22
2017-04-17,SYK,-0.12,972.52,9673.06
2017-04-17,PFE,-0.09,970.6,9672.18
2017-04-17,MU,-0.48,970.6,9667.52
2017-04-18,ADI,-3.59,973.33,9632.58
2017-04-18,PWR,0.02,970.09,9632.77
2017-04-20,AAPL,0.27,970.6,9635.4
2017-04-20,KKR,1.84,963.28,9653.12
2017-04-21,LLY,-0.89,966.75,9644.52
2017-04-25,HCA,-1.51,966.75,9629.92
2017-04-25,COP,1.9,964.45,9648.24
2017-04-26,DHR,-0.19,965.31,9646.41
2017-05-02,TJX,1.32,964.64,9659.14
2017-05-04,SO,0.35,965.91,9662.52
2017-05-05,ADI,0.07,965.91,9663.2
2017-05-05,UNH,0.62,965.91,9669.19
2017-05-08,COP,0.62,965.91,9675.18
2017-05-08,PG,0.08,965.91,9675.95
2017-05-09,DIS,0.1,965.91,9676.91
2017-05-10,CAT,0.68,966.25,9683.48
2017-05-10,MS,0.33,967.69,9686.68
2017-05-12,ADP,-0.65,965.91,9680.4
2017-05-15,PFE,-0.39,965.91,9676.63
2017-05-15,BRK-B,-0.09,967.69,9675.76
2017-05-15,BX,0.1,967.69,9676.73
2017-05-15,MCO,0.17,968.67,9678.38
2017-05-16,INTC,-0.83,968.67,9670.34
2017-05-19,PWR,-9.2,966.92,9581.38
2017-05-19,PH,0.04,968.04,9581.77
2017-05-19,MNST,1.58,967.03,9597.05
2017-05-22,ABT,-0.6,968.67,9591.23
2017-05-22,DIS,-0.62,967.03,9585.24
2017-05-22,CSX,3.72,967.03,9621.21
2017-05-23,VLO,-0.95,967.03,9612.03
2017-05-23,LLY,-0.49,967.03,9607.29
2017-06-01,LOW,0.43,960.73,9611.42
2017-06-02,VLO,-0.86,960.73,9603.16
2017-06-02,AVGO,8.2,961.14,9681.97
2017-06-05,FTNT,0.26,960.73,9684.47
2017-06-06,JPM,0.69,960.73,9691.1
2017-06-07,BAC,0.55,960.73,9696.38
2017-06-07,DELL,1.53,968.45,9711.2
2017-06-08,CAT,1.15,971.12,9722.37
2017-06-09,DIS,-0.19,969.11,9720.52
2017-06-09,MRK,0.22,971.12,9722.66
2017-06-09,PH,2.56,971.12,9747.52
2017-06-12,ETN,0.79,971.12,9755.19
2017-06-13,TT,1.45,971.12,9769.27
2017-06-13,KO,0.3,972.24,9772.19
2017-06-13,PEP,0.07,972.24,9772.87
2017-06-13,GLW,1.25,974.75,9785.06
2017-06-13,MCO,1.5,974.75,9799.68
2017-06-15,PM,0.82,975.52,9807.68
2017-06-19,SBUX,-2.45,972.24,9783.86
2017-06-19,BKNG,0.21,974.75,9785.9
2017-06-19,KLAC,3.77,980.77,9822.88
2017-06-19,NOW,2.01,980.77,9842.59
2017-06-19,AVGO,1.03,980.77,9852.69
2017-06-19,AMD,3.98,980.77,9891.73
2017-06-20,LRCX,0.8,980.77,9899.57
2017-06-23,APH,0.17,989.96,9901.26
2017-06-26,WFC,0.56,990.13,9906.8
2017-06-26,DUK,0.56,990.13,9912.35
2017-06-27,USB,-0.07,989.96,9911.65
2017-06-28,COST,-4.45,980.77,9868.01
2017-06-28,MRSH,-0.26,989.96,9865.44
2017-06-28,CB,0.25,989.96,9867.91
2017-06-28,LOW,0.95,990.13,9877.32
2017-06-28,HD,0.97,990.13,9886.92
2017-06-28,TMO,1.17,991.23,9898.52
2017-06-28,LMT,0.49,991.17,9903.38
2017-07-03,WELL,1.39,990.34,9917.14
2017-07-05,JNJ,0.45,990.34,9921.6
2017-07-05,PG,0.48,990.34,9926.35
2017-07-05,AMD,4.38,990.34,9969.73
2017-07-07,DUK,-0.5,990.34,9964.78
2017-07-07,SBUX,-0.13,996.97,9963.48
2017-07-11,TSLA,-0.26,996.97,9960.89
2017-07-11,HCA,1.55,996.97,9976.34
2017-07-12,MRVL,-2.45,991.17,9952.06
2017-07-12,DHR,0.38,996.97,9955.85
2017-07-12,KO,0.11,997.63,9956.94
2017-07-13,MRK,-2.55,990.34,9931.69
2017-07-13,WMT,2.19,996.35,9953.51
2017-07-17,MS,0.52,995.69,9958.69
2017-07-20,CME,-0.31,995.35,9955.6
2017-07-21,ELV,0.33,995.87,9958.89
2017-07-24,HCA,0.71,995.87,9965.96
2017-07-25,CSX,-0.9,995.87,9957.0
2017-07-25,SCHW,1.55,995.87,9972.43
2017-07-25,C,2.78,995.89,10000.12
2017-07-26,NOW,1.34,996.6,10013.47
2017-07-26,HD,1.16,996.6,10025.03
2017-07-27,MO,1.52,996.6,10040.18
2017-07-31,MMM,0.59,1000.01,10046.08
2017-08-01,GD,0.66,1002.5,10052.7
2017-08-03,UNP,-3.68,995.56,10016.06
2017-08-04,ETN,-5.15,995.89,9964.77
2017-08-04,TT,-2.83,1000.01,9936.47
2017-08-04,ANET,16.11,1005.27,10098.42
2017-08-07,MU,-4.68,1000.01,10051.62
2017-08-07,AMZN,0.15,1004.61,10053.13
2017-08-09,HCA,-4.84,1002.5,10004.61
2017-08-09,GILD,0.71,1009.84,10011.78
2017-08-09,ICE,1.81,1005.31,10029.97
2017-08-09,SPGI,1.38,1005.31,10043.85
2017-08-10,PANW,-5.71,1004.02,9986.52
2017-08-14,MRSH,0.13,1005.31,9987.82
2017-08-14,MRK,0.26,1005.31,9990.44
2017-08-14,MA,2.38,998.65,10014.21
2017-08-14,AMD,4.98,998.65,10063.94
2017-08-15,PH,-2.06,1004.38,10043.25
2017-08-17,WMB,-6.67,1001.61,9976.44
2017-08-22,MCK,-0.84,1006.39,9967.99
2017-08-22,PSX,1.36,997.64,9981.55
2017-08-22,PFE,1.17,997.64,9993.23
2017-08-22,BLK,0.86,997.64,10001.81
2017-08-23,BKNG,-5.22,1004.38,9949.38
2017-08-23,SCHW,-5.68,1004.38,9892.33
2017-08-23,TSLA,4.11,997.64,9933.33
2017-08-25,KO,0.05,993.33,9933.83
2017-08-29,MDT,-2.8,1000.18,9905.82
2017-08-30,PEP,-0.21,993.38,9903.74
2017-08-31,DE,-1.48,997.64,9888.97
2017-09-01,PNC,0.38,990.37,9892.74
2017-09-07,CB,-6.79,993.33,9825.29
2017-09-07,MA,2.62,989.27,9851.21
2017-09-08,PGR,-0.85,989.27,9842.8
2017-09-11,BNY,0.34,989.27,9846.16
2017-09-11,NEE,1.82,989.27,9864.17
2017-09-11,GD,1.52,989.27,9879.2
2017-09-11,AXP,1.22,985.12,9891.22
2017-09-11,BRK-B,1.93,985.12,9910.24
2017-09-11,AAPL,1.51,984.28,9925.1
2017-09-11,KKR,2.45,984.28,9949.21
