time,symbol,pnl_pct,allocation,capital_after
2022-03-18,AAVEUSDT,-5.3,1000.0,9947.0
2022-03-25,SOLUSDT,-5.3,994.7,9894.28
2022-04-06,TRXUSDT,-0.87,994.7,9885.63
2022-04-06,ADAUSDT,7.6,994.7,9961.22
2022-04-06,UNIUSDT,-5.3,994.7,9908.51
2022-04-07,DOGEUSDT,12.1,994.7,10028.86
2022-04-07,NEARUSDT,39.35,994.7,10420.28
2022-04-08,BTCUSDT,-4.25,994.7,10378.0
2022-04-11,BNBUSDT,-5.3,989.43,10325.56
2022-06-01,BTCUSDT,-5.3,1032.56,10270.84
2022-06-07,LINKUSDT,-5.3,1027.08,10216.4
2022-07-10,AAVEUSDT,-5.3,1021.64,10162.26
2022-07-19,ZECUSDT,-5.3,1016.23,10108.4
2022-07-20,SOLUSDT,-5.3,1016.23,10054.54
2022-07-21,LINKUSDT,-5.3,1016.23,10000.68
2022-07-25,NEARUSDT,-5.3,1016.23,9946.82
2022-07-25,XRPUSDT,-5.3,1016.23,9892.96
2022-07-26,ADAUSDT,-5.3,1016.23,9839.1
2022-08-06,NEARUSDT,-5.3,983.91,9786.95
2022-08-12,AAVEUSDT,-5.3,978.69,9735.08
2022-08-15,SOLUSDT,-5.3,973.51,9683.48
2022-08-15,DOGEUSDT,-5.3,973.51,9631.89
2022-08-17,ADAUSDT,-5.3,973.51,9580.29
2022-08-19,ZECUSDT,-5.3,983.91,9528.14
2022-09-13,NEARUSDT,-5.3,952.81,9477.64
2022-09-13,LINKUSDT,-5.3,952.81,9427.14
2022-09-13,XRPUSDT,-5.3,952.81,9376.65
2022-09-13,ETHUSDT,-5.3,952.81,9326.15
2022-09-13,SOLUSDT,-5.3,952.81,9275.65
2022-10-06,BNBUSDT,-5.3,927.56,9226.49
2022-10-07,DOGEUSDT,-5.3,927.56,9177.33
2022-10-07,BTCUSDT,-5.3,927.56,9128.16
2022-10-21,AAVEUSDT,-5.3,912.82,9079.79
2022-10-31,UNIUSDT,-5.3,907.98,9031.66
2022-11-06,NEARUSDT,-5.3,903.17,8983.79
2022-11-06,XRPUSDT,-5.3,903.17,8935.93
2022-11-08,ETHUSDT,-5.3,907.98,8887.8
2022-11-08,BTCUSDT,-5.3,907.98,8839.68
2022-11-08,LINKUSDT,-5.3,907.98,8791.56
2022-11-08,TRXUSDT,-5.3,907.98,8743.44
2022-11-09,BNBUSDT,-5.3,907.98,8695.31
2022-11-10,DOGEUSDT,23.28,907.98,8906.69
2022-12-07,AAVEUSDT,-5.3,890.67,8859.48
2022-12-07,UNIUSDT,-5.3,890.67,8812.28
2022-12-16,BTCUSDT,-5.3,881.23,8765.57
2022-12-16,TRXUSDT,-5.3,881.23,8718.87
2023-01-06,UNIUSDT,-5.3,871.89,8672.66
2023-01-19,BNBUSDT,13.49,871.89,8790.28
2023-01-19,ETHUSDT,23.11,871.89,8991.77
2023-01-19,NEARUSDT,34.93,871.89,9296.32
2023-01-21,ADAUSDT,32.04,867.27,9574.19
2023-01-23,BTCUSDT,33.5,867.27,9864.73
2023-01-23,AAVEUSDT,45.74,867.27,10261.41
2023-01-24,UNIUSDT,8.44,867.27,10334.61
2023-01-26,XRPUSDT,9.46,867.27,10416.65
2023-02-01,DOGEUSDT,-5.3,1041.67,10361.45
2023-02-09,BNBUSDT,-5.3,1036.14,10306.53
2023-02-21,ZECUSDT,-5.3,1030.65,10251.91
2023-02-24,LINKUSDT,-5.3,1030.65,10197.28
2023-03-22,ADAUSDT,-5.3,1019.73,10143.23
2023-03-22,XRPUSDT,-5.3,1019.73,10089.19
2023-04-02,DOGEUSDT,-5.3,1008.92,10035.72
2023-04-05,DOGEUSDT,-5.3,1003.57,9982.53
2023-04-19,ETHUSDT,3.09,1003.57,10013.54
2023-04-19,ZECUSDT,-5.3,998.25,9960.63
2023-04-19,SOLUSDT,-5.3,998.25,9907.72
2023-04-19,NEARUSDT,-5.3,998.25,9854.82
2023-04-20,BTCUSDT,-5.3,998.25,9801.91
2023-04-20,ADAUSDT,-5.3,998.25,9749.0
2023-04-21,LINKUSDT,-5.3,998.25,9696.09
2023-04-29,BNBUSDT,-2.43,998.25,9671.84
2023-05-14,TRXUSDT,1.74,967.18,9688.66
2023-05-31,AAVEUSDT,-5.3,968.87,9637.31
2023-06-01,BTCUSDT,-5.3,968.87,9585.96
2023-06-01,ADAUSDT,-5.3,968.87,9534.62
2023-06-04,TRXUSDT,11.84,968.87,9649.33
2023-06-05,ETHUSDT,-5.3,968.87,9597.98
2023-07-05,BTCUSDT,7.46,959.8,9669.58
2023-07-14,ADAUSDT,-5.3,966.96,9618.33
2023-07-14,DOGEUSDT,-5.3,966.96,9567.08
2023-07-14,LINKUSDT,-5.3,966.96,9515.83
2023-07-14,XRPUSDT,-5.3,966.96,9464.58
2023-07-14,ETHUSDT,-5.3,966.96,9413.34
2023-07-15,TRXUSDT,5.76,959.8,9468.62
2023-07-17,BTCUSDT,-5.3,966.96,9417.37
2023-07-17,DOGEUSDT,-5.3,946.86,9367.19
2023-07-30,TRXUSDT,-5.3,936.72,9317.54
2023-08-05,DOGEUSDT,3.1,936.72,9346.58
2023-09-04,PROMUSDT,-5.3,934.66,9297.04
2023-09-10,LINKUSDT,-5.3,929.7,9247.77
2023-09-27,TRXUSDT,5.58,924.78,9299.37
2023-10-02,PEPEUSDT,-5.3,929.94,9250.08
2023-10-02,UNIUSDT,-5.3,929.94,9200.8
2023-10-03,LINKUSDT,12.52,924.78,9316.58
2023-10-03,AAVEUSDT,7.15,924.78,9382.7
2023-10-03,SUIUSDT,-5.3,929.94,9333.41
2023-10-04,ADAUSDT,-5.3,929.94,9284.13
2023-10-07,ZECUSDT,0.9,924.78,9292.45
2023-10-09,XRPUSDT,-5.3,933.34,9242.98
2023-10-15,SOLUSDT,2.32,929.94,9264.56
2023-10-24,PEPEUSDT,-5.3,926.46,9215.46
2023-11-02,UNIUSDT,-5.3,921.55,9166.61
2023-11-03,SOLUSDT,57.94,926.46,9703.4
2023-11-05,LINKUSDT,36.91,926.46,10045.36
2023-11-05,AAVEUSDT,26.86,926.46,10294.2
2023-11-07,DOGEUSDT,8.54,926.46,10373.32
2023-11-07,PROMUSDT,3.3,926.46,10403.9
2023-11-14,PROMUSDT,-5.3,1040.39,10348.76
2023-12-11,XRPUSDT,-5.3,1034.88,10293.91
2023-12-13,PEPEUSDT,-5.3,1034.88,10239.06
2023-12-17,AAVEUSDT,-5.3,1023.91,10184.79
2023-12-20,WLDUSDT,-5.3,1023.91,10130.53
2023-12-24,SUIUSDT,-5.3,1013.05,10076.83
2023-12-31,AAVEUSDT,-5.3,1007.68,10023.43
2024-01-03,BTCUSDT,-5.3,1002.34,9970.3
2024-01-10,BTCUSDT,-5.3,997.03,9917.46
2024-01-15,TRXUSDT,-5.3,991.75,9864.9
2024-01-18,ETHUSDT,-5.3,991.75,9812.33
2024-02-13,NEARUSDT,-5.3,981.23,9760.33
2024-02-16,LINKUSDT,13.43,981.23,9892.11
2024-02-17,NEARUSDT,-5.3,976.03,9840.38
2024-02-21,XRPUSDT,-5.3,976.03,9788.65
2024-02-24,UNIUSDT,68.91,981.23,10464.82
2024-02-24,BNBUSDT,17.51,981.23,10636.63
2024-02-27,WLDUSDT,174.1,981.23,12344.96
2024-02-29,DOGEUSDT,36.92,976.03,12705.31
2024-03-03,LINKUSDT,-5.3,1270.53,12637.97
2024-03-05,SOLUSDT,-5.3,1234.5,12572.54
2024-03-12,LINKUSDT,-5.3,1257.25,12505.91
2024-03-23,SUIUSDT,-5.3,1250.59,12439.63
2024-04-02,SUIUSDT,-5.3,1243.96,12373.7
2024-04-12,PROMUSDT,-5.3,1237.37,12308.12
2024-05-08,WLDUSDT,-5.3,1230.81,12242.88
2024-05-18,PEPEUSDT,-5.3,1224.29,12178.0
2024-05-22,AAVEUSDT,-5.3,1217.8,12113.45
2024-05-23,NEARUSDT,-5.3,1224.29,12048.57
2024-05-23,ADAUSDT,-5.3,1224.29,11983.68
2024-05-23,ZECUSDT,-5.3,1217.8,11919.14
2024-05-26,ZECUSDT,-5.3,1191.91,11855.96
2024-05-30,SOLUSDT,4.97,1224.29,11916.81
2024-05-30,BTCUSDT,2.94,1224.29,11952.8
2024-05-31,LINKUSDT,18.38,1224.29,12177.83
2024-06-04,ETHUSDT,3.75,1217.8,12223.5
2024-06-08,PROMUSDT,-5.3,1191.91,12160.33
2024-06-12,BNBUSDT,-5.3,1217.78,12095.78
2024-07-07,TRXUSDT,3.88,1209.58,12142.71
2024-07-11,ZECUSDT,-5.3,1214.27,12078.36
2024-07-30,SOLUSDT,12.11,1207.84,12224.63
2024-08-02,AAVEUSDT,-5.3,1222.46,12159.84
2024-08-23,ZECUSDT,18.09,1215.98,12379.81
2024-08-25,WLDUSDT,-5.3,1237.98,12314.19
2024-08-26,PEPEUSDT,-5.3,1237.98,12248.58
2024-08-26,DOGEUSDT,-5.3,1237.98,12182.97
2024-08-27,NEARUSDT,-5.3,1237.98,12117.36
2024-09-12,AAVEUSDT,-5.3,1211.74,12053.13
2024-09-22,WLDUSDT,-5.3,1205.31,11989.25
2024-09-22,PEPEUSDT,-5.3,1205.31,11925.37
2024-09-22,NEARUSDT,-5.3,1205.31,11861.49
2024-10-01,ETHUSDT,-5.3,1205.31,11797.61
2024-10-01,WLDUSDT,-5.3,1186.15,11734.74
2024-10-01,ADAUSDT,-5.3,1186.15,11671.88
2024-10-01,LINKUSDT,-5.3,1186.15,11609.01
2024-10-01,UNIUSDT,-5.3,1186.15,11546.14
2024-10-02,PEPEUSDT,-5.3,1186.15,11483.28
2024-10-03,SOLUSDT,-5.3,1205.31,11419.4
2024-10-04,ENAUSDT,24.54,1205.31,11715.18
2024-10-13,UNIUSDT,-5.3,1171.52,11653.09
2024-10-15,WLDUSDT,-5.3,1165.31,11591.33
2024-10-22,SUIUSDT,-5.3,1171.52,11529.24
2024-10-23,LINKUSDT,-5.3,1159.13,11467.8
2024-10-23,ADAUSDT,-5.3,1159.13,11406.37
2024-10-26,PROMUSDT,-5.3,1140.64,11345.92
2024-10-31,LINKUSDT,-5.3,1134.59,11285.78
2024-11-03,SOLUSDT,-5.3,1159.13,11224.35
2024-11-07,UNIUSDT,-5.3,1122.43,11164.86
2024-11-08,TRXUSDT,-2.55,1140.64,11135.77
2024-11-12,ZECUSDT,-5.3,1122.43,11076.28
2024-11-13,TRXUSDT,-5.3,1107.63,11017.58
2024-11-14,AAVEUSDT,-5.3,1122.43,10958.09
2024-11-21,SUIUSDT,57.03,1122.43,11598.22
2024-11-21,BTCUSDT,29.8,1122.43,11932.7
2024-11-21,ENAUSDT,21.65,1122.43,12175.71
2024-11-21,SOLUSDT,37.1,1122.43,12592.13
2024-11-21,BNBUSDT,-5.3,1113.58,12533.11
2024-11-22,ADAUSDT,150.01,1116.49,14207.95
2024-11-26,PROMUSDT,-5.3,1420.8,14132.65
2024-11-29,WLDUSDT,-5.3,1413.27,14057.75
2024-12-05,BNBUSDT,-5.3,1405.77,13983.24
2024-12-09,PROMUSDT,-5.3,1413.27,13908.34
2024-12-09,SUIUSDT,-5.3,1398.32,13834.23
