tag,buch,mtm,n_offen,gebunden,unrealisiert,fortgeschrieben
2016-09-01,10000.0,9996.25,5,2500.0,-3.75,0
2016-09-02,10000.0,10004.5057,6,3000.0,4.5057,0
2016-09-06,10007.05,10000.1088,6,3000.7,-6.9412,0
2016-09-07,10006.5,9983.0953,6,3001.03,-23.4047,0
2016-09-08,10002.4,9969.059,9,4501.51,-33.341,0
2016-09-09,10002.4,9824.7067,19,9502.71,-177.6933,0
2016-09-12,10002.4,9979.2237,19,9502.71,-23.1763,0
2016-09-13,10002.4,9843.8172,19,9502.71,-158.5828,0
2016-09-14,9981.19,9857.2504,15,7502.0,-123.9396,0
2016-09-15,9965.59,9927.0932,6,3000.95,-38.4968,0
2016-09-16,9962.39,9910.7532,5,2500.83,-51.6368,0
2016-09-19,9926.62,9921.1627,1,500.12,-5.4573,0
2016-09-20,9926.62,9920.0711,1,500.12,-6.5489,0
2016-09-21,9924.57,9924.57,0,0.0,0.0,0
2016-09-22,9924.57,9924.57,0,0.0,0.0,0
2016-09-23,9924.57,9923.8257,1,496.23,-0.7443,0
2016-09-26,9924.57,9916.6521,3,1488.69,-7.9179,0
2016-09-27,9924.57,9928.2006,5,2481.15,3.6306,0
2016-09-28,9940.4,9936.5715,4,1985.71,-3.8285,0
2016-09-29,9940.4,9905.8256,8,3973.79,-34.5744,0
2016-09-30,9956.69,9920.8319,9,4474.03,-35.8581,0
2016-10-03,9956.69,9900.2829,9,4474.03,-56.4071,0
2016-10-04,9948.88,9852.7112,13,6464.21,-96.1688,0
2016-10-05,9937.92,9821.5059,12,5967.98,-116.4141,0
2016-10-06,9928.89,9811.9949,12,5967.61,-116.8951,0
2016-10-07,9925.06,9794.474,13,6462.28,-130.586,0
2016-10-10,9882.25,9822.3883,8,3976.53,-59.8617,0
2016-10-11,9883.69,9777.0552,19,9410.44,-106.6348,0
2016-10-12,9869.81,9725.9462,19,9398.59,-143.8638,0
2016-10-13,9829.48,9700.2597,19,9381.29,-129.2203,0
2016-10-14,9851.82,9736.3166,15,7403.89,-115.5034,0
2016-10-17,9853.48,9689.6889,18,8882.28,-163.7911,0
2016-10-18,9810.48,9762.5423,7,3451.55,-47.9377,0
2016-10-19,9812.63,9777.5925,5,2462.74,-35.0375,0
2016-10-20,9789.1,9771.3669,7,3436.94,-17.7331,0
2016-10-21,9791.27,9756.0317,8,3923.39,-35.2383,0
2016-10-24,9801.4,9769.6124,6,2944.98,-31.7876,0
2016-10-25,9795.76,9783.1972,6,2941.34,-12.5628,0
2016-10-26,9795.76,9767.4242,8,3920.92,-28.3358,0
2016-10-27,9795.76,9755.4207,12,5880.08,-40.3393,0
2016-10-28,9795.76,9738.7755,16,7839.24,-56.9845,0
2016-10-31,9768.59,9731.2101,15,7342.21,-37.3799,0
2016-11-01,9768.59,9663.0127,17,8319.07,-105.5773,0
2016-11-02,9760.37,9606.7127,19,9291.9,-153.6573,0
2016-11-03,9761.49,9572.7291,19,9291.54,-188.7609,0
2016-11-04,9692.32,9562.7639,19,9272.45,-129.5561,0
2016-11-07,9816.2,9816.6335,1,488.07,0.4335,0
2016-11-08,9816.2,9816.4698,1,488.07,0.2698,0
2016-11-09,9844.89,9844.89,0,0.0,0.0,0
2016-11-10,9844.89,9844.1516,1,492.24,-0.7384,0
2016-11-11,9844.89,9841.4222,1,492.24,-3.4678,0
2016-11-14,9844.89,9832.4981,5,2461.2,-12.3919,0
2016-11-15,9859.96,9864.3797,4,1968.96,4.4197,0
2016-11-16,9884.91,9884.91,0,0.0,0.0,0
2016-11-17,9884.91,9884.91,0,0.0,0.0,0
2016-11-18,9884.91,9884.91,0,0.0,0.0,0
2016-11-21,9884.91,9884.91,0,0.0,0.0,0
2016-11-22,9884.91,9884.91,0,0.0,0.0,0
2016-11-23,9884.91,9884.91,0,0.0,0.0,0
2016-11-25,9884.91,9884.91,0,0.0,0.0,0
2016-11-28,9884.91,9883.4272,2,988.5,-1.4828,0
2016-11-29,9884.91,9881.7558,4,1977.0,-3.1542,0
2016-11-30,9932.16,9935.7894,4,1981.72,3.6294,0
2016-12-01,9946.2,9910.2124,19,9444.43,-35.9876,0
2016-12-02,9946.2,9950.1508,20,9941.74,3.9508,0
2016-12-05,10018.22,10068.7301,14,6959.28,50.5101,0
2016-12-06,10096.6,10094.2844,6,2980.8,-2.3156,0
2016-12-07,10143.94,10125.1819,2,991.56,-18.7581,0
2016-12-08,10147.08,10128.1285,2,1001.6,-18.9515,0
2016-12-09,10131.41,10131.1969,1,507.35,-0.2131,0
2016-12-12,10131.41,10118.6333,1,507.35,-12.7767,0
2016-12-13,10131.41,10115.8542,1,507.35,-15.5558,0
2016-12-14,10131.41,10116.2882,2,1013.92,-15.1218,0
2016-12-15,10131.41,10111.6872,4,2027.06,-19.7228,0
2016-12-16,10131.41,10076.4483,7,3546.77,-54.9617,0
2016-12-19,10116.04,10078.8456,6,3039.42,-37.1944,0
2016-12-20,10113.15,10111.2815,1,506.57,-1.8685,0
2016-12-21,10113.15,10109.9317,2,1012.23,-3.2183,0
2016-12-22,10113.15,10109.6718,5,2529.21,-3.4782,0
2016-12-23,10111.48,10109.1378,4,2022.64,-2.3422,0
2016-12-27,10113.04,10100.0469,4,2022.63,-12.9931,0
2016-12-28,10113.04,10071.3428,9,4550.88,-41.6972,0
2016-12-29,10113.04,10055.0461,13,6573.48,-57.9939,0
2016-12-30,10113.04,10019.722,19,9607.38,-93.318,0
2017-01-03,10164.27,10136.4955,12,6078.06,-27.7745,0
2017-01-04,10152.28,10149.5071,7,3551.75,-2.7729,0
2017-01-05,10160.87,10136.1096,8,4059.62,-24.7604,0
2017-01-06,10165.95,10159.9746,7,3551.5,-5.9754,0
2017-01-09,10167.33,10145.8518,7,3554.55,-21.4782,0
2017-01-10,10173.12,10139.9251,7,3555.17,-33.1949,0
2017-01-11,10165.16,10157.4404,6,3049.57,-7.7196,0
2017-01-12,10161.76,10150.6024,6,3049.08,-11.1576,0
2017-01-13,10161.6,10143.816,5,2540.42,-17.784,0
2017-01-17,10158.05,10101.8453,5,2540.71,-56.2047,0
2017-01-18,10160.74,10101.6705,5,2540.16,-59.0695,0
2017-01-19,10162.72,10087.0454,7,3556.68,-75.6746,0
2017-01-20,10162.72,10073.3818,7,3556.68,-89.3382,0
2017-01-23,10122.13,10055.1137,6,3044.73,-67.0163,0
2017-01-24,10121.5,10096.7523,4,2028.46,-24.7477,0
2017-01-25,10120.78,10105.7582,3,1520.32,-15.0218,0
2017-01-26,10104.78,10102.5306,3,1517.42,-2.2494,0
2017-01-27,10113.94,10096.4201,1,505.24,-17.5199,0
2017-01-30,10113.94,10089.8448,3,1516.64,-24.0952,0
2017-01-31,10113.94,10100.9258,5,2528.04,-13.0142,0
2017-02-01,10113.94,10062.5974,13,6573.64,-51.3426,0
2017-02-02,10121.74,10108.7612,12,6069.96,-12.9788,0
2017-02-03,10154.52,10159.6714,7,3543.1,5.1514,0
2017-02-06,10154.52,10131.1212,7,3543.1,-23.3988,0
2017-02-07,10158.52,10120.4372,7,3545.33,-38.0828,0
2017-02-08,10143.25,10109.865,7,3546.79,-33.385,0
2017-02-09,10145.79,10134.924,7,3549.14,-10.866,0
2017-02-10,10143.68,10143.7888,4,2028.92,0.1088,0
2017-02-13,10154.48,10159.4902,3,1522.19,5.0102,0
2017-02-14,10161.43,10161.7802,2,1015.79,0.3502,0
2017-02-15,10161.43,10160.6133,2,1015.79,-0.8167,0
2017-02-16,10161.43,10150.774,3,1523.86,-10.656,0
2017-02-17,10164.94,10158.0022,4,2032.29,-6.9378,0
2017-02-21,10176.0,10151.2527,3,1524.57,-24.7473,0
2017-02-22,10176.0,10127.7674,5,2542.17,-48.2326,0
2017-02-23,10176.0,10125.7145,6,3050.97,-50.2855,0
2017-02-24,10186.06,10132.6235,5,2542.9,-53.4365,0
2017-02-27,10202.85,10149.0263,4,2035.44,-53.8237,0
2017-02-28,10209.32,10149.9632,4,2039.33,-59.3568,0
2017-03-01,10194.76,10200.6223,1,510.14,5.8623,0
2017-03-02,10194.76,10185.7977,1,510.14,-8.9623,0
2017-03-03,10194.76,10185.0243,3,1529.62,-9.7357,0
2017-03-06,10194.76,10173.3134,4,2039.36,-21.4466,0
2017-03-07,10189.2,10181.7854,4,2038.68,-7.4146,0
2017-03-08,10201.18,10181.1025,6,3059.12,-20.0775,0
2017-03-09,10203.22,10164.8442,10,5100.18,-38.3758,0
2017-03-10,10206.89,10184.3335,10,5100.36,-22.5565,0
2017-03-13,10238.72,10208.0266,7,3571.86,-30.6934,0
2017-03-14,10238.72,10183.889,9,4595.74,-54.831,0
2017-03-15,10238.56,10207.1249,8,4087.76,-31.4351,0
2017-03-16,10224.97,10213.6203,4,2045.87,-11.3497,0
2017-03-17,10224.97,10192.9521,5,2557.12,-32.0179,0
2017-03-20,10224.97,10178.7224,9,4602.12,-46.2476,0
2017-03-21,10216.15,10055.9299,19,9710.97,-160.2201,0
2017-03-22,10216.15,10055.2306,19,9710.97,-160.9194,0
2017-03-23,10235.35,10062.7167,20,10223.7,-172.6333,0
2017-03-24,10249.96,10057.5095,20,10228.77,-192.4505,0
2017-03-27,10241.77,9997.0208,20,10230.2,-244.7492,0
2017-03-28,10133.52,10096.1817,8,4088.41,-37.3383,0
2017-03-29,10138.23,10079.7141,9,4590.46,-58.5159,0
2017-03-30,10137.61,10075.9721,9,4579.63,-61.6379,0
2017-03-31,10110.12,10067.0357,8,4063.08,-43.0843,0
2017-04-03,10111.54,10059.8232,11,5578.52,-51.7168,0
2017-04-04,10090.28,10060.1402,11,5567.68,-30.1398,0
2017-04-05,10080.83,10043.0206,14,7065.39,-37.8094,0
2017-04-06,10078.24,10064.3191,11,5549.66,-13.9209,0
2017-04-07,10081.01,10062.2628,10,5045.63,-18.7472,0
2017-04-10,10086.0,10033.5182,12,6053.21,-52.4818,0
2017-04-11,10075.76,10033.4118,13,6552.79,-42.3482,0
2017-04-12,10076.37,10007.745,19,9574.53,-68.625,0
2017-04-13,10076.37,9925.3729,19,9574.53,-150.9971,0
2017-04-17,10083.1,10055.7636,10,5039.04,-27.3364,0
2017-04-18,10077.6,10049.6956,5,2519.75,-27.9044,0
2017-04-19,10074.53,10042.9309,5,2519.66,-31.5991,0
2017-04-20,10087.27,10073.3021,3,1512.68,-13.9679,0
2017-04-21,10082.79,10060.9191,3,1512.66,-21.8709,0
2017-04-24,10082.79,10071.5176,3,1512.66,-11.2724,0
2017-04-25,10084.75,10086.4881,1,504.36,1.7381,0
2017-04-26,10083.79,10083.79,0,0.0,0.0,0
2017-04-27,10083.79,10083.79,0,0.0,0.0,0
2017-04-28,10083.79,10083.79,0,0.0,0.0,0
2017-05-01,10083.79,10083.0337,1,504.19,-0.7563,0
2017-05-02,10090.45,10088.1797,3,1513.56,-2.2703,0
2017-05-03,10090.45,10089.5751,9,4540.68,-0.8749,0
2017-05-04,10092.21,10089.9015,9,4540.77,-2.3085,0
2017-05-05,10100.49,10109.8888,7,3532.23,9.3988,0
2017-05-08,10104.02,10093.7128,5,2523.19,-10.3072,0
2017-05-09,10104.52,10095.1293,7,3534.36,-9.3907,0
2017-05-10,10109.62,10087.7253,6,3030.0,-21.8947,0
2017-05-11,10109.62,10076.8674,10,5051.92,-32.7526,0
2017-05-12,10110.69,10052.2782,12,6064.04,-58.4118,0
2017-05-15,10119.9,10078.9154,7,3538.05,-40.9846,0
2017-05-16,10118.78,10055.3375,8,4044.86,-63.4425,0
2017-05-17,10118.78,9999.0902,15,7586.44,-119.6898,0
2017-05-18,10116.21,10036.7431,18,9104.15,-79.4669,0
2017-05-19,10095.35,10111.615,11,5564.62,16.265,0
2017-05-22,10140.07,10137.9567,4,2023.63,-2.1133,0
2017-05-23,10149.64,10155.0065,1,505.81,5.3665,0
2017-05-24,10149.89,10149.1288,1,507.49,-0.7612,0
2017-05-25,10149.89,10158.5351,1,507.49,8.6451,0
2017-05-26,10149.89,10155.1043,2,1014.98,5.2143,0
2017-05-30,10149.89,10141.8843,3,1522.47,-8.0057,0
2017-05-31,10149.89,10133.719,5,2537.45,-16.171,0
2017-06-01,10152.07,10156.9632,5,2537.56,4.8932,0
2017-06-02,10189.33,10189.6828,3,1522.47,0.3528,0
2017-06-05,10190.65,10192.3168,3,1524.51,1.6668,0
2017-06-06,10194.15,10191.7614,3,1526.73,-2.3886,0
2017-06-07,10204.74,10202.1778,6,3060.91,-2.5622,0
2017-06-08,10210.61,10200.7317,8,4082.26,-9.8783,0
2017-06-09,10223.82,10220.3128,14,7152.78,-3.5072,0
2017-06-12,10227.85,10181.0468,20,10222.27,-46.8032,0
2017-06-13,10263.36,10257.8667,13,6646.21,-5.4933,0
2017-06-14,10264.18,10237.8781,12,6134.82,-26.3019,0
2017-06-15,10277.63,10207.3176,14,7167.56,-70.3124,0
2017-06-16,10271.86,10205.5213,14,7174.36,-66.3387,0
2017-06-19,10324.45,10323.8028,4,2052.45,-0.6472,0
2017-06-20,10328.56,10313.2696,3,1538.57,-15.2904,0
2017-06-21,10327.64,10319.9802,3,1543.56,-7.6598,0
2017-06-22,10327.64,10299.9276,6,3092.7,-27.7124,0
2017-06-23,10328.52,10272.3939,14,7224.19,-56.1261,0
2017-06-26,10334.3,10309.7437,13,6708.05,-24.5563,0
2017-06-27,10342.86,10288.4545,19,9815.91,-54.4055,0
2017-06-28,10352.39,10383.5143,8,4136.41,31.1243,0
2017-06-29,10352.39,10297.8773,13,6724.51,-54.5127,0
2017-06-30,10352.39,10276.9382,14,7242.13,-75.4518,0
2017-07-03,10359.59,10227.8106,13,6724.51,-131.7794,0
2017-07-05,10386.45,10298.5621,10,5176.01,-87.8879,0
2017-07-06,10373.99,10240.1724,11,5696.27,-133.8176,0
2017-07-07,10347.51,10267.4429,7,3625.05,-80.0671,0
2017-07-10,10319.41,10257.9492,7,3624.59,-61.4608,0
2017-07-11,10326.1,10274.0175,6,3102.88,-52.0825,0
2017-07-12,10304.18,10294.3088,3,1548.8,-9.8712,0
2017-07-13,10302.28,10307.9244,1,515.21,5.6444,0
2017-07-14,10302.28,10303.4847,2,1030.32,1.2047,0
2017-07-17,10304.96,10304.4865,1,515.11,-0.4735,0
2017-07-18,10304.96,10303.3718,2,1030.36,-1.5882,0
2017-07-19,10304.96,10301.6716,5,2576.11,-3.2884,0
2017-07-20,10303.36,10295.7723,5,2576.17,-7.5877,0
2017-07-21,10305.06,10295.0527,6,3091.42,-10.0073,0
2017-07-24,10308.72,10274.6497,10,5153.37,-34.0703,0
2017-07-25,10352.89,10348.1876,8,4129.66,-4.7024,0
2017-07-26,10365.78,10318.3894,13,6726.81,-47.3906,0
2017-07-27,10373.61,10311.9299,19,9842.13,-61.6801,0
2017-07-28,10388.85,10292.7276,19,9845.58,-96.1224,0
2017-07-31,10391.9,10222.6421,20,10367.14,-169.2579,0
2017-08-01,10406.84,10208.9377,20,10373.8,-197.9023,0
2017-08-02,10421.73,10170.7993,20,10382.68,-250.9307,0
2017-08-03,10408.39,10138.5391,20,10388.01,-269.8509,0
2017-08-04,10416.27,10244.271,13,6758.11,-171.999,0
2017-08-07,10423.84,10316.1913,7,3638.77,-107.6487,0
2017-08-08,10423.84,10292.7602,12,6244.72,-131.0798,0
