tag,buch,mtm,n_offen,gebunden,unrealisiert,fortgeschrieben
2016-09-01,10000.0,9991.3,29,5800.0,-8.7,0
2016-09-02,10000.0,10022.0846,32,6400.0,22.0846,0
2016-09-06,10000.0,10044.7628,33,6600.0,44.7628,0
2016-09-07,10000.0,10035.0463,36,7200.0,35.0463,0
2016-09-08,10000.0,10031.0349,39,7800.0,31.0349,0
2016-09-09,10000.0,9819.5278,42,8400.0,-180.4722,0
2016-09-12,10000.0,9955.5914,50,10000.0,-44.4086,0
2016-09-13,10000.0,9789.1584,50,10000.0,-210.8416,0
2016-09-14,10000.0,9771.0777,50,10000.0,-228.9223,0
2016-09-15,10000.0,9879.4539,50,10000.0,-120.5461,0
2016-09-16,9851.22,9844.139,21,4200.0,-7.081,0
2016-09-19,9852.48,9846.1554,20,3994.1,-6.3246,0
2016-09-20,9846.34,9843.1987,20,3991.03,-3.1413,0
2016-09-21,9835.46,9901.6938,18,3587.74,66.2338,0
2016-09-22,9855.46,9931.2867,15,2987.74,75.8267,0
2016-09-23,9881.76,9912.5891,12,2387.74,30.8291,0
2016-09-26,9891.02,9893.2686,9,1776.84,2.2486,0
2016-09-27,9891.02,9890.9962,26,5139.78,-0.0238,0
2016-09-28,9891.02,9931.9024,30,5931.06,40.8824,0
2016-09-29,9891.02,9833.3854,32,6326.7,-57.6346,0
2016-09-30,9891.02,9923.6103,37,7315.8,32.5903,0
2016-10-03,9898.86,9897.1177,41,8109.58,-1.7423,0
2016-10-04,9878.15,9876.1534,44,8702.89,-1.9966,0
2016-10-05,9886.29,9926.3441,49,9692.56,40.0541,0
2016-10-06,9886.29,9927.033,49,9692.56,40.743,0
2016-10-07,9886.29,9914.031,49,9692.56,27.741,0
2016-10-10,9869.61,9951.0139,46,9098.24,81.4039,0
2016-10-11,9932.26,9843.391,39,7721.8,-88.869,0
2016-10-12,9901.46,9833.1769,48,9504.91,-68.2831,0
2016-10-13,9905.85,9795.8238,50,9901.75,-110.0262,0
2016-10-14,9872.84,9809.4157,46,9110.11,-63.4243,0
2016-10-17,9860.48,9760.0629,41,8119.44,-100.4171,0
2016-10-18,9852.36,9805.5143,38,7526.25,-46.8457,0
2016-10-19,9859.01,9799.3081,32,6339.87,-59.7019,0
2016-10-20,9859.01,9823.5501,35,6931.41,-35.4599,0
2016-10-21,9859.01,9814.8699,42,8311.67,-44.1401,0
2016-10-24,9835.76,9888.2456,42,8310.33,52.4856,0
2016-10-25,9824.35,9845.8411,35,6913.3,21.4911,0
2016-10-26,9828.04,9829.0488,29,5714.83,1.0088,0
2016-10-27,9816.23,9812.219,28,5511.31,-4.011,0
2016-10-28,9826.56,9751.4091,28,5510.38,-75.1509,0
2016-10-31,9826.24,9743.0081,31,6099.25,-83.2319,0
2016-11-01,9822.42,9714.0967,44,8652.5,-108.3233,0
2016-11-02,9822.42,9693.0171,49,9634.75,-129.4029,0
2016-11-03,9818.26,9672.1457,49,9632.32,-146.1143,0
2016-11-04,9811.97,9673.5036,49,9625.74,-138.4664,0
2016-11-07,9811.12,9906.8582,47,9232.3,95.7382,0
2016-11-08,9817.47,9933.6402,44,8642.83,116.1702,0
2016-11-09,9812.93,9984.8308,44,8640.73,171.9008,0
2016-11-10,9823.43,9959.236,43,8444.71,135.806,0
2016-11-11,9859.38,9980.443,45,8839.75,121.063,0
2016-11-14,9853.58,10016.5351,43,8447.81,162.9551,0
2016-11-15,9931.98,10111.9061,29,5697.51,179.9261,0
2016-11-16,9995.49,10114.6767,24,4715.26,119.1867,0
2016-11-17,10042.86,10126.1955,22,4327.01,83.3355,0
2016-11-18,10069.88,10149.1595,15,2953.33,79.2795,0
2016-11-21,10069.88,10176.2244,17,3356.13,106.3444,0
2016-11-22,10069.88,10193.4771,18,3557.53,123.5971,0
2016-11-23,10140.1,10170.6275,18,3603.31,30.5275,0
2016-11-25,10148.72,10193.4195,17,3413.34,44.6995,0
2016-11-28,10171.99,10167.984,15,3025.21,-4.006,0
2016-11-29,10188.45,10178.1451,16,3242.38,-10.3049,0
2016-11-30,10188.45,10150.9385,20,4057.46,-37.5115,0
2016-12-01,10188.45,10095.7686,31,6298.93,-92.6814,0
2016-12-02,10192.75,10103.4906,45,9155.82,-89.2594,0
2016-12-05,10192.75,10197.3409,50,10175.07,4.5909,0
2016-12-06,10182.82,10222.9405,48,9772.27,40.1205,0
2016-12-07,10179.7,10343.2123,49,9978.05,163.5123,0
2016-12-08,10158.2,10366.2746,42,8558.45,208.0746,0
2016-12-09,10149.27,10402.5993,42,8558.47,253.3293,0
2016-12-12,10146.95,10377.5311,44,8963.85,230.5811,0
2016-12-13,10162.09,10475.3927,42,8555.78,313.3027,0
2016-12-14,10170.2,10429.5279,38,7740.7,259.3279,0
2016-12-15,10277.32,10428.9377,31,6321.43,151.6177,0
2016-12-16,10365.63,10372.5564,17,3470.99,6.9264,0
2016-12-19,10385.16,10377.4876,14,2867.14,-7.6724,0
2016-12-20,10385.16,10401.8121,15,3074.84,16.6521,0
2016-12-21,10391.61,10388.6423,15,3083.32,-2.9677,0
2016-12-22,10391.61,10357.1436,22,4538.13,-34.4664,0
2016-12-23,10383.23,10369.0706,26,5373.44,-14.1594,0
2016-12-27,10390.35,10385.0291,23,4764.62,-5.3209,0
2016-12-28,10369.89,10332.7926,26,5390.98,-37.0974,0
2016-12-29,10369.89,10313.0873,38,7879.78,-56.8027,0
2016-12-30,10365.38,10272.9049,45,9337.99,-92.4751,0
2017-01-03,10362.98,10361.5688,49,10166.98,-1.4112,0
2017-01-04,10373.39,10473.1049,48,9959.05,99.7149,0
2017-01-05,10380.8,10470.2304,50,10374.21,89.4304,0
2017-01-06,10407.34,10544.1822,50,10374.85,136.8422,0
2017-01-09,10414.7,10507.718,46,9544.91,93.018,0
2017-01-10,10440.86,10541.3866,46,9550.71,100.5266,0
2017-01-11,10440.86,10583.1804,50,10385.99,142.3204,0
2017-01-12,10440.7,10559.9329,50,10391.63,119.2329,0
2017-01-13,10486.06,10571.1452,39,8112.55,85.0852,0
