tag,buch,mtm,n_offen,gebunden,unrealisiert,fortgeschrieben
2016-09-01,10000.0,9989.5,7,7000.0,-10.5,0
2016-09-02,10000.0,10016.3828,10,10000.0,16.3828,0
2016-09-06,10000.0,10061.4381,10,10000.0,61.4381,0
2016-09-07,10000.0,10055.6996,10,10000.0,55.6996,0
2016-09-08,10000.0,10058.3668,10,10000.0,58.3668,0
2016-09-09,10000.0,9829.4337,10,10000.0,-170.5663,0
2016-09-12,10000.0,9968.7209,10,10000.0,-31.2791,0
2016-09-13,10000.0,9812.0097,10,10000.0,-187.9903,0
2016-09-14,10000.0,9770.0243,10,10000.0,-229.9757,0
2016-09-15,10000.0,9882.2894,10,10000.0,-117.7106,0
2016-09-16,10000.0,9869.0231,10,10000.0,-130.9769,0
2016-09-19,9917.0,9897.112,9,9000.0,-19.888,0
2016-09-20,9917.0,9872.5927,9,9000.0,-44.4073,0
2016-09-21,9917.0,9969.7391,9,9000.0,52.7391,0
2016-09-22,9917.0,9990.4261,9,9000.0,73.4261,0
2016-09-23,9930.7,9894.7943,2,2000.0,-35.9057,0
2016-09-26,9896.3,9896.3,0,0.0,0.0,0
2016-09-27,9896.3,9893.3311,2,1979.26,-2.9689,0
2016-09-28,9896.3,9854.0557,4,3958.52,-42.2443,0
2016-09-29,9896.3,9826.0887,4,3958.52,-70.2113,0
2016-09-30,9896.3,9854.8276,8,7917.04,-41.4724,0
2016-10-03,9896.3,9829.1861,9,8906.67,-67.1139,0
2016-10-04,9896.3,9817.2195,9,8906.67,-79.0805,0
2016-10-05,9896.3,9917.2302,9,8906.67,20.9302,0
2016-10-06,9814.16,9924.3718,8,7917.04,110.2118,0
2016-10-07,9814.16,9929.0506,8,7917.04,114.8906,0
2016-10-10,9814.16,9926.9631,9,8898.46,112.8031,0
2016-10-11,9732.02,9725.7835,9,8882.03,-6.2365,0
2016-10-12,9732.02,9697.4787,9,8882.03,-34.5413,0
2016-10-13,9732.02,9659.8866,9,8882.03,-72.1334,0
2016-10-14,9732.02,9699.0413,9,8882.03,-32.9787,0
2016-10-17,9649.88,9626.3799,8,7892.4,-23.5001,0
2016-10-18,9649.88,9843.7855,9,8857.39,193.9055,0
2016-10-19,9624.05,9879.2999,7,6878.13,255.2499,0
2016-10-20,9624.05,9839.5878,9,8802.95,215.5378,0
2016-10-21,9679.97,9884.1203,9,8738.06,204.1503,0
2016-10-24,9915.2,9934.1021,10,9731.47,18.9021,0
2016-10-25,9915.2,9911.3754,10,9731.47,-3.8246,0
2016-10-26,9915.2,9908.8435,10,9731.47,-6.3565,0
2016-10-27,9915.2,9879.1659,10,9731.47,-36.0341,0
2016-10-28,9833.74,9828.6281,9,8750.05,-5.1119,0
2016-10-31,9833.74,9816.8624,10,9733.42,-16.8776,0
2016-11-01,9790.53,9788.4794,10,9739.27,-2.0506,0
2016-11-02,9790.53,9686.9821,10,9739.27,-103.5479,0
2016-11-03,9710.19,9618.4724,9,8771.27,-91.7176,0
2016-11-04,9710.19,9597.6768,9,8771.27,-112.5132,0
2016-11-07,9710.19,9813.5841,9,8771.27,103.3941,0
2016-11-08,9701.51,9888.9463,9,8776.43,187.4363,0
2016-11-09,9701.51,10066.8272,9,8776.43,365.3172,0
2016-11-10,9791.11,10111.2948,9,8809.83,320.1848,0
2016-11-11,9927.79,10124.4624,7,6873.83,196.6724,0
2016-11-14,10054.11,10105.8618,8,7907.02,51.7518,0
2016-11-15,10054.11,10174.6463,10,9917.84,120.5363,0
2016-11-16,10054.11,10228.5637,10,9917.84,174.4537,0
2016-11-17,10054.11,10357.6288,10,9917.84,303.5188,0
2016-11-18,10054.11,10392.2051,10,9917.84,338.0951,0
2016-11-21,10112.52,10547.099,10,9945.72,434.579,0
2016-11-22,10204.26,10622.2534,10,9987.1,417.9934,0
2016-11-23,10204.26,10639.0661,10,9987.1,434.8061,0
2016-11-25,10204.26,10664.3788,10,9987.1,460.1188,0
2016-11-28,10204.26,10672.3345,10,9987.1,468.0745,0
2016-11-29,10204.26,10616.6595,10,9987.1,412.3995,0
2016-11-30,10155.55,10663.4576,9,9016.95,507.9076,0
2016-12-01,10155.55,10331.2799,9,9016.95,175.7299,0
2016-12-02,10244.95,10400.2945,7,7058.73,155.3445,0
2016-12-05,10244.95,10444.1529,7,7058.73,199.2029,0
2016-12-06,10399.58,10521.3913,4,4042.5,121.8113,0
2016-12-07,10577.54,10647.526,5,5204.93,69.986,0
2016-12-08,10577.54,10642.8701,7,7320.43,65.3301,0
2016-12-09,10577.54,10666.7668,10,10493.68,89.2268,0
2016-12-12,10577.54,10683.3469,10,10493.68,105.8069,0
2016-12-13,10711.53,10763.0706,10,10553.58,51.5406,0
2016-12-14,10739.28,10684.1324,10,10607.08,-55.1476,0
2016-12-15,10739.28,10711.0884,10,10607.08,-28.1916,0
2016-12-16,10739.28,10723.8587,10,10607.08,-15.4213,0
2016-12-19,10739.28,10740.9146,10,10607.08,1.6346,0
2016-12-20,10739.28,10774.7784,10,10607.08,35.4984,0
2016-12-21,10739.28,10744.5701,10,10607.08,5.2901,0
2016-12-22,10739.28,10737.744,10,10607.08,-1.536,0
2016-12-23,10739.28,10763.2478,10,10607.08,23.9678,0
2016-12-27,10739.28,10768.8901,10,10607.08,29.6101,0
2016-12-28,10739.28,10683.408,10,10607.08,-55.872,0
2016-12-29,10707.45,10674.9941,8,8504.57,-32.4559,0
