symbol,entry_time,entry_price,exit_time,exit_price,result,pnl_pct,pnl_usd,pnl_usd_netto
PROMUSDT,2025-01-08 18:00:00,5.468,2025-01-09 07:00:00,5.35864,stop_loss,-2.3,-19.99999999999994,-23.0
ZECUSDT,2025-01-08 18:00:00,49.44,2025-01-09 13:00:00,48.4512,stop_loss,-2.3,-19.999999999999954,-23.0
DOGEUSDT,2025-01-08 18:00:00,0.33615,2025-01-09 10:00:00,0.329427,stop_loss,-2.3,-19.99999999999994,-23.0
WLDUSDT,2025-01-09 11:00:00,2.178,2025-01-09 13:00:00,2.13444,stop_loss,-2.3,-19.99999999999992,-23.0
AAVEUSDT,2025-01-09 15:00:00,288.0,2025-01-09 17:00:00,282.24,stop_loss,-2.3,-19.999999999999968,-23.0
UNIUSDT,2025-01-09 15:00:00,12.9,2025-01-09 17:00:00,12.642,stop_loss,-2.3,-20.00000000000007,-23.0
WLDUSDT,2025-01-13 20:00:00,1.948,2025-01-14 09:00:00,2.039804,take_profit,4.41,47.127310061601754,44.1
PROMUSDT,2025-01-17 13:00:00,7.479,2025-01-17 16:00:00,7.32942,stop_loss,-2.3,-20.000000000000036,-23.0
PEPEUSDT,2025-01-19 12:00:00,1.626e-05,2025-01-19 14:00:00,1.718748e-05,take_profit,5.4,57.04059040590402,54.0
LINKUSDT,2025-01-19 13:00:00,23.51,2025-01-19 14:00:00,24.1354,take_profit,2.36,26.601446193109275,23.6
SOLUSDT,2025-01-20 04:00:00,243.67,2025-01-20 06:00:00,257.54916,take_profit,5.4,56.95883777239704,54.0
NEARUSDT,2025-01-21 10:00:00,5.138,2025-01-21 17:00:00,5.316415999999999,take_profit,3.17,34.72479564032687,31.7
WLDUSDT,2025-01-27 20:00:00,1.913,2025-01-28 01:00:00,1.87474,stop_loss,-2.3,-19.99999999999998,-23.0
SOLUSDT,2025-01-27 20:00:00,234.4,2025-01-28 20:00:00,229.712,stop_loss,-2.3,-20.00000000000007,-23.0
PEPEUSDT,2025-01-27 20:00:00,1.304e-05,2025-01-28 09:00:00,1.27792e-05,stop_loss,-2.3,-20.000000000000075,-23.0
NEARUSDT,2025-01-27 20:00:00,4.628,2025-01-28 07:00:00,4.53544,stop_loss,-2.3,-19.999999999999943,-23.0
PROMUSDT,2025-02-02 05:00:00,4.668,2025-02-02 11:00:00,4.5746400000000005,stop_loss,-2.3,-19.99999999999993,-23.0
PEPEUSDT,2025-02-02 14:00:00,1.211e-05,2025-02-02 15:00:00,1.1867799999999998e-05,stop_loss,-2.3,-20.00000000000007,-23.0
ENAUSDT,2025-02-02 14:00:00,0.6531,2025-02-02 15:00:00,0.640038,stop_loss,-2.3,-20.00000000000003,-23.0
WLDUSDT,2025-02-02 20:00:00,1.407,2025-02-02 22:00:00,1.37886,stop_loss,-2.3,-20.00000000000004,-23.0
LINKUSDT,2025-02-02 20:00:00,20.66,2025-02-02 21:00:00,20.2468,stop_loss,-2.3,-19.99999999999999,-23.0
XRPUSDT,2025-02-02 23:00:00,2.58,2025-02-03 00:00:00,2.5284,stop_loss,-2.3,-20.000000000000036,-23.0
ZECUSDT,2025-02-02 23:00:00,33.24,2025-02-03 00:00:00,32.5752,stop_loss,-2.3,-19.999999999999986,-23.0
AAVEUSDT,2025-02-03 06:00:00,235.06,2025-02-03 14:00:00,230.3588,stop_loss,-2.3,-20.0,-23.0
PROMUSDT,2025-02-03 15:00:00,3.972,2025-02-03 19:00:00,4.22216,take_profit,6.0,62.98086606243699,60.0
ENAUSDT,2025-02-07 00:00:00,0.4783,2025-02-07 09:00:00,0.5149508,take_profit,7.36,76.62722140915751,73.6
PEPEUSDT,2025-02-07 07:00:00,9.27e-06,2025-02-07 10:00:00,9.61928e-06,take_profit,3.47,37.678532901833925,34.7
SUIUSDT,2025-02-07 07:00:00,3.162,2025-02-07 13:00:00,3.3129692,take_profit,4.47,47.74484503478812,44.7
WLDUSDT,2025-02-20 02:00:00,1.153,2025-02-20 20:00:00,1.19312,take_profit,3.18,34.79618386816993,31.8
UNIUSDT,2025-02-24 23:00:00,7.975,2025-02-25 00:00:00,7.815499999999999,stop_loss,-2.3,-20.000000000000053,-23.0
ZECUSDT,2025-02-24 23:00:00,33.03,2025-02-25 01:00:00,32.3694,stop_loss,-2.3,-20.000000000000068,-23.0
DOGEUSDT,2025-02-25 01:00:00,0.20954,2025-02-25 07:00:00,0.2053492,stop_loss,-2.3,-19.99999999999997,-23.0
SOLUSDT,2025-02-25 05:00:00,140.91,2025-02-25 07:00:00,138.0918,stop_loss,-2.3,-19.999999999999932,-23.0
SUIUSDT,2025-02-25 08:00:00,2.7844,2025-02-25 09:00:00,2.7287120000000002,stop_loss,-2.3,-19.999999999999986,-23.0
AAVEUSDT,2025-02-25 08:00:00,197.4,2025-02-25 10:00:00,193.452,stop_loss,-2.3,-20.000000000000036,-23.0
XRPUSDT,2025-02-25 08:00:00,2.1859,2025-02-25 09:00:00,2.142182,stop_loss,-2.3,-20.000000000000064,-23.0
NEARUSDT,2025-02-25 11:00:00,2.959,2025-02-25 13:00:00,2.89982,stop_loss,-2.3,-20.000000000000004,-23.0
LINKUSDT,2025-02-25 11:00:00,14.85,2025-02-25 14:00:00,14.552999999999999,stop_loss,-2.3,-20.00000000000004,-23.0
TRXUSDT,2025-02-28 12:00:00,0.2259,2025-03-01 00:00:00,0.23380599999999999,take_profit,3.2,34.99778663125275,32.0
AAVEUSDT,2025-03-01 18:00:00,192.52,2025-03-02 15:00:00,198.79996,take_profit,2.96,32.61977976314143,29.6
ADAUSDT,2025-03-03 22:00:00,0.8599,2025-03-04 00:00:00,0.842702,stop_loss,-2.3,-20.000000000000053,-23.0
XRPUSDT,2025-03-04 03:00:00,2.2983,2025-03-04 14:00:00,2.4765507999999996,take_profit,7.46,77.55767306269844,74.6
DOGEUSDT,2025-03-04 03:00:00,0.19126,2025-03-04 16:00:00,0.1874348,stop_loss,-2.3,-20.0,-23.0
WLDUSDT,2025-03-04 14:00:00,0.959,2025-03-04 15:00:00,0.93982,stop_loss,-2.3,-19.999999999999975,-23.0
LINKUSDT,2025-03-04 14:00:00,13.64,2025-03-04 15:00:00,13.3672,stop_loss,-2.3,-20.000000000000014,-23.0
PEPEUSDT,2025-03-04 14:00:00,6.81e-06,2025-03-04 15:00:00,6.6737999999999995e-06,stop_loss,-2.3,-20.00000000000007,-23.0
SUIUSDT,2025-03-04 17:00:00,2.4173,2025-03-05 20:00:00,2.6522144,take_profit,9.42,97.18049063004182,94.2
ADAUSDT,2025-03-06 21:00:00,0.9201,2025-03-07 00:00:00,0.901698,stop_loss,-2.3,-20.000000000000032,-23.0
PROMUSDT,2025-03-08 12:00:00,6.101,2025-03-09 22:00:00,5.97898,stop_loss,-2.3,-20.0,-23.0
PEPEUSDT,2025-03-09 19:00:00,5.93e-06,2025-03-10 00:00:00,5.8114e-06,stop_loss,-2.3,-20.0,-23.0
ZECUSDT,2025-03-10 00:00:00,30.31,2025-03-10 14:00:00,29.703799999999998,stop_loss,-2.3,-20.00000000000004,-23.0
SUIUSDT,2025-03-10 01:00:00,2.3513,2025-03-10 08:00:00,2.304274,stop_loss,-2.3,-20.0000000000001,-23.0
XRPUSDT,2025-03-10 01:00:00,2.1686,2025-03-10 14:00:00,2.125228,stop_loss,-2.3,-20.000000000000085,-23.0
ADAUSDT,2025-03-10 01:00:00,0.7354,2025-03-10 09:00:00,0.7676848000000001,take_profit,4.09,43.90100625509927,40.9
NEARUSDT,2025-03-10 12:00:00,2.648,2025-03-10 13:00:00,2.59504,stop_loss,-2.3,-20.000000000000046,-23.0
WLDUSDT,2025-03-10 20:00:00,0.76,2025-03-11 00:00:00,0.7448,stop_loss,-2.3,-19.99999999999999,-23.0
LINKUSDT,2025-03-10 21:00:00,12.88,2025-03-11 00:00:00,12.6224,stop_loss,-2.3,-20.0,-23.0
PEPEUSDT,2025-03-11 01:00:00,5.61e-06,2025-03-11 05:00:00,5.92152e-06,take_profit,5.25,55.52941176470589,52.5
BNBUSDT,2025-03-11 01:00:00,531.4,2025-03-11 07:00:00,556.3924,take_profit,4.4,47.03123823861494,44.0
WLDUSDT,2025-03-11 01:00:00,0.752,2025-03-11 16:00:00,0.812652,take_profit,7.77,80.65425531914899,77.7
ETHUSDT,2025-03-11 01:00:00,1858.66,2025-03-19 10:00:00,1972.0934,take_profit,5.8,61.02966653395451,58.0
SOLUSDT,2025-03-11 01:00:00,119.16,2025-03-11 19:00:00,128.33568,take_profit,7.4,77.00302114803625,74.0
BTCUSDT,2025-03-11 03:00:00,79522.29,2025-03-11 18:00:00,83346.58503999999,take_profit,4.51,48.09085653846233,45.1
ZECUSDT,2025-03-22 08:00:00,31.06,2025-03-22 12:00:00,30.438799999999997,stop_loss,-2.3,-20.000000000000057,-23.0
XRPUSDT,2025-03-31 12:00:00,2.1032,2025-03-31 13:00:00,2.0611360000000003,stop_loss,-2.3,-19.99999999999994,-23.0
DOGEUSDT,2025-04-01 15:00:00,0.17493,2025-04-01 18:00:00,0.1714314,stop_loss,-2.3,-19.999999999999947,-23.0
ZECUSDT,2025-04-06 09:00:00,37.99,2025-04-06 18:00:00,37.2302,stop_loss,-2.3,-19.999999999999957,-23.0
ETHUSDT,2025-04-07 07:00:00,1460.15,2025-04-07 14:00:00,1589.0036400000001,take_profit,8.52,88.24685135088863,85.2
LINKUSDT,2025-04-07 07:00:00,10.35,2025-04-07 13:00:00,11.0816,take_profit,6.77,70.68599033816427,67.7
WLDUSDT,2025-04-07 07:00:00,0.589,2025-04-07 10:00:00,0.635964,take_profit,7.67,79.7351443123939,76.7
UNIUSDT,2025-04-07 08:00:00,4.893,2025-04-07 14:00:00,5.23048,take_profit,6.6,68.97200081749443,66.0
