symbol,entry_time,entry_price,exit_time,exit_price,result,pnl_pct,pnl_usd,pnl_usd_netto
AAVEUSDT,2025-01-13 20:00:00,279.15,2025-01-19 17:00:00,344.72598,take_profit,23.19,234.91305749596995,231.9
PEPEUSDT,2025-01-29 06:00:00,1.267e-05,2025-02-02 03:00:00,1.19098e-05,stop_loss,-6.3,-59.99999999999999,-63.0
ENAUSDT,2025-01-29 19:00:00,0.7085,2025-02-02 03:00:00,0.66599,stop_loss,-6.3,-60.000000000000064,-63.0
PROMUSDT,2025-02-03 03:00:00,3.704,2025-02-09 11:00:00,5.819414,take_profit,56.81,571.1160907127429,568.1
WLDUSDT,2025-02-03 03:00:00,1.137,2025-02-13 03:00:00,1.291,time_exit,13.24,135.44415127528578,132.4
ADAUSDT,2025-02-04 19:00:00,0.752,2025-02-06 15:00:00,0.70688,stop_loss,-6.3,-60.000000000000064,-63.0
NEARUSDT,2025-02-09 08:00:00,3.456,2025-02-09 13:00:00,3.24864,stop_loss,-6.3,-59.99999999999999,-63.0
UNIUSDT,2025-02-10 20:00:00,9.573,2025-02-20 15:00:00,8.99862,stop_loss,-6.3,-59.999999999999964,-63.0
SOLUSDT,2025-02-25 19:00:00,145.43,2025-02-26 12:00:00,136.7042,stop_loss,-6.3,-60.00000000000014,-63.0
PEPEUSDT,2025-02-28 16:00:00,7.93e-06,2025-03-01 11:00:00,7.4542e-06,stop_loss,-6.3,-60.00000000000008,-63.0
LINKUSDT,2025-02-28 18:00:00,14.71,2025-03-04 01:00:00,13.8274,stop_loss,-6.3,-60.0,-63.0
ADAUSDT,2025-02-28 18:00:00,0.6334,2025-03-02 15:00:00,0.7883943999999999,take_profit,24.17,244.70224186927692,241.7
AAVEUSDT,2025-03-01 21:00:00,195.93,2025-03-03 19:00:00,184.17419999999998,stop_loss,-6.3,-60.00000000000011,-63.0
LINKUSDT,2025-04-09 07:00:00,11.39,2025-04-19 07:00:00,12.86,time_exit,12.61,129.06057945566275,126.1
SUIUSDT,2025-04-09 17:00:00,2.2474,2025-04-10 04:00:00,2.1125559999999997,stop_loss,-6.3,-60.00000000000009,-63.0
NEARUSDT,2025-04-09 17:00:00,2.132,2025-04-10 15:00:00,2.00408,stop_loss,-6.3,-60.000000000000014,-63.0
ADAUSDT,2025-04-09 17:00:00,0.6369,2025-04-10 15:00:00,0.5986859999999999,stop_loss,-6.3,-60.00000000000013,-63.0
ETHUSDT,2025-04-09 17:00:00,1632.94,2025-04-10 15:00:00,1534.9636,stop_loss,-6.3,-60.0,-63.0
PROMUSDT,2025-04-12 01:00:00,5.016,2025-04-22 01:00:00,5.89,time_exit,17.12,174.24242424242416,171.2
WLDUSDT,2025-06-22 00:00:00,0.868,2025-06-22 13:00:00,0.81592,stop_loss,-6.3,-60.000000000000014,-63.0
ZECUSDT,2025-07-03 07:00:00,39.55,2025-07-13 07:00:00,43.09,time_exit,8.65,89.50695322376755,86.5
WLDUSDT,2025-09-27 05:00:00,1.357,2025-09-27 14:00:00,1.27558,stop_loss,-6.3,-60.000000000000036,-63.0
PEPEUSDT,2025-10-10 22:00:00,6.65e-06,2025-10-20 22:00:00,7.18e-06,time_exit,7.67,79.69924812030075,76.7
WLDUSDT,2025-10-12 15:00:00,0.99,2025-10-14 06:00:00,0.9306,stop_loss,-6.3,-60.00000000000001,-63.0
ZECUSDT,2025-11-08 17:00:00,586.66,2025-11-09 02:00:00,551.4603999999999,stop_loss,-6.3,-60.000000000000064,-63.0
UNIUSDT,2025-11-17 07:00:00,8.104,2025-11-17 16:00:00,7.617759999999999,stop_loss,-6.3,-60.000000000000064,-63.0
ZECUSDT,2025-12-01 23:00:00,343.91,2025-12-02 04:00:00,323.2754,stop_loss,-6.3,-60.0000000000001,-63.0
NEARUSDT,2025-12-02 12:00:00,1.748,2025-12-07 14:00:00,1.64312,stop_loss,-6.3,-60.00000000000005,-63.0
ADAUSDT,2025-12-02 15:00:00,0.4283,2025-12-12 15:00:00,0.4084,time_exit,-4.95,-46.46275974784036,-49.5
LINKUSDT,2025-12-02 15:00:00,13.3,2025-12-12 15:00:00,13.53,time_exit,1.43,17.293233082706664,14.3
NEARUSDT,2025-12-19 19:00:00,1.551,2025-12-21 13:00:00,1.4579399999999998,stop_loss,-6.3,-60.00000000000009,-63.0
