symbol,entry_time,entry_price,exit_time,exit_price,result,pnl_pct,pnl_usd,pnl_usd_netto
PEPEUSDT,2025-01-07,1.859e-05,2025-01-11,1.802e-05,sma_exit,-3.37,-30.661646046261414,-33.7
UNIUSDT,2025-01-07,13.531,2025-01-10,13.941,sma_exit,2.73,30.300790776734914,27.3
AAVEUSDT,2025-01-07,306.88,2025-01-12,287.92,sma_exit,-6.48,-61.78310740354529,-64.8
LINKUSDT,2025-01-07,21.38,2025-01-14,20.32,sma_exit,-5.26,-49.57904583723099,-52.6
ETHUSDT,2025-01-08,3327.29,2025-01-15,3451.52,sma_exit,3.43,37.33669142154727,34.3
NEARUSDT,2025-01-08,5.153,2025-01-14,5.054,sma_exit,-2.22,-19.212109450805226,-22.2
ZECUSDT,2025-01-08,50.24,2025-01-13,48.44,sma_exit,-3.88,-35.828025477707094,-38.8
ADAUSDT,2025-01-08,0.9468,2025-01-11,0.9955,sma_exit,4.84,51.43641740599924,48.4
ENAUSDT,2025-01-08,0.9768,2025-01-15,0.9431,sma_exit,-3.75,-34.500409500409454,-37.5
TRXUSDT,2025-01-09,0.2402,2025-01-15,0.2381,sma_exit,-1.17,-8.742714404662742,-11.7
SOLUSDT,2025-01-09,184.95,2025-01-14,187.57,sma_exit,1.12,14.165990808326601,11.2
DOGEUSDT,2025-01-09,0.321,2025-01-11,0.3412,sma_exit,5.99,62.92834890965731,59.9
PROMUSDT,2025-01-18,6.746,2025-01-25,5.407,sma_exit,-20.15,-198.48799288467245,-201.5
ZECUSDT,2025-01-19,46.93,2025-01-23,48.61,sma_exit,3.28,35.79799701683358,32.8
PEPEUSDT,2025-01-22,1.515e-05,2025-01-30,1.293e-05,sma_exit,-14.95,-146.53465346534657,-149.5
UNIUSDT,2025-01-23,12.81,2025-01-29,11.733,sma_exit,-8.71,-84.07494145199063,-87.1
SUIUSDT,2025-01-25,4.13,2025-01-30,4.118,sma_exit,-0.59,-2.905569007263818,-5.9
ENAUSDT,2025-01-26,0.7764,2025-01-30,0.7603,sma_exit,-2.37,-20.736733642452347,-23.7
ZECUSDT,2025-01-26,44.81,2025-01-30,43.94,sma_exit,-2.24,-19.41530908279412,-22.4
AAVEUSDT,2025-01-26,316.56,2025-01-30,315.44,sma_exit,-0.65,-3.5380338640384275,-6.5
XRPUSDT,2025-01-26,3.0223,2025-01-29,3.0683,sma_exit,1.22,15.220196539059595,12.2
DOGEUSDT,2025-01-26,0.33605,2025-01-30,0.33153,sma_exit,-1.65,-13.450379407826288,-16.5
ADAUSDT,2025-01-27,0.9345,2025-01-30,0.9595,sma_exit,2.38,26.752273943285203,23.8
SOLUSDT,2025-01-27,234.89,2025-01-30,238.31,sma_exit,1.16,14.560006811699163,11.6
LINKUSDT,2025-01-27,24.21,2025-01-30,24.46,sma_exit,0.73,10.326311441553077,7.3
ETHUSDT,2025-01-27,3182.44,2025-01-30,3247.39,sma_exit,1.74,20.408868666809056,17.4
TRXUSDT,2025-01-28,0.2399,2025-01-30,0.2519,sma_exit,4.7,50.02084201750734,47.0
BTCUSDT,2025-01-28,101335.52,2025-01-29,103733.24,sma_exit,2.07,23.661199942527563,20.7
DOGEUSDT,2025-02-01,0.30792,2025-02-10,0.25542,sma_exit,-17.35,-170.49883086515993,-173.5
