symbol,entry_time,entry_price,exit_time,exit_price,result,pnl_pct,pnl_usd,pnl_usd_netto
TSLA,2025-01-02,379.2799987792969,2025-01-03,410.4400024414063,sma_exit,7.92,82.15567328200042,79.2
MAR,2025-01-02,270.18914794921875,2025-01-08,269.283447265625,sma_exit,-0.64,-3.3520986703876567,-6.4
AAPL,2025-01-02,242.09315490722656,2025-01-15,236.1562042236328,sma_exit,-2.75,-24.523414079464047,-27.5
MCK,2025-01-02,562.1361694335938,2025-01-03,573.285400390625,sma_exit,1.68,19.833683657582775,16.8
PH,2025-01-02,619.6302490234375,2025-01-03,627.6619873046875,sma_exit,1.0,12.962146851139606,10.0
BKNG,2025-01-02,194.6241607666016,2025-01-15,190.8445281982422,sma_exit,-2.24,-19.420161163299955,-22.4
ACN,2025-01-02,336.9662475585937,2025-01-03,341.8252868652344,sma_exit,1.14,14.419958502804537,11.4
APH,2025-01-02,68.2448959350586,2025-01-03,69.32280731201172,sma_exit,1.28,15.794754496788428,12.8
NOW,2025-01-02,210.8679962158203,2025-01-03,214.7539978027344,sma_exit,1.54,18.428598254126836,15.4
CRM,2025-01-02,326.8522033691406,2025-01-14,319.8141784667969,sma_exit,-2.45,-21.532744248920174,-24.5
CDNS,2025-01-02,297.6600036621094,2025-01-03,303.8599853515625,sma_exit,1.78,20.82907213994082,17.8
BLK,2025-01-02,985.8883056640624,2025-01-15,981.7988891601562,sma_exit,-0.71,-4.147951122263934,-7.1
CAT,2025-01-02,352.2652282714844,2025-01-03,356.2013854980469,sma_exit,0.82,11.173845473981824,8.2
ADP,2025-01-02,278.930908203125,2025-01-08,281.0880126953125,sma_exit,0.47,7.733472443350159,4.7
NFLX,2025-01-03,88.1050033569336,2025-01-15,84.82599639892578,sma_exit,-4.02,-37.21703459591055,-40.199999999999996
BA,2025-01-03,169.89999389648438,2025-01-07,172.50999450683594,sma_exit,1.24,15.361981778185157,12.4
TMUS,2025-01-06,205.8057861328125,2025-01-13,206.8523406982422,sma_exit,0.21,5.08515618095555,2.1
DUK,2025-01-06,100.03852081298828,2025-01-08,101.7878189086914,sma_exit,1.45,17.4862451132525,14.5
CME,2025-01-06,215.30812072753903,2025-01-10,218.53079223632807,sma_exit,1.2,14.967719275517497,12.0
MA,2025-01-06,506.5210571289063,2025-01-14,504.3840942382813,sma_exit,-0.72,-4.218902374439996,-7.2
ORCL,2025-01-07,158.90158081054688,2025-01-15,155.63499450683594,sma_exit,-2.36,-20.557292677947494,-23.6
GILD,2025-01-07,87.09494018554688,2025-01-14,87.45050811767578,sma_exit,0.11,4.082532594561809,1.1
T,2025-01-07,20.509780883789062,2025-01-14,20.395872116088867,sma_exit,-0.86,-5.553875409279913,-8.6
MCD,2025-01-10,270.57147216796875,2025-01-21,270.8590087890625,sma_exit,-0.19,1.0627011738889065,-1.9
NOW,2025-01-10,204.91400146484372,2025-01-15,210.8260040283203,sma_exit,2.59,28.851140093962243,25.9
USB,2025-01-10,44.53275680541992,2025-01-13,45.4820556640625,sma_exit,1.83,21.316867105048445,18.3
GS,2025-01-10,540.8824462890625,2025-01-14,552.018798828125,sma_exit,1.76,20.589228982134365,17.6
PNC,2025-01-10,178.08621215820312,2025-01-14,184.3892517089844,sma_exit,3.24,35.393192288137186,32.4
DIS,2025-01-13,106.08493041992188,2025-01-21,106.6934814453125,sma_exit,0.27,5.736451190397766,2.7
PLTR,2025-01-13,64.9800033569336,2025-01-15,68.13999938964844,sma_exit,4.56,48.63028423309032,45.6
FTNT,2025-01-14,92.48999786376952,2025-01-16,94.0500030517578,sma_exit,1.39,16.866744772619047,13.9
