symbol,entry_time,entry_price,exit_time,exit_price,result,pnl_pct,pnl_usd,pnl_usd_netto
XRPUSDT,2025-01-02 08:00:00,2.4035,2025-01-07 12:00:00,2.30736,stop_loss,-4.3,-40.00000000000004,-43.0
WLDUSDT,2025-01-02 08:00:00,2.346,2025-01-03 04:00:00,2.25216,stop_loss,-4.3,-40.000000000000064,-43.0
BTCUSDT,2025-01-02 12:00:00,96455.01,2025-01-07 12:00:00,97952.26,trend_flip,1.25,15.522781035427814,12.5
NEARUSDT,2025-01-02 12:00:00,5.434,2025-01-07 12:00:00,5.59,trend_flip,2.57,28.708133971291808,25.7
TRXUSDT,2025-01-03 00:00:00,0.2662,2025-01-07 12:00:00,0.2586,trend_flip,-3.15,-28.549962434259943,-31.5
LINKUSDT,2025-01-03 00:00:00,22.24,2025-01-07 12:00:00,22.06,trend_flip,-1.11,-8.093525179856103,-11.1
ZECUSDT,2025-01-14 20:00:00,51.13,2025-01-19 04:00:00,49.0848,stop_loss,-4.3,-40.00000000000002,-43.0
DOGEUSDT,2025-01-15 08:00:00,0.35201,2025-01-19 08:00:00,0.36289,trend_flip,2.79,30.90821283486265,27.9
AAVEUSDT,2025-01-15 08:00:00,287.99,2025-01-19 08:00:00,294.41,trend_flip,1.93,22.292440709746923,19.3
ADAUSDT,2025-01-15 12:00:00,1.0644,2025-01-19 08:00:00,1.021824,stop_loss,-4.3,-39.99999999999995,-43.0
LINKUSDT,2025-01-15 20:00:00,22.1,2025-01-19 08:00:00,22.4,trend_flip,1.06,13.574660633484033,10.6
PEPEUSDT,2025-01-16 00:00:00,1.837e-05,2025-01-18 16:00:00,1.84e-05,trend_flip,-0.14,1.6330974414807518,-1.4
SOLUSDT,2025-01-16 00:00:00,201.99,2025-01-20 00:00:00,241.38,trend_flip,19.2,195.00965394326442,192.0
UNIUSDT,2025-01-16 04:00:00,14.36,2025-01-19 08:00:00,13.785599999999999,stop_loss,-4.3,-40.00000000000005,-43.0
ETHUSDT,2025-01-16 08:00:00,3351.27,2025-01-19 08:00:00,3217.2192,stop_loss,-4.3,-40.0,-43.0
NEARUSDT,2025-01-16 08:00:00,5.22,2025-01-19 08:00:00,5.0112,stop_loss,-4.3,-40.00000000000002,-43.0
ENAUSDT,2025-01-16 20:00:00,0.9128,2025-01-18 04:00:00,0.876288,stop_loss,-4.3,-39.999999999999986,-43.0
TRXUSDT,2025-01-17 04:00:00,0.2441,2025-01-18 04:00:00,0.2413,trend_flip,-1.45,-11.470708725932095,-14.5
SUIUSDT,2025-01-18 00:00:00,4.7919,2025-01-19 20:00:00,4.600224,stop_loss,-4.3,-40.000000000000036,-43.0
WLDUSDT,2025-01-23 08:00:00,2.169,2025-01-25 00:00:00,2.08224,stop_loss,-4.3,-39.99999999999998,-43.0
SUIUSDT,2025-01-31 12:00:00,4.1972,2025-01-31 16:00:00,4.029311999999999,stop_loss,-4.3,-40.00000000000012,-43.0
PEPEUSDT,2025-02-01 04:00:00,1.349e-05,2025-02-01 16:00:00,1.2950399999999999e-05,stop_loss,-4.3,-40.00000000000006,-43.0
AAVEUSDT,2025-02-01 04:00:00,322.6,2025-02-01 08:00:00,309.696,stop_loss,-4.3,-39.999999999999986,-43.0
TRXUSDT,2025-02-01 08:00:00,0.2542,2025-02-01 20:00:00,0.24403199999999997,stop_loss,-4.3,-40.00000000000004,-43.0
TRXUSDT,2025-02-08 12:00:00,0.2304,2025-02-13 16:00:00,0.2343,trend_flip,1.39,16.927083333333396,13.9
BNBUSDT,2025-02-09 04:00:00,637.38,2025-02-09 20:00:00,611.8847999999999,stop_loss,-4.3,-40.00000000000011,-43.0
WLDUSDT,2025-02-09 12:00:00,1.235,2025-02-09 20:00:00,1.1856,stop_loss,-4.3,-40.000000000000085,-43.0
ZECUSDT,2025-02-09 16:00:00,32.05,2025-02-12 12:00:00,30.767999999999997,stop_loss,-4.3,-40.0,-43.0
UNIUSDT,2025-02-09 16:00:00,9.054,2025-02-18 16:00:00,9.256,trend_flip,1.93,22.310580958692285,19.3
SOLUSDT,2025-02-09 20:00:00,200.47,2025-02-12 12:00:00,192.4512,stop_loss,-4.3,-40.0,-43.0
NEARUSDT,2025-02-09 20:00:00,3.178,2025-02-18 04:00:00,3.165,trend_flip,-0.71,-4.090623033354279,-7.1
DOGEUSDT,2025-02-10 00:00:00,0.24803,2025-02-18 04:00:00,0.25063,trend_flip,0.75,10.48260291093827,7.5
XRPUSDT,2025-02-10 00:00:00,2.3827,2025-02-18 12:00:00,2.5407,trend_flip,6.33,66.31132748562571,63.3
PEPEUSDT,2025-02-10 04:00:00,9.51e-06,2025-02-12 12:00:00,9.1296e-06,stop_loss,-4.3,-40.000000000000064,-43.0
ETHUSDT,2025-02-11 00:00:00,2678.89,2025-02-11 20:00:00,2571.7344,stop_loss,-4.3,-40.00000000000002,-43.0
ADAUSDT,2025-02-11 00:00:00,0.7509,2025-02-19 00:00:00,0.7526,t3_crossunder,-0.07,2.2639499267546075,-0.7
LINKUSDT,2025-02-11 00:00:00,19.33,2025-02-11 16:00:00,18.5568,stop_loss,-4.3,-39.999999999999964,-43.0
BTCUSDT,2025-02-21 08:00:00,98629.3,2025-02-21 16:00:00,95285.11,trend_flip,-3.69,-33.90665856900538,-36.9
SOLUSDT,2025-03-02 12:00:00,157.46,2025-03-03 16:00:00,151.1616,stop_loss,-4.3,-40.00000000000009,-43.0
NEARUSDT,2025-03-02 16:00:00,3.485,2025-03-03 04:00:00,3.3455999999999997,stop_loss,-4.3,-40.00000000000006,-43.0
XRPUSDT,2025-03-03 00:00:00,2.7936,2025-03-03 04:00:00,2.681856,stop_loss,-4.3,-40.0000000000001,-43.0
DOGEUSDT,2025-03-03 00:00:00,0.22733,2025-03-03 04:00:00,0.2182368,stop_loss,-4.3,-39.99999999999998,-43.0
TRXUSDT,2025-03-03 00:00:00,0.2419,2025-03-03 16:00:00,0.23222399999999999,stop_loss,-4.3,-40.00000000000007,-43.0
ADAUSDT,2025-03-03 00:00:00,1.0705,2025-03-03 04:00:00,1.02768,stop_loss,-4.3,-40.00000000000007,-43.0
LINKUSDT,2025-03-03 04:00:00,16.49,2025-03-03 16:00:00,15.830399999999997,stop_loss,-4.3,-40.000000000000064,-43.0
BTCUSDT,2025-03-03 12:00:00,90035.37,2025-03-03 16:00:00,86433.9552,stop_loss,-4.3,-39.99999999999999,-43.0
AAVEUSDT,2025-03-03 12:00:00,201.13,2025-03-03 16:00:00,193.0848,stop_loss,-4.3,-39.99999999999997,-43.0
ETHUSDT,2025-03-06 00:00:00,2289.79,2025-03-06 16:00:00,2198.1983999999998,stop_loss,-4.3,-40.000000000000085,-43.0
XRPUSDT,2025-03-24 16:00:00,2.4653,2025-03-26 16:00:00,2.366688,stop_loss,-4.3,-40.00000000000006,-43.0
ENAUSDT,2025-03-24 20:00:00,0.4087,2025-03-28 04:00:00,0.392352,stop_loss,-4.3,-40.000000000000064,-43.0
PEPEUSDT,2025-03-25 04:00:00,7.94e-06,2025-03-28 04:00:00,7.9e-06,trend_flip,-0.8,-5.037783375314813,-8.0
WLDUSDT,2025-03-25 08:00:00,0.939,2025-03-28 04:00:00,0.9014399999999999,stop_loss,-4.3,-40.00000000000004,-43.0
ZECUSDT,2025-03-26 04:00:00,37.01,2025-03-28 08:00:00,35.529599999999995,stop_loss,-4.3,-40.000000000000085,-43.0
WLDUSDT,2025-04-11 08:00:00,0.714,2025-04-16 04:00:00,0.705,trend_flip,-1.56,-12.605042016806733,-15.6
BNBUSDT,2025-04-11 08:00:00,583.12,2025-04-18 00:00:00,590.5,t3_crossunder,0.97,12.656057072300719,9.7
AAVEUSDT,2025-04-11 12:00:00,135.36,2025-04-16 04:00:00,133.35,trend_flip,-1.78,-14.849290780141985,-17.8
ETHUSDT,2025-04-12 16:00:00,1642.63,2025-04-13 12:00:00,1576.9248,stop_loss,-4.3,-40.00000000000006,-43.0
WLDUSDT,2025-04-21 00:00:00,0.78,2025-04-22 00:00:00,0.7488,stop_loss,-4.3,-40.00000000000001,-43.0
PEPEUSDT,2025-04-21 04:00:00,7.87e-06,2025-04-29 08:00:00,8.98e-06,t3_crossunder,13.8,141.0419313850065,138.0
ENAUSDT,2025-04-21 08:00:00,0.2983,2025-04-21 16:00:00,0.286368,stop_loss,-4.3,-39.99999999999999,-43.0
BTCUSDT,2025-04-21 20:00:00,87516.23,2025-04-29 08:00:00,95129.74,t3_crossunder,8.4,86.99540645203764,84.0
XRPUSDT,2025-04-23 04:00:00,2.2569,2025-04-24 04:00:00,2.1666239999999997,stop_loss,-4.3,-40.00000000000011,-43.0
