symbol,entry_time,entry_price,exit_time,exit_price,result,pnl_pct,pnl_usd,pnl_usd_netto
LINKUSDT,2025-01-01,21.73,2025-01-08,19.67,stop_loss,-9.78,-94.79981592268746,-97.8
AAVEUSDT,2025-01-07,306.88,2025-01-08,305.51,stop_loss,-0.75,-4.4642857142857295,-7.5
TRXUSDT,2025-01-08,0.2505,2025-01-09,0.2443,stop_loss,-2.78,-24.75049900199605,-27.8
NEARUSDT,2025-01-08,5.153,2025-01-09,4.865,stop_loss,-5.89,-55.88977294779728,-58.9
BNBUSDT,2025-01-08,696.03,2025-01-13,674.72,stop_loss,-3.36,-30.61649641538432,-33.6
ETHUSDT,2025-01-08,3327.29,2025-01-09,3208.2,stop_loss,-3.88,-35.79189069783522,-38.8
UNIUSDT,2025-01-08,13.118,2025-01-09,12.494,stop_loss,-5.06,-47.56822686385124,-50.6
PEPEUSDT,2025-01-08,1.782e-05,2025-01-09,1.701e-05,stop_loss,-4.85,-45.45454545454531,-48.5
AAVEUSDT,2025-01-09,281.13,2025-01-13,273.29,stop_loss,-3.09,-27.887454202681944,-30.9
ENAUSDT,2025-01-09,0.9013,2025-01-13,0.8606,stop_loss,-4.82,-45.156995451015156,-48.2
PROMUSDT,2025-01-09,5.419,2025-01-19,5.711,time_exit,5.09,53.8844805314635,50.9
BTCUSDT,2025-01-09,92552.49,2025-01-13,91203.67,stop_loss,-1.76,-14.573567928858607,-17.6
LINKUSDT,2025-01-09,19.65,2025-01-13,19.14,stop_loss,-2.9,-25.954198473282343,-29.0
ADAUSDT,2025-01-13,0.9444,2025-01-23,0.9867,time_exit,4.18,44.790343074968234,41.8
PEPEUSDT,2025-01-13,1.686e-05,2025-01-19,1.561e-05,stop_loss,-7.71,-74.13997627520757,-77.1
ZECUSDT,2025-01-13,48.44,2025-01-23,48.61,time_exit,0.05,3.5094962840627932,0.5
UNIUSDT,2025-01-13,12.893,2025-01-23,12.81,time_exit,-0.94,-6.4376017994260595,-9.4
SOLUSDT,2025-01-13,182.87,2025-01-23,253.11,time_exit,38.11,384.09799310985954,381.1
DOGEUSDT,2025-01-13,0.33807,2025-01-23,0.35206,time_exit,3.84,41.3819623154968,38.4
PROMUSDT,2025-01-20,5.501,2025-01-21,5.283,stop_loss,-4.26,-39.6291583348482,-42.6
WLDUSDT,2025-01-20,1.894,2025-01-21,1.826,stop_loss,-3.89,-35.90285110876444,-38.9
PEPEUSDT,2025-01-20,1.58e-05,2025-01-21,1.512e-05,stop_loss,-4.6,-43.03797468354443,-46.0
SUIUSDT,2025-01-21,4.6581,2025-01-23,4.2167,stop_loss,-9.78,-94.75966595822327,-97.8
PROMUSDT,2025-01-22,5.219,2025-01-23,5.17,stop_loss,-1.24,-9.388771795363168,-12.4
PEPEUSDT,2025-01-23,1.532e-05,2025-01-26,1.43e-05,stop_loss,-6.96,-66.57963446475188,-69.6
NEARUSDT,2025-01-26,4.759,2025-01-27,4.748,stop_loss,-0.53,-2.3114099600756712,-5.3
DOGEUSDT,2025-01-26,0.33605,2025-01-27,0.335,stop_loss,-0.61,-3.1245350394286424,-6.1
XRPUSDT,2025-01-27,3.0552,2025-02-02,2.6559,stop_loss,-13.37,-130.69520816967798,-133.7
BTCUSDT,2025-01-27,102082.83,2025-02-02,97777.77,stop_loss,-4.52,-42.172224261415934,-45.2
LINKUSDT,2025-01-27,24.21,2025-02-02,22.18,stop_loss,-8.68,-83.84964890541103,-86.8
AAVEUSDT,2025-01-27,305.07,2025-01-28,288.09,stop_loss,-5.87,-55.65935686891539,-58.7
BNBUSDT,2025-01-27,679.74,2025-02-02,637.79,stop_loss,-6.47,-61.71477329567194,-64.7
SUIUSDT,2025-01-27,3.9636,2025-02-02,3.4952,stop_loss,-12.12,-118.1753961045514,-121.2
ETHUSDT,2025-01-27,3182.44,2025-02-02,3020.01,stop_loss,-5.4,-51.039454003846046,-54.0
WLDUSDT,2025-01-29,1.724,2025-02-01,1.61,stop_loss,-6.91,-66.12529002320179,-69.1
