symbol,entry_time,entry_price,exit_time,exit_price,result,pnl_pct,pnl_usd,pnl_usd_netto
BTCUSDT,2025-01-17,104077.48,2025-01-27,98873.60599999999,stop_loss,-5.3,-50.00000000000011,-53.0
ETHUSDT,2025-02-23,2819.69,2025-02-24,2678.7055,stop_loss,-5.3,-50.00000000000001,-53.0
ZECUSDT,2025-03-02,41.27,2025-03-03,39.2065,stop_loss,-5.3,-50.00000000000011,-53.0
PEPEUSDT,2025-04-22,8.81e-06,2025-04-24,8.3695e-06,stop_loss,-5.3,-50.00000000000003,-53.0
BNBUSDT,2025-04-22,618.51,2025-05-04,587.5844999999999,stop_loss,-5.3,-50.00000000000009,-53.0
DOGEUSDT,2025-04-22,0.17863,2025-04-30,0.1696985,stop_loss,-5.3,-50.00000000000004,-53.0
LINKUSDT,2025-04-22,14.13,2025-05-06,13.4235,stop_loss,-5.3,-50.00000000000001,-53.0
AAVEUSDT,2025-04-22,158.2,2025-05-07,172.12,time_exit,8.5,87.98988621997482,85.0
WLDUSDT,2025-04-22,0.839,2025-05-07,0.929,time_exit,10.43,107.27056019070332,104.3
SUIUSDT,2025-04-22,2.6674,2025-05-07,3.3314,time_exit,24.59,248.93154382544785,245.9
ADAUSDT,2025-04-23,0.6977,2025-05-05,0.6628149999999999,stop_loss,-5.3,-50.00000000000008,-53.0
UNIUSDT,2025-04-23,6.033,2025-04-24,5.73135,stop_loss,-5.3,-50.00000000000007,-53.0
ENAUSDT,2025-04-24,0.3566,2025-04-28,0.33876999999999996,stop_loss,-5.3,-50.000000000000036,-53.0
ZECUSDT,2025-05-01,37.41,2025-05-03,35.5395,stop_loss,-5.3,-50.0,-53.0
BNBUSDT,2025-05-08,629.17,2025-05-23,656.98,time_exit,4.12,44.20109032534936,41.2
TRXUSDT,2025-05-08,0.2571,2025-05-23,0.2688,time_exit,4.25,45.50758459743286,42.5
ADAUSDT,2025-05-08,0.7693,2025-05-17,0.7308349999999999,stop_loss,-5.3,-50.00000000000011,-53.0
LINKUSDT,2025-05-08,15.88,2025-05-17,15.086,stop_loss,-5.3,-50.00000000000003,-53.0
SOLUSDT,2025-05-08,164.46,2025-05-23,174.01,time_exit,5.51,58.068831326766286,55.1
XRPUSDT,2025-05-08,2.3272,2025-05-23,2.2966,time_exit,-1.61,-13.148848401512435,-16.1
DOGEUSDT,2025-05-08,0.19817,2025-05-23,0.22521,time_exit,13.34,136.4485038098601,133.4
PEPEUSDT,2025-05-08,1.112e-05,2025-05-23,1.381e-05,time_exit,23.89,241.90647482014384,238.9
NEARUSDT,2025-05-09,2.901,2025-05-17,2.75595,stop_loss,-5.3,-49.99999999999997,-53.0
TRXUSDT,2025-06-05,0.282,2025-06-13,0.26789999999999997,stop_loss,-5.3,-50.00000000000001,-53.0
AAVEUSDT,2025-06-09,283.31,2025-06-13,269.1445,stop_loss,-5.3,-50.00000000000003,-53.0
ETHUSDT,2025-06-10,2816.4,2025-06-12,2675.58,stop_loss,-5.3,-50.00000000000006,-53.0
UNIUSDT,2025-06-10,8.665,2025-06-11,8.231749999999998,stop_loss,-5.3,-50.00000000000012,-53.0
PEPEUSDT,2025-07-09,1.105e-05,2025-07-24,1.239e-05,time_exit,11.83,121.26696832579192,118.3
XRPUSDT,2025-07-09,2.4038,2025-07-24,3.1453,time_exit,30.55,308.46992262251445,305.5
ENAUSDT,2025-07-09,0.2874,2025-07-24,0.4719,time_exit,63.9,641.9624217118998,639.0
UNIUSDT,2025-07-09,8.301,2025-07-24,10.124,time_exit,21.66,219.61209492832194,216.6
ADAUSDT,2025-07-09,0.6227,2025-07-24,0.806,time_exit,29.14,294.3632567849687,291.4
DOGEUSDT,2025-07-09,0.18053,2025-07-24,0.23218,time_exit,28.31,286.1020329031186,283.1
BNBUSDT,2025-07-10,685.8,2025-07-25,785.45,time_exit,14.23,145.30475357247025,142.3
WLDUSDT,2025-07-10,1.068,2025-07-12,1.0146,stop_loss,-5.3,-50.0000000000001,-53.0
SOLUSDT,2025-07-10,164.34,2025-07-25,186.76,time_exit,13.34,136.42448582207612,133.4
LINKUSDT,2025-07-10,15.23,2025-07-25,18.28,time_exit,19.73,200.2626395272489,197.3
SUIUSDT,2025-07-10,3.4909,2025-07-11,3.3163549999999997,stop_loss,-5.3,-50.00000000000006,-53.0
TRUMPUSDT,2025-07-10,9.8,2025-07-14,9.31,stop_loss,-5.3,-50.00000000000002,-53.0
NEARUSDT,2025-07-10,2.515,2025-07-25,2.855,time_exit,13.22,135.18886679920473,132.2
BTCUSDT,2025-08-13,123306.43,2025-08-15,117141.10849999999,stop_loss,-5.3,-50.00000000000005,-53.0
