trade_zeile,symbol,entry_time,exit_time,result,pnl_pct,entry_price,exit_price,kerzen,ausgefuehrt
0,ADAUSDT,2021-09-22 07:00:00,2021-10-02 09:00:00,time_exit,3.1,2.145,2.218,241,True
1,XRPUSDT,2021-09-22 07:00:00,2021-09-24 11:00:00,stop_loss,-6.3,0.9445,0.88783,53,True
2,NEARUSDT,2021-11-19 04:00:00,2021-11-26 08:00:00,stop_loss,-6.3,9.267,8.71098,173,True
3,LINKUSDT,2021-11-28 23:00:00,2021-12-03 20:00:00,stop_loss,-6.3,24.76,23.2744,118,True
4,XRPUSDT,2021-12-04 06:00:00,2021-12-14 06:00:00,time_exit,6.9,0.7275,0.7799,241,True
5,TRXUSDT,2021-12-06 13:00:00,2021-12-16 13:00:00,time_exit,3.53,0.08437,0.0876,241,True
6,XRPUSDT,2021-12-06 21:00:00,2021-12-13 19:00:00,stop_loss,-6.3,0.8189,0.769766,167,True
7,AAVEUSDT,2021-12-06 22:00:00,2021-12-10 01:00:00,stop_loss,-6.3,186.2,175.028,76,True
8,LINKUSDT,2022-01-24 17:00:00,2022-02-03 17:00:00,time_exit,7.04,14.85,15.94,241,True
9,BNBUSDT,2022-01-24 20:00:00,2022-02-03 20:00:00,time_exit,-3.32,374.4,363.1,241,True
10,TRXUSDT,2022-01-25 23:00:00,2022-02-04 23:00:00,time_exit,14.96,0.05588,0.06441,241,True
11,UNIUSDT,2022-02-24 14:00:00,2022-03-06 14:00:00,time_exit,4.82,8.21,8.63,241,True
12,NEARUSDT,2022-02-24 16:00:00,2022-03-06 16:00:00,time_exit,31.2,8.036,10.567,241,True
13,LINKUSDT,2022-02-24 16:00:00,2022-03-06 16:00:00,time_exit,11.33,12.38,13.82,241,True
14,AAVEUSDT,2022-02-24 18:00:00,2022-03-06 18:00:00,time_exit,-3.71,123.3,119.1,241,True
15,ETHUSDT,2022-02-24 18:00:00,2022-03-06 18:00:00,time_exit,3.59,2524.91,2623.19,241,True
16,BNBUSDT,2022-02-24 19:00:00,2022-03-06 19:00:00,time_exit,4.91,358.6,377.3,241,True
17,XRPUSDT,2022-02-24 19:00:00,2022-03-06 19:00:00,time_exit,6.34,0.6882,0.7339,241,True
18,DOGEUSDT,2022-03-14 04:00:00,2022-03-24 04:00:00,time_exit,17.2,0.1154,0.1356,241,True
