trade_zeile,symbol,entry_time,exit_time,result,pnl_pct,entry_price,exit_price,kerzen,ausgefuehrt
0,ADAUSDT,2021-09-01 20:00:00,2021-09-06 12:00:00,t3_crossunder,-1.17,2.869,2.844,29,True
1,BNBUSDT,2021-09-01 20:00:00,2021-09-07 08:00:00,stop_loss,-4.3,489.4,469.82399999999996,34,True
2,TRXUSDT,2021-09-01 20:00:00,2021-09-07 08:00:00,trend_flip,1.95,0.095,0.09714,34,True
3,UNIUSDT,2021-09-01 20:00:00,2021-09-02 04:00:00,stop_loss,-4.3,31.35,30.096,3,True
4,XRPUSDT,2021-09-01 20:00:00,2021-09-07 12:00:00,stop_loss,-4.3,1.2362,1.186752,35,True
5,ZECUSDT,2021-09-01 20:00:00,2021-09-07 08:00:00,trend_flip,4.25,151.7,158.6,34,False
6,DOGEUSDT,2021-09-01 20:00:00,2021-09-07 08:00:00,stop_loss,-4.3,0.2943,0.282528,34,False
7,ETHUSDT,2021-09-01 20:00:00,2021-09-07 08:00:00,stop_loss,-4.3,3826.82,3673.7472000000002,34,False
8,AAVEUSDT,2021-09-01 20:00:00,2021-09-02 16:00:00,t3_crossunder,-3.54,413.1,399.7,6,False
9,NEARUSDT,2021-09-02 00:00:00,2021-09-13 00:00:00,trend_flip,45.46,5.586,8.142,67,False
10,SOLUSDT,2021-09-02 20:00:00,2021-09-08 04:00:00,trend_flip,18.59,128.23,152.45,33,True
11,AAVEUSDT,2021-09-06 12:00:00,2021-09-07 08:00:00,stop_loss,-4.3,408.6,392.25600000000003,6,True
12,LINKUSDT,2021-09-15 08:00:00,2021-09-16 12:00:00,stop_loss,-4.3,31.14,29.8944,8,True
13,BTCUSDT,2021-09-15 12:00:00,2021-09-20 00:00:00,stop_loss,-4.3,48288.0,46356.479999999996,28,True
14,ETHUSDT,2021-09-15 12:00:00,2021-09-17 20:00:00,stop_loss,-4.3,3498.14,3358.2144,15,True
15,DOGEUSDT,2021-09-15 20:00:00,2021-09-16 12:00:00,stop_loss,-4.3,0.2476,0.237696,5,True
16,ZECUSDT,2021-09-15 20:00:00,2021-09-16 20:00:00,stop_loss,-4.3,139.8,134.208,7,True
