trade_zeile,symbol,entry_time,exit_time,result,pnl_pct,entry_price,exit_price,kerzen,ausgefuehrt,allocation,capital_after
0,RTX,2016-09-01,2016-09-16,time_exit,-6.5,53.47837829589844,50.16102600097656,11,True,200.0,9987.0
1,LOW,2016-09-01,2016-09-16,time_exit,-7.48,63.36054611206055,58.8099365234375,11,True,200.0,9972.04
2,GOOGL,2016-09-01,2016-09-16,time_exit,0.53,39.22220993041992,39.547813415527344,11,True,200.0,9973.1
3,AMGN,2016-09-01,2016-09-16,time_exit,1.36,126.25997924804688,128.36021423339844,11,True,200.0,9975.82
4,MSFT,2016-09-01,2016-09-16,time_exit,-0.89,51.138031005859375,50.83613204956055,11,True,200.0,9974.04
5,VRTX,2016-09-01,2016-09-16,time_exit,-2.45,94.75,92.70999908447266,11,True,200.0,9969.14
6,TXN,2016-09-01,2016-09-16,time_exit,-0.79,53.03282928466797,52.774112701416016,11,True,200.0,9967.56
7,TJX,2016-09-01,2016-09-16,time_exit,-4.24,33.79203796386719,32.46173858642578,11,True,200.0,9959.08
8,TMO,2016-09-01,2016-09-16,time_exit,-0.79,146.69834899902344,145.97325134277344,11,True,200.0,9957.5
9,AXP,2016-09-01,2016-09-16,time_exit,-2.15,56.52284622192383,55.477088928222656,11,True,200.0,9953.2
10,ETN,2016-09-01,2016-09-16,time_exit,-7.13,54.29772186279297,50.589691162109375,11,True,200.0,9938.94
11,BA,2016-09-01,2016-09-16,time_exit,-2.76,119.51809692382812,116.57384490966795,11,True,200.0,9933.42
12,PFE,2016-09-01,2016-09-16,time_exit,-2.43,20.889240264892575,20.443506240844727,11,True,200.0,9928.56
13,ABT,2016-09-01,2016-09-16,time_exit,-1.32,35.04139709472656,34.685184478759766,11,True,200.0,9925.92
14,ADI,2016-09-01,2016-09-16,time_exit,-1.9,52.43218994140625,51.59241485595703,11,True,200.0,9922.12
15,DIS,2016-09-01,2016-09-16,time_exit,-2.1,86.84857940673828,85.2822494506836,11,True,200.0,9917.92
16,FCX,2016-09-01,2016-09-16,time_exit,-4.26,9.321578025817873,8.95231819152832,11,True,200.0,9909.4
