trade_zeile,symbol,entry_time,exit_time,result,pnl_pct,entry_price,exit_price,kerzen,ausgefuehrt
0,INTC,2016-09-01,2016-09-23,time_exit,2.95,29.18529510498047,30.133289337158203,16,True
1,PNC,2016-09-01,2016-09-23,time_exit,-0.94,64.87659454345703,64.4584732055664,16,True
2,COF,2016-09-01,2016-09-23,time_exit,-0.02,59.71344757080078,59.88144302368164,16,True
3,MA,2016-09-01,2016-09-23,time_exit,3.84,92.04254150390624,95.8517074584961,16,True
4,ADP,2016-09-01,2016-09-23,time_exit,-2.1,72.83084106445312,71.51683807373047,16,True
5,SPGI,2016-09-01,2016-09-23,time_exit,0.54,107.01521301269533,107.9132080078125,16,True
6,ICE,2016-09-01,2016-09-23,time_exit,-2.9,50.06816864013672,48.76444625854492,16,True
7,JCI,2016-09-02,2016-09-19,stop_loss,-8.3,34.32745742797852,31.58126083374024,11,True
8,MCO,2016-09-02,2016-09-26,time_exit,-0.7,99.6421127319336,99.24146270751952,16,True
9,EQIX,2016-09-02,2016-09-26,time_exit,-2.74,306.20703125,298.7384948730469,16,True
10,PM,2016-09-02,2016-09-26,time_exit,-1.88,62.13685607910156,61.15751266479492,16,False
11,MRSH,2016-09-02,2016-09-26,time_exit,-2.19,57.69148254394531,56.60185241699219,16,False
12,V,2016-09-02,2016-09-26,time_exit,-0.53,76.41212463378906,76.23504638671875,16,False
13,CB,2016-09-06,2016-09-27,time_exit,-2.46,107.5381851196289,105.22013854980467,16,False
14,MO,2016-09-06,2016-09-27,time_exit,-5.18,33.99269485473633,32.335018157958984,16,False
15,NOW,2016-09-06,2016-09-13,stop_loss,-8.3,15.543999671936035,14.300479698181153,6,False
16,AMZN,2016-09-06,2016-09-27,time_exit,3.15,39.44350051879883,40.80550003051758,16,False
17,NFLX,2016-09-06,2016-09-27,time_exit,-3.32,10.008999824523926,9.70699977874756,16,False
18,META,2016-09-06,2016-09-27,time_exit,-1.1,128.60069274902344,127.5697250366211,16,False
19,CSX,2016-09-07,2016-09-28,time_exit,3.87,8.373335838317871,8.722107887268066,16,False
20,WDC,2016-09-07,2016-09-28,time_exit,9.47,35.37234878540039,38.82795333862305,16,False
