trade_zeile,symbol,entry_time,exit_time,result,pnl_pct,entry_price,exit_price,kerzen,ausgefuehrt,allocation,capital_after
0,INTC,2016-09-01,2016-09-23,time_exit,2.95,29.18529510498047,30.133289337158203,16,True,1000.0,9946.5
1,PNC,2016-09-01,2016-09-23,time_exit,-0.94,64.87659454345703,64.4584732055664,16,True,1000.0,9937.1
2,COF,2016-09-01,2016-09-23,time_exit,-0.02,59.71344757080078,59.88144302368164,16,True,1000.0,9936.9
3,MA,2016-09-01,2016-09-23,time_exit,3.84,92.04254150390624,95.8517074584961,16,True,1000.0,9975.3
4,ADP,2016-09-01,2016-09-23,time_exit,-2.1,72.83084106445312,71.51683807373047,16,True,1000.0,9954.3
5,SPGI,2016-09-01,2016-09-23,time_exit,0.54,107.01521301269533,107.9132080078125,16,True,1000.0,9959.7
6,ICE,2016-09-01,2016-09-23,time_exit,-2.9,50.06816864013672,48.76444625854492,16,True,1000.0,9930.7
7,JCI,2016-09-02,2016-09-19,stop_loss,-8.3,34.32745742797852,31.58126083374024,11,True,1000.0,9917.0
8,MCO,2016-09-02,2016-09-26,time_exit,-0.7,99.6421127319336,99.24146270751952,16,True,1000.0,9923.7
9,EQIX,2016-09-02,2016-09-26,time_exit,-2.74,306.20703125,298.7384948730469,16,True,1000.0,9896.3
48,REGN,2016-09-27,2016-10-06,stop_loss,-8.3,417.5100402832031,384.1092370605469,8,True,989.63,9814.16
49,MU,2016-09-27,2016-10-11,stop_loss,-8.3,17.55246925354004,16.148271713256836,11,True,989.63,9732.02
50,CAT,2016-09-28,2016-10-19,time_exit,1.33,69.53328704833984,70.66555786132812,16,True,989.63,9663.04
51,PG,2016-09-28,2016-10-19,time_exit,-3.94,68.12963104248047,65.64724731445312,16,True,989.63,9624.05
54,PANW,2016-09-30,2016-10-17,stop_loss,-8.3,26.55500030517578,24.43060028076172,12,True,989.63,9649.88
52,SCHW,2016-09-30,2016-10-21,time_exit,1.92,27.774188995361328,28.39002990722656,16,True,989.63,9643.05
53,DE,2016-09-30,2016-10-21,time_exit,0.97,73.48284149169922,74.41268157958984,16,True,989.63,9652.65
55,LRCX,2016-09-30,2016-10-21,time_exit,2.76,8.29875659942627,8.552863121032715,16,True,989.63,9679.97
56,NFLX,2016-10-03,2016-10-24,time_exit,23.77,10.262999534606934,12.732999801635742,16,True,989.63,9915.2
65,MRK,2016-10-10,2016-10-28,stop_loss,-8.3,45.19504165649414,41.579438323974614,15,True,981.42,9833.74
66,AAPL,2016-10-11,2016-11-01,time_exit,-4.44,26.596141815185547,25.49616050720215,16,True,973.2,9790.53
69,GOOG,2016-10-18,2016-11-08,time_exit,-0.9,39.41548538208008,39.18006134033203,16,True,964.99,9701.51
71,BNY,2016-10-20,2016-11-10,time_exit,9.55,32.74055099487305,35.96562957763672,16,True,962.41,9793.42
72,APH,2016-10-20,2016-11-10,time_exit,-0.24,15.168219566345217,15.177350997924805,16,True,962.41,9791.11
74,META,2016-10-21,2016-11-03,stop_loss,-8.3,130.92034912109375,120.44672119140625,10,True,968.0,9710.19
75,MS,2016-10-21,2016-11-11,time_exit,15.49,25.239654541015625,29.22527313232422,16,True,968.0,9941.05
76,MSFT,2016-10-21,2016-11-11,time_exit,-1.37,52.97612380981445,52.40782928466797,16,True,968.0,9927.79
78,BA,2016-10-24,2016-11-14,time_exit,9.66,126.46468353271484,139.06222534179688,16,True,991.52,10023.57
79,TMUS,2016-10-24,2016-11-14,time_exit,3.08,48.67177200317383,50.316680908203125,16,True,991.52,10054.11
91,CVX,2016-10-31,2016-11-21,time_exit,5.94,68.7040786743164,72.98902130126953,16,True,983.37,10112.52
96,JCI,2016-11-01,2016-11-22,time_exit,9.37,33.239131927490234,36.45347213745117,16,True,979.05,10204.26
107,BKNG,2016-11-08,2016-11-30,time_exit,-5.02,61.81217956542969,58.8961181640625,16,True,970.15,10155.55
120,TJX,2016-11-10,2016-12-02,time_exit,1.97,32.8913688659668,33.637413024902344,16,True,979.11,10174.84
121,STX,2016-11-10,2016-12-02,time_exit,7.16,24.27842330932617,26.090747833251957,16,True,979.11,10244.95
122,MCD,2016-11-14,2016-12-06,time_exit,1.67,92.68634033203124,94.5086669921875,16,True,1005.41,10261.74
123,ANET,2016-11-14,2016-12-06,time_exit,6.57,5.489375114440918,5.866250038146973,16,True,1005.41,10327.79
124,ADI,2016-11-14,2016-12-06,time_exit,7.14,55.2591667175293,59.36859130859375,16,True,1005.41,10399.58
125,MU,2016-11-15,2016-12-07,time_exit,12.63,17.649982452392578,19.93180656433105,16,True,1005.41,10526.56
126,LRCX,2016-11-15,2016-12-07,time_exit,5.07,8.8604154586792,9.33620834350586,16,True,1005.41,10577.54
133,COP,2016-11-21,2016-12-13,time_exit,13.25,34.22637939453125,38.862754821777344,16,True,1011.25,10711.53
134,INTC,2016-11-22,2016-12-14,time_exit,2.72,28.965421676635746,29.838960647583008,16,True,1020.43,10739.28
136,MMM,2016-12-07,2016-12-29,time_exit,1.04,107.17223358154295,108.60887145996094,16,True,1057.75,10750.28
137,TT,2016-12-07,2016-12-29,time_exit,-3.42,52.33039474487305,50.70008850097656,16,True,1057.75,10714.11
138,WDC,2016-12-07,2016-12-29,time_exit,-0.63,46.28432083129883,46.13109588623047,16,True,1057.75,10707.45
139,BLK,2016-12-08,2016-12-30,time_exit,-2.81,308.6645812988281,300.9228210449219,16,True,1057.75,10677.72
140,PGR,2016-12-08,2016-12-30,time_exit,3.96,25.796600341796875,26.89512825012207,16,True,1057.75,10719.61
141,PG,2016-12-09,2017-01-03,time_exit,-0.5,64.74932861328125,64.6188735961914,16,True,1057.75,10714.32
142,MCK,2016-12-09,2017-01-03,time_exit,0.51,135.80873107910156,136.9044952392578,16,True,1057.75,10719.72
143,KO,2016-12-09,2017-01-03,time_exit,-0.78,31.250782012939453,31.10197639465332,16,True,1057.75,10711.46
146,MCD,2016-12-13,2017-01-05,time_exit,-2.73,97.22703552246094,94.86531829833984,16,True,1071.15,10682.22
148,BMY,2016-12-14,2017-01-06,time_exit,2.86,41.41432189941406,42.7210807800293,16,True,1073.93,10712.94
153,NEM,2016-12-29,2017-01-23,time_exit,1.43,27.660791397094727,28.139196395874023,16,True,1070.74,10550.44
154,MPC,2017-01-03,2017-01-13,stop_loss,-8.3,39.59024429321289,36.42302474975586,9,True,1071.15,10624.03
157,ANET,2017-01-04,2017-01-17,stop_loss,-8.3,6.35812520980835,5.8494751930236815,9,True,1071.15,10535.13
155,CRM,2017-01-04,2017-01-26,time_exit,6.77,71.56194305419922,76.6243667602539,16,True,1071.15,10622.95
156,DE,2017-01-04,2017-01-26,time_exit,1.41,91.63585662841795,93.20323181152344,16,True,1071.15,10638.06
158,HCA,2017-01-04,2017-01-26,time_exit,3.78,71.44692993164062,74.36485290527344,16,True,1071.15,10678.55
159,NFLX,2017-01-04,2017-01-26,time_exit,7.08,12.940999984741213,13.895999908447266,16,True,1071.15,10754.38
163,ABT,2017-01-05,2017-01-27,time_exit,3.64,33.096622467041016,34.40116500854492,16,True,1068.22,10793.27
169,GD,2017-01-06,2017-01-30,time_exit,2.97,143.5980682373047,148.2925567626953,16,True,1071.29,10825.08
170,ADBE,2017-01-06,2017-01-30,time_exit,4.8,108.3000030517578,113.81999969482422,16,True,1071.29,10876.51
