bot,ausstiegsart,n,anteil_pct,tage_p10,tage_q1,tage_median,tage_q3,tage_p90,tage_max
elliott_wave,stop_loss,70,53.8,0.08,0.3,0.88,2.4,5.83,9.79
elliott_wave,time_exit,44,33.8,10.0,10.0,10.0,10.0,10.0,10.08
elliott_wave,take_profit,16,12.3,2.0,3.66,6.02,8.21,8.71,9.96
t3_supertrend,stop_loss,348,53.0,0.33,0.67,1.17,2.17,3.5,9.67
t3_supertrend,trend_flip,202,30.8,2.0,3.67,5.33,7.62,10.32,18.0
t3_supertrend,t3_crossunder,106,16.2,2.33,5.38,8.17,10.5,12.08,22.67
rsi2_crypto,sma_exit,384,98.0,1.0,2.0,4.0,5.0,7.0,10.0
rsi2_crypto,time_exit,8,2.0,10.0,10.0,10.0,10.0,10.0,10.0
turtle_soup_crypto,stop_loss,975,69.0,1.0,1.0,2.0,4.0,6.0,10.0
turtle_soup_crypto,time_exit,439,31.0,10.0,10.0,10.0,10.0,10.0,10.0
volatility_breakout_crypto,stop_loss,147,71.0,1.0,1.0,3.0,7.0,11.4,15.0
volatility_breakout_crypto,time_exit,60,29.0,15.0,15.0,15.0,15.0,15.0,15.0
elliott_wave_stocks,stop_loss,313,79.2,1.0,1.0,5.0,15.0,35.0,129.0
elliott_wave_stocks,time_exit,82,20.8,128.0,129.0,131.0,132.0,133.0,134.0
rsi2_mean_reversion,sma_exit,4098,96.8,2.0,3.0,5.0,7.0,10.0,17.0
rsi2_mean_reversion,time_exit,134,3.2,14.0,14.0,14.0,15.0,15.0,18.0
turtle_soup_stocks,time_exit,8915,100.0,14.0,14.0,14.0,15.0,15.0,18.0
volatility_breakout,time_exit,1166,80.2,21.0,21.0,22.0,22.0,24.0,26.0
volatility_breakout,stop_loss,288,19.8,4.0,7.0,12.0,17.0,20.0,24.0
