bot_a,bot_b,einstiege_a,einstiege_b,gemeinsame_symbole,treffer,anteil_pct,zufall_pct,zufall_analytisch_pct,ueberschuss
elliott_wave,t3_supertrend,130,644,18,28,21.5,12.1,12.1,1.78
elliott_wave,rsi2_crypto,119,392,18,15,12.6,8.3,8.1,1.52
elliott_wave,turtle_soup_crypto,128,1414,18,68,53.1,25.5,25.5,2.08
elliott_wave,volatility_breakout_crypto,111,206,18,1,0.9,4.9,4.8,0.18
t3_supertrend,elliott_wave,644,130,18,28,4.3,2.6,2.6,1.65
t3_supertrend,rsi2_crypto,600,392,18,33,5.5,9.4,9.4,0.59
t3_supertrend,turtle_soup_crypto,637,1414,18,154,24.2,26.1,26.3,0.93
t3_supertrend,volatility_breakout_crypto,589,207,18,48,8.1,4.8,4.9,1.68
rsi2_crypto,elliott_wave,392,119,18,15,3.8,2.4,2.5,1.61
rsi2_crypto,t3_supertrend,392,600,18,33,8.4,13.8,14.1,0.61
rsi2_crypto,turtle_soup_crypto,392,1343,18,198,50.5,26.7,26.5,1.89
rsi2_crypto,volatility_breakout_crypto,391,206,18,6,1.5,4.9,4.9,0.32
turtle_soup_crypto,elliott_wave,1414,128,18,81,5.7,2.6,2.6,2.19
turtle_soup_crypto,t3_supertrend,1414,637,18,160,11.3,12.8,12.8,0.88
turtle_soup_crypto,rsi2_crypto,1343,392,18,231,17.2,8.6,8.6,1.99
turtle_soup_crypto,volatility_breakout_crypto,1314,207,19,16,1.2,4.7,4.7,0.26
volatility_breakout_crypto,elliott_wave,206,111,18,1,0.5,2.6,2.6,0.18
volatility_breakout_crypto,t3_supertrend,207,589,18,48,23.2,13.3,13.2,1.74
volatility_breakout_crypto,rsi2_crypto,206,391,18,6,2.9,9.1,9.0,0.32
volatility_breakout_crypto,turtle_soup_crypto,207,1314,19,16,7.7,26.2,26.1,0.3
elliott_wave_stocks,rsi2_mean_reversion,395,4146,127,0,0.0,5.1,5.0,0.0
elliott_wave_stocks,turtle_soup_stocks,395,8755,127,58,14.7,11.0,10.9,1.34
elliott_wave_stocks,volatility_breakout,395,1425,127,0,0.0,1.8,1.9,0.0
rsi2_mean_reversion,elliott_wave_stocks,4146,395,127,0,0.0,0.5,0.5,0.0
rsi2_mean_reversion,turtle_soup_stocks,4232,8915,147,1523,36.0,11.0,11.1,3.27
rsi2_mean_reversion,volatility_breakout,4232,1454,147,12,0.3,1.9,1.9,0.15
turtle_soup_stocks,elliott_wave_stocks,8755,395,127,58,0.7,0.5,0.5,1.28
turtle_soup_stocks,rsi2_mean_reversion,8915,4232,147,1523,17.1,5.4,5.4,3.16
turtle_soup_stocks,volatility_breakout,8915,1454,147,52,0.6,1.9,1.9,0.31
volatility_breakout,elliott_wave_stocks,1425,395,127,0,0.0,0.5,0.5,0.0
volatility_breakout,rsi2_mean_reversion,1454,4232,147,12,0.8,5.3,5.4,0.15
volatility_breakout,turtle_soup_stocks,1454,8915,147,52,3.6,11.0,11.1,0.32
