bot_a,bot_b,gleiche_anlageklasse,fenster_von,fenster_bis,positionstage_a,positionstage_b,titeltage_a,anteil_tage_pct,anteil_titel_pct
elliott_wave,t3_supertrend,True,2021-09-22,2026-08-20,409,997,782,52.1,13.68
elliott_wave,rsi2_crypto,True,2022-02-11,2026-08-20,359,736,694,41.8,7.93
elliott_wave,turtle_soup_crypto,True,2021-10-12,2026-08-20,398,1648,768,97.0,25.52
elliott_wave,volatility_breakout_crypto,True,2022-03-17,2026-08-20,345,553,614,23.5,0.65
elliott_wave,elliott_wave_stocks,False,2021-09-22,2026-08-20,409,1708,782,89.5,0.0
elliott_wave,rsi2_mean_reversion,False,2021-09-22,2026-08-20,409,1638,782,93.2,0.0
elliott_wave,turtle_soup_stocks,False,2021-09-22,2026-08-20,409,1794,782,100.0,0.0
elliott_wave,volatility_breakout,False,2021-09-22,2026-08-20,409,1785,782,100.0,0.0
t3_supertrend,elliott_wave,True,2021-09-22,2026-08-20,997,409,3180,21.4,3.36
t3_supertrend,rsi2_crypto,True,2022-02-11,2026-08-20,926,736,2964,33.7,0.88
t3_supertrend,turtle_soup_crypto,True,2021-10-12,2026-08-28,991,1656,3169,90.3,23.1
t3_supertrend,volatility_breakout_crypto,True,2022-03-17,2026-08-29,923,562,2977,45.4,12.83
t3_supertrend,elliott_wave_stocks,False,2021-09-01,2026-08-29,1020,1726,3268,94.2,0.0
t3_supertrend,rsi2_mean_reversion,False,2021-09-01,2026-08-29,1020,1668,3268,89.5,0.0
t3_supertrend,turtle_soup_stocks,False,2021-09-01,2026-08-29,1020,1824,3268,100.0,0.0
t3_supertrend,volatility_breakout,False,2021-09-01,2026-08-29,1020,1815,3268,99.7,0.0
rsi2_crypto,elliott_wave,True,2022-02-11,2026-08-20,736,359,1976,20.4,2.78
rsi2_crypto,t3_supertrend,True,2022-02-11,2026-08-20,736,926,1976,42.4,1.32
rsi2_crypto,turtle_soup_crypto,True,2022-02-11,2026-08-20,736,1535,1976,95.8,39.27
rsi2_crypto,volatility_breakout_crypto,True,2022-03-17,2026-08-20,731,553,1971,34.1,2.03
rsi2_crypto,elliott_wave_stocks,False,2022-02-11,2026-08-20,736,1578,1976,93.3,0.0
rsi2_crypto,rsi2_mean_reversion,False,2022-02-11,2026-08-20,736,1501,1976,93.1,0.0
rsi2_crypto,turtle_soup_stocks,False,2022-02-11,2026-08-20,736,1652,1976,100.0,0.0
rsi2_crypto,volatility_breakout,False,2022-02-11,2026-08-20,736,1643,1976,99.6,0.0
turtle_soup_crypto,elliott_wave,True,2021-10-12,2026-08-20,1648,398,8425,23.4,2.33
turtle_soup_crypto,t3_supertrend,True,2021-10-12,2026-08-28,1656,991,8451,54.0,8.66
turtle_soup_crypto,rsi2_crypto,True,2022-02-11,2026-08-20,1535,736,7920,45.9,9.8
turtle_soup_crypto,volatility_breakout_crypto,True,2022-03-17,2026-08-28,1511,561,7843,32.6,3.62
turtle_soup_crypto,elliott_wave_stocks,False,2021-10-12,2026-08-28,1656,1708,8451,95.7,0.0
turtle_soup_crypto,rsi2_mean_reversion,False,2021-10-12,2026-08-28,1656,1626,8451,91.5,0.0
turtle_soup_crypto,turtle_soup_stocks,False,2021-10-12,2026-08-28,1656,1782,8451,100.0,0.0
turtle_soup_crypto,volatility_breakout,False,2021-10-12,2026-08-28,1656,1773,8451,99.5,0.0
volatility_breakout_crypto,elliott_wave,True,2022-03-17,2026-08-20,553,345,1740,14.6,0.23
volatility_breakout_crypto,t3_supertrend,True,2022-03-17,2026-08-29,562,923,1763,74.6,21.67
volatility_breakout_crypto,rsi2_crypto,True,2022-03-17,2026-08-20,553,731,1740,45.0,2.3
volatility_breakout_crypto,turtle_soup_crypto,True,2022-03-17,2026-08-28,561,1511,1762,87.7,16.12
volatility_breakout_crypto,elliott_wave_stocks,False,2022-03-17,2026-08-30,563,1554,1764,96.1,0.0
volatility_breakout_crypto,rsi2_mean_reversion,False,2022-03-17,2026-08-30,563,1477,1764,91.5,0.0
volatility_breakout_crypto,turtle_soup_stocks,False,2022-03-17,2026-08-30,563,1628,1764,100.0,0.0
volatility_breakout_crypto,volatility_breakout,False,2022-03-17,2026-08-30,563,1619,1764,99.8,0.0
elliott_wave_stocks,elliott_wave,False,2021-09-22,2026-08-20,1708,409,8343,21.4,0.0
elliott_wave_stocks,t3_supertrend,False,2021-09-01,2026-08-29,1726,1020,8419,55.7,0.0
elliott_wave_stocks,rsi2_crypto,False,2022-02-11,2026-08-20,1578,736,7970,43.5,0.0
elliott_wave_stocks,turtle_soup_crypto,False,2021-10-12,2026-08-28,1708,1656,8395,92.8,0.0
elliott_wave_stocks,volatility_breakout_crypto,False,2022-03-17,2026-08-30,1554,563,7941,34.8,0.0
elliott_wave_stocks,rsi2_mean_reversion,True,2016-10-28,2026-09-01,3273,3204,14750,88.7,3.12
elliott_wave_stocks,turtle_soup_stocks,True,2016-10-28,2026-09-01,3273,3596,14750,100.0,24.93
elliott_wave_stocks,volatility_breakout,True,2016-10-28,2026-09-01,3273,3487,14750,96.9,4.81
rsi2_mean_reversion,elliott_wave,False,2021-09-22,2026-08-20,1638,409,14238,23.3,0.0
rsi2_mean_reversion,t3_supertrend,False,2021-09-01,2026-08-29,1668,1020,14684,54.7,0.0
rsi2_mean_reversion,rsi2_crypto,False,2022-02-11,2026-08-20,1501,736,12997,45.6,0.0
rsi2_mean_reversion,turtle_soup_crypto,False,2021-10-12,2026-08-28,1626,1656,14142,93.2,0.0
rsi2_mean_reversion,volatility_breakout_crypto,False,2022-03-17,2026-08-30,1477,563,12825,34.9,0.0
rsi2_mean_reversion,elliott_wave_stocks,True,2016-10-28,2026-09-01,3204,3273,27967,90.6,1.64
rsi2_mean_reversion,turtle_soup_stocks,True,2016-09-01,2026-09-01,3260,3653,28562,100.0,48.59
rsi2_mean_reversion,volatility_breakout,True,2016-09-01,2026-09-01,3260,3544,28562,98.3,3.3
turtle_soup_stocks,elliott_wave,False,2021-09-22,2026-08-20,1794,409,71216,22.8,0.0
turtle_soup_stocks,t3_supertrend,False,2021-09-01,2026-08-29,1824,1020,72311,55.9,0.0
turtle_soup_stocks,rsi2_crypto,False,2022-02-11,2026-08-20,1652,736,65562,44.6,0.0
turtle_soup_stocks,turtle_soup_crypto,False,2021-10-12,2026-08-28,1782,1656,70550,92.9,0.0
turtle_soup_stocks,volatility_breakout_crypto,False,2022-03-17,2026-08-30,1628,563,64507,34.6,0.0
turtle_soup_stocks,elliott_wave_stocks,True,2016-10-28,2026-09-01,3596,3273,136117,91.0,2.7
turtle_soup_stocks,rsi2_mean_reversion,True,2016-09-01,2026-09-01,3653,3260,138277,89.2,10.04
turtle_soup_stocks,volatility_breakout,True,2016-09-01,2026-09-01,3653,3544,138277,97.0,3.73
volatility_breakout,elliott_wave,False,2021-09-22,2026-08-20,1785,409,15053,22.9,0.0
volatility_breakout,t3_supertrend,False,2021-09-01,2026-08-29,1815,1020,15275,56.0,0.0
volatility_breakout,rsi2_crypto,False,2022-02-11,2026-08-20,1643,736,13927,44.6,0.0
volatility_breakout,turtle_soup_crypto,False,2021-10-12,2026-08-28,1773,1656,14925,92.9,0.0
volatility_breakout,volatility_breakout_crypto,False,2022-03-17,2026-08-30,1619,563,13652,34.7,0.0
volatility_breakout,elliott_wave_stocks,True,2016-10-28,2026-09-01,3487,3273,29778,90.9,2.38
volatility_breakout,rsi2_mean_reversion,True,2016-09-01,2026-09-01,3544,3260,30272,90.4,3.12
volatility_breakout,turtle_soup_stocks,True,2016-09-01,2026-09-01,3544,3653,30272,100.0,17.06
